cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.583,0.583,3.46,3.52,0.073,0.073,142.64,83.26,0.361,0.361,14.13,13.2,1.429,1.429,4.92,4.8
0.696,0.696,4.07,4.16,0.073,0.073,143.81,83.66,0.477,0.477,20.32,18.44,1.282,1.282,4.41,4.31
0.958,0.958,5.43,5.59,0.07,0.07,140.02,82.36,0.698,0.698,37.67,31.7,1.121,1.121,3.85,3.78
2.361,2.361,16.0,14.81,0.046,0.046,65.53,49.36,2.507,2.507,54.31,74.55,0.909,0.909,3.12,3.08
0.599,0.599,3.91,3.99,0.05,0.05,84.04,59.17,0.637,0.637,15.66,14.53,1.469,1.469,5.05,4.92
1.643,1.643,9.85,10.36,0.06,0.06,108.72,70.43,1.602,1.602,58.16,45.06,1.569,1.569,5.4,5.26
1.102,1.102,6.38,6.59,0.056,0.056,83.35,58.83,0.928,0.928,42.91,35.33,1.36,1.36,4.69,4.58
1.252,1.252,7.04,7.3,0.051,0.051,74.0,54.02,0.943,0.943,57.09,44.41,1.317,1.317,4.53,4.43
1.748,1.748,11.48,10.86,0.04,0.04,53.47,42.19,2.057,2.057,49.43,65.66,1.18,1.18,4.06,3.98
0.091,0.091,0.6,0.61,0.04,0.04,54.72,42.97,0.095,0.095,2.17,2.15,1.582,1.582,5.45,5.31
2.419,2.419,14.18,15.26,0.049,0.049,80.95,57.62,2.334,2.334,97.34,65.47,1.718,1.718,5.92,5.75
1.093,1.093,6.24,6.44,0.056,0.056,84.75,59.53,0.819,0.819,42.66,35.16,1.288,1.288,4.43,4.34
0.171,0.171,1.03,1.02,0.053,0.053,85.09,59.69,0.531,0.531,18.93,20.91,1.172,1.172,4.03,3.95
1.057,1.057,6.95,6.72,0.051,0.051,70.91,52.35,1.159,1.159,27.96,32.5,1.145,1.145,3.94,3.86
1.014,1.014,6.39,6.6,0.052,0.052,85.06,59.68,0.918,0.918,25.73,22.79,1.527,1.527,5.24,5.11
0.867,0.867,5.95,5.78,0.069,0.069,136.07,80.98,0.946,0.946,19.62,21.76,1.496,1.496,5.14,5.01
2.09,2.09,12.42,13.25,0.067,0.067,149.08,85.41,2.079,2.079,79.05,56.65,1.459,1.459,5.0,4.88
0.349,0.349,2.07,2.1,0.061,0.061,97.47,65.53,0.15,0.15,5.67,5.51,1.147,1.147,3.93,3.85
0.459,0.459,2.91,2.87,0.063,0.063,102.56,67.8,0.671,0.671,18.52,20.41,1.27,1.27,4.35,4.26
2.57,2.57,20.06,18.23,0.059,0.059,96.85,65.25,2.515,2.515,38.95,48.37,1.487,1.487,5.09,4.97
1.389,1.389,9.29,9.74,0.038,0.038,58.57,45.31,1.598,1.598,36.41,30.81,1.648,1.648,5.65,5.49
2.018,2.018,12.17,12.96,0.055,0.055,95.2,64.5,1.966,1.966,69.38,51.51,1.737,1.737,5.95,5.78
1.144,1.144,6.68,6.91,0.06,0.06,94.14,64.01,0.917,0.917,39.68,33.11,1.453,1.453,4.98,4.85
0.195,0.195,1.21,1.2,0.07,0.07,134.06,80.26,0.511,0.511,15.88,17.25,1.331,1.331,4.56,4.46
0.324,0.324,2.0,2.02,0.072,0.072,140.86,82.65,0.186,0.186,5.81,5.65,1.293,1.293,4.43,4.33
0.081,0.081,0.51,0.51,0.053,0.053,74.76,54.42,0.176,0.176,4.91,5.03,1.3,1.3,4.45,4.35
1.005,1.005,6.24,6.44,0.058,0.058,96.16,64.94,0.86,0.86,25.91,22.94,1.694,1.694,5.8,5.64
1.912,1.912,10.97,11.61,0.067,0.067,121.13,75.44,1.71,1.71,83.04,58.68,1.524,1.524,5.21,5.08
0.657,0.657,3.77,3.85,0.061,0.061,106.07,69.31,0.318,0.318,15.2,14.13,1.185,1.185,4.06,3.97
0.115,0.115,0.68,0.68,0.044,0.044,60.19,46.27,0.159,0.159,6.31,6.51,1.021,1.021,3.49,3.43
1.064,1.064,6.15,6.34,0.061,0.061,98.62,66.05,0.785,0.785,37.0,31.22,1.25,1.25,4.27,4.19
1.507,1.507,9.89,9.42,0.058,0.058,94.52,64.19,1.694,1.694,41.2,51.89,1.087,1.087,3.73,3.66
0.231,0.231,1.55,1.54,0.059,0.059,106.99,69.7,0.172,0.172,3.86,3.94,1.401,1.401,4.81,4.69
0.726,0.726,4.65,4.76,0.066,0.066,137.8,81.59,0.768,0.768,20.27,18.41,1.481,1.481,5.09,4.96
1.931,1.931,11.16,11.82,0.066,0.066,121.7,75.66,1.876,1.876,88.26,61.24,1.49,1.49,5.12,4.99
0.399,0.399,2.44,2.41,0.068,0.068,130.18,78.86,0.563,0.563,18.6,20.51,1.228,1.228,4.22,4.13
0.709,0.709,4.62,4.51,0.052,0.052,73.95,53.99,0.752,0.752,18.83,20.79,1.254,1.254,4.31,4.22
0.831,0.831,5.92,5.75,0.049,0.049,75.21,54.65,0.791,0.791,14.97,16.18,1.717,1.717,5.9,5.73
2.202,2.202,18.51,16.94,0.055,0.055,104.1,68.46,1.933,1.933,26.45,30.48,1.752,1.752,6.02,5.84
1.96,1.96,13.04,13.95,0.045,0.045,79.39,56.83,2.23,2.23,51.75,41.11,1.813,1.813,6.23,6.04
2.197,2.197,13.0,13.91,0.06,0.06,113.64,72.47,2.11,2.11,82.9,58.61,1.788,1.788,6.14,5.96
0.428,0.428,2.69,2.66,0.062,0.062,100.11,66.72,0.661,0.661,18.86,20.82,1.406,1.406,4.83,4.72
1.479,1.479,8.78,9.18,0.073,0.073,160.11,88.92,1.349,1.349,52.81,41.78,1.659,1.659,5.7,5.54
3.358,3.358,25.62,22.71,0.07,0.07,132.01,79.52,3.441,3.441,55.49,76.79,1.227,1.227,4.22,4.13
0.415,0.415,3.09,3.04,0.053,0.053,103.88,68.37,0.209,0.209,3.57,3.64,1.593,1.593,5.47,5.33
0.452,0.452,3.14,3.19,0.04,0.04,60.72,46.58,0.62,0.62,12.58,11.84,1.72,1.72,5.92,5.75
0.553,0.553,3.76,3.83,0.045,0.045,71.12,52.46,0.623,0.623,13.43,12.59,1.888,1.888,6.49,6.29
1.241,1.241,7.97,8.3,0.038,0.038,53.65,42.3,1.29,1.29,34.48,29.41,1.93,1.93,6.65,6.43
2.51,2.51,14.55,15.7,0.059,0.059,105.85,69.22,2.384,2.384,111.08,71.42,1.975,1.975,6.79,6.57
0.395,0.395,2.33,2.36,0.067,0.067,126.41,77.46,0.133,0.133,5.49,5.34,1.417,1.417,4.87,4.76
2.553,2.553,18.36,16.81,0.065,0.065,114.78,72.93,2.678,2.678,49.69,66.11,1.257,1.257,4.32,4.23
1.009,1.009,6.61,6.83,0.054,0.054,101.93,67.52,1.084,1.084,26.41,23.33,1.513,1.513,5.19,5.06
0.083,0.083,0.55,0.55,0.049,0.049,73.43,53.71,0.135,0.135,3.02,3.06,1.543,1.543,5.29,5.15
2.207,2.207,13.22,14.16,0.053,0.053,91.07,62.58,2.091,2.091,74.98,54.54,1.698,1.698,5.81,5.64
0.062,0.062,0.38,0.38,0.06,0.06,93.82,63.86,0.193,0.193,5.71,5.88,1.474,1.474,5.05,4.93
1.015,1.015,6.19,6.38,0.063,0.063,110.96,71.37,0.811,0.811,26.56,23.45,1.642,1.642,5.63,5.47
0.016,0.016,0.1,0.1,0.06,0.06,93.97,63.93,0.191,0.191,5.27,5.42,1.532,1.532,5.26,5.12
1.788,1.788,10.54,11.13,0.052,0.052,78.15,56.19,1.62,1.62,64.59,48.82,1.745,1.745,5.99,5.82
1.27,1.27,7.3,7.57,0.061,0.061,97.03,65.33,0.961,0.961,46.91,38.0,1.526,1.526,5.24,5.11
1.02,1.02,6.52,6.32,0.062,0.062,109.21,70.64,1.329,1.329,35.07,42.53,1.31,1.31,4.5,4.4
