cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.217,0.217,2.77,2.81,0.163,0.163,10.33,10.89,0.424,0.424,6.49,6.29,0.288,0.288,0.52,0.52
0.115,0.115,1.48,1.49,0.017,0.017,1.2,1.21,0.3,0.3,4.51,4.41,0.269,0.269,0.48,0.48
0.107,0.107,1.4,1.41,0.086,0.086,5.88,6.06,0.317,0.317,4.67,4.56,0.127,0.127,0.23,0.23
0.215,0.215,2.77,2.81,0.187,0.187,11.98,12.75,0.451,0.451,6.8,6.57,0.201,0.201,0.36,0.36
0.055,0.055,0.72,0.72,0.199,0.199,12.31,13.12,0.213,0.213,3.17,3.12,0.269,0.269,0.48,0.48
0.003,0.003,0.04,0.04,0.103,0.103,6.73,6.97,0.136,0.136,1.99,1.97,0.328,0.328,0.59,0.59
0.205,0.205,2.63,2.67,0.111,0.111,7.39,7.67,0.38,0.38,5.68,5.53,0.195,0.195,0.35,0.35
0.164,0.164,2.12,2.14,0.096,0.096,6.44,6.65,0.33,0.33,4.92,4.8,0.166,0.166,0.3,0.3
0.079,0.079,1.04,1.04,0.076,0.076,5.18,5.31,0.239,0.239,3.5,3.44,0.186,0.186,0.33,0.33
0.193,0.193,2.49,2.52,0.182,0.182,11.66,12.38,0.382,0.382,5.69,5.53,0.149,0.149,0.27,0.27
0.017,0.017,0.22,0.22,0.249,0.249,14.99,16.2,0.297,0.297,4.44,4.34,0.237,0.237,0.42,0.43
0.083,0.083,1.09,1.09,0.213,0.213,12.93,13.82,0.114,0.114,1.68,1.67,0.335,0.335,0.6,0.6
0.026,0.026,0.34,0.34,0.13,0.13,8.36,8.73,0.182,0.182,2.68,2.65,0.361,0.361,0.65,0.65
0.114,0.114,1.48,1.49,0.071,0.071,4.87,4.99,0.308,0.308,4.58,4.48,0.224,0.224,0.4,0.4
0.022,0.022,0.29,0.29,0.079,0.079,5.43,5.58,0.248,0.248,3.63,3.57,0.136,0.136,0.24,0.24
0.14,0.14,1.82,1.84,0.084,0.084,5.77,5.94,0.41,0.41,6.11,5.93,0.182,0.182,0.32,0.33
0.274,0.274,3.51,3.57,0.142,0.142,9.34,9.8,0.593,0.593,9.13,8.73,0.135,0.135,0.24,0.24
0.035,0.035,0.45,0.45,0.115,0.115,7.55,7.84,0.288,0.288,4.3,4.21,0.23,0.23,0.41,0.41
0.012,0.012,0.16,0.16,0.185,0.185,11.71,12.44,0.313,0.313,4.64,4.54,0.261,0.261,0.46,0.47
0.168,0.168,2.16,2.18,0.258,0.258,15.51,16.81,0.395,0.395,5.99,5.81,0.27,0.27,0.48,0.48
0.081,0.081,1.05,1.06,0.211,0.211,12.74,13.6,0.215,0.215,3.22,3.17,0.333,0.333,0.59,0.6
0.146,0.146,1.87,1.89,0.17,0.17,10.57,11.16,0.261,0.261,3.92,3.85,0.353,0.353,0.63,0.63
