cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.439,0.439,29.45,34.54,0.08,0.08,14.21,13.27,0.535,0.535,3.05,3.01,0.227,0.227,0.83,0.82
0.344,0.344,24.1,27.4,0.078,0.078,13.68,12.81,0.26,0.26,1.46,1.45,0.271,0.271,0.99,0.98
0.47,0.47,30.77,36.36,0.033,0.033,4.85,4.97,0.509,0.509,2.9,2.86,0.246,0.246,0.89,0.89
0.193,0.193,15.13,16.36,0.098,0.098,17.77,16.32,0.249,0.249,1.4,1.39,0.296,0.296,1.08,1.07
0.419,0.419,28.89,33.77,0.008,0.008,1.2,1.2,0.551,0.551,3.14,3.09,0.303,0.303,1.1,1.1
0.549,0.549,34.13,41.15,0.11,0.11,14.49,15.62,0.643,0.643,3.7,3.63,0.324,0.324,1.18,1.17
0.496,0.496,30.91,36.55,0.035,0.035,5.05,5.18,0.655,0.655,3.78,3.71,0.233,0.233,0.85,0.84
0.302,0.302,21.3,23.84,0.012,0.012,1.86,1.84,0.289,0.289,1.63,1.62,0.166,0.166,0.6,0.6
0.469,0.469,30.5,35.99,0.025,0.025,4.0,3.92,0.544,0.544,3.11,3.06,0.143,0.143,0.52,0.52
0.537,0.537,32.69,39.07,0.014,0.014,2.16,2.19,0.61,0.61,3.51,3.45,0.158,0.158,0.57,0.57
0.264,0.264,18.75,20.7,0.051,0.051,8.64,8.28,0.272,0.272,1.54,1.53,0.167,0.167,0.6,0.6
0.483,0.483,30.88,36.52,0.056,0.056,8.03,8.36,0.539,0.539,3.08,3.03,0.173,0.173,0.63,0.62
0.182,0.182,13.96,15.01,0.091,0.091,16.34,15.11,0.216,0.216,1.21,1.21,0.199,0.199,0.72,0.72
0.43,0.43,29.03,33.96,0.027,0.027,4.0,4.08,0.541,0.541,3.09,3.04,0.211,0.211,0.76,0.76
0.326,0.326,23.13,26.16,0.08,0.08,14.19,13.25,0.243,0.243,1.37,1.36,0.253,0.253,0.92,0.91
0.46,0.46,30.33,35.76,0.088,0.088,15.77,14.62,0.519,0.519,2.96,2.92,0.259,0.259,0.94,0.93
0.487,0.487,31.08,36.8,0.052,0.052,8.67,8.31,0.628,0.628,3.61,3.54,0.293,0.293,1.06,1.06
0.329,0.329,23.0,25.99,0.026,0.026,3.93,4.01,0.284,0.284,1.6,1.59,0.348,0.348,1.26,1.26
0.613,0.613,36.69,44.94,0.124,0.124,16.03,17.42,0.544,0.544,3.11,3.06,0.342,0.342,1.24,1.24
