cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.012,0.012,0.23,0.23,0.059,0.059,6.16,6.36,0.052,0.052,0.37,0.38,0.297,0.297,0.94,0.94
0.153,0.153,2.93,2.88,0.004,0.004,0.45,0.45,0.156,0.156,1.13,1.13,0.143,0.143,0.45,0.45
0.085,0.085,1.66,1.64,0.052,0.052,5.46,5.61,0.109,0.109,0.78,0.79,0.258,0.258,0.82,0.82
0.176,0.176,3.4,3.34,0.034,0.034,3.53,3.6,0.142,0.142,1.02,1.03,0.123,0.123,0.39,0.39
0.11,0.11,2.11,2.09,0.053,0.053,5.49,5.65,0.075,0.075,0.54,0.54,0.13,0.13,0.41,0.41
0.172,0.172,3.31,3.26,0.059,0.059,5.97,6.16,0.091,0.091,0.66,0.66,0.078,0.078,0.25,0.25
0.137,0.137,2.63,2.6,0.049,0.049,5.01,5.14,0.062,0.062,0.45,0.45,0.175,0.175,0.56,0.56
0.137,0.137,2.64,2.6,0.043,0.043,4.44,4.54,0.07,0.07,0.51,0.51,0.194,0.194,0.62,0.62
0.074,0.074,1.42,1.41,0.043,0.043,4.42,4.52,0.043,0.043,0.31,0.31,0.146,0.146,0.47,0.47
0.084,0.084,1.62,1.6,0.031,0.031,3.27,3.33,0.05,0.05,0.36,0.36,0.137,0.137,0.44,0.44
0.056,0.056,1.07,1.07,0.046,0.046,4.81,4.93,0.026,0.026,0.19,0.19,0.06,0.06,0.19,0.19
0.051,0.051,0.97,0.96,0.022,0.022,2.32,2.34,0.041,0.041,0.3,0.3,0.249,0.249,0.81,0.8
0.069,0.069,1.32,1.33,0.071,0.071,7.3,7.58,0.028,0.028,0.2,0.2,0.072,0.072,0.23,0.23
0.037,0.037,0.71,0.71,0.05,0.05,5.11,5.25,0.027,0.027,0.2,0.2,0.008,0.008,0.03,0.03
0.034,0.034,0.65,0.65,0.065,0.065,6.65,6.88,0.018,0.018,0.13,0.13,0.07,0.07,0.23,0.23
0.04,0.04,0.76,0.76,0.069,0.069,6.91,7.16,0.009,0.009,0.07,0.07,0.171,0.171,0.56,0.56
0.025,0.025,0.49,0.49,0.083,0.083,8.24,8.59,0.011,0.011,0.08,0.08,0.02,0.02,0.07,0.07
0.051,0.051,0.98,0.97,0.03,0.03,3.08,3.13,0.008,0.008,0.06,0.06,0.051,0.051,0.17,0.17
0.076,0.076,1.46,1.47,0.052,0.052,5.44,5.6,0.045,0.045,0.33,0.33,0.078,0.078,0.26,0.26
0.036,0.036,0.7,0.7,0.039,0.039,4.15,4.24,0.011,0.011,0.08,0.08,0.062,0.062,0.2,0.2
0.077,0.077,1.48,1.49,0.014,0.014,1.48,1.49,0.006,0.006,0.05,0.05,0.035,0.035,0.12,0.12
0.167,0.167,3.19,3.25,0.008,0.008,0.87,0.88,0.032,0.032,0.23,0.23,0.002,0.002,0.01,0.01
0.159,0.159,3.05,3.1,0.014,0.014,1.61,1.62,0.003,0.003,0.02,0.02,0.938,0.938,2.98,3.03
0.114,0.114,2.2,2.18,0.04,0.04,4.19,4.28,0.12,0.12,0.86,0.87,0.709,0.709,2.22,2.24
0.317,0.317,6.16,5.98,0.043,0.043,4.35,4.45,0.204,0.204,1.47,1.48,0.473,0.473,1.47,1.48
0.299,0.299,5.78,5.62,0.02,0.02,2.1,2.12,0.187,0.187,1.35,1.36,0.497,0.497,1.53,1.54
0.236,0.236,4.56,4.46,0.068,0.068,6.82,7.06,0.121,0.121,0.87,0.88,0.468,0.468,1.44,1.45
0.37,0.37,7.21,6.96,0.082,0.082,8.02,8.35,0.167,0.167,1.21,1.22,0.332,0.332,1.02,1.03
0.331,0.331,6.38,6.19,0.047,0.047,4.71,4.82,0.147,0.147,1.06,1.07,0.421,0.421,1.29,1.3
0.237,0.237,4.55,4.45,0.057,0.057,5.74,5.91,0.09,0.09,0.65,0.65,0.449,0.449,1.38,1.39
0.276,0.276,5.31,5.17,0.003,0.003,0.34,0.34,0.182,0.182,1.32,1.32,0.405,0.405,1.24,1.25
0.226,0.226,4.41,4.31,0.073,0.073,7.43,7.71,0.141,0.141,1.02,1.02,0.374,0.374,1.15,1.16
0.309,0.309,5.97,5.8,0.059,0.059,5.88,6.06,0.162,0.162,1.17,1.18,0.247,0.247,0.76,0.76
0.22,0.22,4.19,4.1,0.013,0.013,1.38,1.39,0.099,0.099,0.72,0.72,0.365,0.365,1.12,1.13
0.16,0.16,3.05,3.01,0.045,0.045,4.69,4.81,0.079,0.079,0.57,0.58,0.396,0.396,1.22,1.23
0.221,0.221,4.23,4.14,0.032,0.032,3.34,3.4,0.097,0.097,0.7,0.71,0.341,0.341,1.05,1.06
0.257,0.257,4.96,4.84,0.053,0.053,5.44,5.6,0.137,0.137,0.99,1.0,0.404,0.404,1.24,1.25
0.267,0.267,5.13,5.0,0.055,0.055,5.5,5.66,0.136,0.136,0.99,0.99,0.335,0.335,1.03,1.03
0.252,0.252,4.83,4.72,0.027,0.027,2.79,2.83,0.144,0.144,1.04,1.05,0.35,0.35,1.08,1.08
0.193,0.193,3.7,3.63,0.047,0.047,4.84,4.96,0.098,0.098,0.71,0.71,0.432,0.432,1.33,1.34
0.26,0.26,5.0,4.88,0.078,0.078,7.69,8.0,0.121,0.121,0.88,0.88,0.328,0.328,1.01,1.01
0.318,0.318,6.12,5.94,0.043,0.043,4.3,4.39,0.157,0.157,1.13,1.14,0.338,0.338,1.04,1.04
0.222,0.222,4.26,4.17,0.042,0.042,4.26,4.36,0.097,0.097,0.7,0.7,0.4,0.4,1.23,1.24
0.209,0.209,4.0,3.93,0.047,0.047,4.82,4.94,0.106,0.106,0.77,0.77,0.376,0.376,1.16,1.16
0.259,0.259,4.98,4.86,0.06,0.06,6.08,6.27,0.125,0.125,0.91,0.91,0.359,0.359,1.11,1.11
0.279,0.279,5.36,5.22,0.052,0.052,5.26,5.4,0.116,0.116,0.84,0.85,0.362,0.362,1.11,1.12
0.273,0.273,5.26,5.12,0.033,0.033,3.45,3.51,0.141,0.141,1.02,1.02,0.427,0.427,1.31,1.32
0.239,0.239,4.62,4.51,0.052,0.052,5.32,5.46,0.132,0.132,0.95,0.96,0.422,0.422,1.3,1.3
0.32,0.32,6.23,6.05,0.06,0.06,6.01,6.19,0.179,0.179,1.29,1.3,0.376,0.376,1.15,1.16
0.307,0.307,5.95,5.78,0.043,0.043,4.36,4.46,0.166,0.166,1.2,1.2,0.383,0.383,1.17,1.18
0.285,0.285,5.53,5.38,0.063,0.063,6.31,6.51,0.142,0.142,1.03,1.03,0.395,0.395,1.21,1.22
0.267,0.267,5.12,5.0,0.012,0.012,1.29,1.3,0.13,0.13,0.94,0.95,0.374,0.374,1.15,1.16
0.192,0.192,3.69,3.62,0.046,0.046,4.76,4.88,0.103,0.103,0.74,0.75,0.299,0.299,0.92,0.92
0.236,0.236,4.54,4.44,0.064,0.064,6.44,6.65,0.113,0.113,0.82,0.82,0.378,0.378,1.16,1.17
0.339,0.339,6.57,6.36,0.069,0.069,6.8,7.04,0.127,0.127,0.92,0.92,0.325,0.325,1.0,1.0
0.305,0.305,5.87,5.7,0.041,0.041,4.12,4.2,0.116,0.116,0.84,0.84,0.362,0.362,1.11,1.12
0.211,0.211,4.04,3.96,0.036,0.036,3.69,3.76,0.092,0.092,0.67,0.67,0.394,0.394,1.21,1.22
0.176,0.176,3.35,3.29,0.026,0.026,2.74,2.78,0.097,0.097,0.7,0.7,0.372,0.372,1.14,1.15
0.202,0.202,3.89,3.81,0.053,0.053,5.44,5.59,0.108,0.108,0.79,0.79,0.408,0.408,1.25,1.26
0.283,0.283,5.45,5.3,0.042,0.042,4.31,4.4,0.144,0.144,1.04,1.05,0.369,0.369,1.13,1.14
0.246,0.246,4.73,4.62,0.056,0.056,5.62,5.78,0.11,0.11,0.79,0.8,0.336,0.336,1.03,1.04
0.28,0.28,5.39,5.25,0.061,0.061,6.15,6.35,0.131,0.131,0.95,0.95,0.389,0.389,1.19,1.2
0.313,0.313,6.05,5.87,0.048,0.048,4.87,4.99,0.162,0.162,1.17,1.18,0.35,0.35,1.08,1.08
0.258,0.258,4.98,4.86,0.056,0.056,5.64,5.8,0.133,0.133,0.96,0.97,0.429,0.429,1.32,1.33
0.239,0.239,4.57,4.47,0.022,0.022,2.32,2.35,0.14,0.14,1.02,1.02,0.401,0.401,1.23,1.24
0.18,0.18,3.44,3.38,0.011,0.011,1.13,1.13,0.136,0.136,0.98,0.98,0.353,0.353,1.08,1.09
0.188,0.188,3.63,3.56,0.028,0.028,2.97,3.02,0.156,0.156,1.13,1.13,0.39,0.39,1.2,1.21
0.221,0.221,4.26,4.17,0.035,0.035,3.61,3.68,0.145,0.145,1.05,1.05,0.349,0.349,1.07,1.08
0.189,0.189,3.6,3.53,0.019,0.019,2.04,2.06,0.127,0.127,0.92,0.92,0.334,0.334,1.03,1.03
0.232,0.232,4.48,4.38,0.06,0.06,6.08,6.27,0.15,0.15,1.09,1.09,0.302,0.302,0.93,0.93
0.246,0.246,4.71,4.6,0.004,0.004,0.42,0.43,0.156,0.156,1.13,1.14,0.31,0.31,0.95,0.96
0.17,0.17,3.26,3.21,0.065,0.065,6.66,6.89,0.091,0.091,0.66,0.66,0.424,0.424,1.3,1.31
0.319,0.319,6.17,5.99,0.041,0.041,4.14,4.23,0.178,0.178,1.29,1.3,0.344,0.344,1.06,1.06
0.24,0.24,4.6,4.5,0.017,0.017,1.76,1.77,0.147,0.147,1.06,1.07,0.39,0.39,1.2,1.21
0.193,0.193,3.71,3.64,0.019,0.019,2.07,2.09,0.146,0.146,1.05,1.06,0.388,0.388,1.19,1.2
0.207,0.207,4.0,3.92,0.036,0.036,3.78,3.86,0.135,0.135,0.97,0.98,0.304,0.304,0.93,0.94
0.233,0.233,4.48,4.39,0.026,0.026,2.69,2.72,0.155,0.155,1.12,1.13,0.296,0.296,0.91,0.91
0.248,0.248,4.8,4.69,0.072,0.072,7.24,7.51,0.132,0.132,0.95,0.96,0.33,0.33,1.01,1.02
0.306,0.306,5.88,5.71,0.044,0.044,4.44,4.54,0.152,0.152,1.1,1.11,0.318,0.318,0.98,0.98
