cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.164,0.164,410.93,134.53,0.037,0.037,73.61,116.47,0.042,0.042,0.21,0.21,1.296,1.296,5.21,5.34
0.164,0.164,411.09,134.54,0.027,0.027,67.25,101.32,0.014,0.014,0.07,0.07,1.374,1.374,5.52,5.67
0.144,0.144,240.69,109.23,0.047,0.047,78.33,128.75,0.015,0.015,0.07,0.07,1.446,1.446,5.81,5.98
0.164,0.164,411.05,134.54,0.037,0.037,73.62,116.5,0.022,0.022,0.11,0.11,1.301,1.301,5.22,5.36
0.164,0.164,411.01,134.53,0.037,0.037,73.78,116.9,0.024,0.024,0.12,0.12,1.368,1.368,5.5,5.65
0.164,0.164,411.03,134.54,0.047,0.047,78.16,128.29,0.014,0.014,0.07,0.07,1.372,1.372,5.51,5.67
0.154,0.154,308.72,121.37,0.027,0.027,67.0,100.76,0.022,0.022,0.11,0.11,1.294,1.294,5.2,5.33
0.154,0.154,308.91,121.4,0.037,0.037,74.02,117.51,0.025,0.025,0.12,0.12,1.451,1.451,5.83,6.0
0.164,0.164,411.08,134.54,0.027,0.027,67.23,101.28,0.004,0.004,0.02,0.02,1.374,1.374,5.52,5.67
0.164,0.164,411.01,134.53,0.037,0.037,73.99,117.42,0.025,0.025,0.12,0.12,1.444,1.444,5.8,5.97
0.164,0.164,411.04,134.54,0.037,0.037,73.79,116.93,0.004,0.004,0.02,0.02,1.373,1.373,5.51,5.67
0.164,0.164,410.98,134.53,0.037,0.037,73.78,116.9,0.024,0.024,0.12,0.12,1.369,1.369,5.5,5.65
0.134,0.134,192.02,97.97,0.027,0.027,67.24,101.3,0.024,0.024,0.12,0.12,1.373,1.373,5.51,5.67
0.155,0.155,309.01,121.42,0.037,0.037,74.04,117.56,0.015,0.015,0.07,0.07,1.458,1.458,5.85,6.03
0.154,0.154,308.82,121.39,0.027,0.027,67.21,101.23,0.024,0.024,0.12,0.12,1.369,1.369,5.5,5.66
0.154,0.154,308.9,121.4,0.017,0.017,56.69,79.11,0.015,0.015,0.07,0.07,1.55,1.55,6.2,6.4
0.164,0.164,411.11,134.55,0.037,0.037,74.02,117.5,0.025,0.025,0.12,0.12,1.442,1.442,5.79,5.96
0.164,0.164,410.83,134.52,0.017,0.017,56.22,78.2,0.017,0.017,0.08,0.08,1.351,1.351,5.42,5.58
0.164,0.164,410.96,134.53,0.037,0.037,74.24,118.06,0.016,0.016,0.08,0.08,1.62,1.62,6.48,6.7
0.164,0.164,410.92,134.52,0.027,0.027,67.03,100.83,0.012,0.012,0.06,0.06,1.29,1.29,5.18,5.32
0.144,0.144,240.59,109.21,0.037,0.037,73.94,117.32,0.045,0.045,0.22,0.22,1.427,1.427,5.73,5.9
0.174,0.174,581.63,148.82,0.017,0.017,56.36,78.48,0.026,0.026,0.13,0.13,1.381,1.381,5.55,5.71
0.144,0.144,240.56,109.21,0.017,0.017,56.99,79.7,0.026,0.026,0.13,0.13,1.511,1.511,6.07,6.26
0.164,0.164,411.2,134.55,0.027,0.027,67.89,102.77,0.006,0.006,0.03,0.03,1.536,1.536,6.17,6.36
0.154,0.154,308.79,121.38,0.037,0.037,73.97,117.4,0.015,0.015,0.07,0.07,1.444,1.444,5.8,5.97
0.154,0.154,308.86,121.39,0.027,0.027,67.24,101.3,0.024,0.024,0.12,0.12,1.375,1.375,5.52,5.68
0.154,0.154,308.9,121.4,0.027,0.027,67.51,101.92,0.025,0.025,0.12,0.12,1.45,1.45,5.82,6.0
0.144,0.144,240.75,109.24,0.037,0.037,74.01,117.48,0.015,0.015,0.07,0.07,1.45,1.45,5.82,6.0
0.164,0.164,411.12,134.55,0.027,0.027,67.24,101.29,0.024,0.024,0.12,0.12,1.376,1.376,5.52,5.68
0.174,0.174,581.39,148.81,0.037,0.037,73.99,117.44,0.025,0.025,0.13,0.13,1.446,1.446,5.81,5.98
0.154,0.154,308.67,121.36,0.027,0.027,67.19,101.17,0.024,0.024,0.12,0.12,1.363,1.363,5.47,5.63
0.144,0.144,240.78,109.25,0.027,0.027,67.55,102.0,0.015,0.015,0.07,0.07,1.455,1.455,5.84,6.02
0.164,0.164,411.16,134.55,0.057,0.057,81.44,137.37,0.045,0.045,0.23,0.23,1.452,1.452,5.83,6.01
0.154,0.154,308.49,121.34,0.037,0.037,73.36,115.85,0.022,0.022,0.11,0.11,1.24,1.24,4.98,5.11
0.154,0.154,308.88,121.4,0.027,0.027,67.24,101.3,0.014,0.014,0.07,0.07,1.373,1.373,5.51,5.67
