cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
4.103,4.103,29.71,25.87,0.046,0.046,51.38,69.14,3.722,3.722,67.93,102.86,0.292,0.292,1.0,1.01
5.551,5.551,47.08,38.11,0.042,0.042,46.54,60.65,4.951,4.951,67.08,100.94,0.547,0.547,1.88,1.9
1.262,1.262,6.97,7.22,0.009,0.009,17.48,19.16,1.449,1.449,106.57,69.53,0.548,0.548,1.88,1.9
3.038,3.038,20.25,18.39,0.043,0.043,47.33,62.01,2.569,2.569,58.92,83.53,0.594,0.594,2.04,2.06
1.019,1.019,6.33,6.13,0.009,0.009,15.28,16.54,1.03,1.03,31.5,37.39,0.354,0.354,1.22,1.23
1.707,1.707,10.73,10.19,0.039,0.039,43.64,55.81,1.297,1.297,38.48,47.65,0.605,0.605,2.08,2.1
0.637,0.637,3.56,3.62,0.008,0.008,20.6,18.68,0.45,0.45,27.3,24.02,0.306,0.306,1.05,1.06
6.051,6.051,50.17,40.11,0.029,0.029,36.84,45.16,5.292,5.292,73.7,116.7,0.918,0.918,3.15,3.21
0.656,0.656,4.0,3.92,0.001,0.001,2.26,2.23,0.275,0.275,9.03,9.46,0.486,0.486,1.67,1.69
0.389,0.389,2.12,2.15,0.003,0.003,6.62,6.4,0.925,0.925,82.61,58.46,0.861,0.861,2.97,3.01
1.198,1.198,7.11,6.86,0.002,0.002,3.61,3.67,0.728,0.728,28.31,32.98,0.689,0.689,2.37,2.4
0.689,0.689,3.98,3.9,0.001,0.001,1.68,1.67,0.16,0.16,7.47,7.76,0.88,0.88,3.02,3.07
0.01,0.01,0.06,0.06,0.001,0.001,2.45,2.42,0.537,0.537,39.48,32.97,1.029,1.029,3.53,3.6
6.415,6.415,53.95,42.49,0.039,0.039,43.28,55.23,5.575,5.575,75.54,121.39,1.132,1.132,3.89,3.97
1.5,1.5,9.46,9.04,0.01,0.01,20.3,22.59,0.788,0.788,22.38,25.2,0.658,0.658,2.26,2.29
0.032,0.032,0.18,0.18,0.003,0.003,6.23,6.04,0.569,0.569,39.53,33.01,0.935,0.935,3.23,3.28
0.244,0.244,1.36,1.35,0.031,0.031,38.74,48.05,0.266,0.266,16.96,15.64,0.698,0.698,2.41,2.44
0.269,0.269,1.47,1.48,0.025,0.025,35.33,42.9,0.65,0.65,57.06,44.4,0.456,0.456,1.57,1.58
5.545,5.545,43.8,35.93,0.033,0.033,40.88,51.37,4.915,4.915,73.69,116.69,0.648,0.648,2.23,2.26
2.695,2.695,18.26,16.73,0.027,0.027,39.08,48.57,1.856,1.856,40.8,51.26,0.747,0.747,2.58,2.61
1.316,1.316,6.88,7.12,0.005,0.005,9.54,9.1,1.727,1.727,392.44,132.48,0.825,0.825,2.84,2.88
0.255,0.255,1.42,1.41,0.023,0.023,32.5,38.8,0.261,0.261,18.1,16.6,0.749,0.749,2.57,2.61
2.322,2.322,14.72,13.71,0.014,0.014,22.68,25.58,1.895,1.895,51.36,69.11,0.6,0.6,2.06,2.08
4.212,4.212,30.68,26.6,0.026,0.026,32.66,39.04,3.366,3.366,61.31,88.4,1.0,1.0,3.44,3.5
1.034,1.034,6.24,6.05,0.001,0.001,2.45,2.48,0.601,0.601,20.09,22.33,0.852,0.852,2.92,2.96
4.831,4.831,36.43,30.82,0.011,0.011,27.02,23.81,4.167,4.167,68.66,104.55,0.929,0.929,3.19,3.24
1.522,1.522,7.98,8.31,0.006,0.006,15.34,14.25,2.145,2.145,487.43,141.81,1.127,1.127,3.86,3.94
1.399,1.399,8.33,8.0,0.034,0.034,42.72,54.32,0.974,0.974,36.61,44.81,0.687,0.687,2.35,2.38
2.949,2.949,19.96,18.15,0.014,0.014,24.06,27.35,2.68,2.68,58.26,82.21,0.463,0.463,1.59,1.6
7.923,7.923,80.6,57.45,0.007,0.007,10.92,11.55,7.041,7.041,75.79,122.03,0.935,0.935,3.2,3.25
0.131,0.131,0.76,0.77,0.05,0.05,71.02,110.13,0.923,0.923,39.78,33.18,0.869,0.869,2.98,3.02
0.579,0.579,3.18,3.23,0.003,0.003,5.56,5.71,0.618,0.618,48.25,38.87,0.524,0.524,1.79,1.81
0.221,0.221,1.25,1.24,0.023,0.023,33.51,40.25,0.071,0.071,3.99,3.91,0.583,0.583,2.0,2.02
2.518,2.518,16.45,15.2,0.006,0.006,14.48,13.5,2.257,2.257,54.78,75.44,0.529,0.529,1.81,1.83
1.656,1.656,10.21,9.71,0.007,0.007,13.65,12.77,0.938,0.938,29.5,34.61,1.247,1.247,4.27,4.36
