cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.208,0.208,16.89,15.58,0.068,0.068,10.44,9.92,0.448,0.448,2.49,2.52,0.979,0.979,3.56,3.5
0.275,0.275,16.45,17.93,0.143,0.143,25.06,22.27,0.342,0.342,1.98,1.96,0.482,0.482,1.75,1.74
0.351,0.351,32.79,28.17,0.27,0.27,61.38,46.97,0.458,0.458,2.54,2.58,0.671,0.671,2.43,2.4
0.228,0.228,14.06,15.13,0.22,0.22,45.76,37.24,0.303,0.303,1.75,1.74,0.345,0.345,1.26,1.25
0.304,0.304,27.38,24.08,0.236,0.236,51.28,40.81,0.494,0.494,2.74,2.78,0.566,0.566,2.06,2.04
0.31,0.31,17.74,19.46,0.073,0.073,9.89,10.41,0.191,0.191,1.11,1.1,0.219,0.219,0.8,0.79
0.51,0.51,26.4,30.42,0.178,0.178,20.21,22.48,0.314,0.314,1.82,1.8,0.777,0.777,2.83,2.8
0.354,0.354,19.86,22.05,0.074,0.074,9.37,9.83,0.292,0.292,1.69,1.68,0.929,0.929,3.39,3.34
0.226,0.226,13.7,14.71,0.169,0.169,30.67,26.59,0.342,0.342,1.99,1.97,0.822,0.822,2.99,2.94
0.179,0.179,11.16,11.82,0.105,0.105,17.21,15.85,0.295,0.295,1.71,1.69,0.801,0.801,2.91,2.87
0.399,0.399,21.94,24.64,0.013,0.013,1.89,1.87,0.281,0.281,1.62,1.61,0.785,0.785,2.85,2.81
0.227,0.227,18.89,17.26,0.044,0.044,6.5,6.3,0.446,0.446,2.48,2.51,0.843,0.843,3.06,3.02
0.097,0.097,6.52,6.74,0.17,0.17,31.52,27.23,0.289,0.289,1.67,1.65,0.43,0.43,1.56,1.55
0.104,0.104,7.94,7.63,0.227,0.227,47.22,38.2,0.458,0.458,2.54,2.58,0.667,0.667,2.42,2.39
0.391,0.391,21.99,24.7,0.209,0.209,22.99,25.98,0.301,0.301,1.74,1.73,0.2,0.2,0.73,0.72
0.38,0.38,35.81,30.37,0.233,0.233,48.52,39.05,0.494,0.494,2.74,2.78,0.975,0.975,3.55,3.48
0.274,0.274,16.51,18.0,0.171,0.171,32.28,27.8,0.285,0.285,1.65,1.64,0.265,0.265,0.97,0.96
0.055,0.055,4.03,3.95,0.133,0.133,23.33,20.89,0.468,0.468,2.6,2.63,0.644,0.644,2.34,2.31
0.239,0.239,14.64,15.8,0.087,0.087,10.97,11.61,0.243,0.243,1.4,1.39,0.254,0.254,0.92,0.92
0.399,0.399,38.69,32.42,0.288,0.288,68.55,51.05,0.473,0.473,2.63,2.66,0.827,0.827,3.01,2.96
0.222,0.222,13.71,14.72,0.068,0.068,8.92,9.34,0.247,0.247,1.43,1.42,0.24,0.24,0.87,0.87
0.347,0.347,19.6,21.73,0.151,0.151,17.55,19.24,0.257,0.257,1.49,1.47,0.777,0.777,2.83,2.79
0.167,0.167,10.43,11.0,0.106,0.106,17.41,16.01,0.274,0.274,1.58,1.57,0.817,0.817,2.96,2.92
0.196,0.196,15.93,14.76,0.121,0.121,20.45,18.56,0.513,0.513,2.84,2.88,0.726,0.726,2.63,2.6
0.261,0.261,15.73,17.08,0.1,0.1,16.46,15.21,0.281,0.281,1.62,1.61,0.417,0.417,1.51,1.5
0.322,0.322,18.4,20.27,0.009,0.009,1.26,1.25,0.259,0.259,1.5,1.49,0.748,0.748,2.71,2.67
0.262,0.262,22.38,20.13,0.18,0.18,33.91,28.99,0.443,0.443,2.46,2.49,0.786,0.786,2.85,2.81
0.323,0.323,18.78,20.72,0.107,0.107,13.24,14.18,0.264,0.264,1.53,1.51,0.328,0.328,1.19,1.18
0.398,0.398,38.26,32.11,0.303,0.303,73.87,53.95,0.512,0.512,2.84,2.88,0.868,0.868,3.15,3.1
0.268,0.268,16.16,17.58,0.092,0.092,11.6,12.31,0.28,0.28,1.62,1.61,0.227,0.227,0.82,0.82
0.093,0.093,6.96,6.72,0.249,0.249,54.13,42.6,0.516,0.516,2.86,2.9,0.796,0.796,2.88,2.84
0.224,0.224,13.85,14.88,0.15,0.15,27.33,24.04,0.26,0.26,1.5,1.49,0.288,0.288,1.04,1.04
0.198,0.198,12.25,13.04,0.069,0.069,11.0,10.43,0.254,0.254,1.47,1.46,0.595,0.595,2.16,2.13
0.136,0.136,10.54,10.01,0.044,0.044,5.89,6.06,0.516,0.516,2.86,2.9,0.799,0.799,2.91,2.86
0.516,0.516,27.02,31.24,0.162,0.162,18.62,20.53,0.272,0.272,1.57,1.56,0.416,0.416,1.51,1.5
0.332,0.332,18.76,20.71,0.027,0.027,3.98,3.9,0.291,0.291,1.69,1.67,0.871,0.871,3.16,3.11
0.258,0.258,21.89,19.73,0.166,0.166,30.15,26.2,0.444,0.444,2.47,2.5,0.885,0.885,3.21,3.16
0.221,0.221,13.67,14.67,0.11,0.11,18.31,16.77,0.28,0.28,1.62,1.6,0.511,0.511,1.86,1.84
0.13,0.13,10.05,9.57,0.24,0.24,50.98,40.63,0.438,0.438,2.43,2.46,0.655,0.655,2.37,2.34
0.253,0.253,15.36,16.64,0.029,0.029,4.26,4.17,0.275,0.275,1.59,1.58,0.283,0.283,1.02,1.02
0.226,0.226,18.86,17.24,0.094,0.094,15.37,14.28,0.471,0.471,2.62,2.65,0.682,0.682,2.47,2.44
0.211,0.211,13.09,14.01,0.123,0.123,21.14,19.12,0.271,0.271,1.57,1.56,0.349,0.349,1.26,1.26
0.324,0.324,29.42,25.65,0.173,0.173,32.64,28.06,0.48,0.48,2.66,2.7,0.751,0.751,2.73,2.7
0.241,0.241,14.79,15.97,0.041,0.041,6.16,5.97,0.29,0.29,1.68,1.66,0.204,0.204,0.74,0.74
0.264,0.264,15.59,16.91,0.135,0.135,23.61,21.12,0.251,0.251,1.45,1.44,0.692,0.692,2.51,2.48
0.074,0.074,5.48,5.34,0.224,0.224,46.74,37.88,0.467,0.467,2.59,2.63,0.664,0.664,2.4,2.38
0.243,0.243,14.84,16.03,0.081,0.081,10.45,11.02,0.265,0.265,1.53,1.52,0.28,0.28,1.01,1.01
0.227,0.227,13.69,14.69,0.11,0.11,13.4,14.36,0.297,0.297,1.72,1.71,0.898,0.898,3.26,3.21
0.3,0.3,17.32,18.96,0.206,0.206,22.34,25.16,0.282,0.282,1.63,1.62,0.783,0.783,2.84,2.8
0.411,0.411,22.09,24.83,0.18,0.18,20.04,22.27,0.303,0.303,1.76,1.74,0.993,0.993,3.6,3.53
0.062,0.062,4.41,4.31,0.143,0.143,24.66,21.96,0.453,0.453,2.52,2.55,1.109,1.109,4.02,3.94
0.314,0.314,18.25,20.08,0.144,0.144,16.74,18.27,0.317,0.317,1.83,1.82,0.535,0.535,1.94,1.92
0.231,0.231,18.94,17.3,0.029,0.029,4.22,4.13,0.491,0.491,2.72,2.76,1.022,1.022,3.7,3.64
0.094,0.094,6.3,6.5,0.054,0.054,8.21,7.89,0.292,0.292,1.69,1.68,0.517,0.517,1.87,1.86
0.4,0.4,38.84,32.52,0.381,0.381,115.38,73.17,0.488,0.488,2.71,2.74,0.783,0.783,2.84,2.8
0.202,0.202,12.59,13.44,0.112,0.112,19.39,17.67,0.254,0.254,1.47,1.46,0.091,0.091,0.33,0.33
0.2,0.2,16.28,15.05,0.198,0.198,39.59,33.05,0.521,0.521,2.89,2.93,0.696,0.696,2.52,2.49
0.247,0.247,14.78,15.96,0.069,0.069,9.26,9.71,0.166,0.166,0.96,0.95,0.245,0.245,0.89,0.88
0.424,0.424,22.91,25.87,0.148,0.148,17.35,19.0,0.226,0.226,1.31,1.3,0.657,0.657,2.38,2.35
0.319,0.319,18.12,19.92,0.265,0.265,27.05,31.29,0.29,0.29,1.68,1.67,0.901,0.901,3.26,3.21
0.215,0.215,17.34,15.96,0.071,0.071,10.96,10.39,0.52,0.52,2.88,2.92,1.145,1.145,4.16,4.08
0.123,0.123,8.1,8.44,0.148,0.148,25.93,22.95,0.293,0.293,1.69,1.68,0.531,0.531,1.93,1.91
0.46,0.46,47.88,38.63,0.323,0.323,82.71,58.51,0.47,0.47,2.61,2.64,0.676,0.676,2.45,2.42
0.166,0.166,10.63,11.23,0.024,0.024,3.4,3.46,0.253,0.253,1.47,1.45,0.197,0.197,0.71,0.71
0.146,0.146,11.43,10.81,0.253,0.253,56.24,43.9,0.513,0.513,2.84,2.88,0.775,0.775,2.82,2.78
0.322,0.322,18.52,20.42,0.219,0.219,24.34,27.71,0.207,0.207,1.2,1.19,0.247,0.247,0.9,0.89
0.087,0.087,6.48,6.27,0.029,0.029,3.89,3.97,0.482,0.482,2.67,2.71,0.816,0.816,2.97,2.92
0.222,0.222,13.72,14.73,0.006,0.006,0.84,0.84,0.312,0.312,1.81,1.79,0.511,0.511,1.86,1.84
0.154,0.154,9.73,10.23,0.194,0.194,37.25,31.4,0.285,0.285,1.65,1.64,0.842,0.842,3.06,3.02
0.407,0.407,40.27,33.52,0.251,0.251,54.51,42.84,0.471,0.471,2.61,2.65,0.63,0.63,2.28,2.26
0.309,0.309,18.16,19.97,0.009,0.009,1.34,1.33,0.253,0.253,1.46,1.45,0.229,0.229,0.83,0.83
0.392,0.392,21.55,24.15,0.064,0.064,8.32,8.68,0.262,0.262,1.52,1.51,0.717,0.717,2.6,2.56
0.396,0.396,21.63,24.26,0.17,0.17,19.3,21.36,0.266,0.266,1.54,1.53,0.803,0.803,2.91,2.87
