cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.166,0.166,166.16,90.76,0.038,0.038,76.47,55.32,0.679,0.679,3.42,3.48,0.187,0.187,0.72,0.71
0.205,0.205,341.39,126.12,0.008,0.008,9.92,9.45,0.695,0.695,3.5,3.56,0.299,0.299,1.14,1.14
0.216,0.216,431.52,136.66,0.008,0.008,9.9,9.43,0.701,0.701,3.53,3.59,0.144,0.144,0.55,0.55
0.218,0.218,436.43,137.15,0.048,0.048,121.12,75.43,0.752,0.752,3.78,3.85,0.192,0.192,0.73,0.73
0.207,0.207,414.72,134.93,0.007,0.007,9.16,8.76,0.672,0.672,3.38,3.44,0.198,0.198,0.76,0.75
0.233,0.233,775.46,158.99,0.028,0.028,46.92,38.01,0.752,0.752,3.77,3.85,0.204,0.204,0.78,0.77
0.186,0.186,265.86,114.14,0.027,0.027,45.75,37.24,0.68,0.68,3.42,3.48,0.199,0.199,0.76,0.76
0.187,0.187,267.0,114.35,0.048,0.048,118.91,74.57,0.721,0.721,3.62,3.69,0.207,0.207,0.79,0.79
0.19,0.19,316.4,122.54,0.017,0.017,24.0,21.43,0.668,0.668,3.36,3.42,0.203,0.203,0.77,0.77
0.094,0.094,58.8,45.44,0.013,0.013,12.58,13.42,0.536,0.536,2.72,2.76,0.204,0.204,0.78,0.78
0.213,0.213,354.82,127.9,0.049,0.049,122.95,76.14,0.769,0.769,3.86,3.94,0.218,0.218,0.83,0.83
0.209,0.209,418.11,135.29,0.017,0.017,24.79,22.06,0.685,0.685,3.45,3.51,0.191,0.191,0.73,0.73
0.214,0.214,428.26,136.33,0.048,0.048,120.18,75.07,0.745,0.745,3.74,3.81,0.197,0.197,0.75,0.75
0.196,0.196,326.86,124.08,0.027,0.027,45.4,37.0,0.69,0.69,3.47,3.53,0.201,0.201,0.77,0.76
0.217,0.217,543.24,146.18,0.028,0.028,45.97,37.38,0.732,0.732,3.67,3.74,0.207,0.207,0.79,0.79
0.203,0.203,405.5,133.94,0.017,0.017,24.6,21.9,0.674,0.674,3.39,3.45,0.204,0.204,0.78,0.77
0.194,0.194,323.65,123.61,0.057,0.057,191.56,97.85,0.736,0.736,3.69,3.76,0.21,0.21,0.8,0.8
0.195,0.195,389.45,132.14,0.004,0.004,4.09,4.18,0.649,0.649,3.27,3.32,0.203,0.203,0.78,0.77
0.206,0.206,411.44,134.58,0.038,0.038,75.52,54.82,0.729,0.729,3.66,3.73,0.207,0.207,0.79,0.79
0.201,0.201,401.63,133.51,0.007,0.007,8.67,8.31,0.65,0.65,3.28,3.33,0.201,0.201,0.77,0.76
0.218,0.218,545.48,146.34,0.028,0.028,46.35,37.63,0.744,0.744,3.73,3.8,0.204,0.204,0.78,0.77
0.075,0.075,41.67,34.48,0.007,0.007,9.15,8.75,0.528,0.528,2.68,2.72,0.197,0.197,0.75,0.75
0.233,0.233,582.47,148.88,0.039,0.039,77.93,56.08,0.759,0.759,3.81,3.88,0.217,0.217,0.83,0.82
0.171,0.171,189.91,97.41,0.028,0.028,45.98,37.38,0.669,0.669,3.37,3.43,0.192,0.192,0.73,0.73
0.215,0.215,430.54,136.56,0.048,0.048,120.26,75.1,0.756,0.756,3.79,3.87,0.204,0.204,0.78,0.77
0.216,0.216,539.89,145.94,0.003,0.003,3.08,3.13,0.669,0.669,3.37,3.43,0.201,0.201,0.77,0.76
