cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.396,0.396,7.55,7.27,0.036,0.036,3.78,3.71,0.512,0.512,3.71,3.78,0.444,0.444,2.72,2.69
0.404,0.404,7.76,7.47,0.001,0.001,0.13,0.13,0.477,0.477,3.46,3.52,0.487,0.487,3.0,2.96
0.415,0.415,7.96,7.65,0.01,0.01,1.04,1.05,0.494,0.494,3.58,3.65,0.498,0.498,3.07,3.03
0.467,0.467,9.02,8.63,0.005,0.005,0.5,0.5,0.532,0.532,3.86,3.93,0.719,0.719,4.49,4.4
0.453,0.453,8.73,8.37,0.006,0.006,0.6,0.6,0.522,0.522,3.78,3.86,0.575,0.575,3.57,3.51
0.419,0.419,8.04,7.73,0.046,0.046,4.8,4.69,0.523,0.523,3.79,3.86,0.801,0.801,5.03,4.91
0.415,0.415,8.01,7.71,0.018,0.018,1.75,1.77,0.453,0.453,3.29,3.34,0.54,0.54,3.36,3.31
0.451,0.451,8.68,8.32,0.004,0.004,0.44,0.45,0.524,0.524,3.8,3.87,0.881,0.881,5.57,5.42
0.433,0.433,8.29,7.96,0.004,0.004,0.44,0.44,0.512,0.512,3.72,3.79,0.644,0.644,4.02,3.94
0.484,0.484,9.36,8.94,0.012,0.012,1.19,1.2,0.538,0.538,3.9,3.98,1.05,1.05,6.7,6.49
0.487,0.487,9.42,8.99,0.011,0.011,1.16,1.15,0.561,0.561,4.06,4.14,0.953,0.953,6.08,5.9
0.485,0.485,9.42,9.0,0.0,0.0,0.01,0.01,0.543,0.543,3.93,4.0,0.963,0.963,6.16,5.97
0.484,0.484,9.41,8.99,0.041,0.041,4.32,4.23,0.592,0.592,4.26,4.36,0.219,0.219,1.34,1.33
0.421,0.421,8.19,7.87,0.026,0.026,2.71,2.67,0.508,0.508,3.66,3.73,0.377,0.377,2.31,2.29
0.371,0.371,7.13,6.88,0.048,0.048,5.08,4.95,0.488,0.488,3.53,3.59,0.317,0.317,1.94,1.92
0.373,0.373,7.18,6.94,0.007,0.007,0.73,0.73,0.461,0.461,3.34,3.4,0.386,0.386,2.37,2.34
0.447,0.447,8.66,8.3,0.032,0.032,3.14,3.19,0.5,0.5,3.62,3.69,0.551,0.551,3.42,3.36
0.479,0.479,9.25,8.84,0.002,0.002,0.22,0.22,0.573,0.573,4.14,4.23,0.562,0.562,3.47,3.41
0.443,0.443,8.55,8.19,0.014,0.014,1.43,1.44,0.514,0.514,3.72,3.79,0.76,0.76,4.77,4.66
0.477,0.477,9.23,8.82,0.032,0.032,3.35,3.3,0.562,0.562,4.06,4.15,0.608,0.608,3.78,3.71
0.417,0.417,8.07,7.75,0.007,0.007,0.68,0.68,0.496,0.496,3.58,3.65,0.752,0.752,4.73,4.63
0.423,0.423,8.13,7.81,0.011,0.011,1.1,1.1,0.505,0.505,3.66,3.73,0.58,0.58,3.61,3.55
0.467,0.467,9.05,8.66,0.042,0.042,4.02,4.1,0.49,0.49,3.55,3.62,0.797,0.797,5.02,4.9
0.482,0.482,9.25,8.85,0.03,0.03,2.92,2.96,0.515,0.515,3.75,3.82,0.882,0.882,5.57,5.42
0.517,0.517,9.94,9.47,0.01,0.01,0.96,0.97,0.586,0.586,4.26,4.35,1.479,1.479,9.69,9.24
0.511,0.511,9.85,9.39,0.016,0.016,1.59,1.58,0.616,0.616,4.45,4.56,0.549,0.549,3.42,3.37
0.462,0.462,8.95,8.57,0.048,0.048,5.03,4.91,0.579,0.579,4.17,4.26,0.265,0.265,1.61,1.6
0.372,0.372,7.17,6.92,0.057,0.057,6.18,6.0,0.495,0.495,3.57,3.64,0.199,0.199,1.21,1.2
0.377,0.377,7.29,7.03,0.056,0.056,5.97,5.8,0.494,0.494,3.56,3.63,0.324,0.324,1.98,1.96
0.364,0.364,7.02,6.78,0.013,0.013,1.35,1.35,0.436,0.436,3.16,3.21,0.402,0.402,2.48,2.45
0.394,0.394,7.57,7.3,0.006,0.006,0.57,0.56,0.472,0.472,3.42,3.48,0.449,0.449,2.77,2.73
0.432,0.432,8.34,8.0,0.016,0.016,1.68,1.67,0.515,0.515,3.73,3.8,0.681,0.681,4.26,4.17
0.382,0.382,7.3,7.04,0.087,0.087,9.67,9.22,0.529,0.529,3.82,3.89,0.532,0.532,3.3,3.25
0.252,0.252,4.77,4.66,0.073,0.073,8.02,7.71,0.404,0.404,2.93,2.97,0.661,0.661,4.16,4.07
0.334,0.334,6.39,6.19,0.014,0.014,1.48,1.47,0.421,0.421,3.06,3.1,0.487,0.487,3.03,2.99
0.434,0.434,8.37,8.03,0.027,0.027,2.64,2.68,0.47,0.47,3.41,3.47,0.817,0.817,5.16,5.03
0.475,0.475,9.15,8.75,0.01,0.01,1.0,1.0,0.527,0.527,3.83,3.9,0.661,0.661,4.13,4.05
0.444,0.444,8.52,8.17,0.034,0.034,3.57,3.51,0.544,0.544,3.95,4.02,1.106,1.106,7.09,6.85
0.407,0.407,7.82,7.53,0.047,0.047,4.98,4.86,0.525,0.525,3.79,3.86,0.9,0.9,5.75,5.59
0.428,0.428,8.29,7.96,0.055,0.055,5.9,5.73,0.563,0.563,4.05,4.13,0.911,0.911,5.83,5.66
0.393,0.393,7.6,7.32,0.036,0.036,3.76,3.69,0.476,0.476,3.44,3.5,0.429,0.429,2.67,2.64
0.39,0.39,7.52,7.25,0.023,0.023,2.44,2.41,0.455,0.455,3.3,3.35,0.471,0.471,2.92,2.88
0.392,0.392,7.53,7.25,0.01,0.01,1.0,0.99,0.466,0.466,3.38,3.44,0.489,0.489,3.03,2.98
0.468,0.468,9.07,8.67,0.045,0.045,4.33,4.43,0.495,0.495,3.59,3.66,0.566,0.566,3.51,3.45
0.509,0.509,9.83,9.37,0.013,0.013,1.34,1.33,0.601,0.601,4.35,4.45,0.797,0.797,4.99,4.87
0.443,0.443,8.56,8.21,0.038,0.038,3.97,3.89,0.535,0.535,3.87,3.94,0.622,0.622,3.88,3.8
0.349,0.349,6.67,6.46,0.08,0.08,8.76,8.39,0.495,0.495,3.58,3.64,0.794,0.794,5.02,4.9
0.28,0.28,5.3,5.17,0.057,0.057,6.19,6.0,0.402,0.402,2.92,2.96,0.513,0.513,3.2,3.15
0.347,0.347,6.63,6.42,0.064,0.064,6.98,6.74,0.476,0.476,3.44,3.5,0.778,0.778,4.92,4.8
0.386,0.386,7.45,7.18,0.017,0.017,1.78,1.77,0.476,0.476,3.44,3.5,0.476,0.476,2.97,2.92
0.419,0.419,8.1,7.78,0.017,0.017,1.71,1.7,0.505,0.505,3.65,3.72,0.75,0.75,4.72,4.62
0.416,0.416,8.0,7.69,0.049,0.049,5.18,5.05,0.535,0.535,3.86,3.94,0.813,0.813,5.15,5.02
0.373,0.373,7.17,6.92,0.03,0.03,3.09,3.04,0.458,0.458,3.32,3.37,1.308,1.308,8.58,8.22
0.506,0.506,9.9,9.43,0.025,0.025,2.55,2.51,0.585,0.585,4.21,4.3,0.509,0.509,3.19,3.14
0.418,0.418,8.11,7.79,0.054,0.054,5.85,5.68,0.533,0.533,3.84,3.91,0.158,0.158,0.96,0.96
0.362,0.362,6.99,6.76,0.002,0.002,0.24,0.24,0.451,0.451,3.26,3.31,0.174,0.174,1.05,1.05
0.432,0.432,8.34,8.01,0.017,0.017,1.77,1.76,0.531,0.531,3.84,3.92,0.345,0.345,2.11,2.09
0.414,0.414,7.99,7.68,0.012,0.012,1.17,1.18,0.483,0.483,3.5,3.57,0.455,0.455,2.8,2.76
0.42,0.42,8.05,7.74,0.025,0.025,2.52,2.49,0.513,0.513,3.72,3.79,0.493,0.493,3.04,2.99
0.413,0.413,7.95,7.65,0.019,0.019,1.91,1.92,0.467,0.467,3.39,3.45,0.765,0.765,4.81,4.69
0.499,0.499,9.68,9.24,0.053,0.053,5.01,5.14,0.508,0.508,3.69,3.76,0.62,0.62,3.86,3.79
0.516,0.516,9.95,9.48,0.016,0.016,1.63,1.62,0.607,0.607,4.4,4.5,0.951,0.951,6.01,5.83
0.431,0.431,8.29,7.96,0.033,0.033,3.48,3.42,0.536,0.536,3.87,3.95,0.871,0.871,5.53,5.38
0.435,0.435,8.41,8.07,0.014,0.014,1.42,1.41,0.512,0.512,3.7,3.77,1.4,1.4,9.22,8.82
0.47,0.47,9.11,8.71,0.021,0.021,2.2,2.18,0.57,0.57,4.11,4.2,0.5,0.5,3.12,3.08
0.427,0.427,8.26,7.93,0.019,0.019,1.92,1.94,0.489,0.489,3.54,3.61,0.529,0.529,3.29,3.24
0.489,0.489,9.48,9.05,0.031,0.031,2.99,3.04,0.534,0.534,3.87,3.95,0.667,0.667,4.16,4.07
0.502,0.502,9.71,9.26,0.022,0.022,2.13,2.15,0.544,0.544,3.95,4.03,0.63,0.63,3.91,3.84
0.469,0.469,9.02,8.63,0.006,0.006,0.58,0.59,0.541,0.541,3.93,4.01,0.886,0.886,5.59,5.44
0.501,0.501,9.72,9.27,0.036,0.036,3.46,3.52,0.528,0.528,3.83,3.9,0.646,0.646,4.03,3.95
0.507,0.507,9.82,9.36,0.035,0.035,3.34,3.4,0.541,0.541,3.93,4.01,0.931,0.931,5.89,5.72
0.497,0.497,9.56,9.13,0.055,0.055,5.22,5.36,0.508,0.508,3.7,3.77,0.762,0.762,4.78,4.66
0.53,0.53,10.14,9.65,0.02,0.02,1.98,2.0,0.613,0.613,4.47,4.57,1.495,1.495,9.75,9.3
0.65,0.65,12.76,12.0,0.056,0.056,5.25,5.39,0.704,0.704,5.09,5.22,0.636,0.636,3.97,3.9
0.507,0.507,9.77,9.31,0.03,0.03,3.04,3.0,0.608,0.608,4.4,4.5,0.673,0.673,4.18,4.1
0.427,0.427,8.22,7.9,0.005,0.005,0.52,0.52,0.481,0.481,3.49,3.55,0.477,0.477,2.94,2.9
0.464,0.464,8.95,8.57,0.016,0.016,1.55,1.57,0.506,0.506,3.67,3.74,0.53,0.53,3.27,3.22
0.435,0.435,8.33,7.99,0.013,0.013,1.31,1.3,0.508,0.508,3.69,3.76,0.741,0.741,4.63,4.53
0.376,0.376,7.16,6.91,0.037,0.037,3.86,3.78,0.483,0.483,3.51,3.57,0.575,0.575,3.57,3.51
0.382,0.382,7.31,7.05,0.002,0.002,0.23,0.23,0.454,0.454,3.3,3.35,0.807,0.807,5.09,4.96
0.477,0.477,9.22,8.81,0.035,0.035,3.42,3.48,0.504,0.504,3.66,3.73,0.579,0.579,3.6,3.54
0.512,0.512,9.9,9.44,0.028,0.028,2.73,2.77,0.543,0.543,3.94,4.02,1.367,1.367,8.88,8.5
0.563,0.563,10.95,10.38,0.02,0.02,2.02,2.0,0.679,0.679,4.89,5.01,0.567,0.567,3.54,3.47
0.396,0.396,7.62,7.34,0.035,0.035,3.7,3.63,0.469,0.469,3.4,3.46,0.534,0.534,3.31,3.26
0.397,0.397,7.63,7.35,0.018,0.018,1.75,1.76,0.447,0.447,3.24,3.3,0.437,0.437,2.7,2.66
0.455,0.455,8.73,8.37,0.002,0.002,0.22,0.22,0.52,0.52,3.77,3.85,0.545,0.545,3.36,3.31
0.483,0.483,9.36,8.94,0.057,0.057,5.37,5.52,0.492,0.492,3.58,3.64,0.771,0.771,4.83,4.72
0.516,0.516,9.92,9.46,0.005,0.005,0.48,0.48,0.587,0.587,4.27,4.36,0.696,0.696,4.33,4.24
0.445,0.445,8.55,8.2,0.026,0.026,2.58,2.61,0.504,0.504,3.67,3.73,0.891,0.891,5.62,5.47
0.505,0.505,9.75,9.29,0.026,0.026,2.51,2.54,0.541,0.541,3.93,4.01,0.692,0.692,4.32,4.23
0.498,0.498,9.61,9.17,0.046,0.046,4.38,4.48,0.523,0.523,3.8,3.88,1.094,1.094,6.98,6.75
0.584,0.584,11.33,10.72,0.037,0.037,3.49,3.56,0.632,0.632,4.59,4.7,1.049,1.049,6.69,6.47
0.593,0.593,11.58,10.94,0.018,0.018,1.83,1.81,0.708,0.708,5.1,5.23,1.08,1.08,6.91,6.68
0.443,0.443,8.58,8.23,0.026,0.026,2.67,2.63,0.527,0.527,3.81,3.88,0.457,0.457,2.84,2.8
0.385,0.385,7.39,7.13,0.038,0.038,4.04,3.96,0.484,0.484,3.51,3.57,0.498,0.498,3.08,3.04
0.361,0.361,6.89,6.66,0.024,0.024,2.5,2.47,0.434,0.434,3.15,3.2,0.575,0.575,3.58,3.51
0.363,0.363,6.89,6.66,0.076,0.076,8.3,7.97,0.506,0.506,3.66,3.73,0.533,0.533,3.3,3.25
0.327,0.327,6.24,6.05,0.025,0.025,2.63,2.6,0.416,0.416,3.02,3.07,0.674,0.674,4.24,4.15
0.385,0.385,7.37,7.11,0.046,0.046,4.88,4.77,0.494,0.494,3.58,3.64,0.545,0.545,3.4,3.34
0.424,0.424,8.21,7.89,0.005,0.005,0.54,0.54,0.495,0.495,3.58,3.65,0.728,0.728,4.59,4.48
0.057,0.057,1.0,1.01,0.085,0.085,7.92,8.24,0.133,0.133,1.01,1.0,0.769,0.769,4.85,4.74
1.105,1.105,14.66,15.82,0.916,0.916,45.63,59.11,2.3,2.3,23.63,21.13,1.877,1.877,9.74,10.24
0.656,0.656,6.55,6.34,0.263,0.263,11.7,12.43,1.509,1.509,20.88,23.31,0.213,0.213,0.91,0.91
1.925,1.925,19.56,17.82,0.349,0.349,13.97,15.02,1.601,1.601,25.78,29.6,0.174,0.174,0.69,0.69
1.795,1.795,16.87,15.56,0.195,0.195,7.99,8.32,1.857,1.857,31.29,37.09,0.023,0.023,0.09,0.09
0.455,0.455,3.77,3.7,0.229,0.229,9.25,9.7,0.734,0.734,15.18,16.43,0.421,0.421,1.53,1.54
0.571,0.571,4.7,4.59,0.077,0.077,3.54,3.48,1.094,1.094,21.14,23.64,0.688,0.688,2.44,2.47
0.836,0.836,6.84,7.08,0.059,0.059,2.76,2.8,0.157,0.157,3.03,3.08,1.951,1.951,6.76,6.99
0.914,0.914,8.35,8.01,0.18,0.18,9.13,8.73,1.787,1.787,27.63,32.06,1.742,1.742,5.99,6.17
1.022,1.022,10.95,10.38,0.038,0.038,2.08,2.05,2.301,2.301,27.51,31.9,1.743,1.743,6.05,6.24
1.228,1.228,14.65,13.65,0.161,0.161,8.57,8.95,2.563,2.563,27.25,31.55,1.026,1.026,3.66,3.73
0.9,0.9,10.83,10.27,0.126,0.126,7.12,7.38,2.403,2.403,24.92,28.46,0.87,0.87,3.15,3.2
1.188,1.188,15.27,14.19,0.108,0.108,6.35,6.56,2.822,2.822,27.31,31.63,0.794,0.794,2.9,2.95
1.147,1.147,15.83,14.66,0.148,0.148,8.95,9.36,2.387,2.387,22.01,24.73,0.77,0.77,2.82,2.86
1.167,1.167,16.94,15.62,0.104,0.104,6.7,6.94,2.253,2.253,19.8,21.97,0.642,0.642,2.36,2.38
0.753,0.753,10.86,10.3,0.102,0.102,6.84,7.08,1.561,1.561,13.67,14.67,0.483,0.483,1.77,1.79
0.64,0.64,9.21,8.8,0.086,0.086,5.92,6.1,1.015,1.015,9.16,9.6,0.43,0.43,1.58,1.6
0.786,0.786,11.5,10.87,0.047,0.047,3.31,3.36,1.44,1.44,12.6,13.45,0.43,0.43,1.58,1.6
0.923,0.923,14.1,13.17,0.064,0.064,4.55,4.66,1.526,1.526,12.94,13.84,0.361,0.361,1.34,1.34
0.745,0.745,11.44,10.82,0.068,0.068,4.93,5.06,1.254,1.254,10.55,11.13,0.276,0.276,1.02,1.03
0.508,0.508,7.64,7.36,0.116,0.116,8.25,8.6,0.913,0.913,7.78,8.1,0.252,0.252,0.93,0.94
0.724,0.724,11.03,10.46,0.015,0.015,1.12,1.12,1.262,1.262,10.64,11.24,0.328,0.328,1.21,1.22
0.828,0.828,10.44,11.02,0.389,0.389,23.34,26.42,0.72,0.72,7.07,6.83,0.455,0.455,1.67,1.69
1.156,1.156,15.75,14.6,0.081,0.081,4.99,5.12,2.618,2.618,23.95,27.21,0.875,0.875,3.22,3.27
1.193,1.193,17.55,16.14,0.031,0.031,2.09,2.11,2.33,2.33,20.08,22.32,0.657,0.657,2.42,2.45
1.188,1.188,18.67,17.08,0.055,0.055,3.86,3.93,1.982,1.982,16.37,17.83,0.41,0.41,1.51,1.52
0.734,0.734,11.56,10.93,0.128,0.128,9.11,9.54,1.272,1.272,10.42,11.0,0.226,0.226,0.83,0.84
0.894,0.894,14.58,13.59,0.021,0.021,1.65,1.67,1.387,1.387,11.18,11.84,0.28,0.28,1.03,1.04
0.697,0.697,11.5,10.88,0.0,0.0,0.02,0.02,1.076,1.076,8.6,8.98,0.158,0.158,0.58,0.58
0.381,0.381,6.13,5.95,0.065,0.065,5.21,5.35,0.645,0.645,5.23,5.37,0.112,0.112,0.41,0.41
0.655,0.655,10.82,10.26,0.019,0.019,1.54,1.55,0.986,0.986,7.89,8.21,0.187,0.187,0.69,0.69
0.486,0.486,7.92,7.62,0.069,0.069,5.46,5.61,0.692,0.692,5.62,5.78,0.191,0.191,0.7,0.7
0.587,0.587,9.57,9.14,0.058,0.058,5.07,4.94,0.91,0.91,7.34,7.62,0.261,0.261,0.96,0.96
0.517,0.517,8.59,8.24,0.038,0.038,3.33,3.27,0.766,0.766,6.11,6.31,0.175,0.175,0.64,0.64
0.493,0.493,8.32,7.99,0.04,0.04,3.56,3.5,0.726,0.726,5.74,5.91,0.118,0.118,0.43,0.43
0.339,0.339,5.67,5.52,0.041,0.041,3.76,3.69,0.394,0.394,3.16,3.21,0.07,0.07,0.25,0.25
0.345,0.345,5.78,5.61,0.093,0.093,8.91,8.53,0.465,0.465,3.71,3.78,0.052,0.052,0.19,0.19
0.357,0.357,6.08,5.9,0.131,0.131,13.27,12.45,0.434,0.434,3.44,3.5,0.028,0.028,0.1,0.1
0.242,0.242,4.13,4.05,0.074,0.074,7.24,6.99,0.18,0.18,1.44,1.45,0.014,0.014,0.05,0.05
0.302,0.302,5.19,5.06,0.124,0.124,12.7,11.94,0.234,0.234,1.86,1.88,0.019,0.019,0.07,0.07
0.251,0.251,4.32,4.22,0.104,0.104,10.64,10.1,0.224,0.224,1.77,1.79,0.025,0.025,0.09,0.09
0.236,0.236,4.05,3.97,0.109,0.109,11.18,10.58,0.206,0.206,1.63,1.64,0.011,0.011,0.04,0.04
0.181,0.181,3.08,3.04,0.101,0.101,10.28,9.77,0.173,0.173,1.38,1.39,0.011,0.011,0.04,0.04
0.152,0.152,2.57,2.53,0.047,0.047,4.5,4.41,0.138,0.138,1.1,1.11,0.002,0.002,0.01,0.01
0.356,0.356,6.11,5.92,0.103,0.103,10.19,9.7,0.369,0.369,2.92,2.97,0.028,0.028,0.1,0.1
0.357,0.357,6.21,6.02,0.095,0.095,9.56,9.12,0.24,0.24,1.91,1.93,0.043,0.043,0.16,0.16
0.255,0.255,4.39,4.3,0.108,0.108,11.06,10.48,0.23,0.23,1.82,1.83,0.048,0.048,0.17,0.17
0.231,0.231,3.96,3.88,0.119,0.119,12.38,11.66,0.262,0.262,2.07,2.09,0.028,0.028,0.1,0.1
0.189,0.189,3.24,3.19,0.062,0.062,6.09,5.91,0.242,0.242,1.91,1.93,0.011,0.011,0.04,0.04
0.269,0.269,4.62,4.52,0.007,0.007,0.68,0.67,0.282,0.282,2.23,2.26,0.008,0.008,0.03,0.03
0.433,0.433,7.53,7.26,0.053,0.053,4.97,4.85,0.449,0.449,3.54,3.6,0.019,0.019,0.07,0.07
0.365,0.365,6.34,6.14,0.081,0.081,7.94,7.64,0.404,0.404,3.18,3.23,0.022,0.022,0.08,0.08
0.332,0.332,5.78,5.62,0.025,0.025,2.36,2.34,0.323,0.323,2.54,2.58,0.029,0.029,0.11,0.11
