cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
18.616,18.616,98.17,192.8,0.047,0.047,69.45,51.55,0.12,0.12,21.64,19.53,0.869,0.869,5.83,6.0
18.744,18.744,98.18,192.85,0.056,0.056,95.23,64.51,0.147,0.147,27.84,24.44,0.819,0.819,5.51,5.67
17.958,17.958,98.1,192.54,0.031,0.031,36.27,30.7,0.32,0.32,32.2,38.38,0.844,0.844,5.67,5.84
18.02,18.02,98.11,192.57,0.043,0.043,59.36,45.77,0.298,0.298,30.69,36.25,0.856,0.856,5.75,5.92
18.261,18.261,98.13,192.66,0.044,0.044,61.87,47.25,0.152,0.152,18.45,20.32,0.862,0.862,5.79,5.96
18.237,18.237,98.13,192.65,0.04,0.04,52.36,41.5,0.124,0.124,15.59,16.91,0.865,0.865,5.81,5.98
18.175,18.175,98.12,192.63,0.032,0.032,39.07,32.69,0.18,0.18,21.13,23.63,0.867,0.867,5.82,5.99
17.898,17.898,98.09,192.52,0.034,0.034,41.45,34.33,0.323,0.323,32.45,38.73,0.868,0.868,5.82,6.0
18.365,18.365,98.14,192.7,0.049,0.049,75.24,54.67,0.015,0.015,2.18,2.2,0.868,0.868,5.83,6.0
17.944,17.944,98.1,192.54,0.047,0.047,69.68,51.68,0.246,0.246,26.73,30.86,0.868,0.868,5.83,6.0
18.408,18.408,98.15,192.72,0.051,0.051,80.1,57.19,0.026,0.026,3.73,3.81,0.868,0.868,5.83,6.0
18.115,18.115,98.12,192.61,0.038,0.038,49.59,39.74,0.206,0.206,23.45,26.56,0.869,0.869,5.83,6.0
18.079,18.079,98.11,192.59,0.027,0.027,30.11,26.17,0.286,0.286,29.84,35.07,0.869,0.869,5.83,6.0
18.441,18.441,98.15,192.73,0.036,0.036,45.29,36.93,0.061,0.061,8.36,8.73,0.869,0.869,5.83,6.0
18.551,18.551,98.16,192.77,0.046,0.046,65.36,49.26,0.106,0.106,18.68,17.09,0.869,0.869,5.83,6.0
17.982,17.982,98.1,192.55,0.04,0.04,53.89,42.45,0.21,0.21,23.79,27.0,0.869,0.869,5.83,6.0
18.207,18.207,98.13,192.64,0.038,0.038,48.73,39.18,0.093,0.093,12.18,12.96,0.869,0.869,5.83,6.0
18.095,18.095,98.11,192.6,0.036,0.036,46.28,37.58,0.15,0.15,18.21,20.03,0.869,0.869,5.83,6.0
18.369,18.369,98.14,192.71,0.021,0.021,22.02,19.84,0.017,0.017,2.56,2.52,0.869,0.869,5.83,6.0
17.86,17.86,98.09,192.51,0.018,0.018,18.47,16.91,0.27,0.27,28.61,33.38,0.869,0.869,5.83,6.0
18.071,18.071,98.11,192.59,0.032,0.032,37.73,31.74,0.208,0.208,23.61,26.77,0.869,0.869,5.83,6.0
18.117,18.117,98.12,192.61,0.048,0.048,72.36,53.14,0.197,0.197,22.66,25.56,0.869,0.869,5.83,6.0
18.58,18.58,98.16,192.79,0.057,0.057,97.14,65.39,0.103,0.103,18.07,16.57,0.869,0.869,5.83,6.0
18.066,18.066,98.11,192.59,0.051,0.051,79.33,56.8,0.172,0.172,20.32,22.61,0.869,0.869,5.83,6.0
18.094,18.094,98.11,192.6,0.048,0.048,71.58,52.71,0.154,0.154,18.62,20.53,0.869,0.869,5.83,6.0
18.318,18.318,98.14,192.69,0.032,0.032,37.79,31.79,0.005,0.005,0.78,0.78,0.869,0.869,5.83,6.0
18.71,18.71,98.18,192.83,0.043,0.043,60.4,46.39,0.229,0.229,51.55,40.99,0.869,0.869,5.83,6.0
17.836,17.836,98.09,192.5,0.029,0.029,34.04,29.09,0.324,0.324,32.46,38.75,0.919,0.919,6.14,6.34
17.899,17.899,98.09,192.52,0.032,0.032,38.8,32.5,0.255,0.255,27.47,31.85,0.894,0.894,5.99,6.17
18.171,18.171,98.12,192.63,0.039,0.039,50.55,40.35,0.186,0.186,21.62,24.24,0.881,0.881,5.91,6.09
18.447,18.447,98.15,192.74,0.042,0.042,57.2,44.48,0.026,0.026,3.74,3.81,0.875,0.875,5.87,6.05
18.389,18.389,98.14,192.71,0.039,0.039,50.26,40.17,0.056,0.056,7.72,8.03,0.872,0.872,5.85,6.03
18.206,18.206,98.13,192.64,0.037,0.037,47.02,38.07,0.136,0.136,16.84,18.39,0.87,0.87,5.84,6.01
18.374,18.374,98.14,192.71,0.056,0.056,94.62,64.23,0.016,0.016,2.39,2.41,0.869,0.869,5.83,6.01
18.078,18.078,98.11,192.59,0.046,0.046,65.47,49.32,0.181,0.181,21.23,23.75,0.869,0.869,5.83,6.01
18.17,18.17,98.12,192.63,0.04,0.04,53.94,42.48,0.134,0.134,16.59,18.09,0.869,0.869,5.83,6.01
17.861,17.861,98.09,192.51,0.048,0.048,70.82,52.3,0.305,0.305,31.19,36.95,0.869,0.869,5.83,6.0
18.157,18.157,98.12,192.62,0.046,0.046,67.59,50.51,0.111,0.111,14.14,15.21,0.869,0.869,5.83,6.0
18.045,18.045,98.11,192.58,0.026,0.026,28.85,25.21,0.159,0.159,19.07,21.08,0.869,0.869,5.83,6.0
17.743,17.743,98.08,192.46,0.03,0.03,35.96,30.48,0.378,0.378,35.92,43.79,0.869,0.869,5.83,6.0
17.968,17.968,98.1,192.55,0.033,0.033,39.82,33.21,0.267,0.267,28.39,33.09,0.869,0.869,5.83,6.0
18.33,18.33,98.14,192.69,0.034,0.034,41.84,34.6,0.062,0.062,8.4,8.77,0.869,0.869,5.83,6.0
18.371,18.371,98.14,192.71,0.045,0.045,63.1,47.97,0.069,0.069,9.31,9.76,0.819,0.819,5.51,5.67
18.152,18.152,98.12,192.62,0.04,0.04,52.91,41.84,0.183,0.183,21.35,23.9,0.794,0.794,5.35,5.5
18.067,18.067,98.11,192.59,0.037,0.037,48.27,38.89,0.24,0.24,26.25,30.21,0.781,0.781,5.27,5.42
17.96,17.96,98.1,192.55,0.041,0.041,55.95,43.72,0.278,0.278,29.22,34.22,0.825,0.825,5.55,5.71
18.316,18.316,98.14,192.69,0.048,0.048,72.06,52.97,0.097,0.097,12.62,13.47,0.847,0.847,5.69,5.86
18.374,18.374,98.14,192.71,0.052,0.052,81.43,57.87,0.062,0.062,8.42,8.79,0.858,0.858,5.76,5.93
18.218,18.218,98.13,192.65,0.043,0.043,60.5,46.45,0.134,0.134,16.61,18.12,0.863,0.863,5.79,5.97
