cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.336,0.336,28.44,24.9,0.198,0.198,36.62,30.95,0.21,0.21,1.17,1.18,0.248,0.248,1.63,1.62
0.118,0.118,8.45,8.11,0.157,0.157,28.8,25.18,0.102,0.102,0.58,0.58,0.138,0.138,0.91,0.91
0.343,0.343,28.94,25.28,0.257,0.257,57.32,44.55,0.264,0.264,1.47,1.48,0.183,0.183,1.2,1.19
0.126,0.126,8.95,8.56,0.113,0.113,19.88,18.08,0.058,0.058,0.33,0.33,0.116,0.116,0.76,0.76
0.306,0.306,24.84,22.1,0.246,0.246,53.47,42.19,0.275,0.275,1.53,1.54,0.193,0.193,1.27,1.26
0.118,0.118,8.32,7.99,0.015,0.015,2.08,2.1,0.028,0.028,0.16,0.16,0.177,0.177,1.17,1.16
0.148,0.148,10.68,10.14,0.073,0.073,11.13,10.54,0.252,0.252,1.41,1.42,0.303,0.303,2.01,1.99
0.04,0.04,2.55,2.58,0.027,0.027,3.88,3.81,0.096,0.096,0.54,0.54,0.28,0.28,1.86,1.84
0.153,0.153,11.11,10.52,0.087,0.087,13.45,12.61,0.219,0.219,1.22,1.23,0.333,0.333,2.21,2.18
0.019,0.019,1.29,1.28,0.105,0.105,16.89,15.57,0.117,0.117,0.66,0.66,0.282,0.282,1.87,1.85
0.287,0.287,23.21,20.8,0.221,0.221,44.19,36.19,0.231,0.231,1.29,1.3,0.301,0.301,1.99,1.97
0.095,0.095,6.69,6.47,0.127,0.127,22.52,20.24,0.08,0.08,0.45,0.45,0.218,0.218,1.44,1.43
0.221,0.221,16.83,15.52,0.212,0.212,43.08,35.44,0.164,0.164,0.92,0.92,0.276,0.276,1.83,1.81
0.061,0.061,4.17,4.09,0.144,0.144,26.45,23.36,0.077,0.077,0.43,0.43,0.235,0.235,1.56,1.54
0.297,0.297,23.87,21.32,0.215,0.215,44.02,36.08,0.278,0.278,1.55,1.56,0.283,0.283,1.88,1.86
0.079,0.079,5.46,5.31,0.124,0.124,22.03,19.84,0.08,0.08,0.45,0.45,0.22,0.22,1.46,1.45
0.346,0.346,28.93,25.28,0.209,0.209,42.1,34.78,0.279,0.279,1.56,1.57,0.284,0.284,1.88,1.86
0.106,0.106,7.45,7.18,0.162,0.162,30.56,26.51,0.053,0.053,0.3,0.3,0.214,0.214,1.41,1.4
0.357,0.357,30.12,26.18,0.267,0.267,61.48,47.02,0.304,0.304,1.69,1.71,0.267,0.267,1.77,1.75
0.163,0.163,11.85,11.19,0.167,0.167,32.57,28.01,0.001,0.001,0.0,0.0,0.194,0.194,1.28,1.28
0.39,0.39,33.7,28.84,0.27,0.27,63.48,48.19,0.321,0.321,1.79,1.8,0.252,0.252,1.67,1.66
0.189,0.189,14.03,13.11,0.219,0.219,47.76,38.55,0.013,0.013,0.07,0.07,0.186,0.186,1.23,1.22
0.104,0.104,7.2,6.95,0.183,0.183,36.37,30.78,0.134,0.134,0.77,0.77,0.233,0.233,1.54,1.53
0.4,0.4,34.52,29.44,0.294,0.294,72.24,53.07,0.276,0.276,1.54,1.56,0.279,0.279,1.85,1.83
0.211,0.211,15.82,14.66,0.153,0.153,29.23,25.5,0.06,0.06,0.34,0.34,0.192,0.192,1.27,1.27
0.424,0.424,37.61,31.66,0.269,0.269,62.24,47.47,0.293,0.293,1.63,1.65,0.208,0.208,1.37,1.37
0.182,0.182,13.41,12.57,0.192,0.192,39.05,32.67,0.008,0.008,0.04,0.04,0.118,0.118,0.78,0.78
0.428,0.428,38.07,31.98,0.263,0.263,60.49,46.44,0.315,0.315,1.75,1.77,0.167,0.167,1.1,1.1
0.203,0.203,15.15,14.09,0.202,0.202,41.75,34.54,0.041,0.041,0.23,0.23,0.152,0.152,1.0,1.0
0.368,0.368,31.13,26.94,0.215,0.215,44.68,36.52,0.305,0.305,1.7,1.72,0.227,0.227,1.5,1.49
0.13,0.13,9.23,8.83,0.016,0.016,2.43,2.4,0.028,0.028,0.16,0.16,0.197,0.197,1.3,1.3
0.152,0.152,10.98,10.41,0.058,0.058,8.65,8.3,0.256,0.256,1.43,1.44,0.302,0.302,2.0,1.98
0.066,0.066,4.17,4.25,0.032,0.032,4.2,4.29,0.065,0.065,0.37,0.37,0.289,0.289,1.91,1.9
0.192,0.192,14.4,13.43,0.131,0.131,20.98,18.99,0.216,0.216,1.21,1.21,0.362,0.362,2.4,2.37
0.004,0.004,0.29,0.29,0.064,0.064,9.66,9.21,0.12,0.12,0.68,0.68,0.265,0.265,1.75,1.74
0.264,0.264,21.05,19.04,0.251,0.251,52.23,41.41,0.219,0.219,1.22,1.23,0.315,0.315,2.09,2.07
0.099,0.099,6.95,6.72,0.218,0.218,45.87,37.31,0.042,0.042,0.24,0.24,0.214,0.214,1.42,1.41
0.269,0.269,21.2,19.16,0.244,0.244,54.39,42.76,0.189,0.189,1.06,1.06,0.248,0.248,1.64,1.63
0.413,0.413,36.7,31.01,0.257,0.257,60.64,46.53,0.405,0.405,2.24,2.27,0.217,0.217,1.44,1.43
0.123,0.123,8.75,8.38,0.093,0.093,16.07,14.88,0.026,0.026,0.15,0.15,0.172,0.172,1.14,1.13
0.154,0.154,11.15,10.56,0.055,0.055,8.52,8.17,0.304,0.304,1.69,1.71,0.269,0.269,1.78,1.76
0.061,0.061,3.84,3.91,0.024,0.024,3.26,3.31,0.063,0.063,0.36,0.36,0.278,0.278,1.84,1.82
0.226,0.226,17.39,16.0,0.142,0.142,23.53,21.06,0.234,0.234,1.3,1.31,0.353,0.353,2.34,2.31
