cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.556,0.556,3.06,3.01,0.017,0.017,24.12,21.53,0.328,0.328,38.6,32.36,0.331,0.331,1.92,1.9
0.233,0.233,1.23,1.24,0.003,0.003,2.91,2.95,0.865,0.865,254.4,111.97,0.327,0.327,1.9,1.88
0.646,0.646,3.58,3.52,0.018,0.018,25.27,22.43,0.427,0.427,56.15,43.84,0.335,0.335,1.95,1.93
0.455,0.455,2.38,2.41,0.008,0.008,9.96,9.49,0.89,0.89,278.06,116.33,0.329,0.329,1.91,1.9
0.495,0.495,2.73,2.69,0.008,0.008,9.78,9.32,0.529,0.529,80.17,57.23,0.334,0.334,1.94,1.92
0.316,0.316,1.67,1.68,0.038,0.038,76.26,55.21,0.835,0.835,225.55,106.0,0.332,0.332,1.93,1.91
0.469,0.469,2.58,2.55,0.008,0.008,9.65,9.2,0.48,0.48,67.62,50.53,0.33,0.33,1.92,1.9
0.212,0.212,1.15,1.15,0.018,0.018,25.85,22.89,0.447,0.447,58.77,45.42,0.329,0.329,1.91,1.89
0.677,0.677,3.51,3.58,0.058,0.058,193.75,98.41,0.838,0.838,220.55,104.89,0.325,0.325,1.89,1.87
0.658,0.658,3.65,3.58,0.007,0.007,9.18,8.77,0.264,0.264,28.4,24.87,0.225,0.225,1.3,1.29
0.361,0.361,1.9,1.92,0.008,0.008,10.03,9.55,0.739,0.739,153.86,86.96,0.326,0.326,1.9,1.88
0.249,0.249,1.32,1.33,0.008,0.008,9.95,9.48,0.684,0.684,131.53,79.35,0.33,0.33,1.92,1.9
0.751,0.751,3.87,3.95,0.028,0.028,46.46,37.7,0.826,0.826,223.31,105.51,0.332,0.332,1.93,1.91
0.032,0.032,0.17,0.17,0.007,0.007,9.26,8.85,0.576,0.576,95.95,64.84,0.333,0.333,1.94,1.92
0.181,0.181,0.96,0.96,0.038,0.038,75.18,54.64,0.769,0.769,187.47,96.77,0.335,0.335,1.95,1.93
0.145,0.145,0.77,0.77,0.007,0.007,9.2,8.8,0.77,0.77,192.51,98.09,0.234,0.234,1.35,1.34
0.401,0.401,2.18,2.16,0.002,0.002,2.75,2.79,0.689,0.689,146.62,84.6,0.342,0.342,1.99,1.97
0.47,0.47,2.58,2.54,0.002,0.002,2.34,2.37,0.439,0.439,60.09,46.21,0.343,0.343,1.99,1.97
0.321,0.321,1.69,1.71,0.028,0.028,47.09,38.11,0.691,0.691,138.23,81.74,0.337,0.337,1.96,1.94
0.59,0.59,3.06,3.11,0.008,0.008,9.86,9.4,0.824,0.824,228.84,106.73,0.334,0.334,1.94,1.92
2.779,2.779,17.44,16.04,0.042,0.042,32.54,38.87,0.912,0.912,43.84,56.15,0.238,0.238,1.38,1.37
2.402,2.402,15.06,14.01,0.02,0.02,28.31,24.8,0.64,0.64,33.0,39.52,0.32,0.32,1.86,1.84
0.425,0.425,2.29,2.31,0.02,0.02,28.91,25.26,0.814,0.814,142.8,83.32,0.298,0.298,1.73,1.72
0.358,0.358,2.0,1.98,0.01,0.01,10.46,11.04,0.378,0.378,39.83,33.22,0.305,0.305,1.77,1.76
0.889,0.889,4.66,4.77,0.04,0.04,79.23,56.75,1.123,1.123,534.99,145.58,0.206,0.206,1.19,1.18
0.398,0.398,2.12,2.14,0.039,0.039,77.25,55.72,0.842,0.842,195.76,98.93,0.215,0.215,1.24,1.24
0.02,0.02,0.11,0.11,0.008,0.008,10.02,9.54,0.505,0.505,68.26,50.89,0.221,0.221,1.27,1.27
0.54,0.54,2.84,2.88,0.038,0.038,76.18,55.17,0.986,0.986,379.19,130.94,0.223,0.223,1.29,1.28
0.209,0.209,1.12,1.12,0.018,0.018,25.02,22.24,0.752,0.752,163.48,89.95,0.23,0.23,1.33,1.32
0.176,0.176,0.94,0.94,0.017,0.017,24.97,22.2,0.652,0.652,118.56,74.43,0.334,0.334,1.94,1.92
0.492,0.492,2.72,2.68,0.007,0.007,9.32,8.91,0.503,0.503,71.85,52.86,0.231,0.231,1.34,1.33
0.218,0.218,1.19,1.18,0.008,0.008,9.85,9.39,0.612,0.612,102.06,67.57,0.334,0.334,1.94,1.92
0.326,0.326,1.79,1.77,0.008,0.008,10.03,9.55,0.558,0.558,84.49,59.4,0.331,0.331,1.92,1.91
0.139,0.139,0.74,0.75,0.022,0.022,19.81,21.99,0.656,0.656,115.11,73.06,0.328,0.328,1.91,1.89
0.433,0.433,2.39,2.37,0.002,0.002,1.77,1.79,0.662,0.662,118.22,74.3,0.333,0.333,1.93,1.92
0.116,0.116,0.63,0.63,0.039,0.039,77.11,55.65,0.626,0.626,104.33,68.56,0.332,0.332,1.93,1.91
0.517,0.517,2.87,2.83,0.028,0.028,46.98,38.04,0.577,0.577,88.83,61.51,0.324,0.324,1.89,1.87
0.303,0.303,1.66,1.65,0.028,0.028,47.1,38.12,0.575,0.575,87.1,60.67,0.222,0.222,1.28,1.28
0.284,0.284,1.56,1.55,0.002,0.002,1.92,1.94,0.534,0.534,76.31,55.23,0.223,0.223,1.29,1.28
0.171,0.171,0.93,0.93,0.009,0.009,10.67,10.13,0.816,0.816,194.37,98.57,0.228,0.228,1.32,1.31
0.086,0.086,0.47,0.46,0.002,0.002,1.73,1.74,0.653,0.653,114.52,72.82,0.234,0.234,1.35,1.34
0.274,0.274,1.51,1.49,0.048,0.048,121.15,75.45,0.571,0.571,87.85,61.04,0.235,0.235,1.36,1.35
0.389,0.389,2.15,2.12,0.008,0.008,10.14,9.65,0.785,0.785,178.48,94.31,0.328,0.328,1.91,1.89
0.141,0.141,0.77,0.76,0.028,0.028,47.14,38.15,0.953,0.953,352.96,127.66,0.231,0.231,1.33,1.32
0.406,0.406,2.24,2.22,0.038,0.038,76.08,55.12,0.606,0.606,100.97,67.09,0.235,0.235,1.36,1.35
0.762,0.762,4.3,4.21,0.002,0.002,2.25,2.27,0.275,0.275,29.25,25.52,0.33,0.33,1.92,1.9
0.072,0.072,0.39,0.39,0.029,0.029,47.62,38.46,0.638,0.638,104.55,68.66,0.224,0.224,1.3,1.29
0.361,0.361,1.92,1.94,0.028,0.028,47.21,38.19,0.858,0.858,225.72,106.04,0.325,0.325,1.89,1.87
0.023,0.023,0.12,0.12,0.002,0.002,2.36,2.38,0.74,0.74,154.2,87.07,0.226,0.226,1.31,1.3
0.232,0.232,1.27,1.26,0.012,0.012,11.97,12.73,0.671,0.671,124.18,76.61,0.335,0.335,1.95,1.93
0.296,0.296,1.63,1.61,0.008,0.008,10.33,9.82,0.594,0.594,95.8,64.78,0.336,0.336,1.95,1.93
0.424,0.424,2.35,2.32,0.112,0.112,55.86,77.51,0.46,0.46,60.47,46.43,0.332,0.332,1.93,1.91
0.574,0.574,3.03,3.08,0.01,0.01,11.98,11.3,0.874,0.874,242.91,109.69,0.347,0.347,2.02,2.0
0.135,0.135,0.72,0.73,0.039,0.039,77.21,55.71,0.714,0.714,142.73,83.29,0.339,0.339,1.97,1.95
0.068,0.068,0.36,0.36,0.008,0.008,10.03,9.55,0.709,0.709,141.89,83.0,0.331,0.331,1.92,1.91
0.322,0.322,1.76,1.75,0.012,0.012,11.99,12.75,0.595,0.595,97.52,65.56,0.332,0.332,1.93,1.91
0.329,0.329,1.81,1.79,0.008,0.008,10.42,9.9,0.561,0.561,86.38,60.32,0.335,0.335,1.94,1.93
0.684,0.684,3.56,3.62,0.038,0.038,76.75,55.47,0.98,0.98,408.22,134.23,0.331,0.331,1.92,1.9
0.042,0.042,0.22,0.22,0.008,0.008,9.57,9.13,0.722,0.722,153.59,86.88,0.231,0.231,1.34,1.33
0.14,0.14,0.76,0.75,0.018,0.018,25.37,22.51,0.575,0.575,94.3,64.08,0.238,0.238,1.38,1.37
0.287,0.287,1.57,1.55,0.018,0.018,25.44,22.57,0.73,0.73,158.6,88.46,0.237,0.237,1.37,1.36
0.947,0.947,5.36,5.22,0.008,0.008,9.85,9.39,0.306,0.306,34.75,29.6,0.14,0.14,0.81,0.8
0.254,0.254,1.39,1.38,0.002,0.002,1.75,1.76,0.682,0.682,128.63,78.28,0.239,0.239,1.38,1.37
0.536,0.536,2.98,2.94,0.049,0.049,121.28,75.5,0.449,0.449,59.12,45.63,0.241,0.241,1.39,1.38
0.623,0.623,3.26,3.32,0.038,0.038,76.57,55.37,0.906,0.906,282.98,117.18,0.229,0.229,1.32,1.32
0.351,0.351,1.92,1.91,0.002,0.002,2.55,2.58,0.548,0.548,84.29,59.3,0.233,0.233,1.35,1.34
0.203,0.203,1.08,1.09,0.008,0.008,10.11,9.62,0.856,0.856,244.47,110.01,0.337,0.337,1.96,1.94
0.256,0.256,1.36,1.37,0.038,0.038,75.8,54.97,0.874,0.874,273.06,115.44,0.238,0.238,1.38,1.37
0.483,0.483,2.67,2.63,0.018,0.018,25.02,22.23,0.627,0.627,113.98,72.61,0.24,0.24,1.39,1.38
0.1,0.1,0.54,0.54,0.022,0.022,20.22,22.5,0.766,0.766,182.32,95.38,0.24,0.24,1.39,1.38
0.164,0.164,0.89,0.89,0.018,0.018,25.87,22.91,0.681,0.681,136.15,81.01,0.248,0.248,1.44,1.43
0.701,0.701,3.92,3.85,0.022,0.022,20.03,22.26,0.613,0.613,107.56,69.94,0.345,0.345,2.0,1.98
0.557,0.557,3.11,3.06,0.019,0.019,26.46,23.37,0.531,0.531,79.21,56.74,0.244,0.244,1.41,1.4
0.534,0.534,2.98,2.93,0.019,0.019,26.46,23.37,0.723,0.723,147.53,84.9,0.238,0.238,1.37,1.37
2.766,2.766,17.63,16.2,0.432,0.432,82.98,141.83,1.278,1.278,51.31,69.02,1.138,1.138,6.94,6.71
15.34,15.34,650.01,152.94,0.583,0.583,85.66,149.85,15.309,15.309,91.34,168.13,0.761,0.761,4.53,4.43
4.36,4.36,423.26,135.82,0.556,0.556,168.42,91.43,4.014,4.014,21.98,24.7,1.726,1.726,10.28,9.77
1.931,1.931,129.62,78.65,0.26,0.26,56.55,44.08,1.381,1.381,7.91,8.23,0.436,0.436,2.56,2.53
1.4,1.4,139.95,82.34,0.152,0.152,30.34,26.35,1.172,1.172,6.43,6.64,0.136,0.136,0.81,0.8
0.089,0.089,4.95,5.07,0.315,0.315,34.23,41.3,0.553,0.553,3.19,3.14,0.101,0.101,0.6,0.6
0.535,0.535,50.97,40.62,0.24,0.24,63.28,48.07,0.098,0.098,0.54,0.54,0.04,0.04,0.24,0.24
0.153,0.153,9.72,10.22,0.017,0.017,2.84,2.88,1.117,1.117,6.46,6.26,0.159,0.159,0.94,0.94
0.153,0.153,12.51,11.78,0.101,0.101,15.12,16.35,0.242,0.242,1.33,1.32,0.252,0.252,1.48,1.5
0.244,0.244,15.66,16.99,0.193,0.193,25.35,29.03,1.284,1.284,7.4,7.14,0.213,0.213,1.25,1.26
0.424,0.424,46.55,37.76,0.24,0.24,70.51,52.13,0.355,0.355,1.95,1.93,0.162,0.162,0.95,0.96
0.502,0.502,27.91,32.43,0.281,0.281,33.41,40.11,1.254,1.254,7.25,7.0,0.208,0.208,1.22,1.23
0.407,0.407,42.81,35.26,0.197,0.197,50.52,40.33,0.169,0.169,0.92,0.92,0.112,0.112,0.66,0.66
0.287,0.287,17.83,19.58,0.018,0.018,3.33,3.28,1.1,1.1,6.35,6.16,0.165,0.165,0.97,0.97
0.386,0.386,39.41,32.92,0.116,0.116,25.3,22.46,0.0,0.0,0.0,0.0,0.144,0.144,0.85,0.85
0.326,0.326,19.53,21.65,0.31,0.31,35.19,42.7,0.945,0.945,5.45,5.31,0.131,0.131,0.77,0.77
0.368,0.368,35.42,30.09,0.224,0.224,58.94,45.52,0.051,0.051,0.28,0.28,0.009,0.009,0.05,0.05
0.368,0.368,21.03,23.5,0.178,0.178,23.4,26.51,0.891,0.891,5.16,5.03,0.1,0.1,0.59,0.59
0.355,0.355,32.83,28.2,0.163,0.163,37.1,31.3,0.143,0.143,0.79,0.79,0.061,0.061,0.36,0.36
0.309,0.309,17.99,19.77,0.153,0.153,20.68,23.07,0.58,0.58,3.32,3.26,0.003,0.003,0.02,0.02
0.167,0.167,13.07,12.26,0.022,0.022,3.87,3.8,0.079,0.079,0.44,0.44,0.035,0.035,0.21,0.21
0.405,0.405,39.34,32.87,0.156,0.156,35.54,30.17,0.223,0.223,1.22,1.23,0.094,0.094,0.55,0.55
0.206,0.206,12.7,13.56,0.154,0.154,20.86,23.29,0.685,0.685,3.95,3.87,0.011,0.011,0.07,0.07
0.476,0.476,49.03,39.38,0.252,0.252,71.98,52.93,0.293,0.293,1.6,1.62,0.04,0.04,0.24,0.24
0.15,0.15,9.55,10.03,0.088,0.088,13.16,14.09,0.629,0.629,3.63,3.57,0.029,0.029,0.17,0.17
0.168,0.168,10.41,10.98,0.025,0.025,4.1,4.19,0.626,0.626,3.61,3.55,0.017,0.017,0.1,0.1
0.117,0.117,7.35,7.63,0.05,0.05,9.13,8.73,0.589,0.589,3.41,3.35,0.012,0.012,0.07,0.07
0.118,0.118,7.29,7.56,0.079,0.079,11.66,12.38,0.465,0.465,2.69,2.65,0.008,0.008,0.05,0.05
0.225,0.225,17.47,16.07,0.202,0.202,24.88,28.41,0.524,0.524,2.87,2.91,0.012,0.012,0.07,0.07
0.297,0.297,16.77,18.31,0.17,0.17,21.75,24.4,0.621,0.621,3.59,3.53,0.067,0.067,0.39,0.39
0.435,0.435,40.3,33.54,0.232,0.232,59.46,45.83,0.391,0.391,2.15,2.17,0.059,0.059,0.35,0.35
0.126,0.126,7.87,8.19,0.043,0.043,6.7,6.93,0.556,0.556,3.21,3.16,0.137,0.137,0.81,0.81
0.578,0.578,63.48,48.19,0.274,0.274,83.04,58.68,0.418,0.418,2.29,2.31,0.107,0.107,0.63,0.63
0.02,0.02,1.34,1.35,0.096,0.096,14.12,15.19,0.493,0.493,2.84,2.8,0.145,0.145,0.85,0.86
0.132,0.132,10.03,9.55,0.057,0.057,10.49,9.97,0.316,0.316,1.73,1.75,0.026,0.026,0.15,0.15
0.235,0.235,14.07,15.13,0.2,0.2,25.35,29.03,0.617,0.617,3.56,3.5,0.102,0.102,0.6,0.6
0.245,0.245,14.26,15.35,0.03,0.03,5.19,5.06,0.627,0.627,3.63,3.56,0.06,0.06,0.36,0.36
0.395,0.395,35.62,30.24,0.237,0.237,64.06,48.52,0.424,0.424,2.33,2.36,0.003,0.003,0.02,0.02
0.284,0.284,16.16,17.58,0.312,0.312,34.69,41.98,0.441,0.441,2.54,2.51,0.15,0.15,0.88,0.88
0.397,0.397,35.46,30.12,0.221,0.221,55.16,43.24,0.431,0.431,2.36,2.39,0.023,0.023,0.13,0.13
0.043,0.043,2.85,2.89,0.024,0.024,4.27,4.18,0.536,0.536,3.1,3.05,0.116,0.116,0.68,0.68
0.448,0.448,43.46,35.7,0.177,0.177,42.22,34.86,0.458,0.458,2.5,2.54,0.1,0.1,0.59,0.59
0.248,0.248,14.68,15.84,0.395,0.395,40.33,50.52,0.539,0.539,3.11,3.06,0.115,0.115,0.67,0.68
0.27,0.27,21.92,19.75,0.195,0.195,45.29,36.93,0.157,0.157,0.87,0.88,0.041,0.041,0.24,0.24
0.233,0.233,13.76,14.78,0.158,0.158,35.81,30.37,0.568,0.568,3.28,3.23,0.085,0.085,0.5,0.5
0.302,0.302,25.21,22.38,0.035,0.035,5.5,5.65,0.54,0.54,2.96,3.0,0.116,0.116,0.68,0.68
0.299,0.299,17.1,18.7,0.315,0.315,34.65,41.92,0.608,0.608,3.52,3.46,0.08,0.08,0.47,0.47
0.6,0.6,65.97,49.61,0.175,0.175,38.98,32.62,0.381,0.381,2.09,2.11,0.018,0.018,0.11,0.11
0.102,0.102,6.63,6.85,0.026,0.026,4.56,4.46,0.643,0.643,3.71,3.64,0.016,0.016,0.1,0.1
0.258,0.258,21.48,19.39,0.054,0.054,8.23,8.59,0.353,0.353,1.93,1.95,0.001,0.001,0.0,0.0
