cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.132,0.132,10.89,10.33,0.033,0.033,4.98,4.86,0.543,0.543,2.98,3.03,0.159,0.159,1.06,1.05
0.211,0.211,13.78,14.8,0.197,0.197,39.32,32.86,0.351,0.351,2.02,2.0,0.012,0.012,0.08,0.08
0.369,0.369,37.22,31.38,0.39,0.39,129.98,78.78,0.586,0.586,3.21,3.26,0.131,0.131,0.86,0.85
0.189,0.189,10.75,11.36,0.245,0.245,27.25,31.55,0.007,0.007,0.04,0.04,0.044,0.044,0.29,0.29
0.311,0.311,30.81,26.7,0.196,0.196,39.19,32.77,0.502,0.502,2.76,2.79,0.004,0.004,0.03,0.03
0.235,0.235,14.85,16.04,0.092,0.092,15.34,14.25,0.357,0.357,2.06,2.04,0.137,0.137,0.9,0.9
0.365,0.365,37.21,31.37,0.312,0.312,82.21,58.26,0.555,0.555,3.04,3.09,0.103,0.103,0.68,0.67
0.458,0.458,24.91,28.46,0.235,0.235,25.57,29.31,0.339,0.339,1.96,1.94,0.144,0.144,0.95,0.94
0.081,0.081,6.52,6.32,0.034,0.034,4.67,4.78,0.552,0.552,3.02,3.07,0.001,0.001,0.0,0.0
0.235,0.235,15.17,16.41,0.013,0.013,1.76,1.78,0.4,0.4,2.31,2.28,0.037,0.037,0.24,0.24
0.43,0.43,47.78,38.57,0.325,0.325,87.82,61.02,0.544,0.544,2.98,3.03,0.055,0.055,0.36,0.36
0.213,0.213,13.34,14.29,0.133,0.133,24.27,21.64,0.29,0.29,1.67,1.66,0.141,0.141,0.93,0.92
0.374,0.374,38.14,32.04,0.341,0.341,97.37,65.49,0.587,0.587,3.22,3.27,0.14,0.14,0.92,0.92
0.197,0.197,12.16,12.94,0.014,0.014,2.05,2.07,0.26,0.26,1.5,1.49,0.125,0.125,0.82,0.82
0.28,0.28,26.39,23.31,0.343,0.343,98.06,65.8,0.557,0.557,3.05,3.1,0.096,0.096,0.63,0.63
0.18,0.18,11.22,11.89,0.264,0.264,28.04,32.61,0.214,0.214,1.23,1.23,0.229,0.229,1.52,1.51
0.038,0.038,2.8,2.84,0.087,0.087,14.24,13.29,0.509,0.509,2.79,2.83,0.067,0.067,0.44,0.44
0.407,0.407,23.52,26.65,0.044,0.044,5.97,6.15,0.395,0.395,2.28,2.26,0.12,0.12,0.8,0.79
0.135,0.135,11.33,10.73,0.095,0.095,15.77,14.62,0.52,0.52,2.85,2.89,0.073,0.073,0.48,0.48
0.286,0.286,17.77,19.5,0.106,0.106,17.92,16.44,0.393,0.393,2.27,2.25,0.114,0.114,0.75,0.75
0.361,0.361,36.81,31.09,0.313,0.313,82.31,58.31,0.564,0.564,3.09,3.14,0.128,0.128,0.85,0.85
0.229,0.229,14.22,15.31,0.054,0.054,8.63,8.27,0.293,0.293,1.69,1.68,0.16,0.16,1.06,1.06
0.139,0.139,11.6,10.96,0.273,0.273,65.03,49.07,0.361,0.361,2.0,2.02,0.131,0.131,0.87,0.87
0.268,0.268,16.42,17.89,0.089,0.089,14.83,13.81,0.294,0.294,1.69,1.68,0.18,0.18,1.19,1.18
0.323,0.323,31.7,27.36,0.262,0.262,61.0,46.74,0.578,0.578,3.16,3.21,0.134,0.134,0.89,0.88
0.302,0.302,18.22,20.04,0.05,0.05,7.78,7.49,0.391,0.391,2.27,2.24,0.171,0.171,1.13,1.13
