cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.389,0.389,7.56,7.28,0.055,0.055,5.44,5.3,0.337,0.337,2.44,2.47,0.02,0.02,0.21,0.21
0.378,0.378,7.3,7.04,0.05,0.05,4.95,4.83,0.308,0.308,2.23,2.26,0.331,0.331,3.49,3.43
0.345,0.345,6.7,6.48,0.02,0.02,1.91,1.89,0.261,0.261,1.89,1.91,0.221,0.221,2.3,2.28
0.419,0.419,8.16,7.84,0.0,0.0,0.02,0.02,0.308,0.308,2.23,2.26,0.273,0.273,2.86,2.82
0.358,0.358,6.91,6.68,0.009,0.009,0.87,0.86,0.27,0.27,1.96,1.98,0.694,0.694,7.61,7.33
0.289,0.289,5.6,5.45,0.055,0.055,5.52,5.37,0.216,0.216,1.56,1.57,0.586,0.586,6.36,6.16
0.289,0.289,5.59,5.43,0.008,0.008,0.81,0.81,0.188,0.188,1.37,1.38,0.581,0.581,6.31,6.12
0.348,0.348,6.78,6.56,0.026,0.026,2.58,2.55,0.243,0.243,1.76,1.78,0.485,0.485,5.22,5.08
0.305,0.305,5.89,5.72,0.017,0.017,1.65,1.66,0.207,0.207,1.5,1.52,0.438,0.438,4.69,4.58
0.421,0.421,8.26,7.93,0.014,0.014,1.32,1.33,0.301,0.301,2.18,2.2,0.324,0.324,3.42,3.36
0.284,0.284,5.44,5.3,0.002,0.002,0.19,0.19,0.185,0.185,1.35,1.36,0.466,0.466,4.99,4.87
0.368,0.368,7.16,6.91,0.006,0.006,0.56,0.56,0.271,0.271,1.96,1.98,0.385,0.385,4.08,4.0
0.338,0.338,6.56,6.35,0.017,0.017,1.55,1.56,0.204,0.204,1.48,1.49,0.292,0.292,3.07,3.03
0.383,0.383,7.44,7.18,0.064,0.064,6.36,6.16,0.315,0.315,2.28,2.3,0.255,0.255,2.67,2.63
0.344,0.344,6.68,6.47,0.005,0.005,0.51,0.51,0.229,0.229,1.66,1.68,0.432,0.432,4.6,4.5
0.402,0.402,7.9,7.6,0.021,0.021,2.07,2.05,0.291,0.291,2.1,2.12,0.219,0.219,2.29,2.26
0.396,0.396,7.73,7.45,0.027,0.027,2.48,2.51,0.233,0.233,1.7,1.71,0.367,0.367,3.88,3.81
0.4,0.4,7.83,7.54,0.009,0.009,0.82,0.81,0.277,0.277,2.0,2.02,0.19,0.19,1.97,1.95
0.411,0.411,8.04,7.73,0.007,0.007,0.63,0.63,0.291,0.291,2.1,2.13,0.204,0.204,2.13,2.1
0.344,0.344,6.64,6.43,0.015,0.015,1.44,1.43,0.248,0.248,1.8,1.82,0.613,0.613,6.66,6.44
0.391,0.391,7.73,7.44,0.044,0.044,4.01,4.09,0.24,0.24,1.74,1.75,0.601,0.601,6.53,6.33
0.337,0.337,6.59,6.38,0.011,0.011,0.98,0.99,0.221,0.221,1.6,1.61,0.593,0.593,6.45,6.24
0.294,0.294,5.68,5.52,0.03,0.03,2.74,2.78,0.137,0.137,1.0,1.01,0.387,0.387,4.12,4.04
0.34,0.34,6.57,6.36,0.005,0.005,0.44,0.44,0.217,0.217,1.58,1.59,0.699,0.699,7.69,7.4
0.335,0.335,6.56,6.35,0.013,0.013,1.25,1.26,0.222,0.222,1.61,1.62,0.588,0.588,6.39,6.19
0.309,0.309,6.01,5.84,0.04,0.04,3.66,3.73,0.164,0.164,1.19,1.2,0.586,0.586,6.37,6.17
0.349,0.349,6.79,6.57,0.039,0.039,3.85,3.78,0.275,0.275,1.98,2.0,0.439,0.439,4.69,4.59
0.358,0.358,6.99,6.75,0.05,0.05,4.57,4.68,0.226,0.226,1.64,1.65,0.316,0.316,3.34,3.28
0.419,0.419,8.2,7.88,0.048,0.048,4.73,4.62,0.343,0.343,2.48,2.51,0.27,0.27,2.83,2.79
0.337,0.337,6.54,6.33,0.044,0.044,4.4,4.3,0.251,0.251,1.82,1.83,0.438,0.438,4.67,4.57
0.35,0.35,6.83,6.6,0.032,0.032,3.16,3.11,0.285,0.285,2.05,2.08,0.321,0.321,3.38,3.33
0.32,0.32,6.18,6.0,0.044,0.044,4.37,4.28,0.275,0.275,1.99,2.01,0.314,0.314,3.31,3.25
0.419,0.419,8.21,7.89,0.03,0.03,2.92,2.88,0.341,0.341,2.46,2.49,0.211,0.211,2.2,2.18
0.39,0.39,7.6,7.33,0.003,0.003,0.3,0.3,0.27,0.27,1.96,1.98,0.414,0.414,4.41,4.31
0.363,0.363,7.06,6.82,0.006,0.006,0.59,0.59,0.244,0.244,1.77,1.78,0.26,0.26,2.73,2.69
0.383,0.383,7.44,7.17,0.015,0.015,1.43,1.42,0.272,0.272,1.97,1.99,0.388,0.388,4.12,4.03
0.392,0.392,7.68,7.39,0.04,0.04,3.64,3.71,0.233,0.233,1.69,1.7,0.446,0.446,4.76,4.65
0.419,0.419,8.26,7.93,0.027,0.027,2.51,2.55,0.253,0.253,1.83,1.85,0.325,0.325,3.42,3.37
0.395,0.395,7.73,7.44,0.016,0.016,1.46,1.47,0.237,0.237,1.72,1.73,0.616,0.616,6.71,6.49
0.383,0.383,7.56,7.28,0.028,0.028,2.56,2.6,0.219,0.219,1.59,1.6,0.551,0.551,5.96,5.79
0.306,0.306,5.95,5.78,0.008,0.008,0.72,0.73,0.17,0.17,1.23,1.24,0.469,0.469,5.03,4.9
0.361,0.361,7.04,6.8,0.038,0.038,3.69,3.63,0.265,0.265,1.91,1.93,0.334,0.334,3.53,3.47
0.307,0.307,5.92,5.75,0.025,0.025,2.41,2.38,0.227,0.227,1.65,1.66,0.47,0.47,5.04,4.91
0.349,0.349,6.79,6.57,0.051,0.051,5.13,5.0,0.296,0.296,2.13,2.16,0.335,0.335,3.54,3.48
0.347,0.347,6.74,6.52,0.005,0.005,0.44,0.44,0.242,0.242,1.75,1.77,0.418,0.418,4.46,4.36
0.383,0.383,7.48,7.21,0.032,0.032,3.14,3.09,0.309,0.309,2.23,2.26,0.113,0.113,1.17,1.16
0.362,0.362,6.97,6.73,0.007,0.007,0.63,0.63,0.245,0.245,1.78,1.8,0.169,0.169,1.75,1.73
0.394,0.394,7.6,7.32,0.031,0.031,2.96,2.92,0.294,0.294,2.14,2.16,0.351,0.351,3.71,3.64
0.391,0.391,7.65,7.37,0.005,0.005,0.46,0.46,0.286,0.286,2.07,2.09,0.479,0.479,5.13,5.01
0.336,0.336,6.53,6.32,0.014,0.014,1.38,1.37,0.251,0.251,1.82,1.83,0.539,0.539,5.82,5.65
0.386,0.386,7.59,7.31,0.004,0.004,0.41,0.41,0.275,0.275,1.99,2.01,0.412,0.412,4.39,4.29
0.343,0.343,6.67,6.46,0.021,0.021,2.03,2.01,0.258,0.258,1.87,1.89,0.656,0.656,7.18,6.93
0.347,0.347,6.82,6.6,0.002,0.002,0.23,0.23,0.25,0.25,1.8,1.82,0.569,0.569,6.17,5.99
0.377,0.377,7.43,7.16,0.033,0.033,3.06,3.11,0.246,0.246,1.78,1.79,0.576,0.576,6.25,6.06
0.4,0.4,7.89,7.59,0.012,0.012,1.13,1.12,0.287,0.287,2.07,2.09,0.434,0.434,4.64,4.53
0.369,0.369,7.23,6.98,0.031,0.031,2.91,2.96,0.228,0.228,1.65,1.67,0.366,0.366,3.88,3.81
0.406,0.406,7.96,7.65,0.044,0.044,4.38,4.28,0.33,0.33,2.38,2.41,0.291,0.291,3.05,3.01
0.322,0.322,6.23,6.04,0.039,0.039,3.81,3.74,0.246,0.246,1.78,1.8,0.448,0.448,4.79,4.68
0.288,0.288,5.55,5.4,0.046,0.046,4.58,4.48,0.242,0.242,1.75,1.77,0.325,0.325,3.43,3.37
0.36,0.36,6.98,6.75,0.002,0.002,0.17,0.17,0.246,0.246,1.79,1.8,0.315,0.315,3.32,3.27
0.401,0.401,7.81,7.51,0.064,0.064,6.39,6.19,0.363,0.363,2.61,2.65,0.115,0.115,1.18,1.18
0.33,0.33,6.33,6.13,0.077,0.077,7.91,7.61,0.297,0.297,2.15,2.18,0.369,0.369,3.91,3.83
0.338,0.338,6.55,6.34,0.049,0.049,4.93,4.81,0.301,0.301,2.17,2.2,0.238,0.238,2.49,2.46
0.395,0.395,7.68,7.39,0.034,0.034,3.31,3.26,0.321,0.321,2.32,2.35,0.378,0.378,4.01,3.93
0.317,0.317,6.11,5.93,0.025,0.025,2.45,2.42,0.252,0.252,1.83,1.85,0.441,0.441,4.7,4.6
