cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.058,0.058,1.12,1.12,0.068,0.068,6.27,6.47,0.338,0.338,2.47,2.44,0.174,0.174,1.85,1.87
0.075,0.075,1.43,1.44,0.122,0.122,13.54,12.68,0.198,0.198,1.43,1.42,0.274,0.274,2.89,2.93
0.067,0.067,1.28,1.29,0.082,0.082,8.7,8.34,0.268,0.268,1.95,1.93,0.126,0.126,1.38,1.37
0.011,0.011,0.21,0.21,0.098,0.098,8.79,9.19,0.308,0.308,2.24,2.22,0.326,0.326,3.67,3.6
0.05,0.05,0.99,0.98,0.032,0.032,3.19,3.14,0.128,0.128,0.92,0.92,0.174,0.174,1.85,1.87
0.068,0.068,1.31,1.32,0.002,0.002,0.16,0.16,0.318,0.318,2.32,2.29,0.174,0.174,1.85,1.87
0.054,0.054,1.07,1.06,0.002,0.002,0.18,0.18,0.168,0.168,1.21,1.21,0.274,0.274,2.89,2.93
0.067,0.067,1.28,1.29,0.042,0.042,4.26,4.17,0.238,0.238,1.72,1.71,0.026,0.026,0.28,0.28
0.058,0.058,1.12,1.13,0.038,0.038,3.62,3.69,0.308,0.308,2.24,2.22,0.126,0.126,1.39,1.38
0.032,0.032,0.63,0.62,0.132,0.132,14.79,13.78,0.088,0.088,0.63,0.63,0.174,0.174,1.85,1.87
0.049,0.049,0.95,0.96,0.038,0.038,3.62,3.69,0.318,0.318,2.32,2.29,0.174,0.174,1.85,1.87
0.045,0.045,0.88,0.87,0.008,0.008,0.79,0.79,0.208,0.208,1.51,1.49,0.374,0.374,3.9,3.98
0.025,0.025,0.48,0.48,0.008,0.008,0.79,0.79,0.218,0.218,1.58,1.57,0.026,0.026,0.28,0.28
0.039,0.039,0.75,0.75,0.048,0.048,4.52,4.63,0.288,0.288,2.09,2.07,0.326,0.326,3.66,3.6
0.0,0.0,0.0,0.0,0.052,0.052,5.31,5.18,0.158,0.158,1.14,1.13,0.174,0.174,1.85,1.87
