cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.416,0.416,8.05,7.74,0.031,0.031,2.77,2.74,0.864,0.864,6.28,6.48,0.412,0.412,4.47,4.38
0.377,0.377,7.38,7.12,0.14,0.14,14.13,13.2,0.838,0.838,6.06,6.25,0.209,0.209,2.22,2.19
0.298,0.298,5.72,5.56,0.035,0.035,3.19,3.14,0.785,0.785,5.72,5.88,0.232,0.232,2.47,2.44
0.5,0.5,9.98,9.51,0.068,0.068,6.4,6.2,0.931,0.931,6.71,6.94,0.045,0.045,0.47,0.47
0.108,0.108,2.02,2.0,0.088,0.088,8.27,7.94,0.619,0.619,4.54,4.65,0.476,0.476,5.17,5.04
0.397,0.397,7.86,7.57,0.1,0.1,9.73,9.28,0.865,0.865,6.22,6.42,0.108,0.108,1.14,1.13
0.29,0.29,5.62,5.46,0.041,0.041,3.73,3.66,0.707,0.707,5.15,5.29,0.054,0.054,0.56,0.56
0.356,0.356,6.92,6.69,0.221,0.221,23.75,21.23,0.939,0.939,6.75,6.99,0.088,0.088,0.92,0.91
0.232,0.232,4.5,4.4,0.037,0.037,3.36,3.3,0.651,0.651,4.75,4.86,0.474,0.474,5.16,5.03
0.246,0.246,4.89,4.78,0.119,0.119,11.81,11.15,0.712,0.712,5.12,5.26,0.188,0.188,1.92,1.94
0.367,0.367,7.13,6.89,0.01,0.01,0.9,0.9,0.747,0.747,5.46,5.61,0.421,0.421,4.53,4.43
0.157,0.157,3.08,3.03,0.114,0.114,11.21,10.61,0.649,0.649,4.68,4.8,0.169,0.169,1.72,1.73
0.385,0.385,7.53,7.25,0.091,0.091,8.54,8.19,0.866,0.866,6.27,6.47,0.125,0.125,1.3,1.29
0.069,0.069,1.33,1.32,0.111,0.111,10.69,10.15,0.58,0.58,4.23,4.32,0.887,0.887,10.07,9.59
0.378,0.378,7.64,7.36,0.018,0.018,1.6,1.61,0.719,0.719,5.17,5.31,0.334,0.334,3.63,3.56
