cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
1.044,1.044,1740.02,179.38,0.378,0.378,1260.09,172.6,2.527,2.527,12.68,13.54,1.346,1.346,4.76,4.65
1.002,1.002,1252.34,172.46,0.333,0.333,476.28,140.85,2.444,2.444,12.31,13.12,1.444,1.444,5.1,4.97
1.004,1.004,2008.06,181.88,0.364,0.364,909.7,163.95,2.503,2.503,12.56,13.41,1.257,1.257,4.44,4.35
0.971,0.971,1387.22,174.8,0.339,0.339,565.19,147.73,2.439,2.439,12.28,13.08,1.359,1.359,4.8,4.69
1.005,1.005,1674.55,178.66,0.37,0.37,1234.36,172.11,2.529,2.529,12.7,13.56,1.233,1.233,4.36,4.26
1.055,1.055,1318.41,173.66,0.336,0.336,560.61,147.41,2.526,2.526,12.72,13.58,1.552,1.552,5.5,5.36
1.098,1.098,1568.84,177.39,0.323,0.323,461.7,139.55,2.548,2.548,12.83,13.71,1.772,1.772,6.28,6.09
1.12,1.12,1599.36,177.77,0.351,0.351,878.54,162.91,2.586,2.586,13.0,13.91,1.872,1.872,6.62,6.4
1.105,1.105,1578.48,177.51,0.325,0.325,464.0,139.76,2.54,2.54,12.79,13.66,1.763,1.763,6.23,6.04
1.096,1.096,2191.0,183.27,0.362,0.362,1207.96,171.59,2.566,2.566,12.88,13.77,2.008,2.008,7.12,6.87
1.058,1.058,1512.03,176.64,0.314,0.314,391.88,132.42,2.501,2.501,12.59,13.43,1.801,1.801,6.39,6.19
0.95,0.95,558.53,147.27,0.289,0.289,289.11,118.22,2.34,2.34,11.86,12.61,1.879,1.879,6.66,6.45
1.047,1.047,2617.31,185.8,0.342,0.342,683.76,154.74,2.519,2.519,12.64,13.5,1.711,1.711,6.07,5.89
0.991,0.991,1238.49,172.19,0.329,0.329,549.0,146.6,2.449,2.449,12.33,13.14,1.822,1.822,6.46,6.26
0.997,0.997,1993.16,181.76,0.352,0.352,879.69,162.95,2.498,2.498,12.54,13.38,1.641,1.641,5.82,5.65
0.968,0.968,1382.56,174.72,0.319,0.319,455.58,138.99,2.446,2.446,12.31,13.12,1.741,1.741,6.17,5.99
1.011,1.011,2021.42,181.99,0.352,0.352,879.49,162.95,2.524,2.524,12.67,13.53,1.609,1.609,5.71,5.55
1.068,1.068,1526.13,176.83,0.33,0.33,549.47,146.63,2.517,2.517,12.68,13.54,1.719,1.719,6.08,5.9
1.129,1.129,2257.88,183.73,0.353,0.353,883.28,163.07,2.62,2.62,13.15,14.08,1.659,1.659,5.86,5.69
1.13,1.13,1613.66,177.95,0.312,0.312,389.61,132.16,2.557,2.557,12.88,13.77,1.965,1.965,6.97,6.73
1.064,1.064,886.27,163.18,0.365,0.365,1217.06,171.77,2.539,2.539,12.79,13.67,1.758,1.758,6.21,6.03
1.083,1.083,1547.31,177.11,0.303,0.303,336.47,125.44,2.514,2.514,12.66,13.51,1.906,1.906,6.74,6.52
1.082,1.082,2164.97,183.09,0.314,0.314,392.48,132.49,2.496,2.496,12.57,13.41,1.706,1.706,6.03,5.85
0.914,0.914,435.32,137.04,0.3,0.3,332.85,124.93,2.325,2.325,11.8,12.54,1.783,1.783,6.3,6.11
1.037,1.037,2073.35,182.4,0.352,0.352,880.53,162.98,2.52,2.52,12.65,13.5,1.714,1.714,6.08,5.9
0.947,0.947,1183.53,171.09,0.316,0.316,451.38,138.59,2.403,2.403,12.11,12.89,1.697,1.697,6.0,5.82
0.923,0.923,1153.59,170.45,0.327,0.327,544.7,146.29,2.403,2.403,12.1,12.88,1.523,1.523,5.38,5.24
0.911,0.911,1517.81,176.71,0.351,0.351,1168.36,170.77,2.443,2.443,12.27,13.07,1.619,1.619,5.72,5.56
0.934,0.934,1334.98,173.94,0.322,0.322,537.47,145.76,2.42,2.42,12.18,12.98,1.514,1.514,5.35,5.21
1.011,1.011,1684.25,178.77,0.338,0.338,844.8,161.72,2.533,2.533,12.72,13.58,1.739,1.739,6.14,5.96
1.069,1.069,1527.33,176.84,0.312,0.312,445.79,138.06,2.528,2.528,12.73,13.6,1.723,1.723,6.09,5.91
1.077,1.077,1346.14,174.13,0.35,0.35,1165.51,170.71,2.562,2.562,12.88,13.77,1.952,1.952,6.9,6.67
1.081,1.081,1200.95,171.45,0.335,0.335,670.04,154.03,2.537,2.537,12.78,13.65,1.889,1.889,6.67,6.46
1.086,1.086,2171.33,183.13,0.343,0.343,857.47,162.17,2.558,2.558,12.84,13.72,2.051,2.051,7.25,6.99
1.077,1.077,1795.68,179.96,0.306,0.306,382.9,131.38,2.496,2.496,12.57,13.41,1.877,1.877,6.63,6.42
0.917,0.917,382.07,131.28,0.325,0.325,542.37,146.12,2.307,2.307,11.73,12.47,1.974,1.974,6.98,6.74
1.093,1.093,2185.8,183.23,0.341,0.341,682.97,154.7,2.56,2.56,12.85,13.73,1.905,1.905,6.76,6.54
1.062,1.062,1516.99,176.7,0.322,0.322,459.68,139.36,2.491,2.491,12.54,13.38,1.897,1.897,6.7,6.48
1.042,1.042,1488.39,176.31,0.357,0.357,891.9,163.37,2.544,2.544,12.77,13.64,1.687,1.687,5.96,5.79
1.038,1.038,1729.6,179.27,0.316,0.316,394.57,132.72,2.476,2.476,12.47,13.3,1.851,1.851,6.56,6.36
1.022,1.022,1703.91,178.99,0.359,0.359,898.13,163.57,2.535,2.535,12.72,13.59,1.528,1.528,5.4,5.26
1.001,1.001,1251.72,172.45,0.336,0.336,560.63,147.41,2.468,2.468,12.44,13.26,1.584,1.584,5.6,5.45
1.003,1.003,1432.67,175.5,0.359,0.359,896.77,163.53,2.542,2.542,12.76,13.63,1.468,1.468,5.2,5.07
0.98,0.98,980.05,166.1,0.341,0.341,568.0,147.92,2.477,2.477,12.49,13.32,1.275,1.275,4.52,4.42
1.009,1.009,1681.84,178.74,0.335,0.335,559.14,147.31,2.552,2.552,12.81,13.69,1.253,1.253,4.43,4.33
1.014,1.014,1448.38,175.73,0.328,0.328,467.9,140.11,2.501,2.501,12.6,13.45,1.076,1.076,3.8,3.73
1.01,1.01,1121.97,169.74,0.301,0.301,334.05,125.1,2.495,2.495,12.58,13.43,1.23,1.23,4.36,4.27
0.908,0.908,378.26,130.83,0.331,0.331,551.76,146.79,2.38,2.38,12.1,12.88,0.937,0.937,3.31,3.26
1.097,1.097,2193.28,183.29,0.326,0.326,543.74,146.22,2.628,2.628,13.2,14.13,1.072,1.072,3.79,3.72
1.097,1.097,1567.64,177.37,0.308,0.308,385.13,131.64,2.589,2.589,13.04,13.94,1.074,1.074,3.81,3.74
1.098,1.098,1830.23,180.3,0.304,0.304,379.74,131.0,2.57,2.57,12.95,13.84,1.115,1.115,3.94,3.86
1.108,1.108,1846.48,180.45,0.347,0.347,867.08,162.51,2.65,2.65,13.3,14.25,0.993,0.993,3.51,3.45
1.069,1.069,1336.65,173.97,0.333,0.333,665.57,153.79,2.572,2.572,12.95,13.85,1.136,1.136,4.02,3.94
1.101,1.101,2201.63,183.34,0.33,0.33,659.53,153.46,2.619,2.619,13.15,14.08,1.272,1.272,4.5,4.4
1.052,1.052,1169.06,170.78,0.323,0.323,537.59,145.77,2.564,2.564,12.91,13.8,1.231,1.231,4.37,4.27
1.07,1.07,1528.49,176.86,0.33,0.33,660.12,153.49,2.589,2.589,13.02,13.92,1.274,1.274,4.5,4.4
1.063,1.063,1518.92,176.73,0.303,0.303,378.28,130.83,2.566,2.566,12.92,13.81,1.129,1.129,3.99,3.91
1.075,1.075,1791.29,179.91,0.31,0.31,442.79,137.77,2.544,2.544,12.82,13.7,1.269,1.269,4.48,4.38
1.061,1.061,1768.77,179.68,0.343,0.343,856.42,162.14,2.605,2.605,13.08,13.99,1.126,1.126,3.98,3.9
0.889,0.889,386.44,131.79,0.31,0.31,442.91,137.78,2.35,2.35,11.95,12.71,1.369,1.369,4.86,4.74
1.045,1.045,1492.5,176.37,0.353,0.353,1176.02,170.93,2.6,2.6,13.05,13.96,1.226,1.226,4.35,4.26
1.044,1.044,1491.98,176.36,0.32,0.32,533.65,145.48,2.526,2.526,12.73,13.59,1.367,1.367,4.85,4.73
1.049,1.049,1748.56,179.47,0.343,0.343,857.27,162.17,2.595,2.595,13.03,13.93,1.223,1.223,4.34,4.25
1.052,1.052,1753.23,179.52,0.3,0.3,375.46,130.49,2.524,2.524,12.72,13.58,1.364,1.364,4.84,4.72
1.056,1.056,2112.91,182.71,0.353,0.353,1176.35,170.94,2.592,2.592,13.01,13.92,1.219,1.219,4.32,4.23
0.997,0.997,1246.1,172.34,0.307,0.307,437.94,137.3,2.505,2.505,12.61,13.46,1.333,1.333,4.73,4.62
1.012,1.012,1686.05,178.79,0.308,0.308,439.86,137.49,2.504,2.504,12.61,13.46,1.203,1.203,4.27,4.18
0.994,0.994,1656.97,178.46,0.322,0.322,644.0,152.61,2.518,2.518,12.66,13.52,1.344,1.344,4.77,4.65
0.987,0.987,1233.26,172.09,0.304,0.304,434.13,136.92,2.512,2.512,12.64,13.5,1.231,1.231,4.36,4.27
1.02,1.02,2551.12,185.46,0.319,0.319,637.76,152.25,2.545,2.545,12.78,13.66,1.383,1.383,4.91,4.79
0.973,0.973,1390.61,174.85,0.289,0.289,360.65,128.65,2.475,2.475,12.47,13.3,1.256,1.256,4.45,4.36
0.805,0.805,335.62,125.32,0.293,0.293,418.63,135.34,2.315,2.315,11.76,12.49,1.422,1.422,5.04,4.92
0.967,0.967,1208.61,171.6,0.334,0.334,1111.7,169.51,2.53,2.53,12.72,13.58,1.314,1.314,4.66,4.55
0.994,0.994,1420.26,175.31,0.3,0.3,499.53,142.82,2.503,2.503,12.6,13.45,1.495,1.495,5.3,5.16
1.011,1.011,1684.87,178.78,0.322,0.322,805.0,160.2,2.561,2.561,12.86,13.75,1.394,1.394,4.94,4.82
1.024,1.024,1706.66,179.02,0.28,0.28,349.51,127.21,2.518,2.518,12.68,13.54,1.573,1.573,5.58,5.43
1.037,1.037,2074.78,182.42,0.323,0.323,808.05,160.32,2.583,2.583,12.97,13.86,1.464,1.464,5.19,5.06
1.026,1.026,1466.17,175.99,0.282,0.282,351.94,127.53,2.525,2.525,12.71,13.58,1.627,1.627,5.77,5.61
1.028,1.028,1468.37,176.02,0.306,0.306,509.79,143.65,2.528,2.528,12.73,13.59,1.504,1.504,5.33,5.2
1.035,1.035,1478.78,176.17,0.325,0.325,812.37,160.49,2.569,2.569,12.91,13.8,1.556,1.556,5.5,5.35
1.035,1.035,1479.28,176.18,0.299,0.299,427.59,136.26,2.531,2.531,12.74,13.61,1.418,1.418,5.01,4.89
0.994,0.994,1242.85,172.28,0.315,0.315,630.57,151.84,2.512,2.512,12.64,13.5,1.54,1.54,5.44,5.3
0.983,0.983,1091.97,169.04,0.328,0.328,821.01,160.82,2.534,2.534,12.74,13.6,1.406,1.406,4.97,4.85
0.911,0.911,455.43,138.97,0.313,0.313,521.56,144.56,2.388,2.388,12.12,12.9,1.298,1.298,4.58,4.48
1.065,1.065,1774.54,179.74,0.341,0.341,1136.41,170.07,2.608,2.608,13.09,14.01,1.449,1.449,5.12,4.99
1.045,1.045,1306.25,173.44,0.303,0.303,433.48,136.86,2.552,2.552,12.85,13.74,1.31,1.31,4.63,4.53
1.058,1.058,1511.06,176.62,0.3,0.3,429.15,136.42,2.552,2.552,12.85,13.73,1.456,1.456,5.15,5.02
1.052,1.052,1503.11,176.51,0.303,0.303,432.54,136.76,2.552,2.552,12.85,13.73,1.323,1.323,4.68,4.57
1.069,1.069,1782.41,179.82,0.345,0.345,1151.51,170.4,2.619,2.619,13.15,14.07,1.207,1.207,4.27,4.18
1.051,1.051,1501.61,176.49,0.301,0.301,430.0,136.51,2.549,2.549,12.84,13.72,1.35,1.35,4.77,4.66
1.08,1.08,2159.42,183.05,0.325,0.325,649.15,152.89,2.618,2.618,13.14,14.07,1.237,1.237,4.37,4.28
1.025,1.025,1139.02,170.13,0.321,0.321,642.29,152.51,2.533,2.533,12.76,13.63,1.385,1.385,4.89,4.78
1.073,1.073,2145.27,182.94,0.335,0.335,837.94,161.46,2.61,2.61,13.1,14.02,1.267,1.267,4.48,4.38
