cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.07,0.07,100.0,200.0,0.061,0.061,101.94,67.52,1.275,1.275,6.42,6.63,0.672,0.672,2.37,2.4
0.035,0.035,57.87,81.43,0.175,0.175,583.27,148.93,1.474,1.474,7.4,7.69,0.272,0.272,0.96,0.96
0.21,0.21,100.0,200.0,0.007,0.007,5.76,5.93,1.057,1.057,5.38,5.53,0.599,0.599,2.12,2.14
0.205,0.205,410.84,134.52,0.16,0.16,399.24,133.25,1.653,1.653,8.3,8.66,0.322,0.322,1.14,1.13
0.279,0.279,348.81,127.11,0.292,0.292,417.16,135.19,1.693,1.693,8.52,8.9,2.434,2.434,8.6,8.25
0.154,0.154,308.78,121.38,0.307,0.307,768.13,158.68,1.49,1.49,7.48,7.77,2.687,2.687,9.5,9.06
0.05,0.05,100.0,200.0,0.05,0.05,62.31,47.51,1.255,1.255,6.32,6.52,0.59,0.59,2.08,2.11
0.045,0.045,89.26,161.22,0.175,0.175,584.25,149.0,1.496,1.496,7.51,7.8,0.088,0.088,0.31,0.31
0.041,0.041,68.32,103.76,0.007,0.007,9.55,9.11,1.829,1.829,9.21,9.65,3.136,3.136,11.04,10.46
0.246,0.246,492.46,142.23,0.147,0.147,294.08,119.04,2.155,2.155,10.82,11.44,3.477,3.477,12.24,11.54
0.08,0.08,100.0,200.0,0.034,0.034,68.25,50.89,1.322,1.322,6.66,6.89,0.641,0.641,2.27,2.24
0.021,0.021,30.05,35.37,0.156,0.156,311.08,121.73,1.462,1.462,7.34,7.62,0.339,0.339,1.2,1.19
0.06,0.06,100.0,200.0,0.036,0.036,51.17,40.75,1.333,1.333,6.71,6.95,0.733,0.733,2.59,2.63
0.047,0.047,78.53,129.29,0.173,0.173,431.76,136.68,1.479,1.479,7.42,7.71,0.334,0.334,1.18,1.17
0.22,0.22,100.0,200.0,0.034,0.034,42.01,34.72,1.12,1.12,5.69,5.85,0.631,0.631,2.23,2.25
0.228,0.228,570.52,148.09,0.153,0.153,306.0,120.95,1.589,1.589,7.98,8.31,0.48,0.48,1.7,1.68
0.017,0.017,21.71,19.58,0.06,0.06,100.29,66.8,1.502,1.502,7.56,7.86,0.941,0.941,3.33,3.38
0.025,0.025,50.64,67.81,0.171,0.171,428.44,136.35,1.489,1.489,7.48,7.77,0.31,0.31,1.09,1.09
0.07,0.07,100.0,200.0,0.042,0.042,59.47,45.84,1.29,1.29,6.5,6.72,0.642,0.642,2.27,2.29
0.096,0.096,87.67,156.1,0.163,0.163,407.34,134.14,1.43,1.43,7.21,7.48,0.167,0.167,0.59,0.59
0.038,0.038,53.84,73.68,0.005,0.005,6.36,6.17,1.793,1.793,9.03,9.46,2.77,2.77,9.79,9.33
0.232,0.232,463.71,139.73,0.173,0.173,575.43,148.42,2.0,2.0,10.04,10.57,3.328,3.328,11.76,11.11
0.07,0.07,100.0,200.0,0.005,0.005,6.34,6.15,1.299,1.299,6.54,6.76,0.347,0.347,1.23,1.22
0.05,0.05,83.3,142.76,0.157,0.157,314.65,122.28,1.511,1.511,7.59,7.89,0.214,0.214,0.76,0.75
0.07,0.07,100.0,200.0,0.066,0.066,110.02,70.98,1.282,1.282,6.46,6.67,0.554,0.554,1.96,1.98
0.024,0.024,48.41,63.88,0.156,0.156,312.97,122.02,1.477,1.477,7.41,7.7,0.278,0.278,0.98,0.98
0.23,0.23,100.0,200.0,0.0,0.0,0.43,0.43,1.082,1.082,5.51,5.67,0.784,0.784,2.76,2.8
0.22,0.22,440.67,137.57,0.162,0.162,323.79,123.63,1.659,1.659,8.33,8.7,0.373,0.373,1.31,1.3
0.026,0.026,37.04,31.25,0.071,0.071,101.48,67.32,1.498,1.498,7.54,7.84,0.887,0.887,3.12,3.17
0.053,0.053,75.93,122.4,0.168,0.168,420.48,135.53,1.488,1.488,7.47,7.76,0.293,0.293,1.04,1.03
0.08,0.08,100.0,200.0,0.07,0.07,140.83,82.64,1.267,1.267,6.38,6.59,0.521,0.521,1.84,1.86
0.016,0.016,31.23,37.01,0.144,0.144,288.53,118.12,1.501,1.501,7.53,7.83,0.088,0.088,0.31,0.31
0.084,0.084,93.2,174.52,0.025,0.025,41.32,34.25,1.721,1.721,8.68,9.07,2.843,2.843,10.05,9.57
0.247,0.247,493.23,142.3,0.145,0.145,290.22,118.4,1.999,1.999,10.04,10.57,3.243,3.243,11.46,10.84
0.09,0.09,100.0,200.0,0.019,0.019,26.68,23.54,1.258,1.258,6.34,6.55,0.494,0.494,1.75,1.73
0.006,0.006,11.03,10.46,0.161,0.161,402.8,133.64,1.501,1.501,7.54,7.83,0.211,0.211,0.75,0.74
0.09,0.09,100.0,200.0,0.049,0.049,70.53,52.14,1.308,1.308,6.59,6.81,0.631,0.631,2.23,2.26
0.019,0.019,37.6,46.31,0.175,0.175,581.77,148.83,1.496,1.496,7.51,7.8,0.238,0.238,0.84,0.84
0.2,0.2,100.0,200.0,0.029,0.029,32.61,28.04,1.114,1.114,5.66,5.82,0.576,0.576,2.03,2.06
0.173,0.173,288.09,118.05,0.167,0.167,555.61,147.06,1.603,1.603,8.05,8.39,0.314,0.314,1.11,1.1
0.006,0.006,7.07,7.33,0.058,0.058,83.26,58.79,1.46,1.46,7.35,7.63,0.838,0.838,2.96,3.01
0.08,0.08,100.0,200.0,0.043,0.043,61.44,88.69,1.179,1.179,5.94,6.12,2.958,2.958,10.45,11.03
0.046,0.046,65.91,98.31,0.174,0.174,435.15,137.02,1.501,1.501,7.54,7.83,0.29,0.29,1.03,1.02
0.06,0.06,100.0,200.0,0.057,0.057,95.8,64.77,1.291,1.291,6.5,6.72,0.606,0.606,2.14,2.17
0.07,0.07,100.0,200.0,0.081,0.081,161.38,89.31,2.321,2.321,11.66,12.38,3.55,3.55,12.54,11.8
0.123,0.123,137.02,81.31,0.006,0.006,9.06,9.49,2.042,2.042,10.3,10.86,2.839,2.839,10.03,9.55
0.07,0.07,99.83,66.59,0.26,0.26,432.87,136.8,1.209,1.209,6.08,6.27,1.049,1.049,3.71,3.64
0.07,0.07,100.0,200.0,0.107,0.107,213.83,103.34,1.328,1.328,6.69,6.92,0.193,0.193,0.68,0.69
0.005,0.005,7.72,8.03,0.177,0.177,442.71,137.76,1.525,1.525,7.65,7.96,0.372,0.372,1.31,1.3
0.08,0.08,100.0,200.0,0.066,0.066,131.05,79.17,1.305,1.305,6.57,6.8,0.644,0.644,2.27,2.3
0.188,0.188,94.24,178.2,0.1,0.1,99.94,66.64,1.292,1.292,6.56,6.78,0.09,0.09,0.32,0.32
0.359,0.359,718.28,156.44,0.312,0.312,780.32,159.2,1.724,1.724,8.65,9.04,2.874,2.874,10.16,9.66
0.017,0.017,19.01,21.01,0.085,0.085,142.28,83.14,1.487,1.487,7.49,7.78,0.909,0.909,3.2,3.25
0.019,0.019,46.92,61.3,0.152,0.152,304.19,120.67,1.513,1.513,7.59,7.89,0.182,0.182,0.64,0.64
0.07,0.07,100.0,200.0,0.051,0.051,73.38,53.68,1.269,1.269,6.39,6.6,0.526,0.526,1.86,1.88
0.042,0.042,69.5,106.51,0.169,0.169,421.62,135.65,1.473,1.473,7.4,7.68,0.307,0.307,1.08,1.08
0.08,0.08,100.0,200.0,0.04,0.04,67.16,50.27,1.397,1.397,7.04,7.29,0.917,0.917,3.24,3.29
0.06,0.06,100.0,200.0,0.184,0.184,614.83,150.91,1.532,1.532,7.69,8.0,0.206,0.206,0.73,0.73
0.08,0.08,100.0,200.0,0.053,0.053,75.02,54.56,1.272,1.272,6.41,6.62,0.559,0.559,1.97,1.99
0.033,0.033,54.52,74.95,0.161,0.161,403.11,133.68,1.51,1.51,7.58,7.88,0.163,0.163,0.58,0.57
0.07,0.07,100.0,200.0,0.063,0.063,104.19,68.5,1.292,1.292,6.51,6.73,0.582,0.582,2.06,2.08
0.015,0.015,38.0,46.92,0.155,0.155,310.08,121.58,1.463,1.463,7.35,7.63,0.275,0.275,0.97,0.97
0.26,0.26,100.0,200.0,0.014,0.014,13.71,12.83,1.056,1.056,5.38,5.53,0.599,0.599,2.12,2.14
