cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.433,0.433,8.55,8.94,0.183,0.183,17.73,19.45,0.269,0.269,1.93,1.91,0.197,0.197,2.05,2.03
0.562,0.562,10.82,11.44,0.253,0.253,23.19,26.23,0.479,0.479,3.5,3.44,0.56,0.56,6.08,5.91
0.474,0.474,9.31,9.77,0.118,0.118,12.4,13.22,0.319,0.319,2.29,2.26,0.406,0.406,4.02,4.11
0.58,0.58,11.07,11.72,0.214,0.214,20.43,22.75,0.402,0.402,2.93,2.89,0.575,0.575,6.19,6.0
0.447,0.447,8.8,9.21,0.262,0.262,24.27,27.62,0.402,0.402,2.9,2.86,0.03,0.03,0.31,0.31
0.311,0.311,6.13,6.32,0.278,0.278,24.82,28.34,0.247,0.247,1.79,1.77,0.23,0.23,2.39,2.36
0.204,0.204,3.88,3.96,0.217,0.217,21.3,23.84,0.029,0.029,0.21,0.21,1.402,1.402,15.93,14.75
0.016,0.016,0.31,0.31,0.322,0.322,29.56,34.69,0.453,0.453,3.31,3.25,0.14,0.14,1.51,1.5
0.438,0.438,8.45,8.82,0.339,0.339,30.31,35.72,0.489,0.489,3.56,3.5,0.216,0.216,2.32,2.29
0.343,0.343,6.74,6.98,0.201,0.201,20.11,22.36,0.384,0.384,2.77,2.74,0.018,0.018,0.19,0.19
0.581,0.581,11.1,11.75,0.245,0.245,23.33,26.41,0.462,0.462,3.37,3.31,0.53,0.53,5.83,5.66
0.522,0.522,10.0,10.53,0.084,0.084,9.36,9.82,0.329,0.329,2.37,2.35,0.093,0.093,0.98,0.97
0.464,0.464,8.95,9.36,0.31,0.31,27.95,32.49,0.398,0.398,2.9,2.86,0.327,0.327,3.52,3.46
0.436,0.436,8.56,8.95,0.217,0.217,21.11,23.6,0.297,0.297,2.14,2.12,0.046,0.046,0.47,0.47
0.461,0.461,9.05,9.48,0.331,0.331,28.5,33.23,0.411,0.411,2.99,2.95,0.134,0.134,1.4,1.39
0.528,0.528,10.33,10.89,0.154,0.154,15.44,16.73,0.311,0.311,2.24,2.21,0.201,0.201,2.09,2.07
0.538,0.538,10.46,11.04,0.315,0.315,27.42,31.77,0.467,0.467,3.4,3.35,0.575,0.575,6.25,6.06
0.502,0.502,9.84,10.35,0.152,0.152,15.37,16.65,0.35,0.35,2.52,2.49,0.182,0.182,1.84,1.86
0.132,0.132,2.53,2.57,0.283,0.283,26.21,30.17,0.063,0.063,0.46,0.46,0.579,0.579,6.03,5.86
0.21,0.21,4.12,4.2,0.325,0.325,29.31,34.34,0.518,0.518,3.74,3.67,0.479,0.479,5.21,5.08
0.112,0.112,2.14,2.16,0.294,0.294,28.59,33.36,0.216,0.216,1.58,1.57,1.066,1.066,11.59,10.95
0.082,0.082,1.6,1.62,0.261,0.261,25.8,29.62,0.333,0.333,2.4,2.37,0.109,0.109,1.12,1.12
0.24,0.24,4.63,4.74,0.234,0.234,23.15,26.18,0.324,0.324,2.34,2.31,0.495,0.495,5.32,5.18
0.522,0.522,10.13,10.68,0.302,0.302,28.01,32.57,0.649,0.649,4.72,4.61,0.313,0.313,3.36,3.31
0.163,0.163,3.24,3.29,0.26,0.26,24.26,27.61,0.125,0.125,0.9,0.9,0.036,0.036,0.37,0.37
0.609,0.609,11.55,12.26,0.133,0.133,13.75,14.77,0.392,0.392,2.86,2.82,0.97,0.97,11.02,10.45
0.142,0.142,2.75,2.79,0.152,0.152,15.81,17.17,0.017,0.017,0.12,0.12,0.254,0.254,2.73,2.69
0.452,0.452,8.6,8.99,0.215,0.215,21.28,23.82,0.299,0.299,2.17,2.15,0.345,0.345,3.75,3.68
0.069,0.069,1.38,1.39,0.276,0.276,25.59,29.34,0.047,0.047,0.34,0.34,0.03,0.03,0.31,0.31
0.51,0.51,9.81,10.31,0.189,0.189,18.67,20.59,0.32,0.32,2.32,2.3,0.97,0.97,11.14,10.56
0.284,0.284,5.55,5.4,0.261,0.261,25.63,29.39,0.306,0.306,2.21,2.23,0.619,0.619,6.73,6.51
0.125,0.125,2.4,2.43,0.34,0.34,31.23,37.01,0.502,0.502,3.66,3.6,0.054,0.054,0.58,0.58
0.22,0.22,4.3,4.4,0.225,0.225,22.32,25.13,0.294,0.294,2.12,2.1,0.059,0.059,0.63,0.63
0.447,0.447,8.6,8.99,0.32,0.32,29.07,34.01,0.556,0.556,4.05,3.97,0.084,0.084,0.89,0.89
0.083,0.083,1.64,1.66,0.229,0.229,21.79,24.46,0.074,0.074,0.54,0.54,0.052,0.052,0.54,0.54
0.458,0.458,8.8,9.21,0.215,0.215,20.45,22.78,0.347,0.347,2.53,2.5,0.622,0.622,6.84,6.61
0.353,0.353,6.93,7.18,0.148,0.148,15.23,16.49,0.188,0.188,1.35,1.34,0.139,0.139,1.47,1.46
0.528,0.528,10.11,10.65,0.265,0.265,24.5,27.92,0.422,0.422,3.08,3.03,0.064,0.064,0.67,0.66
0.496,0.496,9.63,10.11,0.112,0.112,11.86,12.61,0.25,0.25,1.8,1.79,0.158,0.158,1.65,1.64
0.398,0.398,7.76,8.07,0.357,0.357,30.52,36.01,0.345,0.345,2.51,2.48,0.52,0.52,5.65,5.5
0.569,0.569,11.01,11.66,0.104,0.104,11.14,11.79,0.366,0.366,2.64,2.6,0.02,0.02,0.2,0.2
1.637,1.637,25.85,29.69,0.145,0.145,21.37,19.31,1.419,1.419,11.16,10.57,0.933,0.933,10.61,10.07
3.813,3.813,207.21,101.77,0.367,0.367,108.03,70.14,4.012,4.012,23.11,26.13,0.834,0.834,9.37,8.95
2.052,2.052,165.46,90.55,0.208,0.208,61.17,46.84,2.088,2.088,11.55,12.25,0.252,0.252,2.83,2.87
0.755,0.755,62.37,47.54,0.12,0.12,30.88,26.75,0.892,0.892,4.94,5.06,0.045,0.045,0.51,0.51
0.961,0.961,103.34,68.14,0.124,0.124,35.49,30.14,1.138,1.138,6.16,6.35,0.199,0.199,2.24,2.26
0.483,0.483,29.65,34.81,0.082,0.082,17.4,19.05,0.357,0.357,2.05,2.03,0.076,0.076,0.85,0.85
0.154,0.154,16.59,15.32,0.055,0.055,14.85,13.83,0.392,0.392,2.13,2.15,0.073,0.073,0.82,0.82
0.696,0.696,43.48,55.56,0.128,0.128,26.7,30.82,0.553,0.553,3.18,3.13,0.186,0.186,2.09,2.06
0.011,0.011,1.15,1.14,0.115,0.115,38.36,32.19,0.323,0.323,1.75,1.77,0.001,0.001,0.02,0.02
0.556,0.556,36.85,45.17,0.113,0.113,24.09,27.39,0.508,0.508,2.93,2.89,0.19,0.19,2.14,2.12
0.039,0.039,4.15,4.07,0.084,0.084,26.41,23.33,0.315,0.315,1.71,1.73,0.027,0.027,0.31,0.31
0.594,0.594,37.81,46.62,0.142,0.142,28.96,33.87,0.533,0.533,3.07,3.02,0.17,0.17,1.91,1.89
0.02,0.02,2.02,2.04,0.175,0.175,30.62,36.15,0.244,0.244,1.32,1.33,0.064,0.064,0.72,0.72
0.198,0.198,12.94,13.84,0.419,0.419,53.71,73.43,0.161,0.161,0.93,0.93,0.461,0.461,5.18,5.05
0.181,0.181,16.61,18.11,0.196,0.196,30.14,35.48,0.128,0.128,0.7,0.69,0.036,0.036,0.41,0.41
0.76,0.76,42.94,54.69,0.239,0.239,38.59,47.82,0.766,0.766,4.42,4.32,0.145,0.145,1.63,1.62
0.231,0.231,21.97,24.68,0.308,0.308,41.65,52.6,0.064,0.064,0.35,0.35,0.028,0.028,0.32,0.32
0.548,0.548,34.69,41.97,0.492,0.492,55.23,76.29,0.378,0.378,2.18,2.16,0.31,0.31,3.48,3.42
0.191,0.191,18.52,20.4,0.402,0.402,44.62,57.43,0.238,0.238,1.29,1.3,0.149,0.149,1.68,1.66
0.775,0.775,47.82,62.85,0.154,0.154,24.49,27.9,0.539,0.539,3.11,3.06,0.513,0.513,5.77,5.6
0.096,0.096,10.86,11.48,0.139,0.139,38.55,32.32,0.241,0.241,1.31,1.32,0.208,0.208,2.34,2.31
0.781,0.781,51.39,69.15,0.205,0.205,34.2,41.26,0.606,0.606,3.49,3.43,0.376,0.376,4.22,4.13
