cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.326,0.326,6.32,6.53,0.238,0.238,21.43,24.0,0.024,0.024,0.17,0.17,0.96,0.96,10.43,9.91
0.532,0.532,10.51,11.09,0.19,0.19,18.14,19.94,0.122,0.122,0.88,0.87,0.631,0.631,6.57,6.36
0.581,0.581,11.34,12.02,0.264,0.264,23.36,26.45,0.274,0.274,2.0,1.98,0.472,0.472,4.92,4.8
0.552,0.552,10.91,11.53,0.167,0.167,16.2,17.63,0.123,0.123,0.89,0.88,0.647,0.647,6.74,6.52
0.663,0.663,12.78,13.66,0.219,0.219,20.08,22.32,0.308,0.308,2.25,2.23,1.071,1.071,11.64,11.0
0.604,0.604,11.87,12.62,0.092,0.092,9.71,10.21,0.113,0.113,0.81,0.81,0.133,0.133,1.32,1.31
0.737,0.737,14.07,15.13,0.188,0.188,17.91,19.67,0.306,0.306,2.23,2.2,0.783,0.783,8.42,8.08
0.548,0.548,10.78,11.39,0.219,0.219,20.3,22.59,0.154,0.154,1.11,1.11,0.657,0.657,6.7,6.48
0.509,0.509,10.03,10.56,0.261,0.261,23.27,26.33,0.166,0.166,1.2,1.2,0.5,0.5,5.21,5.08
0.595,0.595,11.31,11.99,0.143,0.143,14.04,15.1,0.081,0.081,0.59,0.59,1.574,1.574,17.88,16.41
0.454,0.454,8.88,9.29,0.22,0.22,20.2,22.47,0.191,0.191,1.4,1.39,1.142,1.142,12.28,11.57
0.27,0.27,5.21,5.35,0.254,0.254,22.71,25.62,0.145,0.145,1.05,1.06,0.628,0.628,6.75,6.53
0.578,0.578,11.35,12.03,0.138,0.138,13.8,14.83,0.179,0.179,1.29,1.28,0.519,0.519,5.41,5.27
0.558,0.558,10.64,11.24,0.175,0.175,16.66,18.18,0.128,0.128,0.94,0.93,1.052,1.052,11.56,10.92
0.729,0.729,13.96,15.01,0.043,0.043,4.78,4.9,0.184,0.184,1.33,1.32,0.74,0.74,7.79,7.5
0.6,0.6,11.56,12.27,0.25,0.25,22.5,25.35,0.233,0.233,1.7,1.68,0.725,0.725,7.79,7.5
0.496,0.496,9.74,10.24,0.181,0.181,17.55,19.23,0.037,0.037,0.27,0.27,0.463,0.463,4.77,4.66
0.547,0.547,10.72,11.33,0.292,0.292,25.18,28.81,0.238,0.238,1.74,1.72,0.519,0.519,5.41,5.27
0.63,0.63,12.34,13.15,0.139,0.139,13.92,14.96,0.144,0.144,1.03,1.03,0.691,0.691,7.19,6.94
0.645,0.645,12.54,13.38,0.275,0.275,23.92,27.17,0.326,0.326,2.38,2.35,1.077,1.077,11.71,11.06
0.629,0.629,12.33,13.14,0.136,0.136,13.78,14.8,0.16,0.16,1.15,1.15,0.344,0.344,3.47,3.41
0.687,0.687,13.23,14.17,0.211,0.211,19.57,21.69,0.322,0.322,2.35,2.32,0.483,0.483,5.03,4.9
0.394,0.394,7.72,8.03,0.247,0.247,22.24,25.03,0.012,0.012,0.09,0.09,1.373,1.373,14.92,13.89
0.693,0.693,13.22,14.16,0.164,0.164,15.88,17.25,0.279,0.279,2.03,2.01,1.084,1.084,11.78,11.12
0.505,0.505,9.82,10.33,0.15,0.15,14.88,16.07,0.045,0.045,0.32,0.32,0.519,0.519,5.35,5.21
0.63,0.63,12.16,12.95,0.153,0.153,15.11,16.34,0.157,0.157,1.13,1.13,0.784,0.784,8.43,8.09
0.419,0.419,8.14,8.49,0.21,0.21,19.4,21.49,0.044,0.044,0.32,0.32,1.022,1.022,10.99,10.41
0.543,0.543,10.77,11.38,0.216,0.216,20.21,22.48,0.171,0.171,1.23,1.23,0.505,0.505,5.26,5.12
0.421,0.421,7.98,8.31,0.092,0.092,9.46,9.93,0.08,0.08,0.58,0.58,1.373,1.373,15.6,14.48
0.716,0.716,13.9,14.93,0.098,0.098,10.24,10.79,0.213,0.213,1.53,1.52,0.948,0.948,10.2,9.7
0.249,0.249,4.75,4.87,0.144,0.144,14.26,15.35,0.244,0.244,1.77,1.79,0.732,0.732,7.96,7.65
0.495,0.495,9.88,10.39,0.231,0.231,21.38,23.94,0.152,0.152,1.1,1.09,0.48,0.48,5.0,4.88
0.32,0.32,6.14,6.34,0.14,0.14,13.84,14.87,0.16,0.16,1.16,1.17,1.402,1.402,16.11,14.91
0.694,0.694,13.58,14.56,0.158,0.158,15.49,16.79,0.293,0.293,2.12,2.09,1.057,1.057,11.49,10.87
0.189,0.189,3.63,3.7,0.232,0.232,21.28,23.81,0.219,0.219,1.6,1.61,0.794,0.794,8.63,8.27
0.573,0.573,11.2,11.86,0.158,0.158,15.64,16.97,0.127,0.127,0.92,0.92,0.644,0.644,6.85,6.62
0.382,0.382,7.34,7.62,0.225,0.225,20.5,22.84,0.04,0.04,0.29,0.29,0.717,0.717,7.63,7.35
0.499,0.499,9.88,10.4,0.192,0.192,18.29,20.13,0.121,0.121,0.87,0.87,0.54,0.54,5.63,5.47
0.252,0.252,4.85,4.97,0.164,0.164,15.66,16.99,0.197,0.197,1.43,1.44,1.148,1.148,12.62,11.87
0.602,0.602,11.8,12.54,0.107,0.107,11.06,11.71,0.115,0.115,0.82,0.82,0.739,0.739,7.78,7.49
0.549,0.549,10.52,11.1,0.216,0.216,19.99,22.21,0.155,0.155,1.13,1.13,0.447,0.447,4.65,4.55
0.661,0.661,12.83,13.71,0.089,0.089,9.51,9.98,0.146,0.146,1.05,1.05,0.596,0.596,6.21,6.03
0.57,0.57,11.11,11.76,0.301,0.301,25.73,29.53,0.24,0.24,1.75,1.73,1.073,1.073,11.66,11.02
0.557,0.557,10.78,11.39,0.076,0.076,8.19,8.53,0.009,0.009,0.06,0.06,0.505,0.505,5.2,5.07
1.85,1.85,29.23,34.23,0.19,0.19,27.88,24.47,1.347,1.347,10.6,10.07,1.282,1.282,14.57,13.58
2.735,2.735,148.65,85.27,0.514,0.514,151.31,86.14,3.406,3.406,19.62,21.75,1.377,1.377,15.47,14.36
4.385,4.385,353.62,127.75,0.506,0.506,148.92,85.36,5.199,5.199,28.75,33.58,1.094,1.094,12.29,11.58
0.174,0.174,14.42,15.54,0.056,0.056,14.36,13.4,0.1,0.1,0.56,0.56,0.247,0.247,2.78,2.74
0.271,0.271,29.15,34.13,0.038,0.038,10.81,10.26,0.052,0.052,0.28,0.28,0.163,0.163,1.84,1.82
0.954,0.954,58.51,82.71,0.183,0.183,39.04,48.51,0.794,0.794,4.57,4.47,0.099,0.099,1.12,1.12
0.363,0.363,39.07,48.55,0.002,0.002,0.65,0.64,0.087,0.087,0.47,0.47,0.153,0.153,1.72,1.7
0.683,0.683,42.68,54.27,0.152,0.152,31.56,37.48,0.477,0.477,2.74,2.7,0.007,0.007,0.08,0.08
0.449,0.449,45.81,59.42,0.068,0.068,22.75,20.43,0.173,0.173,0.94,0.94,0.157,0.157,1.77,1.75
0.641,0.641,42.47,53.93,0.137,0.137,29.14,34.1,0.607,0.607,3.5,3.44,0.021,0.021,0.24,0.24
0.365,0.365,39.22,48.78,0.048,0.048,14.94,13.9,0.095,0.095,0.51,0.51,0.155,0.155,1.75,1.73
0.722,0.722,46.01,59.75,0.171,0.171,34.9,42.28,0.611,0.611,3.52,3.46,0.019,0.019,0.22,0.22
0.476,0.476,48.09,63.31,0.21,0.21,36.84,45.16,0.179,0.179,0.97,0.97,0.138,0.138,1.56,1.54
0.669,0.669,43.75,55.99,0.468,0.468,60.01,85.73,0.604,0.604,3.48,3.42,0.04,0.04,0.45,0.45
0.399,0.399,36.56,44.74,0.236,0.236,36.33,44.39,0.044,0.044,0.24,0.24,0.284,0.284,3.2,3.14
0.87,0.87,49.14,65.14,0.286,0.286,46.14,59.97,0.541,0.541,3.12,3.07,0.003,0.003,0.04,0.04
0.39,0.39,37.13,45.59,0.33,0.33,44.65,57.48,0.015,0.015,0.08,0.08,0.225,0.225,2.53,2.5
0.642,0.642,40.6,50.94,0.559,0.559,62.85,91.64,0.487,0.487,2.8,2.77,0.004,0.004,0.05,0.05
0.377,0.377,36.56,44.74,0.485,0.485,53.92,73.82,0.027,0.027,0.15,0.15,0.225,0.225,2.53,2.5
0.759,0.759,46.82,61.13,0.295,0.295,46.81,61.11,0.564,0.564,3.25,3.2,0.015,0.015,0.17,0.17
0.23,0.23,26.18,30.12,0.067,0.067,18.68,17.08,0.003,0.003,0.02,0.02,0.234,0.234,2.63,2.6
0.712,0.712,46.87,61.21,0.277,0.277,46.1,59.91,0.657,0.657,3.78,3.71,0.012,0.012,0.14,0.14
0.389,0.389,42.79,54.44,0.047,0.047,14.54,13.56,0.138,0.138,0.75,0.74,0.17,0.17,1.91,1.89
0.759,0.759,48.03,63.22,0.096,0.096,22.81,25.75,0.641,0.641,3.69,3.63,0.02,0.02,0.23,0.23
0.377,0.377,42.79,54.44,0.039,0.039,12.24,11.54,0.193,0.193,1.05,1.04,0.161,0.161,1.81,1.8
0.749,0.749,48.61,64.22,0.221,0.221,41.76,52.78,0.753,0.753,4.36,4.26,0.018,0.018,0.2,0.2
0.385,0.385,37.41,46.02,0.079,0.079,25.48,22.6,0.168,0.168,0.92,0.92,0.241,0.241,2.71,2.68
0.742,0.742,47.56,62.4,0.192,0.192,38.48,47.65,0.646,0.646,3.73,3.66,0.034,0.034,0.38,0.38
0.434,0.434,43.38,55.4,0.129,0.129,25.72,29.52,0.133,0.133,0.72,0.72,0.182,0.182,2.05,2.03
0.767,0.767,49.78,66.27,0.43,0.43,58.89,83.46,0.746,0.746,4.31,4.22,0.044,0.044,0.49,0.49
0.417,0.417,40.93,51.46,0.309,0.309,44.16,56.67,0.104,0.104,0.56,0.56,0.216,0.216,2.43,2.4
0.81,0.81,47.94,63.05,0.41,0.41,55.46,76.74,0.544,0.544,3.13,3.09,0.009,0.009,0.1,0.1
