cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
2.091,2.091,20.04,22.28,0.421,0.421,22.78,25.71,2.61,2.61,36.6,30.94,4.878,4.878,9.03,9.46
2.15,2.15,21.1,19.09,0.633,0.633,38.6,32.35,2.723,2.723,35.97,43.86,3.038,3.038,5.89,6.07
1.23,1.23,13.21,14.15,0.073,0.073,5.41,5.27,1.566,1.566,18.13,16.62,5.025,5.025,9.76,9.3
2.821,2.821,29.66,34.83,0.401,0.401,24.61,28.06,3.093,3.093,37.58,31.64,4.889,4.889,9.53,9.1
1.35,1.35,14.41,15.53,0.389,0.389,22.08,24.82,1.649,1.649,19.33,17.63,4.145,4.145,8.11,7.8
2.037,2.037,22.17,24.93,0.573,0.573,32.92,39.41,1.97,1.97,22.26,20.03,4.33,4.33,8.47,8.13
1.657,1.657,18.21,20.03,0.006,0.006,0.42,0.42,1.624,1.624,18.0,16.52,4.915,4.915,9.6,9.16
1.64,1.64,17.14,18.75,0.18,0.18,12.03,12.8,1.724,1.724,20.33,18.45,0.455,0.455,0.89,0.9
0.769,0.769,8.03,8.37,0.11,0.11,6.56,6.78,0.917,0.917,11.15,10.56,2.302,2.302,4.5,4.4
0.213,0.213,2.31,2.28,0.135,0.135,9.36,8.94,0.294,0.294,3.34,3.4,0.259,0.259,0.51,0.51
1.21,1.21,13.21,14.14,0.055,0.055,4.18,4.27,1.392,1.392,15.53,14.41,4.542,4.542,8.87,8.49
1.077,1.077,11.78,12.52,0.107,0.107,7.24,7.51,1.277,1.277,14.43,13.46,2.866,2.866,5.6,5.45
1.247,1.247,13.49,14.46,0.107,0.107,7.14,7.4,1.581,1.581,18.07,16.57,1.864,1.864,3.64,3.58
1.27,1.27,14.03,15.09,0.227,0.227,13.95,15.0,1.195,1.195,13.28,12.45,1.111,1.111,2.17,2.15
0.547,0.547,5.92,6.1,0.137,0.137,9.6,9.16,0.499,0.499,5.54,5.39,5.266,5.266,10.27,9.76
1.926,1.926,20.21,22.49,0.106,0.106,7.09,7.35,1.873,1.873,21.88,19.72,0.28,0.28,0.55,0.55
1.659,1.659,18.37,20.23,0.208,0.208,14.83,16.02,1.799,1.799,19.76,17.99,1.794,1.794,3.49,3.43
0.853,0.853,9.49,9.96,0.18,0.18,11.77,12.51,1.043,1.043,11.51,10.88,1.218,1.218,2.37,2.34
0.188,0.188,2.06,2.08,0.196,0.196,12.63,13.48,0.285,0.285,3.21,3.16,3.617,3.617,7.04,6.8
1.43,1.43,16.0,17.39,0.306,0.306,20.25,22.54,1.795,1.795,20.01,18.19,2.325,2.325,4.51,4.41
