cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.786,0.786,70.83,52.3,0.243,0.243,51.8,41.15,1.138,1.138,6.24,6.45,0.519,0.519,1.41,1.4
0.292,0.292,16.16,17.58,0.111,0.111,15.82,14.66,0.607,0.607,3.52,3.46,2.864,2.864,7.76,8.08
0.123,0.123,11.09,11.74,0.028,0.028,7.03,7.28,0.482,0.482,2.66,2.62,1.249,1.249,3.38,3.44
0.619,0.619,36.18,44.18,0.129,0.129,26.92,31.11,0.727,0.727,4.23,4.14,1.107,1.107,3.0,3.05
0.426,0.426,39.77,33.18,0.103,0.103,21.52,19.43,0.754,0.754,4.13,4.22,2.104,2.104,5.69,5.85
1.025,1.025,56.61,78.96,0.429,0.429,51.12,68.67,1.303,1.303,7.55,7.28,2.659,2.659,7.19,7.45
0.762,0.762,73.95,53.99,0.36,0.36,67.98,50.73,0.656,0.656,3.6,3.66,0.737,0.737,1.99,2.01
1.218,1.218,124.25,76.64,0.616,0.616,205.18,101.28,1.801,1.801,9.88,10.4,2.117,2.117,5.72,5.89
0.032,0.032,2.0,2.02,0.145,0.145,26.28,23.23,0.338,0.338,1.96,1.94,2.448,2.448,6.63,6.86
0.397,0.397,32.06,27.63,0.193,0.193,28.77,33.6,0.964,0.964,5.3,5.44,0.859,0.859,2.33,2.36
0.339,0.339,17.82,19.57,0.434,0.434,45.2,58.39,0.188,0.188,1.09,1.09,1.394,1.394,3.77,3.84
0.459,0.459,46.41,37.67,0.413,0.413,114.62,72.86,0.391,0.391,2.15,2.17,0.89,0.89,2.4,2.38
0.22,0.22,21.31,19.26,0.263,0.263,73.02,53.49,0.159,0.159,0.88,0.88,0.598,0.598,1.62,1.63
0.697,0.697,40.78,51.23,0.051,0.051,6.85,7.09,1.433,1.433,8.35,8.01,0.249,0.249,0.67,0.68
0.359,0.359,29.93,35.19,0.121,0.121,19.47,21.57,0.577,0.577,3.19,3.14,1.214,1.214,3.29,3.35
