cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
14.393,14.393,94.82,180.29,0.196,0.196,196.05,99.0,14.036,14.036,339.02,125.79,0.764,0.764,2.49,2.46
8.181,8.181,73.11,53.54,0.028,0.028,39.48,32.97,7.367,7.367,91.06,167.17,0.514,0.514,1.67,1.68
13.585,13.585,78.12,128.19,0.832,0.832,924.77,164.44,12.945,12.945,660.47,153.51,20.854,20.854,67.71,50.58
1.19,1.19,6.85,6.62,0.005,0.005,7.51,7.81,1.281,1.281,64.71,95.67,0.749,0.749,2.43,2.45
0.11,0.11,0.61,0.61,0.021,0.021,30.4,35.84,0.01,0.01,0.68,0.68,0.3,0.3,0.98,0.98
0.292,0.292,1.71,1.7,0.001,0.001,2.35,2.38,0.209,0.209,8.7,9.1,2.323,2.323,7.57,7.86
0.639,0.639,3.72,3.65,0.005,0.005,5.61,5.77,1.037,1.037,47.12,61.65,0.43,0.43,1.4,1.39
3.587,3.587,25.03,22.25,0.016,0.016,20.08,22.32,4.472,4.472,88.56,158.92,0.998,0.998,3.25,3.3
3.555,3.555,22.7,20.39,0.016,0.016,31.45,27.17,2.841,2.841,76.99,125.18,0.062,0.062,0.2,0.2
0.542,0.542,3.16,3.11,0.044,0.044,62.46,90.82,0.783,0.783,35.6,43.31,0.632,0.632,2.05,2.07
0.368,0.368,2.18,2.16,0.033,0.033,55.26,43.3,0.232,0.232,9.29,9.75,1.079,1.079,3.5,3.57
3.394,3.394,23.17,20.76,0.048,0.048,53.51,73.06,2.925,2.925,62.77,91.48,0.578,0.578,1.87,1.85
0.173,0.173,0.93,0.94,0.002,0.002,3.42,3.37,0.185,0.185,20.11,22.36,0.564,0.564,1.83,1.81
3.991,3.991,28.25,24.75,0.056,0.056,55.65,77.1,3.457,3.457,67.78,102.53,0.509,0.509,1.65,1.67
4.592,4.592,32.02,27.6,0.004,0.004,6.11,6.31,4.089,4.089,82.28,139.78,0.961,0.961,3.12,3.17
2.758,2.758,17.76,16.31,0.019,0.019,19.0,20.99,3.012,3.012,79.68,132.46,0.656,0.656,2.13,2.15
0.573,0.573,3.14,3.09,0.058,0.058,96.96,65.3,0.904,0.904,76.59,124.11,0.377,0.377,1.22,1.21
0.718,0.718,4.1,4.01,0.026,0.026,32.13,38.28,0.919,0.919,48.37,63.79,2.223,2.223,7.19,7.46
4.098,4.098,28.58,25.0,0.009,0.009,10.97,10.4,4.425,4.425,89.95,163.47,1.545,1.545,5.0,4.88
2.637,2.637,16.23,15.02,0.059,0.059,65.26,96.86,1.618,1.618,52.55,71.27,2.828,2.828,9.18,9.63
2.913,2.913,18.75,17.14,0.008,0.008,11.23,10.63,2.254,2.254,59.33,84.35,0.924,0.924,2.99,3.04
6.25,6.25,58.41,45.21,0.015,0.015,15.17,14.1,6.278,6.278,73.69,116.68,1.749,1.749,5.68,5.52
3.07,3.07,19.82,18.03,0.002,0.002,2.61,2.58,2.542,2.542,65.34,97.05,1.268,1.268,4.12,4.03
0.481,0.481,2.58,2.55,0.001,0.001,2.1,2.12,0.299,0.299,45.29,36.93,0.073,0.073,0.24,0.24
2.13,2.13,13.77,12.88,0.029,0.029,41.91,53.02,2.254,2.254,58.08,81.86,0.461,0.461,1.5,1.49
1.429,1.429,7.98,7.68,0.052,0.052,51.59,69.52,1.44,1.44,96.66,187.08,0.667,0.667,2.18,2.21
0.451,0.451,2.6,2.56,0.034,0.034,42.73,35.21,0.391,0.391,19.75,21.91,2.043,2.043,6.65,6.44
0.34,0.34,1.94,1.93,0.061,0.061,50.55,67.64,0.463,0.463,25.58,29.33,0.463,0.463,1.5,1.52
3.764,3.764,27.32,24.03,0.018,0.018,23.12,26.14,3.196,3.196,57.79,81.27,1.352,1.352,4.39,4.49
0.279,0.279,1.54,1.53,0.026,0.026,26.14,30.07,0.035,0.035,2.8,2.76,1.572,1.572,5.1,4.98
2.136,2.136,11.78,11.12,0.033,0.033,55.27,76.39,1.343,1.343,112.88,200.0,0.22,0.22,0.71,0.72
2.684,2.684,15.9,14.73,0.003,0.003,4.35,4.45,1.998,1.998,81.2,136.7,1.009,1.009,3.29,3.34
1.029,1.029,6.0,5.82,0.052,0.052,52.48,71.14,0.887,0.887,40.87,51.36,1.546,1.546,5.02,4.9
2.121,2.121,12.12,11.42,0.061,0.061,60.89,87.53,1.81,1.81,90.52,165.36,0.453,0.453,1.48,1.49
0.096,0.096,0.52,0.52,0.031,0.031,39.15,48.68,0.003,0.003,0.32,0.32,0.255,0.255,0.83,0.83
0.415,0.415,2.32,2.3,0.046,0.046,46.01,59.75,0.013,0.013,0.89,0.88,1.338,1.338,4.34,4.25
1.154,1.154,6.94,6.7,0.009,0.009,12.33,11.61,1.374,1.374,50.7,67.92,0.869,0.869,2.83,2.79
0.451,0.451,2.75,2.71,0.029,0.029,42.09,53.32,0.952,0.952,32.04,38.15,2.14,2.14,6.95,7.2
2.272,2.272,15.14,14.08,0.02,0.02,21.78,19.64,1.973,1.973,46.2,60.07,0.461,0.461,1.49,1.5
3.541,3.541,25.13,22.32,0.037,0.037,30.57,36.08,2.982,2.982,57.35,80.41,1.869,1.869,6.05,5.87
0.481,0.481,2.7,2.66,0.001,0.001,1.57,1.56,0.107,0.107,7.13,6.88,0.948,0.948,3.07,3.12
0.635,0.635,3.51,3.45,0.005,0.005,7.77,8.09,0.436,0.436,33.29,39.94,0.975,0.975,3.17,3.12
2.686,2.686,16.69,15.41,0.016,0.016,19.93,22.14,2.314,2.314,69.91,107.47,1.363,1.363,4.41,4.51
3.658,3.658,24.72,22.0,0.036,0.036,44.38,57.04,2.862,2.862,63.89,93.88,1.712,1.712,5.54,5.7
2.382,2.382,14.67,13.66,0.028,0.028,31.39,37.23,2.038,2.038,64.3,94.77,0.192,0.192,0.62,0.62
0.282,0.282,1.72,1.71,0.026,0.026,28.54,33.3,1.16,1.16,39.07,48.55,0.526,0.526,1.7,1.72
0.835,0.835,4.99,4.87,0.031,0.031,43.84,56.14,0.685,0.685,25.94,29.81,1.966,1.966,6.36,6.57
0.308,0.308,1.71,1.73,0.02,0.02,33.12,28.41,0.124,0.124,8.55,8.2,1.137,1.137,3.68,3.75
1.516,1.516,8.65,8.29,0.052,0.052,58.31,82.31,1.391,1.391,74.41,118.49,1.838,1.838,5.95,6.13
3.132,3.132,20.21,18.35,0.035,0.035,43.23,35.55,3.183,3.183,83.53,143.44,1.059,1.059,3.44,3.38
1.296,1.296,7.18,7.44,0.033,0.033,55.83,43.65,0.763,0.763,59.65,45.94,0.346,0.346,1.13,1.12
1.891,1.891,11.5,10.88,0.014,0.014,13.88,14.91,1.866,1.866,65.48,97.36,0.233,0.233,0.76,0.76
2.156,2.156,13.79,12.9,0.056,0.056,46.78,61.06,2.312,2.312,65.11,96.55,1.318,1.318,4.29,4.39
0.628,0.628,3.7,3.63,0.03,0.03,37.41,46.01,0.522,0.522,22.13,24.88,0.967,0.967,3.14,3.09
1.169,1.169,6.8,6.58,0.006,0.006,9.05,9.48,0.969,0.969,43.47,55.55,1.356,1.356,4.4,4.5
1.771,1.771,10.45,9.93,0.045,0.045,50.44,67.44,1.533,1.533,67.51,101.91,0.573,0.573,1.86,1.88
2.095,2.095,13.04,12.24,0.019,0.019,27.54,31.94,1.756,1.756,55.05,75.96,0.017,0.017,0.05,0.05
0.96,0.96,5.8,5.63,0.016,0.016,26.78,23.62,0.622,0.622,22.88,25.83,0.636,0.636,2.06,2.04
0.714,0.714,4.27,4.18,0.015,0.015,18.72,20.66,0.018,0.018,0.73,0.73,1.146,1.146,3.72,3.79
0.926,0.926,5.47,5.32,0.039,0.039,42.79,54.43,1.406,1.406,58.11,81.9,0.143,0.143,0.46,0.46
0.481,0.481,2.68,2.65,0.022,0.022,37.3,31.44,0.269,0.269,18.17,19.99,0.278,0.278,0.91,0.9
2.179,2.179,13.9,13.0,0.039,0.039,38.66,47.92,2.294,2.294,63.55,93.15,0.189,0.189,0.61,0.62
1.003,1.003,6.06,5.88,0.02,0.02,39.8,33.19,0.43,0.43,15.52,16.83,1.11,1.11,3.61,3.68
4.622,4.622,38.3,32.14,0.005,0.005,5.39,5.54,5.266,5.266,73.34,115.81,1.175,1.175,3.82,3.74
12.632,12.632,75.23,120.6,1.204,1.204,1337.29,173.98,11.507,11.507,449.48,138.41,15.828,15.828,51.39,40.89
0.081,0.081,0.47,0.46,0.004,0.004,4.05,3.97,0.13,0.13,5.89,6.07,0.5,0.5,1.62,1.64
1.302,1.302,8.15,7.83,0.021,0.021,21.08,23.57,1.585,1.585,47.47,62.24,1.495,1.495,4.85,4.74
0.318,0.318,1.76,1.75,0.016,0.016,22.79,20.46,0.722,0.722,50.17,66.97,1.478,1.478,4.81,4.93
1.148,1.148,6.68,6.47,0.0,0.0,0.4,0.4,1.557,1.557,67.12,101.02,0.281,0.281,0.91,0.92
2.691,2.691,17.02,15.69,0.003,0.003,3.72,3.79,2.046,2.046,57.65,80.99,1.044,1.044,3.39,3.45
2.579,2.579,18.3,16.77,0.021,0.021,29.94,26.04,2.909,2.909,55.95,77.67,1.395,1.395,4.53,4.63
3.204,3.204,20.47,18.57,0.057,0.057,114.41,72.78,3.664,3.664,97.19,189.06,0.98,0.98,3.19,3.14
0.494,0.494,2.82,2.78,0.041,0.041,37.5,46.15,0.537,0.537,31.79,27.43,0.052,0.052,0.17,0.17
0.144,0.144,0.82,0.82,0.009,0.009,15.31,16.58,0.223,0.223,12.67,11.91,0.89,0.89,2.9,2.86
4.166,4.166,30.06,26.13,0.056,0.056,55.92,77.61,4.314,4.314,79.0,130.59,0.175,0.175,0.57,0.57
3.197,3.197,19.73,17.96,0.042,0.042,37.85,46.68,2.909,2.909,92.35,171.58,0.351,0.351,1.14,1.13
0.53,0.53,2.91,2.95,0.024,0.024,26.84,31.01,0.516,0.516,45.65,37.17,0.203,0.203,0.66,0.66
0.494,0.494,2.82,2.86,0.02,0.02,24.69,28.17,0.544,0.544,30.36,26.36,0.515,0.515,1.68,1.69
0.039,0.039,0.22,0.22,0.047,0.047,52.43,71.05,0.138,0.138,7.37,7.11,0.633,0.633,2.06,2.08
3.837,3.837,25.77,22.83,0.046,0.046,41.36,52.15,3.491,3.491,80.26,134.07,0.597,0.597,1.94,1.92
0.259,0.259,1.45,1.44,0.002,0.002,3.3,3.36,0.085,0.085,6.0,6.19,1.735,1.735,5.63,5.8
0.81,0.81,4.47,4.57,0.015,0.015,19.26,21.31,0.776,0.776,62.1,47.38,0.886,0.886,2.88,2.84
0.878,0.878,4.86,4.75,0.034,0.034,37.85,46.68,1.0,1.0,71.94,112.35,0.647,0.647,2.11,2.13
1.356,1.356,8.34,8.0,0.008,0.008,11.32,10.71,0.938,0.938,30.96,36.64,0.257,0.257,0.84,0.84
1.732,1.732,10.8,10.24,0.006,0.006,7.45,7.18,1.784,1.784,53.42,72.88,1.034,1.034,3.36,3.41
0.285,0.285,1.58,1.59,0.005,0.005,9.74,9.28,0.928,0.928,65.83,49.53,1.679,1.679,5.45,5.6
4.238,4.238,28.01,24.57,0.039,0.039,39.2,48.75,3.429,3.429,82.22,139.63,1.481,1.481,4.81,4.93
0.907,0.907,4.82,4.94,0.013,0.013,15.67,14.53,0.669,0.669,113.43,72.38,0.868,0.868,2.83,2.79
0.621,0.621,3.5,3.44,0.014,0.014,27.21,23.95,1.071,1.071,67.77,102.5,0.547,0.547,1.78,1.8
1.83,1.83,11.16,10.57,0.008,0.008,13.05,13.97,1.495,1.495,49.83,66.37,1.182,1.182,3.84,3.77
2.498,2.498,15.53,14.41,0.05,0.05,49.53,65.84,1.898,1.898,58.23,82.15,0.754,0.754,2.45,2.42
0.475,0.475,2.67,2.7,0.049,0.049,82.29,58.3,0.476,0.476,28.14,32.74,1.12,1.12,3.64,3.7
2.108,2.108,12.0,11.32,0.0,0.0,0.71,0.7,0.774,0.774,43.72,55.95,0.335,0.335,1.09,1.1
3.134,3.134,20.36,18.48,0.029,0.029,32.47,38.77,3.176,3.176,82.71,141.04,0.172,0.172,0.56,0.56
3.1,3.1,19.98,18.16,0.012,0.012,15.01,16.23,2.714,2.714,70.49,108.85,1.67,1.67,5.42,5.28
1.693,1.693,9.17,9.61,0.048,0.048,68.34,50.93,1.533,1.533,174.23,93.11,0.325,0.325,1.06,1.06
1.461,1.461,8.65,8.29,0.028,0.028,46.93,61.32,0.843,0.843,34.83,42.17,0.264,0.264,0.85,0.85
3.55,3.55,21.82,19.67,0.01,0.01,17.22,15.85,2.935,2.935,95.93,184.36,1.072,1.072,3.48,3.54
1.238,1.238,7.11,6.87,0.069,0.069,62.48,90.86,0.232,0.232,11.88,12.62,1.664,1.664,5.4,5.55
2.511,2.511,16.34,15.1,0.02,0.02,17.02,18.6,2.239,2.239,58.77,83.22,0.081,0.081,0.26,0.26
1.19,1.19,6.36,6.57,0.001,0.001,1.6,1.61,0.921,0.921,153.52,86.85,0.062,0.062,0.2,0.2
1.236,1.236,7.22,6.97,0.02,0.02,34.07,29.11,0.652,0.652,29.79,35.0,0.279,0.279,0.91,0.91
0.303,0.303,1.69,1.67,0.007,0.007,12.35,13.16,0.293,0.293,20.64,23.02,0.731,0.731,2.37,2.35
3.164,3.164,19.37,17.66,0.049,0.049,54.89,75.65,2.231,2.231,75.63,121.63,1.466,1.466,4.76,4.88
2.002,2.002,12.03,11.35,0.019,0.019,30.96,26.81,1.398,1.398,52.57,71.32,0.283,0.283,0.92,0.92
1.66,1.66,9.74,9.29,0.011,0.011,16.32,15.09,1.114,1.114,49.94,66.56,0.597,0.597,1.94,1.96
0.941,0.941,5.18,5.04,0.048,0.048,68.21,50.86,1.081,1.081,84.48,146.25,0.734,0.734,2.38,2.41
0.699,0.699,3.87,3.95,0.001,0.001,1.67,1.68,0.363,0.363,28.11,24.64,1.321,1.321,4.29,4.2
1.174,1.174,6.64,6.43,0.004,0.004,5.67,5.84,0.31,0.31,18.14,19.95,0.803,0.803,2.61,2.57
0.408,0.408,2.4,2.37,0.053,0.053,88.47,61.34,0.196,0.196,8.18,8.53,1.119,1.119,3.62,3.69
0.782,0.782,4.59,4.49,0.015,0.015,22.14,19.93,0.614,0.614,25.49,29.22,0.083,0.083,0.27,0.27
0.939,0.939,5.38,5.24,0.02,0.02,17.81,19.55,0.033,0.033,1.78,1.76,1.238,1.238,4.02,4.1
1.029,1.029,5.59,5.75,0.027,0.027,44.21,36.21,0.711,0.711,72.58,53.25,1.819,1.819,5.89,6.06
0.016,0.016,0.09,0.09,0.019,0.019,27.79,32.27,0.567,0.567,44.28,56.88,0.825,0.825,2.68,2.72
2.873,2.873,16.66,15.38,0.033,0.033,33.18,39.78,1.116,1.116,53.89,73.77,1.186,1.186,3.85,3.93
1.298,1.298,7.75,7.46,0.003,0.003,3.82,3.75,1.604,1.604,63.9,93.91,2.292,2.292,7.46,7.75
1.428,1.428,8.6,8.24,0.041,0.041,45.72,59.27,0.508,0.508,19.25,21.3,1.177,1.177,3.82,3.75
1.655,1.655,9.83,9.37,0.058,0.058,58.13,81.94,1.662,1.662,65.93,98.36,0.915,0.915,2.97,2.93
