cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.903,0.903,4.85,4.74,0.027,0.027,45.38,58.7,0.722,0.722,69.39,106.26,3.978,3.978,15.07,14.01
1.078,1.078,5.92,5.75,0.023,0.023,25.68,29.46,1.67,1.67,107.05,200.0,0.712,0.712,2.7,2.66
0.568,0.568,3.04,2.99,0.008,0.008,9.6,10.08,0.276,0.276,24.86,28.38,1.967,1.967,7.48,7.77
0.269,0.269,1.47,1.48,0.033,0.033,47.1,38.12,0.026,0.026,1.71,1.72,2.145,2.145,8.16,7.84
1.104,1.104,5.9,6.08,0.015,0.015,21.23,23.75,0.416,0.416,37.44,31.54,0.594,0.594,2.26,2.23
0.721,0.721,3.88,3.96,0.028,0.028,27.62,32.04,0.499,0.499,40.28,33.52,3.41,3.41,12.92,12.13
1.929,1.929,10.38,10.95,0.041,0.041,82.64,58.48,0.847,0.847,68.29,50.91,2.485,2.485,9.41,9.88
0.84,0.84,4.54,4.64,0.005,0.005,6.9,6.67,0.379,0.379,28.96,25.3,4.175,4.175,15.81,14.66
0.297,0.297,1.56,1.54,0.027,0.027,53.85,73.69,0.611,0.611,78.3,128.67,1.879,1.879,7.12,6.87
1.636,1.636,9.08,9.51,0.031,0.031,31.25,37.04,1.251,1.251,72.31,53.11,0.484,0.484,1.84,1.82
0.144,0.144,0.76,0.77,0.039,0.039,48.17,63.45,0.209,0.209,21.16,19.13,2.746,2.746,10.48,9.96
0.051,0.051,0.27,0.27,0.007,0.007,9.62,9.18,0.159,0.159,15.03,16.26,0.47,0.47,1.79,1.78
1.385,1.385,7.46,7.74,0.014,0.014,23.76,21.23,0.341,0.341,27.68,24.32,0.103,0.103,0.39,0.39
0.506,0.506,2.7,2.74,0.02,0.02,24.78,28.29,0.462,0.462,42.43,35.0,0.209,0.209,0.8,0.79
0.042,0.042,0.23,0.23,0.005,0.005,5.26,5.12,0.139,0.139,10.54,11.13,0.978,0.978,3.73,3.66
1.188,1.188,6.32,6.52,0.008,0.008,12.52,13.35,1.438,1.438,142.38,83.17,1.963,1.963,7.46,7.75
0.147,0.147,0.79,0.8,0.044,0.044,54.78,75.44,0.378,0.378,29.1,34.06,1.906,1.906,7.27,7.55
0.907,0.907,4.9,4.78,0.009,0.009,11.21,11.88,1.254,1.254,97.93,191.9,1.346,1.346,5.14,5.01
0.243,0.243,1.32,1.32,0.03,0.03,59.04,45.58,0.095,0.095,6.4,6.61,1.783,1.783,6.78,6.56
0.871,0.871,4.8,4.92,0.005,0.005,7.09,7.36,1.182,1.182,72.1,52.99,1.116,1.116,4.24,4.16
1.456,1.456,7.71,8.02,0.052,0.052,86.65,152.88,1.33,1.33,138.53,81.84,0.372,0.372,1.41,1.42
0.862,0.862,4.64,4.75,0.042,0.042,70.48,52.12,0.063,0.063,5.14,5.01,2.162,2.162,8.22,7.9
2.018,2.018,10.74,11.34,0.003,0.003,4.83,4.94,0.817,0.817,82.54,58.43,0.189,0.189,0.72,0.72
