cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
3.428,3.428,39.72,49.57,0.412,0.412,30.3,35.71,4.166,4.166,43.48,35.72,0.131,0.131,0.46,0.46
4.311,4.311,49.33,65.48,0.763,0.763,54.92,75.71,5.723,5.723,66.32,49.8,0.522,0.522,1.85,1.87
3.783,3.783,37.13,45.59,0.78,0.78,38.05,46.99,8.334,8.334,204.76,101.18,0.272,0.272,0.95,0.94
7.922,7.922,70.73,109.43,2.037,2.037,65.72,97.88,11.717,11.717,224.47,105.76,2.451,2.451,8.51,8.89
3.11,3.11,36.54,44.71,0.219,0.219,13.95,14.99,1.078,1.078,11.55,10.92,2.458,2.458,8.63,8.27
3.637,3.637,37.42,46.03,0.799,0.799,43.16,55.04,4.819,4.819,62.99,47.9,0.375,0.375,1.33,1.32
0.965,0.965,12.98,12.19,0.007,0.007,0.52,0.52,0.238,0.238,2.4,2.43,0.83,0.83,2.94,2.9
1.641,1.641,25.06,28.65,0.124,0.124,11.71,11.06,2.729,2.729,24.35,21.71,0.878,0.878,3.12,3.17
1.226,1.226,19.34,17.63,0.519,0.519,45.16,36.84,1.421,1.421,11.81,12.56,0.534,0.534,1.89,1.88
1.362,1.362,21.62,24.24,0.196,0.196,16.59,18.1,1.7,1.7,14.07,13.15,0.148,0.148,0.52,0.52
0.235,0.235,3.77,3.7,0.117,0.117,9.18,9.63,0.483,0.483,3.98,4.07,0.62,0.62,2.2,2.22
2.921,2.921,46.51,37.73,0.433,0.433,36.1,30.58,3.581,3.581,29.55,34.67,0.78,0.78,2.75,2.72
3.249,3.249,49.23,65.31,0.557,0.557,44.96,57.99,3.725,3.725,32.09,27.65,0.883,0.883,3.13,3.18
0.374,0.374,5.77,5.95,0.186,0.186,14.23,15.31,0.224,0.224,1.86,1.84,0.539,0.539,1.91,1.93
4.344,4.344,63.98,94.07,0.828,0.828,63.68,93.43,5.676,5.676,49.79,39.87,1.169,1.169,4.13,4.22
0.271,0.271,4.4,4.49,0.04,0.04,3.84,3.77,0.431,0.431,3.55,3.49,0.932,0.932,3.29,3.24
0.528,0.528,8.54,8.19,0.131,0.131,12.12,11.43,0.703,0.703,5.79,5.96,0.168,0.168,0.59,0.59
3.201,3.201,51.05,40.67,0.332,0.332,30.16,26.21,3.979,3.979,32.8,39.23,0.044,0.044,0.16,0.16
2.838,2.838,45.4,58.73,0.325,0.325,30.34,35.77,3.425,3.425,28.1,24.64,1.035,1.035,3.66,3.73
0.124,0.124,1.86,1.87,0.155,0.155,11.57,12.28,0.106,0.106,0.91,0.91,0.29,0.29,1.03,1.02
0.625,0.625,9.68,9.24,0.242,0.242,22.4,20.14,0.441,0.441,3.74,3.81,0.012,0.012,0.04,0.04
2.027,2.027,31.88,37.92,0.468,0.468,38.33,47.41,2.316,2.316,19.27,17.57,0.478,0.478,1.69,1.7
1.292,1.292,19.72,21.88,0.281,0.281,22.5,25.36,1.296,1.296,10.77,10.22,0.254,0.254,0.9,0.9
8.883,8.883,134.39,200.0,1.367,1.367,105.99,200.0,9.406,9.406,78.38,56.31,5.9,5.9,20.85,23.28
0.314,0.314,5.04,5.17,0.003,0.003,0.26,0.26,0.195,0.195,1.57,1.56,0.066,0.066,0.23,0.24
5.034,5.034,79.9,133.05,0.297,0.297,30.33,35.75,4.205,4.205,36.95,31.19,7.916,7.916,27.97,32.52
1.581,1.581,25.88,22.92,1.151,1.151,118.68,74.48,0.849,0.849,6.92,7.17,2.378,2.378,8.4,8.77
1.81,1.81,29.2,25.48,0.65,0.65,59.67,45.96,6.694,6.694,54.96,75.79,0.664,0.664,2.35,2.32
3.426,3.426,54.03,74.03,0.254,0.254,23.75,21.23,0.298,0.298,2.45,2.42,8.792,8.792,31.07,36.78
0.706,0.706,11.16,10.57,0.253,0.253,23.62,21.12,1.096,1.096,8.93,9.35,0.079,0.079,0.28,0.28
1.146,1.146,18.27,16.74,0.237,0.237,23.96,21.4,1.648,1.648,13.25,14.19,1.13,1.13,3.99,3.92
0.105,0.105,1.69,1.71,0.304,0.304,23.56,26.71,0.084,0.084,0.68,0.68,0.201,0.201,0.71,0.71
2.593,2.593,39.11,48.62,0.645,0.645,47.42,62.16,2.935,2.935,24.79,22.05,0.451,0.451,1.6,1.61
4.161,4.161,68.67,51.12,0.5,0.5,51.56,40.99,6.38,6.38,51.2,68.83,2.088,2.088,7.41,7.14
0.051,0.051,0.85,0.86,0.085,0.085,8.48,8.86,0.028,0.028,0.23,0.23,0.36,0.36,1.28,1.28
2.052,2.052,32.73,28.13,0.436,0.436,39.63,33.07,2.033,2.033,16.84,18.39,0.89,0.89,3.16,3.11
1.461,1.461,23.79,21.26,0.365,0.365,38.03,31.96,1.981,1.981,15.95,17.34,0.41,0.41,1.45,1.44
0.258,0.258,4.38,4.48,0.085,0.085,7.1,7.36,0.463,0.463,3.73,3.66,0.486,0.486,1.72,1.71
0.066,0.066,1.01,1.0,0.217,0.217,18.88,20.85,0.202,0.202,1.69,1.68,0.221,0.221,0.78,0.78
1.187,1.187,19.23,21.28,0.171,0.171,15.96,17.35,1.306,1.306,10.59,10.06,0.485,0.485,1.72,1.7
6.252,6.252,89.44,161.81,1.334,1.334,95.31,182.1,7.713,7.713,69.74,51.71,1.69,1.69,5.93,6.11
1.701,1.701,26.71,30.82,0.485,0.485,37.05,45.48,2.854,2.854,26.65,23.51,1.04,1.04,3.65,3.72
2.261,2.261,35.0,29.79,0.261,0.261,21.59,19.49,4.113,4.113,33.94,40.87,2.07,2.07,7.26,7.54
2.225,2.225,35.43,43.06,0.563,0.563,51.22,68.85,2.847,2.847,23.39,20.94,2.123,2.123,7.42,7.71
1.022,1.022,16.54,18.03,0.073,0.073,6.71,6.95,4.112,4.112,44.4,36.34,1.124,1.124,3.93,4.01
0.474,0.474,7.74,7.46,0.201,0.201,19.94,22.15,0.117,0.117,0.96,0.96,5.41,5.41,18.92,20.89
1.705,1.705,27.5,24.18,0.364,0.364,33.44,28.65,1.893,1.893,15.47,16.76,0.139,0.139,0.49,0.49
1.391,1.391,20.95,23.4,0.179,0.179,16.15,17.57,1.657,1.657,14.04,13.12,0.243,0.243,0.85,0.85
4.594,4.594,73.27,53.62,0.825,0.825,72.33,53.12,6.172,6.172,50.47,67.5,0.85,0.85,2.97,2.93
3.612,3.612,58.45,45.23,0.72,0.72,61.53,47.06,4.011,4.011,32.77,39.2,0.331,0.331,1.16,1.15
2.661,2.661,41.91,34.65,0.334,0.334,25.27,22.44,2.828,2.828,23.65,26.82,0.292,0.292,1.02,1.02
0.358,0.358,5.5,5.35,0.063,0.063,4.65,4.77,0.232,0.232,1.95,1.97,0.3,0.3,1.05,1.06
1.906,1.906,28.15,32.77,0.501,0.501,41.78,52.82,2.305,2.305,20.06,18.23,0.434,0.434,1.54,1.55
3.12,3.12,47.86,38.62,0.903,0.903,97.1,65.37,4.328,4.328,36.22,44.23,0.622,0.622,2.22,2.2
1.111,1.111,17.25,15.88,0.194,0.194,17.63,16.2,1.351,1.351,11.2,11.87,0.75,0.75,2.68,2.64
1.073,1.073,17.15,18.76,0.21,0.21,17.93,19.69,1.286,1.286,10.61,10.08,0.024,0.024,0.09,0.09
