cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.68,0.68,64.8,48.95,0.581,0.581,165.86,90.67,1.116,1.116,6.11,6.3,0.538,0.538,4.01,3.93
0.408,0.408,23.87,27.1,0.173,0.173,21.57,24.18,0.52,0.52,3.0,2.96,0.205,0.205,1.53,1.52
0.007,0.007,0.66,0.66,0.009,0.009,2.44,2.47,0.207,0.207,1.14,1.14,0.113,0.113,0.84,0.84
0.687,0.687,37.76,46.55,0.518,0.518,55.07,76.0,0.749,0.749,4.33,4.23,0.313,0.313,2.34,2.31
0.23,0.23,17.84,16.38,0.044,0.044,8.13,7.81,0.844,0.844,4.64,4.75,1.209,1.209,9.02,8.63
0.161,0.161,9.21,9.65,0.239,0.239,27.83,32.33,0.054,0.054,0.31,0.31,0.176,0.176,1.32,1.31
0.625,0.625,46.26,37.57,0.156,0.156,22.98,20.61,1.454,1.454,7.97,8.3,0.29,0.29,2.15,2.17
0.006,0.006,0.33,0.33,0.245,0.245,31.36,37.19,0.386,0.386,2.22,2.25,0.277,0.277,2.05,2.07
0.341,0.341,30.98,26.82,0.103,0.103,22.94,20.58,0.456,0.456,2.5,2.53,0.462,0.462,3.45,3.39
0.04,0.04,2.55,2.59,0.044,0.044,9.55,9.12,0.224,0.224,1.29,1.28,0.808,0.808,6.03,5.85
0.412,0.412,44.32,36.28,0.197,0.197,61.42,46.99,0.264,0.264,1.44,1.45,0.54,0.54,4.03,4.11
0.038,0.038,2.48,2.45,0.176,0.176,30.92,26.78,0.159,0.159,0.92,0.91,0.304,0.304,2.27,2.25
0.008,0.008,0.86,0.86,0.109,0.109,37.73,31.74,0.109,0.109,0.6,0.59,0.202,0.202,1.5,1.52
0.131,0.131,8.19,8.54,0.06,0.06,9.39,9.85,0.427,0.427,2.47,2.44,0.038,0.038,0.28,0.28
0.213,0.213,23.44,20.98,0.048,0.048,16.0,17.4,0.165,0.165,0.91,0.91,0.648,0.648,4.8,4.92
0.55,0.55,35.02,42.46,0.302,0.302,50.41,67.39,0.836,0.836,4.83,4.71,0.417,0.417,3.09,3.04
0.57,0.57,45.96,37.37,0.426,0.426,64.6,48.83,0.843,0.843,4.64,4.75,0.641,0.641,4.75,4.86
0.103,0.103,6.83,6.6,0.218,0.218,27.6,32.02,0.34,0.34,1.91,1.93,0.062,0.062,0.46,0.46
0.145,0.145,9.39,9.86,0.006,0.006,0.81,0.81,0.193,0.193,1.09,1.08,0.027,0.027,0.2,0.2
0.557,0.557,50.64,40.41,0.389,0.389,97.21,65.42,0.675,0.675,3.71,3.78,0.446,0.446,3.3,3.36
0.451,0.451,28.02,32.58,0.361,0.361,56.37,78.49,0.549,0.549,3.17,3.12,0.028,0.028,0.21,0.21
