cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.066,0.066,1.31,1.3,0.212,0.212,21.65,19.53,0.282,0.282,2.02,2.04,1.085,1.085,10.85,11.47
0.092,0.092,1.76,1.78,0.038,0.038,3.92,3.84,0.034,0.034,0.25,0.25,0.208,0.208,2.28,2.31
0.017,0.017,0.32,0.32,0.1,0.1,9.5,9.98,0.017,0.017,0.12,0.12,0.375,0.375,4.13,4.21
0.028,0.028,0.54,0.54,0.126,0.126,12.74,11.97,0.055,0.055,0.4,0.4,0.523,0.523,5.51,5.66
0.023,0.023,0.43,0.43,0.034,0.034,3.14,3.19,0.128,0.128,0.94,0.93,0.309,0.309,3.39,3.45
0.039,0.039,0.77,0.76,0.162,0.162,17.58,16.16,0.076,0.076,0.54,0.55,0.287,0.287,2.99,3.04
0.029,0.029,0.57,0.57,0.056,0.056,4.86,4.98,0.135,0.135,0.99,0.98,0.113,0.113,1.25,1.24
0.018,0.018,0.35,0.35,0.036,0.036,3.47,3.53,0.04,0.04,0.29,0.29,0.226,0.226,2.48,2.45
0.006,0.006,0.12,0.12,0.097,0.097,10.87,10.31,0.109,0.109,0.79,0.79,0.525,0.525,5.53,5.68
0.01,0.01,0.19,0.19,0.037,0.037,3.3,3.36,0.105,0.105,0.77,0.77,0.05,0.05,0.55,0.55
0.096,0.096,1.86,1.85,0.157,0.157,16.57,15.3,0.234,0.234,1.68,1.7,0.358,0.358,3.77,3.84
0.195,0.195,3.73,3.8,0.019,0.019,1.75,1.74,0.067,0.067,0.49,0.49,0.047,0.047,0.51,0.51
0.187,0.187,3.74,3.68,0.001,0.001,0.12,0.12,0.075,0.075,0.54,0.54,0.843,0.843,8.69,9.08
0.012,0.012,0.22,0.22,0.051,0.051,5.34,5.2,0.056,0.056,0.41,0.41,0.51,0.51,5.37,5.51
0.118,0.118,2.27,2.3,0.057,0.057,5.48,5.63,0.22,0.22,1.6,1.59,0.201,0.201,2.19,2.17
0.127,0.127,2.49,2.46,0.078,0.078,7.79,8.1,0.064,0.064,0.46,0.46,0.002,0.002,0.02,0.02
0.202,0.202,3.81,3.89,0.085,0.085,8.03,8.37,0.291,0.291,2.13,2.11,0.246,0.246,2.71,2.67
0.018,0.018,0.35,0.35,0.036,0.036,3.83,3.76,0.045,0.045,0.32,0.32,0.263,0.263,2.77,2.81
0.041,0.041,0.77,0.77,0.018,0.018,1.73,1.74,0.095,0.095,0.69,0.7,0.39,0.39,4.1,4.19
0.094,0.094,1.83,1.84,0.091,0.091,9.14,8.74,0.073,0.073,0.53,0.53,1.016,1.016,10.47,11.05
0.118,0.118,2.25,2.28,0.089,0.089,9.34,8.92,0.02,0.02,0.14,0.14,0.413,0.413,4.49,4.39
0.1,0.1,1.92,1.94,0.035,0.035,3.39,3.45,0.116,0.116,0.84,0.84,0.179,0.179,2.04,2.02
0.0,0.0,0.0,0.0,0.039,0.039,4.3,4.4,0.05,0.05,0.36,0.36,0.063,0.063,0.67,0.67
0.148,0.148,2.83,2.87,0.028,0.028,2.78,2.74,0.172,0.172,1.24,1.23,0.253,0.253,2.66,2.69
0.213,0.213,4.2,4.12,0.137,0.137,14.16,13.22,0.288,0.288,2.06,2.08,1.23,1.23,12.68,13.54
0.059,0.059,1.11,1.12,0.056,0.056,6.13,5.94,0.096,0.096,0.7,0.69,0.158,0.158,1.74,1.76
0.014,0.014,0.28,0.28,0.053,0.053,4.84,4.96,0.092,0.092,0.67,0.67,0.517,0.517,5.95,5.77
0.102,0.102,1.99,1.97,0.061,0.061,6.04,6.23,0.106,0.106,0.76,0.77,0.152,0.152,1.63,1.62
0.074,0.074,1.41,1.42,0.023,0.023,2.25,2.28,0.175,0.175,1.28,1.27,0.259,0.259,2.73,2.69
0.083,0.083,1.64,1.63,0.043,0.043,4.6,4.5,0.106,0.106,0.76,0.76,0.425,0.425,4.47,4.57
0.01,0.01,0.19,0.19,0.018,0.018,1.8,1.78,0.082,0.082,0.6,0.59,0.038,0.038,0.41,0.41
0.102,0.102,1.99,1.97,0.144,0.144,12.98,13.88,0.048,0.048,0.34,0.35,0.561,0.561,6.52,6.32
0.077,0.077,1.5,1.49,0.063,0.063,6.79,6.57,0.053,0.053,0.38,0.38,0.255,0.255,2.77,2.74
0.01,0.01,0.19,0.19,0.057,0.057,5.54,5.69,0.072,0.072,0.53,0.52,0.153,0.153,1.65,1.66
0.044,0.044,0.85,0.85,0.115,0.115,13.03,12.23,0.006,0.006,0.04,0.04,0.512,0.512,5.45,5.6
0.001,0.001,0.03,0.03,0.095,0.095,9.86,9.4,0.006,0.006,0.05,0.05,0.184,0.184,2.02,2.0
0.056,0.056,1.09,1.08,0.111,0.111,11.76,11.11,0.14,0.14,1.01,1.01,0.31,0.31,3.41,3.47
0.131,0.131,2.58,2.55,0.006,0.006,0.53,0.53,0.156,0.156,1.12,1.13,0.017,0.017,0.19,0.19
0.005,0.005,0.1,0.1,0.082,0.082,7.63,7.93,0.116,0.116,0.84,0.84,0.077,0.077,0.81,0.82
0.088,0.088,1.7,1.69,0.091,0.091,9.19,9.64,0.076,0.076,0.55,0.55,0.187,0.187,1.99,2.01
0.198,0.198,3.68,3.75,0.16,0.16,16.28,15.06,0.066,0.066,0.49,0.49,0.017,0.017,0.18,0.18
0.177,0.177,3.35,3.41,0.138,0.138,14.57,13.58,0.099,0.099,0.72,0.72,0.12,0.12,1.31,1.32
0.182,0.182,3.53,3.59,0.039,0.039,3.9,3.98,0.184,0.184,1.33,1.32,0.489,0.489,5.31,5.17
0.139,0.139,2.7,2.74,0.197,0.197,16.99,18.57,0.143,0.143,1.04,1.04,0.095,0.095,1.01,1.0
0.092,0.092,1.78,1.8,0.001,0.001,0.13,0.13,0.064,0.064,0.46,0.46,0.279,0.279,2.94,2.98
0.093,0.093,1.79,1.81,0.057,0.057,5.57,5.73,0.137,0.137,1.0,1.0,0.188,0.188,2.04,2.06
0.038,0.038,0.73,0.73,0.135,0.135,13.6,12.74,0.002,0.002,0.01,0.01,0.243,0.243,2.83,2.79
0.082,0.082,1.61,1.59,0.034,0.034,3.2,3.25,0.001,0.001,0.01,0.01,0.288,0.288,3.13,3.18
0.149,0.149,2.86,2.9,0.105,0.105,9.6,10.08,0.165,0.165,1.2,1.19,0.35,0.35,3.72,3.79
0.011,0.011,0.22,0.22,0.05,0.05,5.06,4.93,0.135,0.135,0.97,0.97,0.191,0.191,2.04,2.06
0.044,0.044,0.83,0.84,0.017,0.017,1.67,1.66,0.061,0.061,0.45,0.45,0.64,0.64,7.03,6.79
0.065,0.065,1.25,1.26,0.069,0.069,7.05,6.81,0.062,0.062,0.45,0.45,0.107,0.107,1.18,1.19
0.199,0.199,3.85,3.77,0.01,0.01,1.04,1.05,0.038,0.038,0.28,0.28,0.072,0.072,0.79,0.79
0.128,0.128,2.43,2.45,0.036,0.036,3.53,3.59,0.164,0.164,1.2,1.19,0.209,0.209,2.27,2.24
0.123,0.123,2.4,2.38,0.045,0.045,4.73,4.62,0.219,0.219,1.58,1.59,0.068,0.068,0.72,0.72
0.146,0.146,2.79,2.83,0.072,0.072,7.06,7.31,0.035,0.035,0.26,0.26,0.111,0.111,1.22,1.21
0.028,0.028,0.54,0.54,0.008,0.008,0.82,0.81,0.039,0.039,0.28,0.28,0.272,0.272,2.99,3.03
0.029,0.029,0.55,0.55,0.107,0.107,10.32,10.88,0.135,0.135,0.99,0.98,0.037,0.037,0.4,0.4
0.01,0.01,0.2,0.2,0.032,0.032,3.04,3.08,0.151,0.151,1.1,1.09,0.082,0.082,0.9,0.9
0.159,0.159,3.13,3.09,0.002,0.002,0.17,0.17,0.043,0.043,0.31,0.31,0.275,0.275,2.95,3.0
0.163,0.163,3.11,3.16,0.033,0.033,3.07,3.12,0.062,0.062,0.45,0.45,0.049,0.049,0.54,0.54
0.247,0.247,4.94,4.82,0.109,0.109,9.6,10.09,0.024,0.024,0.18,0.18,0.737,0.737,7.52,7.81
0.077,0.077,1.48,1.47,0.049,0.049,4.83,4.72,0.13,0.13,0.95,0.95,0.242,0.242,2.65,2.69
0.076,0.076,1.43,1.44,0.038,0.038,3.54,3.6,0.105,0.105,0.76,0.76,0.029,0.029,0.32,0.32
0.034,0.034,0.67,0.67,0.018,0.018,1.79,1.78,0.052,0.052,0.38,0.38,0.182,0.182,1.98,2.0
0.154,0.154,2.92,2.96,0.099,0.099,9.6,10.09,0.294,0.294,2.15,2.12,0.219,0.219,2.4,2.38
0.057,0.057,1.1,1.09,0.006,0.006,0.65,0.65,0.049,0.049,0.35,0.35,0.733,0.733,7.71,8.02
0.029,0.029,0.56,0.57,0.201,0.201,18.81,20.76,0.263,0.263,1.92,1.91,0.201,0.201,2.19,2.16
0.066,0.066,1.28,1.27,0.095,0.095,9.36,9.81,0.019,0.019,0.14,0.14,0.106,0.106,1.11,1.11
0.067,0.067,1.3,1.29,0.07,0.07,6.35,6.56,0.018,0.018,0.13,0.13,0.028,0.028,0.31,0.31
0.026,0.026,0.51,0.51,0.141,0.141,12.34,13.15,0.219,0.219,1.59,1.58,0.142,0.142,1.56,1.57
0.083,0.083,1.63,1.61,0.08,0.08,7.97,8.3,0.081,0.081,0.59,0.59,0.455,0.455,4.84,4.96
0.1,0.1,1.91,1.93,0.048,0.048,4.52,4.62,0.176,0.176,1.28,1.27,0.421,0.421,4.63,4.53
0.042,0.042,0.83,0.82,0.067,0.067,6.53,6.32,0.087,0.087,0.63,0.63,0.534,0.534,5.56,5.72
0.043,0.043,0.84,0.83,0.104,0.104,10.09,9.61,0.063,0.063,0.46,0.46,0.235,0.235,2.59,2.62
0.03,0.03,0.58,0.58,0.055,0.055,5.01,4.89,0.125,0.125,0.91,0.92,0.066,0.066,0.72,0.72
0.147,0.147,2.9,2.86,0.033,0.033,3.36,3.42,0.01,0.01,0.07,0.07,0.435,0.435,4.58,4.69
0.02,0.02,0.4,0.39,0.088,0.088,8.44,8.82,0.081,0.081,0.58,0.59,0.034,0.034,0.38,0.38
0.002,0.002,0.04,0.04,0.044,0.044,4.5,4.61,0.061,0.061,0.44,0.44,0.531,0.531,5.36,5.51
0.065,0.065,1.25,1.26,0.07,0.07,6.68,6.91,0.154,0.154,1.12,1.11,0.425,0.425,4.67,4.56
0.128,0.128,2.49,2.46,0.08,0.08,7.43,7.71,0.083,0.083,0.6,0.6,0.036,0.036,0.4,0.4
0.043,0.043,0.84,0.84,0.099,0.099,10.89,10.33,0.033,0.033,0.24,0.24,0.303,0.303,3.19,3.25
0.058,0.058,1.13,1.12,0.141,0.141,13.27,14.22,0.11,0.11,0.8,0.8,0.461,0.461,5.07,4.94
0.111,0.111,2.19,2.17,0.12,0.12,13.09,12.28,0.322,0.322,2.3,2.33,0.728,0.728,7.58,7.88
0.06,0.06,1.15,1.15,0.039,0.039,3.67,3.74,0.069,0.069,0.5,0.5,0.469,0.469,5.16,5.29
0.126,0.126,2.5,2.47,0.003,0.003,0.34,0.34,0.093,0.093,0.67,0.67,0.462,0.462,4.81,4.93
0.027,0.027,0.5,0.51,0.007,0.007,0.69,0.7,0.08,0.08,0.59,0.58,0.285,0.285,3.0,3.05
0.034,0.034,0.64,0.65,0.066,0.066,6.94,6.71,0.116,0.116,0.85,0.84,0.268,0.268,2.95,2.99
0.195,0.195,3.71,3.78,0.194,0.194,21.53,19.44,0.011,0.011,0.08,0.08,0.293,0.293,3.12,3.17
0.146,0.146,2.84,2.88,0.03,0.03,2.78,2.82,0.15,0.15,1.09,1.09,0.261,0.261,2.87,2.83
0.004,0.004,0.08,0.08,0.039,0.039,3.99,3.91,0.036,0.036,0.26,0.26,0.89,0.89,9.08,9.51
0.013,0.013,0.25,0.25,0.159,0.159,14.61,15.76,0.23,0.23,1.67,1.66,0.151,0.151,1.59,1.6
0.176,0.176,3.48,3.42,0.084,0.084,7.39,7.68,0.046,0.046,0.33,0.33,0.077,0.077,0.85,0.84
0.037,0.037,0.71,0.71,0.008,0.008,0.75,0.75,0.087,0.087,0.63,0.63,0.006,0.006,0.07,0.07
0.13,0.13,2.53,2.5,0.066,0.066,5.81,5.98,0.102,0.102,0.74,0.74,0.178,0.178,1.96,1.94
0.041,0.041,0.79,0.79,0.109,0.109,12.21,11.51,0.137,0.137,0.98,0.99,0.807,0.807,8.49,8.87
0.056,0.056,1.09,1.1,0.021,0.021,1.9,1.92,0.166,0.166,1.21,1.2,0.457,0.457,4.81,4.92
0.139,0.139,2.77,2.73,0.033,0.033,3.14,3.19,0.104,0.104,0.75,0.75,0.773,0.773,8.05,8.39
0.192,0.192,3.62,3.69,0.015,0.015,1.58,1.6,0.198,0.198,1.45,1.43,0.016,0.016,0.17,0.17
0.19,0.19,3.7,3.64,0.212,0.212,18.56,20.45,0.095,0.095,0.69,0.69,0.034,0.034,0.38,0.38
3.912,3.912,77.15,55.67,1.078,1.078,102.71,67.86,5.82,5.82,42.11,53.34,2.894,2.894,30.46,26.43
0.039,0.039,0.76,0.75,0.138,0.138,12.67,13.53,0.107,0.107,0.78,0.77,0.706,0.706,7.43,7.71
0.018,0.018,0.35,0.35,0.054,0.054,5.48,5.63,0.042,0.042,0.3,0.3,0.303,0.303,3.15,3.2
0.262,0.262,4.91,5.04,0.145,0.145,15.48,14.37,0.067,0.067,0.49,0.48,0.104,0.104,1.13,1.13
0.001,0.001,0.03,0.03,0.1,0.1,8.64,9.03,0.087,0.087,0.63,0.63,0.197,0.197,2.21,2.19
0.096,0.096,1.84,1.86,0.123,0.123,14.48,13.5,0.055,0.055,0.4,0.4,0.507,0.507,5.34,5.48
0.678,0.678,11.75,12.49,0.177,0.177,14.01,15.07,0.859,0.859,6.63,6.42,0.875,0.875,10.18,9.68
7.228,7.228,345.82,126.72,1.202,1.202,179.44,94.58,9.168,9.168,54.25,74.43,5.136,5.136,61.15,46.83
0.097,0.097,8.62,8.26,0.157,0.157,22.46,25.3,0.558,0.558,3.02,3.07,0.136,0.136,1.6,1.61
0.221,0.221,13.3,12.47,0.389,0.389,59.79,46.03,0.509,0.509,2.91,2.96,0.027,0.027,0.32,0.32
0.115,0.115,12.75,11.98,0.416,0.416,60.29,86.31,0.111,0.111,0.6,0.6,0.291,0.291,3.43,3.49
0.406,0.406,24.61,28.06,0.26,0.26,30.27,35.67,0.659,0.659,3.81,3.74,0.056,0.056,0.66,0.66
0.123,0.123,11.93,11.26,0.153,0.153,29.99,35.28,0.178,0.178,0.97,0.98,0.171,0.171,2.01,2.03
0.328,0.328,18.96,20.94,0.213,0.213,22.89,25.85,0.432,0.432,2.5,2.47,0.139,0.139,1.64,1.65
0.139,0.139,15.07,16.3,0.096,0.096,26.64,23.51,0.488,0.488,2.65,2.61,0.085,0.085,1.0,1.0
0.971,0.971,57.11,79.94,0.65,0.65,84.37,145.94,1.454,1.454,8.4,8.06,0.049,0.049,0.57,0.58
0.47,0.47,50.04,40.03,0.17,0.17,51.47,40.93,0.733,0.733,3.98,4.06,0.204,0.204,2.41,2.43
0.274,0.274,16.8,18.35,0.128,0.128,19.74,21.9,0.473,0.473,2.73,2.7,0.208,0.208,2.45,2.48
0.846,0.846,92.98,63.47,0.51,0.51,137.83,81.6,1.14,1.14,6.19,6.39,0.139,0.139,1.63,1.65
0.249,0.249,15.57,16.88,0.071,0.071,10.78,11.4,0.472,0.472,2.73,2.69,0.185,0.185,2.18,2.2
0.392,0.392,42.13,34.8,0.26,0.26,76.59,55.38,0.59,0.59,3.2,3.25,0.002,0.002,0.02,0.02
0.38,0.38,24.99,28.56,0.027,0.027,4.57,4.47,0.753,0.753,4.33,4.24,0.284,0.284,3.34,3.4
0.502,0.502,43.67,35.84,0.204,0.204,45.39,37.0,0.508,0.508,2.81,2.86,0.457,0.457,5.38,5.53
