cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.21,0.21,4.0,4.08,0.008,0.008,0.76,0.77,0.281,0.281,2.05,2.03,0.111,0.111,1.12,1.11
0.068,0.068,1.34,1.33,0.03,0.03,3.08,3.13,0.093,0.093,0.67,0.67,0.536,0.536,5.15,5.29
0.002,0.002,0.04,0.04,0.019,0.019,1.88,1.87,0.144,0.144,1.05,1.04,0.007,0.007,0.07,0.07
0.049,0.049,0.95,0.95,0.036,0.036,3.49,3.43,0.05,0.05,0.36,0.36,0.447,0.447,4.52,4.42
0.005,0.005,0.1,0.1,0.045,0.045,4.45,4.36,0.005,0.005,0.04,0.04,0.693,0.693,6.8,7.04
0.001,0.001,0.01,0.01,0.113,0.113,9.98,10.5,0.109,0.109,0.79,0.79,0.759,0.759,7.67,7.97
0.043,0.043,0.84,0.83,0.062,0.062,6.04,5.87,0.309,0.309,2.23,2.25,0.248,0.248,2.45,2.48
0.064,0.064,1.24,1.25,0.01,0.01,0.97,0.97,0.021,0.021,0.15,0.15,0.108,0.108,1.1,1.1
0.069,0.069,1.35,1.35,0.054,0.054,5.45,5.3,0.133,0.133,0.96,0.96,0.703,0.703,6.89,7.14
0.084,0.084,1.62,1.64,0.077,0.077,7.02,7.28,0.056,0.056,0.41,0.4,1.134,1.134,11.01,11.65
0.038,0.038,0.73,0.73,0.135,0.135,12.83,13.71,0.183,0.183,1.34,1.33,0.169,0.169,1.66,1.65
0.026,0.026,0.51,0.51,0.067,0.067,6.72,6.95,0.278,0.278,2.02,2.0,0.04,0.04,0.4,0.4
0.025,0.025,0.48,0.49,0.011,0.011,1.16,1.17,0.065,0.065,0.46,0.47,0.953,0.953,8.9,9.32
0.208,0.208,4.01,4.1,0.158,0.158,15.8,14.64,0.063,0.063,0.46,0.46,0.184,0.184,1.86,1.88
0.237,0.237,4.56,4.66,0.0,0.0,0.0,0.0,0.103,0.103,0.75,0.74,0.027,0.027,0.27,0.27
0.149,0.149,2.92,2.88,0.061,0.061,5.82,5.99,0.221,0.221,1.59,1.6,0.419,0.419,4.23,4.14
0.073,0.073,1.41,1.42,0.082,0.082,7.29,7.57,0.114,0.114,0.83,0.83,0.004,0.004,0.04,0.04
0.097,0.097,1.89,1.87,0.088,0.088,8.93,9.35,0.015,0.015,0.11,0.11,0.004,0.004,0.04,0.04
0.086,0.086,1.64,1.65,0.007,0.007,0.73,0.74,0.109,0.109,0.79,0.8,0.019,0.019,0.19,0.19
0.012,0.012,0.23,0.23,0.066,0.066,7.23,6.98,0.029,0.029,0.21,0.21,1.12,1.12,10.98,11.62
0.017,0.017,0.33,0.33,0.043,0.043,4.04,4.12,0.078,0.078,0.57,0.57,0.008,0.008,0.08,0.08
0.145,0.145,2.76,2.8,0.02,0.02,2.07,2.05,0.05,0.05,0.37,0.37,0.745,0.745,7.17,7.43
0.015,0.015,0.3,0.3,0.023,0.023,2.04,2.07,0.076,0.076,0.55,0.56,0.734,0.734,7.12,7.39
0.11,0.11,2.17,2.15,0.03,0.03,2.84,2.8,0.269,0.269,1.93,1.95,1.197,1.197,11.19,11.85
0.046,0.046,0.89,0.9,0.051,0.051,4.54,4.64,0.017,0.017,0.13,0.13,0.038,0.038,0.38,0.38
0.12,0.12,2.33,2.3,0.051,0.051,4.78,4.9,0.077,0.077,0.56,0.56,0.431,0.431,4.58,4.48
0.071,0.071,1.38,1.37,0.063,0.063,6.28,6.48,0.146,0.146,1.05,1.05,0.042,0.042,0.43,0.43
