cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.534,0.534,3.05,3.1,0.032,0.032,34.67,41.94,1.449,1.449,73.74,53.88,0.288,0.288,0.98,0.98
0.679,0.679,3.94,4.02,0.499,0.499,88.23,157.87,2.179,2.179,130.29,78.89,1.105,1.105,3.66,3.73
1.426,1.426,8.17,8.51,0.743,0.743,91.44,168.45,3.336,3.336,301.58,120.25,2.142,2.142,6.83,7.07
2.72,2.72,20.45,18.55,0.286,0.286,60.06,85.83,2.833,2.833,50.98,68.42,1.225,1.225,4.0,4.08
0.395,0.395,2.53,2.5,0.038,0.038,13.89,12.98,1.322,1.322,37.14,45.61,0.464,0.464,1.53,1.55
0.123,0.123,0.71,0.71,0.331,0.331,187.39,96.75,0.075,0.075,3.76,3.83,0.207,0.207,0.69,0.69
1.554,1.554,8.58,8.96,0.614,0.614,519.3,144.39,0.672,0.672,50.03,40.02,0.119,0.119,0.4,0.4
1.657,1.657,10.48,9.96,0.258,0.258,247.43,110.6,0.813,0.813,22.62,25.5,0.008,0.008,0.03,0.03
3.005,3.005,19.62,17.86,0.175,0.175,171.86,92.43,1.185,1.185,29.63,34.78,0.007,0.007,0.02,0.02
3.273,3.273,22.54,20.26,0.054,0.054,27.62,32.05,1.374,1.374,31.85,37.89,0.014,0.014,0.05,0.05
1.53,1.53,9.6,9.16,0.013,0.013,10.37,10.94,1.396,1.396,42.92,54.65,0.089,0.089,0.3,0.3
0.536,0.536,3.46,3.4,0.034,0.034,37.56,31.62,0.681,0.681,17.86,19.62,0.055,0.055,0.19,0.18
0.178,0.178,1.2,1.19,0.057,0.057,70.7,52.24,1.197,1.197,26.71,30.83,0.061,0.061,0.21,0.21
0.821,0.821,5.51,5.67,0.097,0.097,113.97,72.6,0.357,0.357,8.08,8.42,0.061,0.061,0.2,0.2
2.435,2.435,14.76,15.93,0.052,0.052,72.04,52.96,1.392,1.392,48.27,38.89,0.035,0.035,0.12,0.12
2.466,2.466,14.21,15.3,0.025,0.025,35.39,30.07,1.727,1.727,81.05,57.68,0.03,0.03,0.1,0.1
2.51,2.51,14.84,16.03,0.027,0.027,44.0,36.07,1.56,1.56,62.01,47.34,0.016,0.016,0.05,0.05
0.228,0.228,1.44,1.45,0.02,0.02,32.67,28.09,1.545,1.545,42.24,34.88,0.046,0.046,0.15,0.15
0.002,0.002,0.01,0.01,0.021,0.021,38.39,32.21,1.209,1.209,41.29,34.22,0.062,0.062,0.21,0.21
0.199,0.199,1.2,1.19,0.013,0.013,21.78,19.64,0.227,0.227,7.98,7.67,0.001,0.001,0.0,0.0
1.583,1.583,8.85,9.26,0.02,0.02,46.55,37.76,1.154,1.154,70.15,51.93,0.019,0.019,0.06,0.06
1.03,1.03,6.02,6.2,0.002,0.002,3.6,3.53,0.965,0.965,41.93,34.67,0.006,0.006,0.02,0.02
1.166,1.166,6.53,6.75,0.011,0.011,25.47,22.59,1.159,1.159,71.72,52.79,0.0,0.0,0.0,0.0
0.958,0.958,5.58,5.74,0.007,0.007,13.33,12.5,0.907,0.907,39.55,33.02,0.02,0.02,0.07,0.07
0.718,0.718,4.24,4.33,0.006,0.006,11.1,10.52,0.649,0.649,26.15,23.13,0.051,0.051,0.17,0.17
0.269,0.269,1.61,1.59,0.001,0.001,2.31,2.34,0.254,0.254,9.59,10.07,0.024,0.024,0.08,0.08
0.407,0.407,2.42,2.39,0.017,0.017,25.82,29.65,0.483,0.483,18.9,20.87,0.04,0.04,0.13,0.13
1.08,1.08,6.79,6.56,0.021,0.021,28.8,33.64,1.132,1.132,32.41,38.68,0.052,0.052,0.17,0.17
2.707,2.707,19.01,17.36,0.021,0.021,29.07,34.01,2.702,2.702,52.76,71.67,0.066,0.066,0.22,0.22
0.637,0.637,4.01,3.93,0.022,0.022,29.44,34.52,0.659,0.659,18.77,20.71,0.022,0.022,0.07,0.07
