cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.125,0.125,9.8,9.34,0.054,0.054,9.75,9.3,0.212,0.212,1.51,1.52,0.101,0.101,0.31,0.31
0.164,0.164,11.88,12.62,0.07,0.07,13.28,12.46,0.165,0.165,1.22,1.21,0.051,0.051,0.16,0.16
0.033,0.033,2.68,2.64,0.157,0.157,30.76,26.66,0.13,0.13,0.94,0.94,0.067,0.067,0.21,0.21
0.145,0.145,10.55,11.14,0.02,0.02,3.18,3.13,0.222,0.222,1.63,1.62,0.005,0.005,0.02,0.02
0.161,0.161,11.46,12.16,0.04,0.04,6.64,6.42,0.085,0.085,0.61,0.61,0.003,0.003,0.01,0.01
0.015,0.015,1.1,1.1,0.051,0.051,8.62,8.26,0.046,0.046,0.33,0.33,0.024,0.024,0.07,0.07
0.001,0.001,0.06,0.06,0.145,0.145,29.2,25.48,0.314,0.314,2.25,2.27,0.008,0.008,0.02,0.02
0.001,0.001,0.11,0.11,0.137,0.137,22.46,20.19,0.154,0.154,1.13,1.12,0.002,0.002,0.01,0.01
0.015,0.015,1.18,1.19,0.101,0.101,14.27,13.32,0.125,0.125,0.9,0.9,0.049,0.049,0.15,0.15
0.082,0.082,6.02,6.2,0.08,0.08,12.09,12.87,0.023,0.023,0.16,0.16,0.074,0.074,0.23,0.23
0.129,0.129,9.96,10.48,0.037,0.037,6.35,6.55,0.22,0.22,1.57,1.58,0.008,0.008,0.02,0.02
0.116,0.116,9.07,9.5,0.059,0.059,9.88,10.39,0.046,0.046,0.34,0.34,0.004,0.004,0.01,0.01
0.04,0.04,3.36,3.3,0.05,0.05,8.91,9.33,0.102,0.102,0.73,0.73,0.027,0.027,0.08,0.08
0.042,0.042,3.42,3.48,0.075,0.075,10.76,11.38,0.228,0.228,1.62,1.63,0.052,0.052,0.16,0.16
0.136,0.136,9.77,10.27,0.137,0.137,19.01,21.01,0.31,0.31,2.27,2.25,0.066,0.066,0.2,0.2
0.122,0.122,8.87,9.28,0.077,0.077,12.68,13.54,0.005,0.005,0.04,0.04,0.013,0.013,0.04,0.04
0.05,0.05,3.89,3.96,0.052,0.052,9.13,9.56,0.137,0.137,0.97,0.98,0.017,0.017,0.05,0.05
0.029,0.029,2.18,2.2,0.174,0.174,30.11,26.17,0.177,0.177,1.3,1.29,0.059,0.059,0.18,0.18
0.134,0.134,11.5,10.88,0.209,0.209,36.12,30.6,0.094,0.094,0.68,0.68,0.071,0.071,0.22,0.22
0.09,0.09,7.0,6.77,0.036,0.036,4.81,4.7,0.273,0.273,2.01,1.99,0.041,0.041,0.13,0.13
0.087,0.087,6.63,6.86,0.065,0.065,9.04,8.65,0.003,0.003,0.02,0.02,0.059,0.059,0.18,0.18
0.021,0.021,1.57,1.58,0.126,0.126,19.38,21.47,0.079,0.079,0.56,0.56,0.009,0.009,0.03,0.03
0.045,0.045,3.39,3.34,0.076,0.076,12.41,13.23,0.427,0.427,3.02,3.07,0.021,0.021,0.06,0.06
0.003,0.003,0.19,0.19,0.005,0.005,0.82,0.81,0.085,0.085,0.61,0.61,0.014,0.014,0.04,0.04
0.05,0.05,3.81,3.74,0.087,0.087,16.58,15.31,0.117,0.117,0.84,0.84,0.046,0.046,0.14,0.14
0.2,0.2,16.65,15.37,0.257,0.257,52.63,41.67,0.024,0.024,0.17,0.17,0.023,0.023,0.07,0.07
0.168,0.168,13.68,12.8,0.175,0.175,32.2,27.74,0.127,0.127,0.92,0.91,0.022,0.022,0.07,0.07
0.037,0.037,2.82,2.86,0.114,0.114,15.36,16.64,0.166,0.166,1.21,1.21,0.013,0.013,0.04,0.04
0.1,0.1,7.14,7.4,0.215,0.215,28.39,33.09,0.14,0.14,1.01,1.0,0.019,0.019,0.06,0.06
0.472,0.472,31.75,37.74,0.27,0.27,34.5,41.69,0.267,0.267,1.97,1.95,0.054,0.054,0.17,0.17
0.427,0.427,29.02,33.94,0.185,0.185,28.56,33.32,0.04,0.04,0.29,0.29,0.025,0.025,0.08,0.08
0.302,0.302,21.49,24.08,0.097,0.097,15.86,14.7,0.339,0.339,2.41,2.44,0.012,0.012,0.04,0.04
0.049,0.049,3.72,3.65,0.204,0.204,32.78,28.17,0.414,0.414,2.93,2.97,0.006,0.006,0.02,0.02
0.171,0.171,13.33,12.49,0.282,0.282,52.18,41.38,0.33,0.33,2.34,2.37,0.003,0.003,0.01,0.01
0.038,0.038,2.81,2.77,0.272,0.272,49.41,39.62,0.336,0.336,2.46,2.43,0.002,0.002,0.0,0.0
0.262,0.262,22.1,19.9,0.241,0.241,46.27,37.58,0.154,0.154,1.1,1.1,0.001,0.001,0.0,0.0
0.248,0.248,22.51,20.23,0.245,0.245,48.51,39.04,0.071,0.071,0.51,0.51,0.0,0.0,0.0,0.0
0.086,0.086,7.0,6.77,0.161,0.161,28.85,25.22,0.27,0.27,1.99,1.97,0.0,0.0,0.0,0.0
0.188,0.188,16.03,14.84,0.002,0.002,0.42,0.42,0.045,0.045,0.32,0.32,0.0,0.0,0.0,0.0
0.04,0.04,3.28,3.23,0.126,0.126,18.95,20.93,0.004,0.004,0.03,0.03,0.0,0.0,0.0,0.0
0.025,0.025,1.92,1.94,0.248,0.248,32.21,38.39,0.12,0.12,0.88,0.87,0.0,0.0,0.0,0.0
0.018,0.018,1.44,1.43,0.279,0.279,40.48,50.75,0.214,0.214,1.54,1.55,0.0,0.0,0.0,0.0
0.056,0.056,4.75,4.64,0.28,0.28,39.2,48.76,0.285,0.285,2.03,2.05,0.0,0.0,0.0,0.0
0.056,0.056,4.63,4.53,0.35,0.35,42.07,53.28,0.196,0.196,1.4,1.41,0.009,0.009,0.03,0.03
0.001,0.001,0.11,0.11,0.182,0.182,21.14,23.64,0.128,0.128,0.93,0.93,0.047,0.047,0.15,0.15
0.165,0.165,11.89,12.64,0.157,0.157,18.97,20.96,0.243,0.243,1.74,1.73,0.062,0.062,0.19,0.19
2.428,2.428,71.1,110.32,0.17,0.17,20.53,22.88,1.98,1.98,16.12,14.92,0.051,0.051,0.16,0.16
