cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
17.549,17.549,93.19,174.51,0.555,0.555,865.99,162.48,16.692,16.692,1710.53,179.06,0.795,0.795,2.81,2.85
0.064,0.064,0.34,0.34,0.154,0.154,229.42,106.85,0.007,0.007,0.67,0.68,0.047,0.047,0.17,0.17
0.081,0.081,0.43,0.43,0.171,0.171,319.42,122.99,0.038,0.038,3.98,3.9,0.093,0.093,0.33,0.33
0.22,0.22,1.16,1.16,0.174,0.174,336.32,125.42,0.227,0.227,28.95,25.29,0.094,0.094,0.33,0.33
0.167,0.167,0.89,0.89,0.141,0.141,213.95,103.37,0.15,0.15,13.27,14.21,0.013,0.013,0.05,0.05
0.184,0.184,0.98,0.98,0.033,0.033,47.99,38.71,0.098,0.098,9.22,9.66,0.031,0.031,0.11,0.11
0.356,0.356,1.87,1.89,0.034,0.034,63.38,48.13,0.09,0.09,10.83,10.27,0.043,0.043,0.15,0.15
0.167,0.167,0.88,0.88,0.073,0.073,140.87,200.0,0.14,0.14,15.46,14.35,0.029,0.029,0.1,0.1
0.36,0.36,1.92,1.9,0.005,0.005,8.64,9.03,0.04,0.04,3.85,3.78,0.064,0.064,0.23,0.23
0.088,0.088,0.47,0.47,0.011,0.011,15.6,16.92,0.15,0.15,13.32,14.27,0.042,0.042,0.15,0.15
0.142,0.142,0.75,0.75,0.005,0.005,8.04,7.73,0.118,0.118,13.71,12.83,0.004,0.004,0.01,0.01
0.159,0.159,0.85,0.85,0.013,0.013,15.87,17.24,0.075,0.075,6.95,7.2,0.038,0.038,0.14,0.14
0.028,0.028,0.15,0.15,0.011,0.011,14.48,15.61,0.088,0.088,8.53,8.18,0.072,0.072,0.25,0.25
0.125,0.125,0.67,0.67,0.016,0.016,19.06,21.06,0.246,0.246,24.89,22.13,0.01,0.01,0.03,0.03
1.056,1.056,5.68,5.53,0.021,0.021,30.1,35.43,0.157,0.157,13.29,14.24,0.046,0.046,0.16,0.16
0.132,0.132,0.71,0.7,0.006,0.006,8.1,8.44,0.054,0.054,5.02,5.15,0.071,0.071,0.25,0.25
0.053,0.053,0.28,0.28,0.003,0.003,3.7,3.77,0.138,0.138,13.4,12.56,0.048,0.048,0.17,0.17
0.307,0.307,1.62,1.63,0.026,0.026,51.49,40.95,0.258,0.258,31.64,27.32,0.086,0.086,0.3,0.3
0.284,0.284,1.5,1.51,0.017,0.017,34.46,29.4,0.292,0.292,36.31,30.73,0.042,0.042,0.15,0.15
0.263,0.263,1.42,1.41,0.002,0.002,4.39,4.49,0.121,0.121,9.74,10.23,0.009,0.009,0.03,0.03
0.133,0.133,0.71,0.71,0.001,0.001,1.26,1.27,0.298,0.298,26.61,30.69,0.03,0.03,0.11,0.11
0.033,0.033,0.18,0.18,0.005,0.005,8.5,8.88,0.112,0.112,11.79,11.14,0.0,0.0,0.0,0.0
0.082,0.082,0.43,0.43,0.002,0.002,3.41,3.47,0.288,0.288,33.1,28.4,0.002,0.002,0.01,0.01
0.048,0.048,0.25,0.25,0.001,0.001,1.62,1.63,0.246,0.246,26.72,23.57,0.006,0.006,0.02,0.02
0.051,0.051,0.27,0.27,0.002,0.002,2.83,2.79,0.038,0.038,3.8,3.87,0.037,0.037,0.13,0.13
0.118,0.118,0.63,0.63,0.007,0.007,11.75,12.48,0.163,0.163,14.18,15.26,0.047,0.047,0.16,0.16
0.252,0.252,1.35,1.34,0.003,0.003,5.02,5.15,0.209,0.209,18.55,20.44,0.045,0.045,0.16,0.16
0.107,0.107,0.57,0.57,0.014,0.014,21.71,19.58,0.054,0.054,5.07,5.2,0.076,0.076,0.27,0.27
0.418,0.418,2.23,2.21,0.146,0.146,237.59,108.59,0.267,0.267,25.55,29.29,0.002,0.002,0.01,0.01
0.098,0.098,0.53,0.53,0.028,0.028,46.6,37.79,0.157,0.157,13.41,14.38,0.028,0.028,0.1,0.1
0.105,0.105,0.56,0.56,0.153,0.153,303.05,120.48,0.126,0.126,12.53,11.79,0.022,0.022,0.08,0.08
0.067,0.067,0.36,0.36,0.034,0.034,61.24,46.88,0.026,0.026,2.34,2.31,0.042,0.042,0.15,0.15
0.006,0.006,0.03,0.03,0.004,0.004,6.69,6.92,0.01,0.01,0.96,0.96,0.005,0.005,0.02,0.02
0.175,0.175,0.94,0.95,0.002,0.002,3.41,3.47,0.053,0.053,4.4,4.31,0.022,0.022,0.08,0.08
0.047,0.047,0.25,0.25,0.008,0.008,18.81,17.19,0.126,0.126,13.69,12.81,0.041,0.041,0.15,0.15
0.045,0.045,0.24,0.24,0.006,0.006,10.93,10.37,0.169,0.169,16.4,15.16,0.044,0.044,0.16,0.16
0.13,0.13,0.69,0.69,0.019,0.019,28.1,32.7,0.075,0.075,6.65,6.88,0.012,0.012,0.04,0.04
0.128,0.128,0.69,0.69,0.014,0.014,22.26,25.05,0.172,0.172,13.11,14.02,0.044,0.044,0.15,0.15
0.007,0.007,0.04,0.04,0.008,0.008,13.47,14.44,0.037,0.037,3.49,3.56,0.038,0.038,0.13,0.13
0.094,0.094,0.5,0.5,0.014,0.014,22.11,24.85,0.224,0.224,24.48,21.81,0.053,0.053,0.19,0.19
0.179,0.179,0.95,0.95,0.002,0.002,3.7,3.77,0.288,0.288,34.03,29.08,0.062,0.062,0.22,0.22
0.138,0.138,0.74,0.74,0.001,0.001,1.63,1.65,0.038,0.038,3.35,3.41,0.01,0.01,0.04,0.04
0.012,0.012,0.06,0.06,0.013,0.013,23.22,26.27,0.064,0.064,7.36,7.1,0.079,0.079,0.28,0.28
0.035,0.035,0.19,0.19,0.004,0.004,8.39,8.05,0.032,0.032,2.9,2.86,0.011,0.011,0.04,0.04
0.023,0.023,0.12,0.12,0.016,0.016,27.73,32.19,0.235,0.235,21.1,23.58,0.096,0.096,0.34,0.34
0.35,0.35,1.87,1.88,0.013,0.013,23.7,26.89,0.235,0.235,21.9,19.74,0.014,0.014,0.05,0.05
0.24,0.24,1.27,1.28,0.005,0.005,11.29,11.96,0.204,0.204,21.72,19.59,0.014,0.014,0.05,0.05
0.17,0.17,0.9,0.91,0.012,0.012,21.85,24.53,0.12,0.12,12.34,11.62,0.043,0.043,0.15,0.15
0.223,0.223,1.2,1.19,0.021,0.021,31.91,37.97,0.117,0.117,9.72,10.21,0.022,0.022,0.08,0.08
0.092,0.092,0.49,0.49,0.008,0.008,13.41,14.37,0.027,0.027,2.72,2.68,0.014,0.014,0.05,0.05
0.205,0.205,1.08,1.09,0.016,0.016,27.3,24.02,0.281,0.281,31.42,27.15,0.022,0.022,0.08,0.08
0.402,0.402,2.11,2.13,0.017,0.017,38.33,32.17,0.355,0.355,47.55,38.41,0.042,0.042,0.15,0.15
0.177,0.177,0.95,0.95,0.003,0.003,5.1,4.97,0.187,0.187,15.03,16.25,0.001,0.001,0.0,0.0
0.334,0.334,1.8,1.78,0.013,0.013,19.15,21.18,0.282,0.282,23.02,26.01,0.037,0.037,0.13,0.13
0.017,0.017,0.09,0.09,0.003,0.003,4.17,4.26,0.144,0.144,11.55,12.25,0.03,0.03,0.11,0.11
0.202,0.202,1.07,1.07,0.015,0.015,28.66,33.46,0.162,0.162,17.61,16.19,0.016,0.016,0.06,0.06
0.202,0.202,1.08,1.08,0.127,0.127,204.04,200.0,0.186,0.186,17.5,16.09,0.057,0.057,0.2,0.2
0.117,0.117,0.62,0.62,0.034,0.034,60.0,85.71,0.268,0.268,24.13,21.54,0.016,0.016,0.06,0.06
0.224,0.224,1.2,1.2,0.006,0.006,10.95,10.38,0.196,0.196,17.84,16.38,0.016,0.016,0.06,0.06
0.148,0.148,0.8,0.8,0.014,0.014,21.53,24.12,0.024,0.024,1.93,1.95,0.005,0.005,0.02,0.02
0.104,0.104,0.56,0.56,0.004,0.004,5.71,5.87,0.003,0.003,0.32,0.32,0.039,0.039,0.14,0.14
0.034,0.034,0.18,0.18,0.0,0.0,0.46,0.46,0.212,0.212,20.39,18.51,0.118,0.118,0.42,0.42
0.065,0.065,0.34,0.35,0.001,0.001,1.5,1.49,0.204,0.204,22.56,20.28,0.098,0.098,0.35,0.35
0.121,0.121,0.65,0.65,0.003,0.003,4.6,4.7,0.026,0.026,2.37,2.4,0.14,0.14,0.49,0.49
