cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
2.438,2.438,12.79,13.66,0.039,0.039,32.7,39.09,2.415,2.415,536.66,145.7,0.597,0.597,2.01,2.03
4.509,4.509,26.56,30.62,0.97,0.97,93.24,174.66,5.382,5.382,389.97,132.2,1.926,1.926,6.21,6.41
1.742,1.742,9.84,10.35,0.99,0.99,93.43,175.34,2.671,2.671,494.6,142.41,3.161,3.161,9.73,10.22
7.405,7.405,81.02,57.66,0.46,0.46,328.72,124.35,7.947,7.947,79.39,131.66,0.465,0.465,1.55,1.57
0.276,0.276,1.55,1.53,0.524,0.524,748.68,157.84,0.715,0.715,45.81,59.41,1.482,1.482,4.96,4.84
8.021,8.021,41.71,52.71,0.19,0.19,237.07,108.48,2.011,2.011,467.67,140.09,0.189,0.189,0.63,0.63
3.04,3.04,16.13,17.55,0.196,0.196,326.74,124.06,5.133,5.133,743.85,157.62,1.296,1.296,4.35,4.26
1.656,1.656,12.27,11.56,0.012,0.012,13.08,13.99,3.085,3.085,52.73,71.61,0.341,0.341,1.14,1.13
1.902,1.902,12.82,12.05,0.04,0.04,40.23,50.36,2.486,2.486,56.5,78.75,0.316,0.316,1.06,1.05
3.777,3.777,27.53,24.2,0.229,0.229,78.98,130.51,3.382,3.382,73.04,115.05,0.355,0.355,1.19,1.18
0.473,0.473,2.72,2.68,0.033,0.033,65.06,49.09,0.253,0.253,11.55,12.26,0.703,0.703,2.36,2.33
0.105,0.105,0.7,0.7,0.111,0.111,184.34,95.92,0.507,0.507,11.59,10.96,0.222,0.222,0.74,0.74
0.398,0.398,2.82,2.78,0.046,0.046,65.68,49.44,0.365,0.365,7.09,7.35,0.474,0.474,1.59,1.57
0.476,0.476,3.17,3.12,0.048,0.048,53.53,42.23,0.281,0.281,6.45,6.66,0.275,0.275,0.92,0.91
2.987,2.987,16.5,17.99,0.009,0.009,15.36,14.26,2.918,2.918,216.12,103.87,0.565,0.565,1.89,1.87
3.838,3.838,21.1,23.59,0.003,0.003,3.67,3.74,3.558,3.558,257.82,112.63,0.208,0.208,0.7,0.69
2.199,2.199,13.34,14.3,0.017,0.017,33.89,28.98,3.738,3.738,128.88,78.38,0.023,0.023,0.08,0.08
1.519,1.519,10.39,9.88,0.003,0.003,4.36,4.46,3.263,3.263,67.98,102.98,0.023,0.023,0.08,0.08
0.596,0.596,3.45,3.39,0.012,0.012,23.35,20.91,0.888,0.888,40.38,50.59,0.046,0.046,0.15,0.15
1.478,1.478,8.86,8.49,0.003,0.003,5.29,5.16,0.408,0.408,14.72,15.89,0.01,0.01,0.03,0.03
1.583,1.583,8.25,8.61,0.03,0.03,98.93,66.19,1.296,1.296,294.66,119.14,0.09,0.09,0.3,0.3
0.283,0.283,1.73,1.74,0.01,0.01,14.34,15.44,1.503,1.503,50.79,40.5,0.059,0.059,0.2,0.2
1.783,1.783,9.6,10.09,0.021,0.021,70.5,52.12,2.499,2.499,268.66,114.65,0.044,0.044,0.15,0.15
0.422,0.422,2.56,2.53,0.009,0.009,15.6,14.47,0.879,0.879,29.59,25.78,0.039,0.039,0.13,0.13
0.163,0.163,0.97,0.98,0.015,0.015,29.15,25.44,1.346,1.346,50.4,67.38,0.092,0.092,0.31,0.31
0.793,0.793,4.8,4.91,0.011,0.011,17.63,19.34,0.009,0.009,0.32,0.32,0.073,0.073,0.24,0.24
0.576,0.576,3.4,3.35,0.033,0.033,41.53,52.42,1.024,1.024,41.46,52.29,0.097,0.097,0.33,0.33
2.035,2.035,13.57,12.71,0.029,0.029,36.5,44.65,1.792,1.792,40.46,50.72,0.01,0.01,0.03,0.03
