cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
17.329,17.329,92.03,170.46,0.578,0.578,963.7,165.63,16.382,16.382,1706.43,179.02,0.785,0.785,2.77,2.81
0.065,0.065,0.35,0.35,0.011,0.011,16.3,17.74,0.053,0.053,5.37,5.23,0.113,0.113,0.4,0.4
0.01,0.01,0.05,0.05,0.017,0.017,42.98,35.38,0.062,0.062,6.5,6.3,0.196,0.196,0.69,0.69
0.507,0.507,2.63,2.66,0.034,0.034,68.37,50.95,0.369,0.369,61.49,47.03,0.196,0.196,0.69,0.69
0.557,0.557,3.05,3.0,0.05,0.05,62.25,90.38,0.53,0.53,35.79,43.59,0.103,0.103,0.37,0.37
0.045,0.045,0.24,0.24,0.009,0.009,12.7,11.94,0.203,0.203,20.34,22.65,0.1,0.1,0.35,0.35
0.616,0.616,3.2,3.25,0.027,0.027,67.11,50.25,0.573,0.573,95.48,64.63,0.025,0.025,0.09,0.09
0.049,0.049,0.26,0.26,0.001,0.001,2.39,2.36,0.552,0.552,56.38,43.98,0.078,0.078,0.27,0.27
0.296,0.296,1.59,1.58,0.006,0.006,9.21,9.65,0.008,0.008,0.69,0.69,0.1,0.1,0.35,0.35
0.058,0.058,0.31,0.31,0.024,0.024,29.54,34.66,0.209,0.209,17.1,18.7,0.0,0.0,0.0,0.0
0.433,0.433,2.25,2.22,0.025,0.025,50.97,40.62,0.167,0.167,28.38,24.85,0.1,0.1,0.35,0.35
0.388,0.388,2.11,2.08,0.046,0.046,45.88,59.53,0.349,0.349,26.85,31.01,0.044,0.044,0.15,0.15
0.205,0.205,1.09,1.1,0.011,0.011,15.25,16.51,0.041,0.041,4.15,4.24,0.105,0.105,0.37,0.37
0.249,0.249,1.32,1.33,0.011,0.011,12.22,13.01,0.161,0.161,16.91,15.59,0.0,0.0,0.0,0.0
0.124,0.124,0.67,0.67,0.003,0.003,4.78,4.67,0.157,0.157,11.49,12.19,0.04,0.04,0.14,0.14
0.025,0.025,0.14,0.14,0.016,0.016,20.56,18.65,0.202,0.202,20.39,18.5,0.105,0.105,0.37,0.37
0.333,0.333,1.77,1.78,0.006,0.006,8.32,7.99,0.273,0.273,27.9,24.48,0.0,0.0,0.0,0.0
0.431,0.431,2.24,2.27,0.044,0.044,145.71,84.3,0.422,0.422,70.39,52.07,0.0,0.0,0.0,0.0
0.145,0.145,0.76,0.77,0.01,0.01,19.39,17.68,0.328,0.328,41.52,34.38,0.0,0.0,0.0,0.0
0.678,0.678,3.74,3.67,0.034,0.034,55.98,77.74,0.885,0.885,52.38,70.97,0.1,0.1,0.35,0.35
0.12,0.12,0.64,0.64,0.014,0.014,22.67,25.57,0.353,0.353,35.67,43.41,0.0,0.0,0.0,0.0
0.64,0.64,3.35,3.41,0.009,0.009,14.34,15.44,0.567,0.567,72.67,53.3,0.0,0.0,0.0,0.0
0.462,0.462,2.42,2.45,0.007,0.007,13.96,15.01,0.116,0.116,14.7,13.69,0.039,0.039,0.14,0.14
0.599,0.599,3.18,3.23,0.0,0.0,0.0,0.0,0.432,0.432,44.56,36.44,0.037,0.037,0.13,0.13
0.489,0.489,2.61,2.58,0.007,0.007,13.07,12.27,0.199,0.199,18.57,16.99,0.063,0.063,0.22,0.22
0.248,0.248,1.34,1.33,0.004,0.004,6.39,6.6,0.383,0.383,29.49,34.59,0.037,0.037,0.13,0.13
0.098,0.098,0.52,0.52,0.002,0.002,3.69,3.63,0.125,0.125,11.27,11.94,0.1,0.1,0.35,0.35
0.25,0.25,1.33,1.34,0.009,0.009,13.16,14.09,0.275,0.275,27.78,24.39,0.06,0.06,0.21,0.21
0.032,0.032,0.17,0.17,0.005,0.005,8.23,8.59,0.149,0.149,14.48,15.61,0.048,0.048,0.17,0.17
0.207,0.207,1.12,1.12,0.021,0.021,35.09,29.85,0.047,0.047,3.63,3.7,0.052,0.052,0.18,0.18
0.291,0.291,1.53,1.54,0.039,0.039,96.41,65.05,0.394,0.394,46.4,37.66,0.045,0.045,0.16,0.16
0.207,0.207,1.11,1.12,0.012,0.012,19.77,17.99,0.03,0.03,2.54,2.51,0.052,0.052,0.18,0.18
0.228,0.228,1.21,1.22,0.007,0.007,11.55,12.26,0.004,0.004,0.42,0.42,0.04,0.04,0.14,0.14
0.045,0.045,0.24,0.24,0.011,0.011,18.45,16.89,0.247,0.247,18.0,19.78,0.064,0.064,0.22,0.22
0.715,0.715,3.72,3.79,0.018,0.018,61.07,46.78,0.465,0.465,73.77,53.89,0.06,0.06,0.21,0.21
0.087,0.087,0.47,0.47,0.0,0.0,0.0,0.0,0.168,0.168,14.73,15.9,0.054,0.054,0.19,0.19
0.106,0.106,0.57,0.57,0.031,0.031,38.88,48.26,0.241,0.241,19.77,21.94,0.048,0.048,0.17,0.17
0.251,0.251,1.37,1.36,0.017,0.017,28.21,24.72,0.362,0.362,24.12,27.42,0.099,0.099,0.35,0.35
0.49,0.49,2.57,2.61,0.028,0.028,56.72,44.19,0.247,0.247,31.69,37.66,0.077,0.077,0.27,0.27
0.703,0.703,3.71,3.78,0.017,0.017,24.48,27.9,0.63,0.63,80.82,57.56,0.104,0.104,0.37,0.37
0.669,0.669,3.52,3.58,0.01,0.01,20.75,18.8,0.472,0.472,60.54,46.47,0.027,0.027,0.1,0.1
0.401,0.401,2.19,2.17,0.011,0.011,16.26,17.7,0.248,0.248,17.09,18.68,0.073,0.073,0.26,0.26
0.019,0.019,0.1,0.1,0.007,0.007,14.53,13.55,0.19,0.19,32.26,27.78,0.127,0.127,0.45,0.45
0.088,0.088,0.48,0.48,0.043,0.043,106.95,69.68,0.104,0.104,7.88,8.2,0.1,0.1,0.35,0.35
0.191,0.191,1.02,1.02,0.013,0.013,18.19,20.01,0.255,0.255,22.57,25.44,0.079,0.079,0.28,0.28
0.562,0.562,2.99,3.04,0.005,0.005,9.5,9.97,0.101,0.101,9.77,9.32,0.052,0.052,0.18,0.18
0.403,0.403,2.12,2.15,0.029,0.029,72.84,53.4,0.467,0.467,57.6,44.72,0.024,0.024,0.09,0.09
0.006,0.006,0.03,0.03,0.023,0.023,38.12,47.09,0.242,0.242,24.0,21.42,0.1,0.1,0.35,0.35
0.313,0.313,1.71,1.69,0.034,0.034,41.97,53.11,0.433,0.433,30.1,35.44,0.0,0.0,0.0,0.0
0.212,0.212,1.11,1.12,0.003,0.003,5.73,5.9,0.259,0.259,31.95,27.55,0.069,0.069,0.24,0.24
0.315,0.315,1.65,1.66,0.027,0.027,44.92,36.68,0.305,0.305,39.05,32.67,0.0,0.0,0.0,0.0
0.507,0.507,2.63,2.67,0.029,0.029,97.74,65.66,0.392,0.392,65.3,49.23,0.06,0.06,0.21,0.21
0.852,0.852,4.74,4.63,0.02,0.02,24.93,28.48,0.619,0.619,35.58,43.28,0.052,0.052,0.18,0.18
0.535,0.535,2.88,2.84,0.089,0.089,126.75,200.0,0.384,0.384,31.7,37.66,0.052,0.052,0.18,0.18
0.174,0.174,0.94,0.95,0.013,0.013,19.02,21.02,0.221,0.221,17.4,19.05,0.001,0.001,0.0,0.0
0.929,0.929,4.83,4.95,0.01,0.01,24.17,21.56,1.004,1.004,170.15,91.94,0.1,0.1,0.35,0.35
0.442,0.442,2.37,2.4,0.012,0.012,17.18,15.82,0.295,0.295,24.4,21.74,0.1,0.1,0.35,0.35
0.194,0.194,1.04,1.04,0.023,0.023,46.16,37.5,0.164,0.164,14.11,13.18,0.045,0.045,0.16,0.16
