cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
18.635,18.635,99.74,198.97,0.02,0.02,28.58,33.35,19.126,19.126,2523.68,185.31,2.905,2.905,9.97,10.5
0.108,0.108,0.58,0.58,0.001,0.001,1.79,1.77,0.358,0.358,57.44,44.63,0.162,0.162,0.55,0.56
0.038,0.038,0.2,0.2,0.001,0.001,1.67,1.66,0.025,0.025,3.69,3.76,0.087,0.087,0.3,0.3
0.216,0.216,1.15,1.15,0.003,0.003,4.36,4.46,0.105,0.105,13.58,14.57,0.021,0.021,0.07,0.07
0.28,0.28,1.51,1.49,0.013,0.013,15.43,16.72,0.137,0.137,15.46,16.75,0.028,0.028,0.09,0.1
0.395,0.395,2.14,2.12,0.014,0.014,16.4,17.86,0.308,0.308,31.02,36.71,0.04,0.04,0.14,0.14
0.112,0.112,0.6,0.6,0.009,0.009,11.35,12.03,0.048,0.048,5.76,5.93,0.112,0.112,0.38,0.38
0.038,0.038,0.2,0.2,0.003,0.003,4.08,3.99,0.109,0.109,13.82,12.93,0.081,0.081,0.28,0.28
0.126,0.126,0.68,0.68,0.005,0.005,6.89,6.66,0.102,0.102,11.05,10.47,0.069,0.069,0.24,0.24
0.322,0.322,1.71,1.73,0.003,0.003,3.36,3.3,0.919,0.919,132.3,79.63,0.115,0.115,0.4,0.39
0.091,0.091,0.48,0.49,0.017,0.017,28.41,24.88,0.203,0.203,25.97,22.98,0.021,0.021,0.07,0.07
0.086,0.086,0.46,0.46,0.002,0.002,2.57,2.6,0.101,0.101,11.62,10.98,0.064,0.064,0.22,0.22
0.208,0.208,1.14,1.13,0.025,0.025,29.06,34.0,0.116,0.116,10.98,11.62,0.031,0.031,0.11,0.11
0.306,0.306,1.66,1.64,0.004,0.004,5.13,5.27,0.158,0.158,16.65,18.17,0.086,0.086,0.3,0.3
0.089,0.089,0.48,0.48,0.001,0.001,0.91,0.91,0.231,0.231,32.38,27.87,0.082,0.082,0.28,0.28
1.175,1.175,6.76,6.54,0.002,0.002,2.36,2.39,0.955,0.955,52.28,70.78,0.019,0.019,0.07,0.07
1.761,1.761,10.35,9.84,0.013,0.013,14.08,15.14,1.503,1.503,70.12,107.98,0.023,0.023,0.08,0.08
0.662,0.662,3.76,3.69,0.003,0.003,3.34,3.4,0.617,0.617,37.7,46.46,0.108,0.108,0.37,0.37
0.91,0.91,5.0,5.13,0.004,0.004,5.15,5.02,0.144,0.144,12.25,13.05,0.104,0.104,0.36,0.36
1.321,1.321,7.12,7.38,0.013,0.013,18.46,16.9,0.241,0.241,27.45,24.14,0.069,0.069,0.24,0.24
1.054,1.054,5.66,5.82,0.01,0.01,12.83,12.06,0.907,0.907,115.66,73.28,0.042,0.042,0.14,0.14
0.2,0.2,1.1,1.11,0.016,0.016,15.89,17.26,0.117,0.117,10.17,9.68,0.055,0.055,0.19,0.19
1.086,1.086,5.82,5.99,0.005,0.005,7.09,7.35,0.431,0.431,55.92,43.7,0.234,0.234,0.8,0.8
0.498,0.498,2.63,2.67,0.026,0.026,38.71,32.43,0.373,0.373,64.19,48.59,0.803,0.803,2.76,2.72
0.251,0.251,1.34,1.35,0.029,0.029,53.12,41.97,0.035,0.035,4.76,4.65,0.777,0.777,2.67,2.63
0.28,0.28,1.49,1.5,0.014,0.014,20.94,18.95,0.305,0.305,42.49,35.05,0.883,0.883,3.03,2.99
0.361,0.361,1.95,1.93,0.011,0.011,15.91,17.28,0.165,0.165,17.99,19.77,0.837,0.837,2.88,2.84
0.407,0.407,2.2,2.17,0.011,0.011,15.38,16.66,0.319,0.319,35.66,43.4,0.266,0.266,0.91,0.91
0.133,0.133,0.71,0.71,0.012,0.012,16.42,17.89,0.045,0.045,6.18,6.38,0.111,0.111,0.38,0.38
0.369,0.369,2.01,1.99,0.019,0.019,22.05,24.78,0.164,0.164,16.13,17.55,0.008,0.008,0.03,0.03
0.094,0.094,0.5,0.5,0.006,0.006,8.03,8.37,0.08,0.08,10.28,9.77,0.03,0.03,0.1,0.1
0.385,0.385,2.09,2.07,0.007,0.007,10.03,9.55,0.15,0.15,15.95,17.33,0.068,0.068,0.23,0.23
0.081,0.081,0.44,0.43,0.006,0.006,7.29,7.57,0.07,0.07,8.52,8.9,0.098,0.098,0.34,0.34
0.273,0.273,1.46,1.47,0.02,0.02,27.15,23.9,0.371,0.371,51.65,41.05,0.15,0.15,0.52,0.52
0.097,0.097,0.52,0.52,0.006,0.006,7.85,7.56,0.006,0.006,0.77,0.77,0.16,0.16,0.55,0.55
0.103,0.103,0.56,0.56,0.001,0.001,1.78,1.77,0.056,0.056,5.73,5.57,0.054,0.054,0.19,0.19
0.014,0.014,0.08,0.08,0.017,0.017,29.15,25.44,0.006,0.006,0.72,0.73,0.041,0.041,0.14,0.14
0.119,0.119,0.64,0.64,0.027,0.027,55.38,43.37,0.03,0.03,4.18,4.09,0.079,0.079,0.27,0.27
0.097,0.097,0.52,0.52,0.001,0.001,0.99,0.99,0.29,0.29,36.44,30.83,0.049,0.049,0.17,0.17
0.2,0.2,1.07,1.07,0.023,0.023,29.09,34.04,0.173,0.173,20.68,23.06,0.027,0.027,0.09,0.09
0.044,0.044,0.24,0.24,0.011,0.011,15.31,16.58,0.002,0.002,0.25,0.25,0.052,0.052,0.18,0.18
