cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
1.981,1.981,56.28,78.33,0.602,0.602,46.67,60.88,2.335,2.335,15.34,14.25,20.397,20.397,41.21,51.9
0.101,0.101,2.57,2.6,0.11,0.11,9.15,9.59,0.105,0.105,0.71,0.71,0.488,0.488,0.99,0.99
0.024,0.024,0.65,0.65,0.309,0.309,31.49,27.21,0.233,0.233,1.58,1.56,0.172,0.172,0.35,0.35
0.077,0.077,2.0,2.02,0.09,0.09,8.27,7.94,0.647,0.647,4.48,4.38,0.136,0.136,0.28,0.28
0.55,0.55,12.65,13.51,0.24,0.24,18.46,20.34,0.984,0.984,7.07,6.83,0.277,0.277,0.56,0.56
0.304,0.304,8.64,8.28,0.269,0.269,28.98,25.31,0.438,0.438,2.9,2.94,0.091,0.091,0.18,0.18
0.79,0.79,24.15,21.55,0.149,0.149,15.21,14.13,0.816,0.816,5.37,5.52,0.1,0.1,0.2,0.2
1.088,1.088,22.03,24.75,0.268,0.268,18.75,20.69,1.01,1.01,7.57,7.3,0.0,0.0,0.0,0.0
0.137,0.137,4.03,3.95,0.291,0.291,26.97,23.77,0.096,0.096,0.63,0.63,0.003,0.003,0.01,0.01
0.618,0.618,17.55,16.14,0.252,0.252,26.82,23.65,0.497,0.497,3.27,3.32,0.046,0.046,0.09,0.09
0.292,0.292,7.35,7.63,0.103,0.103,9.36,9.82,0.166,0.166,1.13,1.14,0.044,0.044,0.09,0.09
0.819,0.819,17.51,19.19,0.359,0.359,26.04,29.94,0.613,0.613,4.5,4.41,0.136,0.136,0.27,0.27
0.08,0.08,2.2,2.18,0.001,0.001,0.05,0.05,0.131,0.131,0.87,0.87,0.1,0.1,0.2,0.2
0.646,0.646,17.99,16.51,0.024,0.024,2.07,2.09,0.644,0.644,4.23,4.32,0.056,0.056,0.11,0.11
0.595,0.595,13.07,13.99,0.543,0.543,34.78,42.11,0.54,0.54,3.99,3.91,0.1,0.1,0.2,0.2
0.328,0.328,9.25,8.84,0.384,0.384,36.57,30.92,0.208,0.208,1.4,1.41,0.1,0.1,0.2,0.2
0.6,0.6,16.96,15.63,0.389,0.389,44.24,36.23,0.173,0.173,1.15,1.16,0.2,0.2,0.4,0.4
0.193,0.193,5.31,5.17,0.213,0.213,21.96,19.78,0.446,0.446,3.0,3.04,0.226,0.226,0.45,0.45
0.277,0.277,7.32,7.06,0.061,0.061,6.05,5.87,0.716,0.716,4.87,4.99,0.051,0.051,0.1,0.1
0.058,0.058,1.64,1.63,0.035,0.035,3.44,3.38,0.118,0.118,0.78,0.79,0.068,0.068,0.14,0.14
0.746,0.746,17.03,18.61,0.276,0.276,22.09,24.83,0.891,0.891,6.36,6.17,0.036,0.036,0.07,0.07
0.2,0.2,5.79,5.62,0.037,0.037,3.82,3.75,0.432,0.432,2.85,2.89,0.0,0.0,0.0,0.0
0.443,0.443,11.71,11.06,0.088,0.088,8.18,8.53,0.871,0.871,5.82,6.0,0.1,0.1,0.2,0.2
0.312,0.312,7.74,8.05,0.122,0.122,10.54,11.13,0.277,0.277,1.91,1.9,0.1,0.1,0.2,0.2
0.31,0.31,7.4,7.69,0.156,0.156,11.81,12.56,0.377,0.377,2.63,2.6,0.057,0.057,0.11,0.11
0.157,0.157,4.39,4.3,0.062,0.062,5.45,5.6,0.204,0.204,1.36,1.37,0.1,0.1,0.2,0.2
0.601,0.601,17.27,15.9,0.187,0.187,15.12,16.36,0.777,0.777,5.12,5.26,0.0,0.0,0.0,0.0
0.024,0.024,0.66,0.66,0.078,0.078,7.03,6.8,0.713,0.713,4.72,4.83,0.0,0.0,0.0,0.0
0.024,0.024,0.69,0.68,0.275,0.275,27.21,23.95,0.038,0.038,0.25,0.25,0.2,0.2,0.4,0.4
0.25,0.25,6.67,6.9,0.238,0.238,25.57,22.67,0.43,0.43,2.93,2.89,0.1,0.1,0.2,0.2
0.864,0.864,19.77,21.94,0.141,0.141,11.22,11.89,1.247,1.247,9.02,8.63,0.081,0.081,0.16,0.16
0.138,0.138,3.87,3.8,0.028,0.028,2.93,2.89,0.189,0.189,1.24,1.25,0.074,0.074,0.15,0.15
