cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
18.748,18.748,99.72,198.9,0.001,0.001,0.99,0.98,19.261,19.261,3057.24,187.72,2.936,2.936,10.06,10.59
7.84,7.84,41.24,34.19,0.0,0.0,0.15,0.15,3.731,3.731,761.39,158.39,1.349,1.349,4.62,4.73
1.382,1.382,7.36,7.1,0.014,0.014,20.61,22.98,1.619,1.619,228.0,106.54,0.535,0.535,1.84,1.86
0.18,0.18,0.97,0.96,0.013,0.013,16.5,17.98,1.217,1.217,138.24,81.74,0.103,0.103,0.36,0.36
0.349,0.349,1.89,1.87,0.02,0.02,22.46,25.3,0.039,0.039,3.93,4.01,0.04,0.04,0.14,0.14
0.551,0.551,3.01,2.97,0.022,0.022,24.21,27.54,0.256,0.256,23.32,26.39,0.038,0.038,0.13,0.13
0.304,0.304,1.61,1.62,0.004,0.004,5.24,5.1,0.248,0.248,36.48,30.85,0.1,0.1,0.34,0.34
0.24,0.24,1.28,1.29,0.013,0.013,18.93,17.3,0.229,0.229,30.98,26.83,0.0,0.0,0.0,0.0
0.43,0.43,2.35,2.38,0.005,0.005,6.2,6.02,0.35,0.35,33.32,28.57,0.003,0.003,0.01,0.01
0.617,0.617,3.23,3.28,0.0,0.0,0.62,0.62,0.522,0.522,110.99,71.38,0.015,0.015,0.05,0.05
0.322,0.322,1.73,1.72,0.026,0.026,64.04,48.51,0.046,0.046,5.25,5.12,0.0,0.0,0.0,0.0
0.363,0.363,1.96,1.95,0.023,0.023,23.2,26.24,0.44,0.44,46.34,60.31,0.1,0.1,0.34,0.34
1.009,1.009,5.59,5.44,0.021,0.021,23.59,26.75,0.913,0.913,73.03,115.04,0.0,0.0,0.0,0.0
0.195,0.195,1.05,1.05,0.001,0.001,1.44,1.43,0.308,0.308,36.62,44.83,0.067,0.067,0.23,0.23
0.403,0.403,2.12,2.14,0.016,0.016,23.15,26.18,0.035,0.035,7.34,7.08,0.078,0.078,0.27,0.27
2.536,2.536,15.85,14.69,0.008,0.008,9.3,9.75,2.146,2.146,72.99,114.94,0.14,0.14,0.48,0.48
2.29,2.29,13.75,12.86,0.021,0.021,21.22,23.74,1.647,1.647,66.94,100.62,0.073,0.073,0.25,0.25
0.592,0.592,3.26,3.21,0.005,0.005,6.65,6.88,0.17,0.17,15.03,16.25,0.037,0.037,0.13,0.13
2.561,2.561,13.65,14.65,0.014,0.014,17.3,15.92,1.818,1.818,252.55,111.61,0.06,0.06,0.2,0.2
2.348,2.348,12.4,13.22,0.026,0.026,43.15,35.49,1.119,1.119,192.94,98.2,0.009,0.009,0.03,0.03
0.902,0.902,4.82,4.94,0.002,0.002,3.04,2.99,0.961,0.961,139.21,82.08,0.003,0.003,0.01,0.01
0.934,0.934,5.26,5.13,0.054,0.054,41.39,52.19,0.385,0.385,25.3,28.97,0.001,0.001,0.0,0.0
0.516,0.516,2.69,2.72,0.037,0.037,73.64,53.82,0.289,0.289,74.11,54.07,0.0,0.0,0.0,0.0
0.447,0.447,2.33,2.36,0.044,0.044,72.84,53.39,0.367,0.367,93.99,63.94,0.1,0.1,0.34,0.34
0.283,0.283,1.53,1.52,0.044,0.044,110.13,71.02,0.105,0.105,11.76,12.49,0.0,0.0,0.0,0.0
0.072,0.072,0.38,0.38,0.026,0.026,32.33,38.56,0.337,0.337,48.11,38.78,0.028,0.028,0.1,0.1
1.007,1.007,5.54,5.39,0.024,0.024,34.37,41.5,0.544,0.544,48.56,64.14,0.023,0.023,0.08,0.08
0.378,0.378,2.03,2.01,0.024,0.024,33.78,40.65,0.307,0.307,35.31,42.89,0.023,0.023,0.08,0.08
