cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
12.857,12.857,243.04,109.72,0.904,0.904,93.23,174.63,12.94,12.94,94.04,177.5,0.764,0.764,4.89,5.02
5.604,5.604,107.15,69.77,0.228,0.228,22.33,25.14,3.206,3.206,23.32,26.39,1.291,1.291,7.92,8.25
2.405,2.405,45.64,37.16,0.01,0.01,1.06,1.06,0.797,0.797,5.8,5.97,0.504,0.504,3.34,3.28
1.04,1.04,19.73,17.96,0.046,0.046,4.86,4.74,0.221,0.221,1.6,1.62,0.276,0.276,1.77,1.76
0.606,0.606,11.86,11.19,0.005,0.005,0.54,0.54,0.208,0.208,1.5,1.51,0.796,0.796,4.55,4.66
0.108,0.108,2.04,2.02,0.092,0.092,10.28,9.77,0.018,0.018,0.13,0.13,0.057,0.057,0.34,0.34
0.086,0.086,1.66,1.64,0.048,0.048,4.73,4.84,0.06,0.06,0.43,0.43,0.039,0.039,0.24,0.24
0.13,0.13,2.49,2.52,0.039,0.039,3.91,3.99,0.077,0.077,0.56,0.56,0.1,0.1,0.63,0.63
0.129,0.129,2.43,2.46,0.07,0.07,6.95,7.2,0.236,0.236,1.73,1.71,0.893,0.893,5.69,5.53
0.005,0.005,0.09,0.09,0.05,0.05,5.57,5.42,0.002,0.002,0.01,0.01,0.341,0.341,2.2,2.18
0.064,0.064,1.24,1.23,0.066,0.066,6.42,6.63,0.142,0.142,1.03,1.04,0.238,0.238,1.46,1.47
0.006,0.006,0.12,0.12,0.036,0.036,3.53,3.59,0.034,0.034,0.25,0.25,0.076,0.076,0.49,0.49
0.075,0.075,1.41,1.42,0.054,0.054,5.82,5.66,0.028,0.028,0.2,0.2,0.038,0.038,0.24,0.24
0.031,0.031,0.6,0.6,0.07,0.07,6.97,7.22,0.011,0.011,0.08,0.08,0.061,0.061,0.39,0.39
0.046,0.046,0.87,0.88,0.09,0.09,10.76,10.21,0.081,0.081,0.59,0.59,0.669,0.669,4.03,4.11
0.093,0.093,1.81,1.79,0.004,0.004,0.46,0.46,0.085,0.085,0.62,0.62,1.478,1.478,8.75,9.15
0.021,0.021,0.39,0.4,0.079,0.079,7.8,8.12,0.02,0.02,0.15,0.15,0.742,0.742,4.55,4.66
0.057,0.057,1.08,1.09,0.076,0.076,8.28,7.95,0.059,0.059,0.43,0.43,0.044,0.044,0.27,0.27
0.004,0.004,0.08,0.08,0.037,0.037,3.95,4.03,0.102,0.102,0.74,0.74,0.132,0.132,0.82,0.82
0.083,0.083,1.56,1.57,0.048,0.048,5.03,5.16,0.056,0.056,0.4,0.4,0.443,0.443,2.72,2.68
