cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.242,0.242,5.47,5.32,0.023,0.023,2.27,2.25,0.126,0.126,0.9,0.89,1.1,1.1,4.55,4.44
0.135,0.135,2.81,2.85,0.183,0.183,18.85,17.22,0.346,0.346,2.52,2.49,0.946,0.946,3.92,3.85
0.238,0.238,5.51,5.36,0.054,0.054,5.43,5.28,0.075,0.075,0.53,0.53,1.791,1.791,7.43,7.16
0.321,0.321,7.35,7.09,0.061,0.061,5.47,5.62,0.08,0.08,0.57,0.57,1.278,1.278,5.3,5.16
0.181,0.181,3.92,3.99,0.262,0.262,19.98,22.2,0.035,0.035,0.25,0.25,0.908,0.908,3.77,3.7
0.063,0.063,1.4,1.41,0.026,0.026,2.31,2.34,0.116,0.116,0.82,0.82,1.701,1.701,7.06,6.82
0.058,0.058,1.34,1.33,0.007,0.007,0.62,0.61,0.111,0.111,0.79,0.79,1.37,1.37,5.69,5.53
0.143,0.143,3.28,3.23,0.138,0.138,14.13,13.2,0.039,0.039,0.28,0.28,0.961,0.961,3.99,3.91
0.038,0.038,0.89,0.88,0.178,0.178,18.4,16.85,0.144,0.144,1.01,1.02,0.675,0.675,2.8,2.76
0.049,0.049,1.1,1.1,0.267,0.267,31.78,27.42,0.072,0.072,0.51,0.51,0.473,0.473,1.96,1.95
0.192,0.192,4.26,4.35,0.094,0.094,8.38,8.75,0.338,0.338,2.45,2.42,0.341,0.341,1.41,1.4
0.088,0.088,1.97,1.99,0.274,0.274,20.58,22.94,0.179,0.179,1.25,1.26,0.146,0.146,0.6,0.6
0.058,0.058,1.32,1.33,0.144,0.144,12.54,13.38,0.379,0.379,2.66,2.69,0.077,0.077,0.32,0.32
0.135,0.135,2.89,2.93,0.186,0.186,16.91,18.47,0.021,0.021,0.15,0.15,0.009,0.009,0.04,0.04
0.144,0.144,3.29,3.24,0.016,0.016,1.65,1.64,0.311,0.311,2.18,2.2,0.026,0.026,0.11,0.11
0.143,0.143,3.26,3.21,0.104,0.104,10.58,10.05,0.269,0.269,1.89,1.91,0.018,0.018,0.07,0.07
0.105,0.105,2.34,2.36,0.127,0.127,12.61,11.86,0.303,0.303,2.18,2.16,0.006,0.006,0.02,0.02
0.123,0.123,2.87,2.83,0.186,0.186,20.94,18.95,0.033,0.033,0.23,0.23,0.002,0.002,0.01,0.01
0.075,0.075,1.68,1.69,0.115,0.115,9.85,10.36,0.02,0.02,0.14,0.14,0.001,0.001,0.01,0.01
0.041,0.041,0.95,0.94,0.184,0.184,15.5,16.81,0.198,0.198,1.38,1.39,0.001,0.001,0.0,0.0
0.256,0.256,5.42,5.57,0.053,0.053,4.88,5.0,0.081,0.081,0.57,0.57,0.001,0.001,0.0,0.0
0.33,0.33,7.15,7.42,0.143,0.143,12.62,13.47,0.17,0.17,1.21,1.2,0.1,0.1,0.41,0.41
0.02,0.02,0.44,0.44,0.04,0.04,3.61,3.67,0.162,0.162,1.17,1.16,0.2,0.2,0.82,0.82
0.061,0.061,1.37,1.36,0.089,0.089,8.6,8.25,0.179,0.179,1.27,1.26,0.194,0.194,0.79,0.8
0.112,0.112,2.39,2.42,0.095,0.095,9.34,8.92,0.247,0.247,1.8,1.78,0.23,0.23,0.94,0.95
0.117,0.117,2.49,2.52,0.122,0.122,10.84,11.46,0.075,0.075,0.54,0.54,0.274,0.274,1.12,1.13
0.055,0.055,1.21,1.22,0.149,0.149,12.72,13.59,0.374,0.374,2.64,2.68,0.169,0.169,0.69,0.69
0.09,0.09,2.0,2.02,0.107,0.107,9.35,9.81,0.185,0.185,1.3,1.31,0.104,0.104,0.42,0.43
0.065,0.065,1.46,1.47,0.143,0.143,11.69,12.41,0.055,0.055,0.39,0.39,0.064,0.064,0.26,0.26
0.251,0.251,5.86,5.69,0.027,0.027,2.48,2.45,0.148,0.148,1.04,1.04,0.021,0.021,0.09,0.09
0.019,0.019,0.43,0.42,0.15,0.15,15.18,14.11,0.077,0.077,0.55,0.55,0.007,0.007,0.03,0.03
0.093,0.093,2.04,2.06,0.146,0.146,15.33,14.24,0.218,0.218,1.56,1.55,0.002,0.002,0.01,0.01
