cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
4.668,4.668,76.03,122.65,0.549,0.549,48.18,63.48,5.595,5.595,45.45,37.04,10.609,10.609,41.12,51.76
1.017,1.017,15.31,16.58,0.1,0.1,7.6,7.89,1.998,1.998,17.02,15.68,6.928,6.928,26.85,31.02
0.017,0.017,0.28,0.28,0.031,0.031,2.78,2.74,0.089,0.089,0.72,0.72,4.524,4.524,17.54,19.22
0.85,0.85,12.14,12.92,0.24,0.24,16.89,18.45,0.802,0.802,7.17,6.92,3.154,3.154,12.13,12.92
0.171,0.171,2.67,2.7,0.004,0.004,0.28,0.28,0.066,0.066,0.56,0.56,2.129,2.129,8.19,8.54
0.858,0.858,13.97,13.06,0.164,0.164,16.52,15.26,0.222,0.222,1.81,1.79,1.458,1.458,5.59,5.75
0.197,0.197,3.11,3.06,0.213,0.213,17.71,16.27,0.126,0.126,1.05,1.05,1.11,1.11,4.25,4.34
0.183,0.183,2.86,2.9,0.071,0.071,5.75,5.92,0.486,0.486,4.04,4.12,0.566,0.566,2.17,2.19
0.254,0.254,4.13,4.05,0.111,0.111,10.44,9.92,0.165,0.165,1.33,1.34,0.525,0.525,2.01,2.03
0.091,0.091,1.44,1.43,0.023,0.023,1.9,1.88,0.265,0.265,2.16,2.18,0.466,0.466,1.78,1.79
0.074,0.074,1.21,1.2,0.012,0.012,1.1,1.1,0.039,0.039,0.32,0.32,0.187,0.187,0.71,0.71
0.13,0.13,2.12,2.09,0.061,0.061,5.56,5.41,0.191,0.191,1.54,1.55,0.139,0.139,0.53,0.53
0.15,0.15,2.38,2.41,0.012,0.012,1.07,1.06,0.001,0.001,0.01,0.01,0.049,0.049,0.19,0.19
0.223,0.223,3.49,3.55,0.004,0.004,0.32,0.33,0.408,0.408,3.4,3.34,0.049,0.049,0.19,0.19
0.191,0.191,3.0,3.05,0.024,0.024,2.16,2.14,0.157,0.157,1.29,1.28,0.049,0.049,0.19,0.19
0.35,0.35,5.42,5.28,0.158,0.158,12.36,13.18,0.153,0.153,1.28,1.27,0.049,0.049,0.19,0.19
0.002,0.002,0.03,0.03,0.056,0.056,5.38,5.24,0.015,0.015,0.12,0.12,0.149,0.149,0.57,0.57
0.367,0.367,6.04,5.86,0.048,0.048,4.11,4.03,0.18,0.18,1.46,1.47,0.149,0.149,0.57,0.57
0.107,0.107,1.66,1.67,0.11,0.11,8.39,8.76,0.052,0.052,0.43,0.43,0.063,0.063,0.24,0.24
0.824,0.824,13.18,12.37,0.186,0.186,14.08,15.14,0.029,0.029,0.24,0.23,0.084,0.084,0.32,0.32
0.294,0.294,4.85,4.73,0.115,0.115,11.58,10.95,0.171,0.171,1.38,1.39,0.084,0.084,0.32,0.32
0.115,0.115,1.81,1.82,0.143,0.143,12.64,11.89,0.0,0.0,0.0,0.0,0.184,0.184,0.7,0.7
0.085,0.085,1.36,1.37,0.174,0.174,14.51,15.64,0.019,0.019,0.15,0.15,0.184,0.184,0.7,0.7
0.303,0.303,5.14,5.01,0.009,0.009,0.81,0.81,0.042,0.042,0.34,0.34,0.035,0.035,0.13,0.13
0.044,0.044,0.7,0.7,0.068,0.068,6.71,6.49,0.001,0.001,0.01,0.01,0.084,0.084,0.32,0.32
0.044,0.044,0.71,0.71,0.017,0.017,1.45,1.44,0.188,0.188,1.55,1.54,0.055,0.055,0.21,0.21
0.004,0.004,0.06,0.06,0.292,0.292,21.01,23.48,1.247,1.247,11.04,10.47,0.181,0.181,0.68,0.68
0.217,0.217,3.38,3.44,0.012,0.012,1.12,1.13,0.127,0.127,1.03,1.04,0.059,0.059,0.22,0.22
0.22,0.22,3.58,3.51,0.094,0.094,8.38,8.75,0.313,0.313,2.55,2.59,0.063,0.063,0.24,0.24
0.464,0.464,7.87,7.57,0.014,0.014,1.32,1.32,0.558,0.558,4.45,4.55,0.155,0.155,0.58,0.59
0.102,0.102,1.58,1.6,0.036,0.036,3.33,3.27,0.209,0.209,1.73,1.72,0.088,0.088,0.33,0.33
0.148,0.148,2.29,2.32,0.183,0.183,14.2,15.29,0.308,0.308,2.53,2.5,0.063,0.063,0.24,0.24
0.31,0.31,5.16,5.03,0.063,0.063,6.05,5.88,0.006,0.006,0.05,0.05,0.045,0.045,0.17,0.17
0.057,0.057,0.91,0.91,0.196,0.196,19.83,18.04,0.272,0.272,2.2,2.23,0.045,0.045,0.17,0.17
0.0,0.0,0.01,0.01,0.065,0.065,5.5,5.65,0.138,0.138,1.13,1.14,0.045,0.045,0.17,0.17
0.142,0.142,2.37,2.34,0.118,0.118,9.64,10.12,0.016,0.016,0.13,0.13,0.045,0.045,0.17,0.17
0.012,0.012,0.19,0.19,0.244,0.244,17.92,19.68,0.314,0.314,2.52,2.56,0.045,0.045,0.17,0.17
0.241,0.241,3.76,3.83,0.097,0.097,8.01,8.35,0.283,0.283,2.34,2.31,0.145,0.145,0.55,0.55
0.203,0.203,3.38,3.32,0.407,0.407,44.68,36.52,0.15,0.15,1.19,1.2,0.145,0.145,0.55,0.55
0.609,0.609,10.29,9.79,0.031,0.031,2.57,2.54,0.126,0.126,1.01,1.01,0.062,0.062,0.23,0.23
0.033,0.033,0.52,0.52,0.04,0.04,3.59,3.53,0.284,0.284,2.34,2.31,0.041,0.041,0.15,0.15
0.097,0.097,1.57,1.56,0.129,0.129,11.1,11.75,0.17,0.17,1.37,1.36,0.041,0.041,0.15,0.15
0.238,0.238,3.9,3.98,0.129,0.129,10.17,10.72,0.01,0.01,0.08,0.08,0.141,0.141,0.53,0.53
0.169,0.169,2.68,2.71,0.145,0.145,11.4,12.08,0.306,0.306,2.54,2.51,0.141,0.141,0.53,0.53
0.586,0.586,8.74,9.14,0.039,0.039,3.7,3.63,1.459,1.459,10.58,11.17,11.438,11.438,75.25,54.68
4.97,4.97,432.2,136.73,1.136,1.136,1135.96,170.06,4.685,4.685,27.54,31.94,11.867,11.867,80.18,57.24
7.393,7.393,18481.69,197.86,1.07,1.07,2674.69,186.09,6.257,6.257,33.32,39.98,7.859,7.859,53.1,41.96
0.366,0.366,12.84,13.73,0.508,0.508,158.76,88.5,0.948,0.948,6.83,7.08,3.204,3.204,20.94,18.96
7.63,7.63,78.74,129.87,0.519,0.519,259.37,112.92,17.474,17.474,4368.51,191.24,1.829,1.829,11.96,11.28
9.612,9.612,81.39,137.25,0.216,0.216,215.83,103.81,18.544,18.544,5011.95,192.33,1.638,1.638,10.71,10.16
6.014,6.014,53.65,73.32,0.084,0.084,105.34,69.0,5.129,5.129,899.84,163.63,1.504,1.504,9.83,9.37
0.951,0.951,9.14,9.57,0.099,0.099,99.06,66.25,2.671,2.671,684.96,200.0,2.018,2.018,13.11,12.3
1.297,1.297,13.32,12.49,0.095,0.095,105.55,69.09,2.397,2.397,599.27,200.0,2.884,2.884,18.73,17.12
2.631,2.631,18.77,20.71,0.136,0.136,194.43,98.59,1.442,1.442,351.62,200.0,2.531,2.531,16.44,15.19
2.417,2.417,18.65,20.57,0.235,0.235,261.42,113.31,1.443,1.443,200.4,200.0,1.846,1.846,11.98,11.31
7.99,7.99,45.56,58.99,0.098,0.098,245.41,110.2,1.093,1.093,223.01,200.0,2.5,2.5,16.13,14.92
2.218,2.218,15.05,16.27,0.046,0.046,65.37,49.27,0.984,0.984,200.91,200.0,3.562,3.562,22.98,20.61
