cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.014,0.014,0.27,0.27,0.022,0.022,2.25,2.22,0.081,0.081,0.58,0.59,0.009,0.009,0.1,0.1
0.065,0.065,1.25,1.25,0.013,0.013,1.31,1.3,0.032,0.032,0.23,0.23,0.096,0.096,1.05,1.04
0.013,0.013,0.26,0.26,0.073,0.073,6.75,6.99,0.048,0.048,0.35,0.35,0.116,0.116,1.27,1.26
0.064,0.064,1.26,1.25,0.029,0.029,2.82,2.87,0.026,0.026,0.19,0.19,0.035,0.035,0.39,0.38
0.0,0.0,0.01,0.01,0.064,0.064,5.9,6.08,0.021,0.021,0.15,0.15,0.111,0.111,1.23,1.22
0.034,0.034,0.66,0.66,0.055,0.055,5.44,5.29,0.106,0.106,0.76,0.77,0.11,0.11,1.18,1.18
0.018,0.018,0.35,0.35,0.06,0.06,5.81,5.64,0.026,0.026,0.19,0.19,0.074,0.074,0.8,0.8
0.066,0.066,1.27,1.28,0.001,0.001,0.1,0.1,0.072,0.072,0.52,0.52,0.004,0.004,0.04,0.04
0.056,0.056,1.11,1.1,0.005,0.005,0.46,0.46,0.009,0.009,0.06,0.06,0.024,0.024,0.26,0.26
0.005,0.005,0.1,0.1,0.046,0.046,4.46,4.36,0.059,0.059,0.43,0.43,0.039,0.039,0.43,0.42
0.03,0.03,0.59,0.59,0.09,0.09,9.01,8.63,0.128,0.128,0.92,0.93,0.147,0.147,1.56,1.57
0.06,0.06,1.17,1.17,0.089,0.089,9.15,8.75,0.005,0.005,0.03,0.03,0.059,0.059,0.63,0.64
0.106,0.106,2.04,2.06,0.078,0.078,7.95,7.65,0.008,0.008,0.06,0.06,0.079,0.079,0.87,0.87
0.012,0.012,0.24,0.24,0.065,0.065,6.68,6.46,0.007,0.007,0.05,0.05,0.045,0.045,0.49,0.49
0.006,0.006,0.11,0.11,0.035,0.035,3.57,3.51,0.023,0.023,0.16,0.16,0.047,0.047,0.51,0.51
0.047,0.047,0.92,0.92,0.012,0.012,1.29,1.28,0.094,0.094,0.68,0.68,0.24,0.24,2.64,2.6
0.047,0.047,0.9,0.91,0.001,0.001,0.09,0.09,0.029,0.029,0.21,0.21,0.17,0.17,1.87,1.85
0.03,0.03,0.59,0.59,0.022,0.022,2.22,2.25,0.056,0.056,0.4,0.4,0.079,0.079,0.86,0.86
0.021,0.021,0.41,0.41,0.007,0.007,0.72,0.72,0.038,0.038,0.28,0.28,0.014,0.014,0.15,0.15
0.051,0.051,0.98,0.98,0.011,0.011,1.1,1.09,0.042,0.042,0.3,0.3,0.057,0.057,0.63,0.63
0.066,0.066,1.27,1.27,0.017,0.017,1.74,1.72,0.001,0.001,0.0,0.0,0.013,0.013,0.15,0.15
0.025,0.025,0.48,0.48,0.004,0.004,0.43,0.43,0.002,0.002,0.01,0.01,0.045,0.045,0.49,0.49
0.026,0.026,0.5,0.51,0.056,0.056,5.39,5.54,0.02,0.02,0.14,0.14,0.097,0.097,1.05,1.06
0.022,0.022,0.42,0.42,0.032,0.032,3.19,3.24,0.005,0.005,0.03,0.03,0.123,0.123,1.32,1.33
0.012,0.012,0.23,0.23,0.002,0.002,0.22,0.22,0.027,0.027,0.19,0.19,0.046,0.046,0.5,0.5
