cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.062,0.062,88.9,61.54,0.003,0.003,5.12,4.99,0.078,0.078,0.39,0.39,0.0,0.0,0.0,0.0
0.107,0.107,238.37,108.75,0.01,0.01,16.71,15.42,0.1,0.1,0.5,0.5,0.0,0.0,0.0,0.0
0.029,0.029,60.17,46.26,0.003,0.003,4.0,4.09,0.004,0.004,0.02,0.02,0.0,0.0,0.0,0.0
0.014,0.014,32.8,28.18,0.001,0.001,0.8,0.8,0.016,0.016,0.08,0.08,0.0,0.0,0.0,0.0
0.016,0.016,33.47,28.67,0.013,0.013,17.97,19.75,0.015,0.015,0.08,0.08,0.0,0.0,0.0,0.0
0.019,0.019,43.46,35.7,0.011,0.011,18.78,17.16,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.012,29.1,25.41,0.005,0.005,6.88,7.12,0.01,0.01,0.05,0.05,0.0,0.0,0.0,0.0
0.01,0.01,18.32,20.16,0.01,0.01,13.52,14.5,0.018,0.018,0.09,0.09,0.0,0.0,0.0,0.0
0.014,0.014,25.55,29.3,0.019,0.019,33.97,29.04,0.047,0.047,0.24,0.24,0.0,0.0,0.0,0.0
0.012,0.012,21.33,23.88,0.007,0.007,11.84,11.18,0.019,0.019,0.09,0.09,0.0,0.0,0.0,0.0
0.088,0.088,63.53,93.1,0.005,0.005,7.07,7.33,0.109,0.109,0.55,0.55,0.0,0.0,0.0,0.0
0.016,0.016,18.69,20.62,0.003,0.003,5.29,5.16,0.019,0.019,0.1,0.1,0.0,0.0,0.0,0.0
0.003,0.003,4.07,3.99,0.006,0.006,8.28,8.64,0.012,0.012,0.06,0.06,0.0,0.0,0.0,0.0
0.005,0.005,9.51,9.98,0.004,0.004,6.43,6.23,0.022,0.022,0.11,0.11,0.0,0.0,0.0,0.0
0.001,0.001,1.3,1.29,0.001,0.001,1.13,1.14,0.02,0.02,0.1,0.1,0.0,0.0,0.0,0.0
0.006,0.006,12.34,13.15,0.01,0.01,14.96,16.17,0.003,0.003,0.01,0.01,0.0,0.0,0.0,0.0
0.004,0.004,8.79,9.19,0.008,0.008,14.27,13.32,0.024,0.024,0.12,0.12,0.001,0.001,0.01,0.01
0.007,0.007,13.01,13.92,0.003,0.003,4.19,4.28,0.031,0.031,0.16,0.16,0.0,0.0,0.0,0.0
0.003,0.003,6.92,7.16,0.002,0.002,3.68,3.62,0.005,0.005,0.03,0.03,0.0,0.0,0.0,0.0
0.005,0.005,10.72,11.33,0.0,0.0,0.0,0.0,0.011,0.011,0.06,0.06,0.0,0.0,0.0,0.0
0.005,0.005,10.61,11.21,0.008,0.008,14.47,13.49,0.022,0.022,0.11,0.11,0.0,0.0,0.0,0.0
0.029,0.029,53.34,42.11,0.004,0.004,6.2,6.01,0.04,0.04,0.2,0.2,0.0,0.0,0.0,0.0
0.101,0.101,64.19,94.53,0.005,0.005,7.46,7.75,0.104,0.104,0.53,0.52,0.0,0.0,0.0,0.0
0.04,0.04,42.25,53.57,0.003,0.003,5.2,5.07,0.002,0.002,0.01,0.01,0.0,0.0,0.0,0.0
0.001,0.001,1.71,1.73,0.007,0.007,9.72,10.21,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.011,22.34,20.1,0.007,0.007,11.16,10.57,0.018,0.018,0.09,0.09,0.0,0.0,0.0,0.0
0.011,0.011,19.42,17.7,0.001,0.001,1.16,1.15,0.012,0.012,0.06,0.06,0.0,0.0,0.0,0.0
0.007,0.007,14.93,13.89,0.0,0.0,0.47,0.47,0.012,0.012,0.06,0.06,0.0,0.0,0.0,0.0
0.005,0.005,9.81,9.35,0.003,0.003,3.88,3.96,0.004,0.004,0.02,0.02,0.0,0.0,0.0,0.0
0.022,0.022,50.23,40.15,0.003,0.003,4.09,4.18,0.035,0.035,0.17,0.17,0.0,0.0,0.0,0.0
0.007,0.007,15.39,14.29,0.004,0.004,5.3,5.44,0.02,0.02,0.1,0.1,0.0,0.0,0.0,0.0
0.007,0.007,12.25,13.05,0.004,0.004,7.98,7.67,0.011,0.011,0.06,0.06,0.0,0.0,0.0,0.0
0.006,0.006,11.1,11.75,0.004,0.004,7.2,6.95,0.003,0.003,0.01,0.01,0.0,0.0,0.0,0.0
0.001,0.001,2.55,2.52,0.002,0.002,3.5,3.44,0.039,0.039,0.2,0.2,0.0,0.0,0.0,0.0
0.071,0.071,55.48,76.78,0.002,0.002,3.56,3.62,0.083,0.083,0.42,0.42,0.0,0.0,0.0,0.0
0.033,0.033,36.55,44.73,0.009,0.009,19.85,18.06,0.007,0.007,0.03,0.03,0.0,0.0,0.0,0.0
0.019,0.019,24.29,27.65,0.006,0.006,10.97,10.4,0.008,0.008,0.04,0.04,0.0,0.0,0.0,0.0
0.004,0.004,6.13,6.33,0.003,0.003,4.74,4.63,0.003,0.003,0.02,0.02,0.0,0.0,0.0,0.0
0.008,0.008,14.11,13.18,0.004,0.004,6.33,6.54,0.012,0.012,0.06,0.06,0.0,0.0,0.0,0.0
0.018,0.018,33.28,28.53,0.005,0.005,10.6,11.2,0.021,0.021,0.1,0.1,0.0,0.0,0.0,0.0
0.006,0.006,10.07,9.59,0.001,0.001,1.39,1.38,0.008,0.008,0.04,0.04,0.0,0.0,0.0,0.0
0.01,0.01,19.5,17.77,0.003,0.003,4.79,4.68,0.013,0.013,0.07,0.07,0.0,0.0,0.0,0.0
0.014,0.014,27.46,24.15,0.003,0.003,5.57,5.42,0.007,0.007,0.04,0.04,0.0,0.0,0.0,0.0
0.005,0.005,9.76,9.3,0.002,0.002,3.52,3.46,0.028,0.028,0.14,0.14,0.0,0.0,0.0,0.0
1.017,1.017,95.02,181.02,0.208,0.208,78.84,130.14,0.47,0.47,2.42,2.39,0.3,0.3,3.23,3.28
1.374,1.374,96.41,186.15,0.25,0.25,82.68,140.94,2.145,2.145,12.09,11.4,0.4,0.4,4.26,4.35
1.091,1.091,83.44,143.17,0.276,0.276,81.02,136.18,1.874,1.874,10.45,9.93,0.135,0.135,1.43,1.44
0.166,0.166,12.83,12.06,0.153,0.153,34.42,41.58,1.224,1.224,6.87,6.64,0.022,0.022,0.23,0.23
0.416,0.416,36.93,31.17,0.056,0.056,15.32,16.59,0.22,0.22,1.21,1.21,0.02,0.02,0.22,0.22
0.033,0.033,2.44,2.41,0.071,0.071,17.05,18.64,0.041,0.041,0.23,0.23,0.01,0.01,0.11,0.11
0.074,0.074,6.6,6.39,0.011,0.011,3.34,3.29,0.011,0.011,0.06,0.06,0.005,0.005,0.05,0.05
0.198,0.198,14.54,15.68,0.019,0.019,4.32,4.42,0.063,0.063,0.35,0.35,0.003,0.003,0.03,0.03
0.029,0.029,2.54,2.57,0.006,0.006,1.59,1.58,0.387,0.387,2.14,2.16,0.001,0.001,0.01,0.01
0.097,0.097,7.16,6.91,0.089,0.089,18.22,20.04,0.087,0.087,0.49,0.49,0.001,0.001,0.01,0.01
0.003,0.003,0.24,0.24,0.167,0.167,33.27,39.91,0.302,0.302,1.67,1.69,0.0,0.0,0.0,0.0
