cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
5.055,5.055,5155.85,192.53,0.987,0.987,2144.65,182.94,6.07,6.07,30.55,36.06,1.053,1.053,11.97,11.29
2.17,2.17,2745.94,186.42,0.674,0.674,1271.83,172.82,4.387,4.387,22.09,24.83,0.817,0.817,9.29,8.87
0.546,0.546,732.66,157.11,0.385,0.385,746.51,157.74,2.545,2.545,12.8,13.68,0.634,0.634,7.21,6.95
0.085,0.085,137.23,81.39,0.265,0.265,522.33,144.62,1.359,1.359,6.83,7.07,0.492,0.492,5.59,5.44
0.041,0.041,81.13,57.71,0.147,0.147,323.21,123.55,0.817,0.817,4.1,4.19,0.382,0.382,4.34,4.25
0.008,0.008,14.21,13.27,0.074,0.074,128.21,78.13,0.425,0.425,2.14,2.16,0.296,0.296,3.37,3.31
0.014,0.014,32.15,27.7,0.028,0.028,57.28,44.53,0.252,0.252,1.26,1.27,0.23,0.23,2.61,2.58
0.011,0.011,23.1,20.71,0.028,0.028,47.06,38.1,0.077,0.077,0.39,0.39,0.178,0.178,2.03,2.01
0.014,0.014,26.79,23.62,0.004,0.004,6.79,6.57,0.013,0.013,0.07,0.07,0.14,0.14,1.59,1.58
0.005,0.005,12.58,11.84,0.005,0.005,10.6,10.07,0.036,0.036,0.18,0.18,0.11,0.11,1.25,1.25
0.002,0.002,4.79,4.68,0.012,0.012,19.54,21.65,0.009,0.009,0.05,0.05,0.087,0.087,0.99,0.98
0.087,0.087,65.26,96.87,0.009,0.009,14.62,15.77,0.12,0.12,0.6,0.6,0.068,0.068,0.78,0.77
0.039,0.039,45.1,58.23,0.016,0.016,36.43,30.81,0.014,0.014,0.07,0.07,0.054,0.054,0.61,0.61
0.006,0.006,7.62,7.93,0.006,0.006,10.09,10.62,0.005,0.005,0.03,0.03,0.042,0.042,0.48,0.48
0.04,0.04,76.76,55.47,0.007,0.007,15.12,14.06,0.009,0.009,0.04,0.04,0.049,0.049,0.56,0.56
0.013,0.013,26.11,23.09,0.006,0.006,10.24,10.8,0.011,0.011,0.05,0.05,0.057,0.057,0.65,0.65
0.01,0.01,14.65,15.81,0.023,0.023,33.37,40.05,0.05,0.05,0.25,0.25,0.045,0.045,0.51,0.51
0.003,0.003,6.7,6.49,0.0,0.0,0.83,0.84,0.001,0.001,0.0,0.0,0.052,0.052,0.6,0.59
0.008,0.008,16.71,15.42,0.0,0.0,0.67,0.67,0.009,0.009,0.05,0.05,0.041,0.041,0.47,0.47
0.002,0.002,4.94,4.82,0.003,0.003,5.4,5.26,0.025,0.025,0.13,0.13,0.048,0.048,0.55,0.54
0.003,0.003,4.92,5.04,0.009,0.009,14.38,13.42,0.009,0.009,0.05,0.05,0.056,0.056,0.64,0.63
0.017,0.017,47.62,38.46,0.0,0.0,0.46,0.45,0.008,0.008,0.04,0.04,0.044,0.044,0.5,0.5
0.006,0.006,13.65,12.78,0.015,0.015,21.47,24.05,0.002,0.002,0.01,0.01,0.051,0.051,0.58,0.58
0.114,0.114,70.31,108.42,0.009,0.009,13.41,14.37,0.105,0.105,0.53,0.53,0.04,0.04,0.46,0.46
0.048,0.048,50.29,67.18,0.009,0.009,16.51,15.25,0.018,0.018,0.09,0.09,0.047,0.047,0.53,0.53
0.012,0.012,13.75,14.76,0.0,0.0,0.2,0.2,0.001,0.001,0.01,0.01,0.055,0.055,0.62,0.62
0.001,0.001,1.49,1.5,0.005,0.005,7.35,7.63,0.019,0.019,0.09,0.09,0.043,0.043,0.49,0.49
0.008,0.008,12.08,11.39,0.012,0.012,16.99,18.56,0.002,0.002,0.01,0.01,0.05,0.05,0.57,0.57
0.017,0.017,32.28,27.79,0.001,0.001,2.31,2.29,0.015,0.015,0.08,0.08,0.039,0.039,0.45,0.45
0.009,0.009,16.83,15.53,0.004,0.004,5.91,5.74,0.004,0.004,0.02,0.02,0.046,0.046,0.52,0.52
0.005,0.005,10.42,9.9,0.016,0.016,34.37,29.33,0.009,0.009,0.05,0.05,0.053,0.053,0.61,0.61
0.007,0.007,11.96,12.72,0.001,0.001,1.03,1.03,0.033,0.033,0.16,0.16,0.042,0.042,0.48,0.48
0.003,0.003,6.77,6.55,0.007,0.007,15.59,14.46,0.02,0.02,0.1,0.1,0.049,0.049,0.56,0.55
0.004,0.004,7.68,7.4,0.012,0.012,21.54,19.45,0.004,0.004,0.02,0.02,0.007,0.007,0.08,0.08
0.001,0.001,2.45,2.48,0.005,0.005,8.25,8.6,0.023,0.023,0.12,0.12,0.03,0.03,0.34,0.34
0.112,0.112,68.99,105.31,0.007,0.007,11.66,12.38,0.146,0.146,0.74,0.73,0.03,0.03,0.33,0.33
0.053,0.053,52.34,70.89,0.012,0.012,23.12,20.73,0.047,0.047,0.24,0.24,0.034,0.034,0.39,0.39
0.0,0.0,0.37,0.37,0.0,0.0,0.51,0.51,0.006,0.006,0.03,0.03,0.009,0.009,0.1,0.1
0.004,0.004,5.86,5.69,0.002,0.002,4.21,4.3,0.009,0.009,0.05,0.05,0.085,0.085,0.96,0.96
0.022,0.022,42.37,34.96,0.021,0.021,43.63,35.82,0.037,0.037,0.18,0.18,0.056,0.056,0.64,0.64
0.016,0.016,31.31,27.08,0.001,0.001,2.12,2.14,0.005,0.005,0.03,0.03,0.037,0.037,0.43,0.42
0.011,0.011,24.61,21.92,0.01,0.01,19.16,17.48,0.005,0.005,0.03,0.03,0.034,0.034,0.38,0.38
0.002,0.002,3.18,3.23,0.012,0.012,21.49,19.41,0.004,0.004,0.02,0.02,0.018,0.018,0.2,0.2
0.01,0.01,24.09,21.5,0.01,0.01,16.81,15.51,0.013,0.013,0.07,0.07,0.009,0.009,0.1,0.1
0.006,0.006,14.15,13.22,0.002,0.002,3.1,3.05,0.011,0.011,0.06,0.06,0.005,0.005,0.05,0.05
0.003,0.003,7.31,7.05,0.006,0.006,12.62,11.87,0.006,0.006,0.03,0.03,0.002,0.002,0.03,0.03
0.004,0.004,8.27,8.63,0.007,0.007,10.52,11.1,0.006,0.006,0.03,0.03,0.001,0.001,0.01,0.01
0.085,0.085,65.26,96.86,0.017,0.017,23.75,26.96,0.123,0.123,0.62,0.62,0.001,0.001,0.01,0.01
0.027,0.027,33.23,39.85,0.008,0.008,13.37,14.33,0.03,0.03,0.15,0.15,0.0,0.0,0.0,0.0
0.0,0.0,0.19,0.19,0.023,0.023,32.65,39.02,0.012,0.012,0.06,0.06,0.0,0.0,0.0,0.0
0.01,0.01,20.39,18.51,0.013,0.013,24.19,27.52,0.021,0.021,0.11,0.11,0.0,0.0,0.0,0.0
0.012,0.012,19.17,21.2,0.06,0.06,95.99,184.59,0.006,0.006,0.03,0.03,0.05,0.05,0.56,0.57
0.002,0.002,4.38,4.28,0.045,0.045,79.09,130.82,0.009,0.009,0.04,0.04,0.075,0.075,0.84,0.85
0.023,0.023,50.46,40.29,0.018,0.018,27.04,31.27,0.004,0.004,0.02,0.02,0.116,0.116,1.31,1.32
0.018,0.018,43.31,35.6,0.005,0.005,8.87,9.28,0.028,0.028,0.14,0.14,0.196,0.196,2.2,2.23
0.022,0.022,43.23,35.55,0.01,0.01,19.04,21.05,0.006,0.006,0.03,0.03,0.322,0.322,3.62,3.69
0.001,0.001,2.46,2.49,0.032,0.032,49.14,65.14,0.008,0.008,0.04,0.04,0.385,0.385,4.33,4.42
0.007,0.007,17.44,16.04,0.01,0.01,16.81,18.36,0.004,0.004,0.02,0.02,0.46,0.46,5.17,5.3
0.007,0.007,13.45,14.42,0.005,0.005,8.04,8.38,0.002,0.002,0.01,0.01,0.549,0.549,6.17,6.37
0.104,0.104,66.79,100.27,0.01,0.01,15.47,16.77,0.135,0.135,0.68,0.68,0.552,0.552,6.2,6.4
0.035,0.035,37.69,46.44,0.008,0.008,15.72,14.58,0.021,0.021,0.11,0.11,0.555,0.555,6.23,6.43
0.008,0.008,10.39,9.87,0.001,0.001,2.13,2.11,0.006,0.006,0.03,0.03,0.557,0.557,6.26,6.46
0.011,0.011,17.43,16.03,0.009,0.009,19.79,18.0,0.027,0.027,0.14,0.14,0.56,0.56,6.29,6.5
0.0,0.0,0.2,0.2,0.005,0.005,8.47,8.12,0.001,0.001,0.0,0.0,0.563,0.563,6.32,6.53
0.003,0.003,5.43,5.29,0.012,0.012,22.94,25.91,0.005,0.005,0.03,0.03,0.565,0.565,6.35,6.56
0.011,0.011,19.27,17.58,0.013,0.013,20.84,23.27,0.029,0.029,0.14,0.14,0.568,0.568,6.38,6.59
0.003,0.003,6.21,6.41,0.007,0.007,12.83,13.71,0.013,0.013,0.07,0.07,0.57,0.57,6.41,6.62
0.002,0.002,3.63,3.7,0.018,0.018,30.22,35.6,0.012,0.012,0.06,0.06,0.573,0.573,6.44,6.65
0.007,0.007,13.51,14.48,0.015,0.015,25.65,29.43,0.014,0.014,0.07,0.07,0.576,0.576,6.47,6.69
0.003,0.003,5.78,5.62,0.005,0.005,10.79,10.24,0.0,0.0,0.0,0.0,0.578,0.578,6.5,6.72
0.009,0.009,14.9,16.1,0.003,0.003,5.21,5.08,0.011,0.011,0.06,0.06,0.581,0.581,6.53,6.75
0.097,0.097,59.01,83.72,0.004,0.004,7.8,8.11,0.112,0.112,0.56,0.56,0.584,0.584,6.56,6.78
0.042,0.042,41.43,52.26,0.008,0.008,21.78,19.64,0.039,0.039,0.2,0.2,0.587,0.587,6.59,6.82
0.005,0.005,5.95,5.78,0.001,0.001,0.98,0.98,0.01,0.01,0.05,0.05,0.589,0.589,6.62,6.85
0.014,0.014,23.44,20.98,0.002,0.002,5.48,5.63,0.027,0.027,0.13,0.13,0.592,0.592,6.65,6.88
0.01,0.01,16.42,15.17,0.003,0.003,5.04,5.17,0.002,0.002,0.01,0.01,0.595,0.595,6.68,6.91
0.012,0.012,27.32,24.03,0.002,0.002,3.75,3.82,0.005,0.005,0.02,0.02,0.598,0.598,6.71,6.95
0.017,0.017,35.96,30.48,0.013,0.013,23.74,21.22,0.006,0.006,0.03,0.03,0.6,0.6,6.75,6.98
0.027,0.027,54.44,42.79,0.012,0.012,28.38,24.85,0.042,0.042,0.21,0.21,0.603,0.603,6.78,7.01
0.012,0.012,24.45,21.79,0.002,0.002,3.26,3.32,0.004,0.004,0.02,0.02,0.606,0.606,6.81,7.05
0.002,0.002,4.01,3.93,0.009,0.009,26.26,23.22,0.093,0.093,0.47,0.47,0.609,0.609,6.84,7.08
0.01,0.01,16.72,18.25,0.016,0.016,36.6,30.94,0.13,0.13,0.65,0.65,0.612,0.612,6.87,7.12
0.0,0.0,0.63,0.63,0.009,0.009,25.97,29.84,0.159,0.159,0.8,0.8,0.614,0.614,6.9,7.15
0.101,0.101,64.93,96.15,0.013,0.013,24.4,27.79,0.338,0.338,1.71,1.69,0.567,0.567,6.41,6.62
0.051,0.051,49.96,66.6,0.0,0.0,0.75,0.75,0.33,0.33,1.66,1.65,0.595,0.595,6.71,6.94
0.016,0.016,19.97,22.18,0.001,0.001,2.34,2.37,0.051,0.051,0.26,0.26,0.482,0.482,5.45,5.61
0.034,0.034,51.71,41.09,0.002,0.002,5.09,5.23,0.052,0.052,0.26,0.26,0.467,0.467,5.29,5.44
0.016,0.016,28.19,24.71,0.008,0.008,14.28,15.38,0.01,0.01,0.05,0.05,0.444,0.444,5.01,5.14
0.004,0.004,7.01,6.77,0.011,0.011,18.78,20.73,0.031,0.031,0.16,0.16,0.375,0.375,4.25,4.34
0.003,0.003,6.28,6.48,0.014,0.014,32.65,28.07,0.012,0.012,0.06,0.06,0.363,0.363,4.12,4.2
0.007,0.007,15.28,14.19,0.004,0.004,8.07,7.75,0.021,0.021,0.11,0.11,0.336,0.336,3.79,3.86
0.005,0.005,8.04,8.38,0.011,0.011,20.4,22.71,0.021,0.021,0.1,0.1,0.301,0.301,3.39,3.45
0.004,0.004,7.18,7.44,0.015,0.015,35.27,29.98,0.14,0.14,0.7,0.7,0.216,0.216,2.44,2.47
0.004,0.004,8.81,8.44,0.003,0.003,5.19,5.33,0.089,0.089,0.45,0.45,0.296,0.296,3.34,3.4
0.007,0.007,15.87,14.71,0.003,0.003,5.31,5.45,0.033,0.033,0.16,0.16,0.18,0.18,2.03,2.06
0.101,0.101,66.07,98.67,0.023,0.023,34.83,42.17,0.187,0.187,0.94,0.94,0.125,0.125,1.41,1.42
0.046,0.046,47.73,62.69,0.008,0.008,19.68,17.92,0.086,0.086,0.44,0.43,0.072,0.072,0.82,0.83
0.046,0.046,62.81,47.8,0.008,0.008,14.94,13.9,0.003,0.003,0.01,0.01,0.017,0.017,0.19,0.19
0.023,0.023,36.59,30.93,0.01,0.01,25.08,22.28,0.013,0.013,0.07,0.07,0.001,0.001,0.01,0.01
0.014,0.014,26.79,23.63,0.014,0.014,27.73,32.19,0.006,0.006,0.03,0.03,0.002,0.002,0.02,0.02
0.009,0.009,16.89,15.58,0.0,0.0,0.55,0.55,0.0,0.0,0.0,0.0,0.004,0.004,0.04,0.04
0.002,0.002,4.49,4.39,0.017,0.017,28.41,33.12,0.004,0.004,0.02,0.02,0.004,0.004,0.04,0.04
0.0,0.0,0.67,0.67,0.031,0.031,43.76,56.01,0.0,0.0,0.0,0.0,0.003,0.003,0.04,0.04
0.005,0.005,11.24,10.64,0.005,0.005,8.71,9.11,0.042,0.042,0.21,0.21,0.001,0.001,0.02,0.02
0.002,0.002,4.69,4.8,0.002,0.002,3.77,3.7,0.002,0.002,0.01,0.01,0.001,0.001,0.01,0.01
0.014,0.014,28.09,24.63,0.008,0.008,15.35,14.26,0.041,0.041,0.2,0.2,0.0,0.0,0.0,0.0
0.01,0.01,20.48,18.58,0.015,0.015,22.98,25.96,0.001,0.001,0.01,0.01,0.0,0.0,0.0,0.0
0.073,0.073,56.4,78.55,0.027,0.027,39.18,48.73,0.121,0.121,0.61,0.61,0.0,0.0,0.0,0.0
0.057,0.057,63.01,91.99,0.017,0.017,35.15,42.64,0.024,0.024,0.12,0.12,0.0,0.0,0.0,0.0
0.006,0.006,6.9,6.67,0.007,0.007,13.99,13.08,0.008,0.008,0.04,0.04,0.0,0.0,0.0,0.0
0.02,0.02,31.31,27.07,0.021,0.021,53.15,41.99,0.02,0.02,0.1,0.1,0.0,0.0,0.0,0.0
0.03,0.03,51.94,41.23,0.008,0.008,17.33,18.98,0.009,0.009,0.05,0.05,0.0,0.0,0.0,0.0
0.023,0.023,42.49,35.05,0.016,0.016,27.53,31.92,0.022,0.022,0.11,0.11,0.05,0.05,0.56,0.57
0.012,0.012,20.59,18.67,0.013,0.013,21.71,24.35,0.021,0.021,0.1,0.1,0.075,0.075,0.85,0.85
0.026,0.026,49.42,39.63,0.005,0.005,9.16,8.75,0.019,0.019,0.1,0.1,0.116,0.116,1.31,1.32
0.009,0.009,16.7,15.41,0.002,0.002,3.05,3.0,0.01,0.01,0.05,0.05,0.196,0.196,2.2,2.23
0.001,0.001,1.42,1.41,0.008,0.008,13.71,14.72,0.003,0.003,0.01,0.01,0.201,0.201,2.26,2.29
0.008,0.008,15.36,14.26,0.016,0.016,36.16,30.62,0.005,0.005,0.02,0.02,0.204,0.204,2.29,2.31
0.011,0.011,24.36,21.71,0.009,0.009,15.11,16.35,0.007,0.007,0.03,0.03,0.205,0.205,2.3,2.33
0.05,0.05,37.56,46.24,0.018,0.018,26.55,30.61,0.094,0.094,0.48,0.48,0.205,0.205,2.31,2.33
0.029,0.029,34.22,41.28,0.003,0.003,5.29,5.15,0.005,0.005,0.03,0.03,0.206,0.206,2.31,2.34
0.028,0.028,36.0,30.51,0.005,0.005,7.23,7.5,0.006,0.006,0.03,0.03,0.206,0.206,2.32,2.34
0.022,0.022,33.73,28.86,0.005,0.005,8.42,8.08,0.025,0.025,0.13,0.13,0.207,0.207,2.32,2.35
0.029,0.029,50.31,40.2,0.005,0.005,8.74,8.38,0.022,0.022,0.11,0.11,0.207,0.207,2.32,2.35
0.026,0.026,54.12,42.59,0.003,0.003,4.18,4.27,0.005,0.005,0.02,0.02,0.207,0.207,2.33,2.35
0.018,0.018,36.71,31.02,0.011,0.011,16.22,17.66,0.035,0.035,0.18,0.18,0.207,0.207,2.33,2.36
0.018,0.018,41.41,34.31,0.013,0.013,25.66,22.74,0.013,0.013,0.07,0.07,0.208,0.208,2.33,2.36
0.004,0.004,8.32,7.99,0.018,0.018,36.69,31.0,0.013,0.013,0.06,0.06,0.208,0.208,2.34,2.36
0.003,0.003,5.78,5.95,0.007,0.007,13.45,12.6,0.024,0.024,0.12,0.12,0.208,0.208,2.34,2.37
0.008,0.008,13.94,14.99,0.025,0.025,40.73,51.14,0.015,0.015,0.08,0.08,0.209,0.209,2.34,2.37
0.003,0.003,5.36,5.22,0.041,0.041,50.66,67.85,0.025,0.025,0.13,0.13,0.209,0.209,2.35,2.37
0.074,0.074,57.0,79.72,0.012,0.012,17.13,18.73,0.09,0.09,0.46,0.46,0.209,0.209,2.35,2.38
0.027,0.027,31.32,37.13,0.015,0.015,26.59,23.47,0.018,0.018,0.09,0.09,0.209,0.209,2.35,2.38
0.025,0.025,30.07,26.14,0.008,0.008,13.32,12.49,0.004,0.004,0.02,0.02,0.21,0.21,2.36,2.38
0.019,0.019,28.12,24.65,0.005,0.005,7.68,7.4,0.009,0.009,0.04,0.04,0.16,0.16,1.81,1.82
0.023,0.023,36.81,31.09,0.003,0.003,4.35,4.44,0.007,0.007,0.04,0.04,0.135,0.135,1.53,1.54
0.037,0.037,79.96,57.12,0.004,0.004,8.11,7.79,0.026,0.026,0.13,0.13,0.119,0.119,1.35,1.36
0.045,0.045,77.25,55.73,0.006,0.006,10.73,10.19,0.015,0.015,0.07,0.07,0.033,0.033,0.37,0.37
0.015,0.015,28.36,24.84,0.003,0.003,4.88,4.77,0.02,0.02,0.1,0.1,0.02,0.02,0.23,0.23
0.025,0.025,52.67,41.69,0.009,0.009,19.36,17.65,0.026,0.026,0.13,0.13,0.05,0.05,0.57,0.57
0.012,0.012,25.61,22.71,0.002,0.002,3.18,3.13,0.009,0.009,0.05,0.05,0.048,0.048,0.54,0.54
0.001,0.001,2.62,2.59,0.014,0.014,21.36,23.91,0.011,0.011,0.06,0.06,0.049,0.049,0.55,0.56
0.005,0.005,8.58,8.97,0.02,0.02,30.01,35.3,0.002,0.002,0.01,0.01,0.088,0.088,0.99,1.0
0.104,0.104,68.18,103.45,0.006,0.006,9.23,9.68,0.118,0.118,0.59,0.59,0.072,0.072,0.81,0.81
0.033,0.033,30.9,36.54,0.008,0.008,16.11,14.91,0.035,0.035,0.18,0.18,0.057,0.057,0.65,0.65
