cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
3.962,3.962,347.19,126.9,0.671,0.671,168.78,91.53,4.234,4.234,23.41,26.51,0.599,0.599,6.79,6.57
0.061,0.061,4.53,4.43,0.101,0.101,21.31,19.26,0.002,0.002,0.01,0.01,0.011,0.011,0.12,0.12
0.011,0.011,0.91,0.91,0.128,0.128,23.01,26.0,0.002,0.002,0.01,0.01,0.019,0.019,0.21,0.21
0.119,0.119,9.97,9.5,0.094,0.094,16.53,18.02,0.532,0.532,2.92,2.96,0.022,0.022,0.25,0.25
0.25,0.25,17.38,19.04,0.202,0.202,28.06,32.64,0.197,0.197,1.11,1.1,0.044,0.044,0.5,0.5
0.107,0.107,9.23,8.83,0.014,0.014,2.53,2.56,0.181,0.181,1.0,1.0,0.006,0.006,0.07,0.07
0.035,0.035,2.57,2.53,0.041,0.041,6.87,6.64,0.244,0.244,1.37,1.36,0.003,0.003,0.03,0.03
0.126,0.126,11.39,10.78,0.126,0.126,25.72,22.79,0.033,0.033,0.18,0.18,0.001,0.001,0.02,0.02
0.052,0.052,3.87,3.8,0.155,0.155,30.73,26.63,0.036,0.036,0.2,0.2,0.001,0.001,0.01,0.01
0.173,0.173,16.23,15.01,0.103,0.103,27.29,24.01,0.041,0.041,0.23,0.23,0.0,0.0,0.0,0.0
0.337,0.337,34.31,29.29,0.129,0.129,30.06,26.13,0.552,0.552,3.02,3.06,0.0,0.0,0.0,0.0
0.071,0.071,5.51,5.66,0.188,0.188,30.83,36.45,0.202,0.202,1.13,1.12,0.0,0.0,0.0,0.0
0.082,0.082,6.94,7.18,0.141,0.141,24.19,27.51,0.251,0.251,1.39,1.38,0.0,0.0,0.0,0.0
0.286,0.286,18.99,20.99,0.312,0.312,39.85,49.77,0.257,0.257,1.45,1.44,0.0,0.0,0.0,0.0
0.215,0.215,17.35,19.0,0.006,0.006,1.02,1.03,0.008,0.008,0.04,0.04,0.0,0.0,0.0,0.0
0.129,0.129,8.81,9.21,0.062,0.062,9.4,8.97,0.101,0.101,0.57,0.57,0.0,0.0,0.0,0.0
0.14,0.14,11.86,11.2,0.08,0.08,16.61,15.34,0.046,0.046,0.25,0.25,0.0,0.0,0.0,0.0
0.046,0.046,3.21,3.16,0.159,0.159,31.29,27.06,0.034,0.034,0.19,0.19,0.0,0.0,0.0,0.0
0.034,0.034,2.78,2.82,0.082,0.082,19.56,17.82,0.046,0.046,0.25,0.25,0.05,0.05,0.56,0.57
0.04,0.04,2.83,2.8,0.111,0.111,24.32,21.69,0.188,0.188,1.06,1.05,0.025,0.025,0.28,0.28
0.033,0.033,2.72,2.76,0.046,0.046,12.35,11.63,0.034,0.034,0.19,0.19,0.102,0.102,1.15,1.15
0.028,0.028,2.06,2.04,0.034,0.034,7.96,7.65,0.033,0.033,0.18,0.18,0.099,0.099,1.12,1.12
0.056,0.056,4.84,4.72,0.099,0.099,20.37,22.68,0.178,0.178,0.98,0.99,0.023,0.023,0.26,0.26
0.005,0.005,0.35,0.35,0.115,0.115,18.8,20.75,0.002,0.002,0.01,0.01,0.002,0.002,0.03,0.03
0.092,0.092,7.72,7.44,0.253,0.253,35.33,42.91,0.066,0.066,0.36,0.36,0.001,0.001,0.02,0.02
0.097,0.097,6.4,6.61,0.339,0.339,42.5,53.96,0.034,0.034,0.19,0.19,0.049,0.049,0.56,0.56
0.058,0.058,4.57,4.67,0.056,0.056,9.11,8.71,0.176,0.176,0.97,0.98,0.075,0.075,0.84,0.85
0.295,0.295,25.94,22.96,0.276,0.276,56.47,44.04,0.52,0.52,2.85,2.89,0.005,0.005,0.06,0.06
0.114,0.114,7.84,8.16,0.037,0.037,5.64,5.49,0.316,0.316,1.77,1.76,0.066,0.066,0.74,0.74
0.207,0.207,17.73,16.29,0.155,0.155,29.06,25.37,0.155,0.155,0.86,0.85,0.017,0.017,0.19,0.19
0.021,0.021,1.47,1.48,0.068,0.068,10.9,10.34,0.132,0.132,0.74,0.74,0.059,0.059,0.66,0.66
0.001,0.001,0.07,0.07,0.006,0.006,1.13,1.13,0.075,0.075,0.41,0.41,0.076,0.076,0.86,0.86
0.03,0.03,2.23,2.21,0.048,0.048,7.9,7.6,0.029,0.029,0.17,0.17,0.008,0.008,0.09,0.09
0.045,0.045,3.88,3.81,0.035,0.035,7.17,6.92,0.06,0.06,0.33,0.33,0.005,0.005,0.06,0.06
0.03,0.03,2.13,2.11,0.079,0.079,11.28,11.96,0.19,0.19,1.07,1.08,0.002,0.002,0.03,0.03
0.076,0.076,6.5,6.29,0.014,0.014,2.71,2.74,0.192,0.192,1.06,1.07,0.001,0.001,0.01,0.01
0.056,0.056,3.83,3.9,0.033,0.033,4.83,4.72,0.212,0.212,1.2,1.19,0.001,0.001,0.01,0.01
0.019,0.019,1.55,1.56,0.029,0.029,5.73,5.9,0.1,0.1,0.55,0.55,0.0,0.0,0.0,0.0
0.026,0.026,1.81,1.8,0.1,0.1,16.15,14.94,0.032,0.032,0.18,0.18,0.0,0.0,0.0,0.0
0.183,0.183,15.79,14.64,0.001,0.001,0.25,0.25,0.04,0.04,0.22,0.22,0.0,0.0,0.0,0.0
0.086,0.086,6.37,6.18,0.191,0.191,34.03,29.08,0.188,0.188,1.06,1.07,0.0,0.0,0.0,0.0
0.057,0.057,5.1,4.97,0.027,0.027,6.05,5.87,0.232,0.232,1.28,1.29,0.0,0.0,0.0,0.0
0.054,0.054,3.89,3.82,0.049,0.049,9.27,8.86,0.191,0.191,1.08,1.07,0.0,0.0,0.0,0.0
0.267,0.267,17.75,19.48,0.089,0.089,16.55,18.05,0.619,0.619,3.53,3.47,0.0,0.0,0.0,0.0
0.169,0.169,13.78,12.9,0.113,0.113,27.87,24.46,0.446,0.446,2.48,2.51,0.0,0.0,0.0,0.0
0.087,0.087,6.12,6.31,0.019,0.019,3.67,3.61,0.077,0.077,0.43,0.43,0.0,0.0,0.0,0.0
0.077,0.077,6.44,6.24,0.059,0.059,14.11,13.18,0.126,0.126,0.7,0.7,0.0,0.0,0.0,0.0
0.024,0.024,1.78,1.77,0.048,0.048,9.32,8.91,0.074,0.074,0.42,0.42,0.0,0.0,0.0,0.0
0.05,0.05,4.38,4.29,0.059,0.059,15.43,14.33,0.115,0.115,0.63,0.64,0.0,0.0,0.0,0.0
0.118,0.118,8.29,8.64,0.019,0.019,3.79,3.72,0.265,0.265,1.5,1.49,0.05,0.05,0.56,0.57
0.084,0.084,7.2,6.95,0.027,0.027,7.16,7.43,0.051,0.051,0.28,0.28,0.075,0.075,0.85,0.85
0.056,0.056,3.97,4.05,0.007,0.007,1.39,1.4,0.014,0.014,0.08,0.08,0.006,0.006,0.07,0.07
0.032,0.032,2.7,2.74,0.025,0.025,6.78,6.55,0.072,0.072,0.4,0.4,0.0,0.0,0.0,0.0
0.028,0.028,2.01,2.03,0.04,0.04,9.28,8.87,0.132,0.132,0.75,0.74,0.05,0.05,0.57,0.56
0.02,0.02,1.73,1.72,0.015,0.015,4.19,4.28,0.008,0.008,0.04,0.04,0.069,0.069,0.78,0.78
0.003,0.003,0.21,0.21,0.024,0.024,5.36,5.51,0.162,0.162,0.91,0.91,0.043,0.043,0.48,0.48
0.003,0.003,0.28,0.28,0.008,0.008,2.52,2.49,0.042,0.042,0.23,0.23,0.02,0.02,0.23,0.23
0.043,0.043,3.07,3.12,0.01,0.01,2.2,2.22,0.101,0.101,0.57,0.57,0.019,0.019,0.21,0.21
0.004,0.004,0.39,0.39,0.044,0.044,11.49,12.19,0.191,0.191,1.06,1.06,0.022,0.022,0.25,0.25
0.019,0.019,1.4,1.39,0.081,0.081,15.77,17.12,0.105,0.105,0.59,0.59,0.006,0.006,0.06,0.06
0.28,0.28,18.47,20.35,0.198,0.198,36.2,44.2,0.379,0.379,2.16,2.14,0.003,0.003,0.03,0.03
0.085,0.085,6.73,6.51,0.147,0.147,33.97,29.04,0.096,0.096,0.53,0.53,0.001,0.001,0.02,0.02
0.13,0.13,9.16,9.6,0.015,0.015,2.95,2.91,0.032,0.032,0.18,0.18,0.001,0.001,0.01,0.01
0.148,0.148,12.79,12.02,0.106,0.106,24.79,22.05,0.135,0.135,0.75,0.75,0.0,0.0,0.0,0.0
0.127,0.127,9.24,8.83,0.043,0.043,8.4,8.77,0.051,0.051,0.29,0.29,0.0,0.0,0.0,0.0
0.032,0.032,2.75,2.79,0.038,0.038,9.47,9.04,0.012,0.012,0.06,0.06,0.0,0.0,0.0,0.0
0.02,0.02,1.48,1.49,0.012,0.012,2.45,2.42,0.131,0.131,0.74,0.74,0.0,0.0,0.0,0.0
