cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
0.073,0.073,1.43,1.44,0.013,0.013,1.39,1.38,0.214,0.214,1.54,1.55,0.125,0.125,1.3,1.31
0.091,0.091,1.74,1.75,0.001,0.001,0.07,0.07,0.155,0.155,1.13,1.12,0.177,0.177,1.96,1.94
0.14,0.14,2.77,2.74,0.148,0.148,12.91,13.8,0.036,0.036,0.26,0.26,0.354,0.354,3.89,3.82
0.174,0.174,3.44,3.38,0.014,0.014,1.4,1.41,0.064,0.064,0.46,0.46,0.122,0.122,1.32,1.33
0.028,0.028,0.54,0.54,0.09,0.09,8.0,8.34,0.008,0.008,0.06,0.06,0.105,0.105,1.17,1.16
0.024,0.024,0.48,0.48,0.116,0.116,12.05,11.37,0.074,0.074,0.53,0.53,0.527,0.527,5.49,5.64
0.119,0.119,2.28,2.3,0.03,0.03,2.93,2.89,0.06,0.06,0.43,0.43,0.007,0.007,0.07,0.07
0.039,0.039,0.75,0.76,0.044,0.044,3.95,4.03,0.058,0.058,0.42,0.42,0.169,0.169,1.86,1.84
0.227,0.227,4.54,4.43,0.066,0.066,6.08,6.27,0.087,0.087,0.63,0.63,0.13,0.13,1.42,1.41
0.035,0.035,0.67,0.67,0.074,0.074,7.35,7.09,0.107,0.107,0.78,0.78,0.261,0.261,2.9,2.86
0.038,0.038,0.75,0.75,0.139,0.139,14.63,13.63,0.101,0.101,0.72,0.73,0.421,0.421,4.29,4.39
0.118,0.118,2.27,2.3,0.149,0.149,15.74,14.59,0.129,0.129,0.93,0.93,0.055,0.055,0.61,0.6
0.102,0.102,1.96,1.98,0.038,0.038,3.85,3.78,0.153,0.153,1.11,1.11,0.237,0.237,2.6,2.57
0.132,0.132,2.61,2.58,0.024,0.024,2.46,2.49,0.105,0.105,0.75,0.76,0.115,0.115,1.24,1.23
0.004,0.004,0.08,0.08,0.018,0.018,1.82,1.84,0.061,0.061,0.44,0.45,0.224,0.224,2.46,2.43
0.08,0.08,1.57,1.55,0.02,0.02,2.07,2.05,0.093,0.093,0.66,0.66,0.4,0.4,4.44,4.35
0.186,0.186,3.55,3.61,0.02,0.02,1.98,2.0,0.053,0.053,0.39,0.39,0.01,0.01,0.11,0.11
0.062,0.062,1.2,1.21,0.03,0.03,2.94,2.99,0.05,0.05,0.37,0.36,0.031,0.031,0.34,0.34
0.095,0.095,1.87,1.86,0.018,0.018,1.83,1.85,0.017,0.017,0.12,0.12,0.075,0.075,0.8,0.81
0.103,0.103,1.95,1.97,0.037,0.037,3.76,3.69,0.07,0.07,0.51,0.51,0.035,0.035,0.39,0.39
0.087,0.087,1.67,1.68,0.026,0.026,2.73,2.69,0.048,0.048,0.34,0.34,0.016,0.016,0.18,0.18
0.024,0.024,0.47,0.47,0.003,0.003,0.27,0.27,0.048,0.048,0.35,0.35,0.082,0.082,0.89,0.89
0.007,0.007,0.13,0.13,0.121,0.121,11.22,11.89,0.035,0.035,0.26,0.26,0.167,0.167,1.8,1.82
0.017,0.017,0.33,0.33,0.039,0.039,3.91,3.99,0.029,0.029,0.21,0.21,0.157,0.157,1.67,1.68
0.008,0.008,0.16,0.16,0.044,0.044,4.53,4.43,0.016,0.016,0.11,0.11,0.185,0.185,2.05,2.03
0.009,0.009,0.18,0.18,0.087,0.087,9.4,8.97,0.144,0.144,1.03,1.04,0.246,0.246,2.74,2.7
0.028,0.028,0.53,0.53,0.035,0.035,3.67,3.6,0.045,0.045,0.32,0.32,0.285,0.285,3.14,3.09
0.019,0.019,0.38,0.38,0.137,0.137,12.47,13.3,0.175,0.175,1.27,1.26,0.0,0.0,0.0,0.0
0.184,0.184,3.62,3.56,0.113,0.113,11.01,11.65,0.092,0.092,0.66,0.67,0.0,0.0,0.0,0.0
0.011,0.011,0.2,0.2,0.049,0.049,4.73,4.85,0.063,0.063,0.46,0.46,0.0,0.0,0.0,0.0
0.02,0.02,0.39,0.39,0.145,0.145,15.11,14.05,0.088,0.088,0.64,0.64,0.7,0.7,7.22,7.49
0.077,0.077,1.48,1.49,0.006,0.006,0.57,0.56,0.078,0.078,0.57,0.56,0.1,0.1,1.11,1.11
0.187,0.187,3.52,3.58,0.087,0.087,9.36,8.94,0.05,0.05,0.36,0.36,0.082,0.082,0.91,0.91
0.059,0.059,1.16,1.15,0.077,0.077,8.18,7.86,0.075,0.075,0.54,0.54,0.052,0.052,0.57,0.56
0.047,0.047,0.9,0.9,0.06,0.06,6.58,6.37,0.013,0.013,0.1,0.1,0.203,0.203,2.23,2.21
0.23,0.23,4.55,4.45,0.034,0.034,3.41,3.46,0.027,0.027,0.19,0.2,0.171,0.171,1.8,1.81
0.084,0.084,1.63,1.62,0.191,0.191,17.06,18.65,0.103,0.103,0.75,0.75,0.044,0.044,0.49,0.48
0.108,0.108,2.08,2.1,0.013,0.013,1.36,1.35,0.092,0.092,0.67,0.67,0.206,0.206,2.29,2.26
