,cpu_user_time_diff_observations,cpu_user_time_diff_predicted_observations,cpu_user_time_diff_mae,cpu_user_time_diff_rmse,cpu_system_time_diff_observations,cpu_system_time_diff_predicted_observations,cpu_system_time_diff_mae,cpu_system_time_diff_rmse,cpu_idle_time_diff_observations,cpu_idle_time_diff_predicted_observations,cpu_idle_time_diff_mae,cpu_idle_time_diff_rmse,memory_observations,memory_predicted_observations,memory_mae,memory_rmse
0,[18.479999542236328],[16.928089141845703],1.551910400390625,1.551910400390625,[0.059999994933605194],[0.3443202078342438],0.2843202129006386,0.2843202129006386,[1.2200000286102295],[2.0487942695617676],0.8287942409515381,0.8287942409515381,[13.800000190734863],[14.61592960357666],0.8159294128417969,0.8159294128417969
1,[18.079999923706055],[17.590408325195312],0.4895915985107422,0.4895915985107422,[0.05000000074505806],[0.33025431632995605],0.280254315584898,0.280254315584898,[1.5799999237060547],[1.400768756866455],0.1792311668395996,0.1792311668395996,[13.800000190734863],[14.572925567626953],0.7729253768920898,0.7729253768920898
2,[18.329999923706055],[17.37982177734375],0.9501781463623047,0.9501781463623047,[0.07000000029802322],[0.33102235198020935],0.2610223516821861,0.2610223516821861,[1.350000023841858],[1.6046693325042725],0.25466930866241455,0.25466930866241455,[13.800000190734863],[14.559823989868164],0.7598237991333008,0.7598237991333008
3,[18.600000381469727],[17.2626953125],1.3373050689697266,1.3373050689697266,[0.07000000029802322],[0.3362119495868683],0.26621194928884506,0.26621194928884506,[1.0800000429153442],[1.728594183921814],0.6485941410064697,0.6485941410064697,[13.800000190734863],[14.597148895263672],0.7971487045288086,0.7971487045288086
4,[18.290000915527344],[17.57937240600586],0.7106285095214844,0.7106285095214844,[0.07000000029802322],[0.33834683895111084],0.2683468386530876,0.2683468386530876,[1.4300000667572021],[1.4509648084640503],0.020964741706848145,0.020964741706848145,[13.699999809265137],[14.523602485656738],0.8236026763916016,0.8236026763916016
5,[18.65999984741211],[17.33343505859375],1.3265647888183594,1.3265647888183594,[0.07000000029802322],[0.33275148272514343],0.2627514824271202,0.2627514824271202,[1.0499999523162842],[1.6534297466278076],0.6034297943115234,0.6034297943115234,[13.800000190734863],[14.55476188659668],0.7547616958618164,0.7547616958618164
6,[17.700000762939453],[17.46979331970215],0.2302074432373047,0.2302074432373047,[0.07000000029802322],[0.38441962003707886],0.31441961973905563,0.31441961973905563,[1.9099998474121094],[1.823173999786377],0.08682584762573242,0.08682584762573242,[13.800000190734863],[13.77996826171875],0.02003192901611328,0.02003192901611328
7,[18.360000610351562],[16.512088775634766],1.8479118347167969,1.8479118347167969,[0.07999999821186066],[0.34417110681533813],0.2641711086034775,0.2641711086034775,[1.2599999904632568],[2.4649107456207275],1.2049107551574707,1.2049107551574707,[13.699999809265137],[14.585079193115234],0.8850793838500977,0.8850793838500977
8,[17.280000686645508],[17.520822525024414],0.24082183837890625,0.24082183837890625,[0.10999999940395355],[0.3343093991279602],0.22430939972400665,0.22430939972400665,[2.4100000858306885],[1.4780755043029785],0.93192458152771,0.93192458152771,[13.699999809265137],[14.59846305847168],0.898463249206543,0.898463249206543
9,[18.90999984741211],[16.910295486450195],1.999704360961914,1.999704360961914,[0.03999999910593033],[0.35176464915275574],0.3117646500468254,0.3117646500468254,[0.7799999713897705],[2.063607931137085],1.2836079597473145,1.2836079597473145,[13.699999809265137],[14.668277740478516],0.9682779312133789,0.9682779312133789
10,[17.520000457763672],[17.616683959960938],0.09668350219726562,0.09668350219726562,[0.07000000029802322],[0.371038019657135],0.3010380193591118,0.3010380193591118,[2.0899999141693115],[1.6839799880981445],0.406019926071167,0.406019926071167,[13.699999809265137],[13.679666519165039],0.020333290100097656,0.020333290100097656
11,[18.729999542236328],[16.564624786376953],2.165374755859375,2.165374755859375,[0.07000000029802322],[0.34225574135780334],0.2722557410597801,0.2722557410597801,[0.9100000262260437],[2.412501096725464],1.5025010704994202,1.5025010704994202,[13.699999809265137],[14.56583023071289],0.8658304214477539,0.8658304214477539
12,[18.270000457763672],[17.500276565551758],0.7697238922119141,0.7697238922119141,[0.07999999821186066],[0.33537012338638306],0.2553701251745224,0.2553701251745224,[1.4199999570846558],[1.5371792316436768],0.117179274559021,0.117179274559021,[13.699999809265137],[14.486946105957031],0.7869462966918945,0.7869462966918945
