bin_edges,hist_data,kde_values
20.85,5725,9.08590154525085e-06
2433.0477551020404,6944,1.3766454022115492e-05
4845.245510204081,5546,1.6795671833680523e-05
7257.443265306121,6507,1.752132737823718e-05
9669.641020408162,6357,1.5917370843363203e-05
12081.838775510203,3466,1.2125950448504139e-05
14494.036530612242,0,7.261791599741432e-06
16906.234285714283,0,3.2235414518560554e-06
19318.432040816322,0,1.0171765766974776e-06
21730.62979591836,0,2.2597338084348696e-07
24142.827551020404,0,7.193286986091285e-08
26555.025306122443,0,2.4476566680729793e-07
28967.223061224482,0,1.0206049224371205e-06
31379.420816326525,0,3.0106350196424064e-06
33791.61857142857,2714,6.392161965652917e-06
36203.81632653061,6193,1.021484390883658e-05
38616.014081632646,4969,1.3083508086287303e-05
41028.211836734685,5338,1.4468690349887998e-05
43440.409591836724,4588,1.4681144570911373e-05
45852.60734693877,4572,1.3859344138916758e-05
48264.80510204081,4553,1.1671175233978612e-05
50677.00285714285,1616,8.157686447865432e-06
53089.20061224489,0,4.411642712375181e-06
55501.39836734693,0,1.7497077908178747e-06
57913.596122448966,0,4.90689688750993e-07
60325.79387755101,0,9.55280104229878e-08
62737.99163265305,0,1.9486973162348078e-08
65150.18938775509,0,5.8675949383130375e-08
67562.38714285714,0,3.1861385985157457e-07
69974.58489795918,0,1.2028366494203649e-06
72386.78265306122,257,3.1666106071560353e-06
74798.98040816326,4055,6.01549987324168e-06
77211.1781632653,3726,8.699346635192915e-06
79623.37591836734,3601,1.0323001373349559e-05
82035.57367346938,3678,1.0940176142093024e-05
84447.77142857142,3617,1.1080294978914734e-05
86859.96918367346,4022,1.1092991692300649e-05
89272.1669387755,3811,1.1090231521006507e-05
91684.36469387755,3471,1.1124188612289224e-05
94096.56244897959,3605,1.125079859478461e-05
96508.76020408163,4561,1.1461150171269182e-05
98920.95795918367,4140,1.1648462981290368e-05
101333.1557142857,3602,1.1732230580914548e-05
103745.35346938774,2995,1.1737616991638418e-05
106157.55122448978,3876,1.1711810533081518e-05
108569.74897959182,3870,1.1648574362352461e-05
110981.94673469386,4103,1.1420715232008555e-05
113394.1444897959,4190,1.063721933028488e-05
115806.34224489794,3950,8.765276024131503e-06
