bin_edges,hist_data,kde_values
25.52,4011,4.782372395462332e-07
28275.018235294116,4010,6.973698342654613e-07
56524.51647058823,3483,8.381318647249877e-07
84774.01470588235,2779,9.017061515912439e-07
113023.51294117646,3582,9.244235778080604e-07
141273.01117647058,3762,9.281551232109049e-07
169522.50941176468,3993,9.160960378450648e-07
197772.00764705878,3999,8.751245050107093e-07
226021.5058823529,3527,7.713485190962551e-07
254271.00411764704,1399,5.811823515563887e-07
282520.5023529412,0,3.4582952577732864e-07
310770.00058823527,0,1.527660364693182e-07
339019.4988235294,0,4.86238851740917e-08
367268.99705882353,0,1.5526489369982823e-08
395518.4952941176,0,2.9478713092200856e-08
423767.99352941173,0,1.0628727998922389e-07
452017.49176470586,123,2.8409795454579965e-07
480266.99,4321,5.535791009391738e-07
508516.4882352941,4336,8.254470886652081e-07
536765.9864705883,4338,1.008314528175951e-06
565015.4847058824,4339,1.089665569008049e-06
593264.9829411764,4340,1.1085749012172283e-06
621514.4811764705,4323,1.0868839692487396e-06
649763.9794117647,4393,1.0014884371776372e-06
678013.4776470588,4030,8.128940937278784e-07
706262.9758823529,0,5.372689742539941e-07
734512.474117647,0,2.7014718136213487e-07
762761.9723529412,0,9.84916307556004e-08
791011.4705882352,0,2.5817452986193245e-08
819260.9688235293,0,9.375064831335506e-09
847510.4670588234,0,2.6660602773308545e-08
875759.9652941176,0,9.53716741039069e-08
904009.4635294117,128,2.456795648788444e-07
932258.9617647058,3289,4.633040820058593e-07
960508.46,3647,6.729428933762005e-07
988757.9582352941,3890,8.059690106469142e-07
1017007.4564705882,3531,8.590672153011333e-07
1045256.9547058822,2936,8.696009403607615e-07
1073506.4529411765,3187,8.688363400279905e-07
1101755.9511764706,3589,8.694072411215835e-07
1130005.4494117647,3873,8.740378625922122e-07
1158254.9476470586,3027,8.863847710727044e-07
1186504.4458823528,3255,9.158383428732928e-07
1214753.944117647,4276,9.684284576236336e-07
1243003.442352941,4028,1.0333430971968613e-06
1271252.9405882352,4867,1.0864207232680997e-06
1299502.4388235293,4120,1.109871230282117e-06
1327751.9370588234,4340,1.1058921698485614e-06
1356001.4352941175,4195,1.0802123408013846e-06
1384250.9335294117,4544,1.0073306602847722e-06
1412500.4317647058,4408,8.377187903212561e-07
