bin_edges,hist_data,kde_values
460969.62,8242,5.615749950850551e-07
573845.7724,10251,9.221959787965987e-07
686721.9248,8252,1.045173816571042e-06
799598.0771999999,7522,8.786076694842935e-07
912474.2296,289,5.230963202113425e-07
1025350.382,0,1.948279468307795e-07
1138226.5344,0,4.070304911336816e-08
1251102.6868,0,4.459634991980131e-09
1363978.8392,0,2.465924267239779e-10
1476854.9916,0,6.725615450206034e-12
1589731.1439999999,0,8.917955163423429e-14
1702607.2963999999,0,5.693728955751926e-16
1815483.4488,0,1.7398981075513476e-18
1928359.6012,0,8.588506648441478e-19
2041235.7536,0,3.1056434134813476e-16
2154111.906,0,5.36599990944562e-14
2266988.0584,0,4.441319385077826e-12
2379864.2108,0,1.7754315378094126e-10
2492740.3632,0,3.4723818904325752e-09
2605616.5156,0,3.394237885401768e-08
2718492.668,0,1.7207416469253096e-07
2831368.8204,7231,4.829766333280506e-07
2944244.9728,8080,8.358350907425357e-07
3057121.1252,9178,1.0206519774505616e-06
3169997.2776,10066,9.459342111061685e-07
