bin_edges,hist_data,kde_values
1030569.75,5173,4.4665141196354924e-07
1114971.525925926,5259,7.302935692306398e-07
1199373.3018518519,5418,8.723170617739506e-07
1283775.0777777778,5273,9.067871339651309e-07
1368176.8537037037,5391,9.001731335602561e-07
1452578.6296296297,5269,8.29698868739455e-07
1536980.4055555556,2767,6.173140424071606e-07
1621382.1814814815,0,3.084412730691809e-07
1705783.9574074075,0,8.942683169264395e-08
1790185.7333333334,0,1.3759103701015127e-08
1874587.5092592593,0,1.0684910882486967e-09
1958989.2851851853,0,4.0711696794475155e-11
2043391.0611111112,0,7.485313872077729e-13
2127792.837037037,0,6.573494313705062e-15
2212194.612962963,0,6.630218196352294e-17
2296596.388888889,0,9.082402018557253e-15
2380998.164814815,0,1.0080102502246434e-12
2465399.940740741,0,5.3534267710415684e-11
2549801.716666667,0,1.3739052846348499e-09
2634203.4925925927,0,1.7315523667096595e-08
2718605.2685185187,0,1.102048542609954e-07
2803007.0444444446,3687,3.725260011552487e-07
2887408.8203703705,5808,7.325691132223715e-07
2971810.5962962965,6460,9.726310804699166e-07
3056212.3722222224,6130,1.046027934110211e-06
3140614.1481481483,6269,1.0207353547109242e-06
3225015.9240740743,6201,8.632188583563326e-07
