bin_edges,hist_data,kde_values
119324.53,500,7.062046073796407e-07
124080.39529411764,353,1.110910184694883e-06
128836.2605882353,673,1.5210775753788905e-06
133592.12588235294,401,1.971544769319475e-06
138347.9911764706,1684,2.399722793467303e-06
143103.85647058825,464,2.554494156268827e-06
147859.72176470587,334,2.4541226319822965e-06
152615.58705882353,1379,2.4597943952030667e-06
157371.45235294118,678,2.4986641497704537e-06
162127.3176470588,629,2.2535704153915467e-06
166883.18294117646,552,1.8418607823043541e-06
171639.04823529412,500,1.5288125447073293e-06
176394.91352941177,259,1.4432301165121142e-06
181150.7788235294,505,1.7547512629423228e-06
185906.64411764705,1078,2.504461281639415e-06
190662.5094117647,1367,3.3110991522667182e-06
195418.37470588234,1441,3.7900579843404166e-06
200174.24,999,4.017598130557441e-06
204930.10529411765,1707,4.163189851595536e-06
209685.9705882353,1064,4.240533455553738e-06
214441.83588235296,1424,4.370751163493018e-06
219197.70117647058,1828,4.647548371127717e-06
223953.56647058824,1900,4.852018558367528e-06
228709.43176470586,1277,4.748308394652604e-06
233465.29705882352,1291,4.536723796579646e-06
238221.16235294117,1837,4.568231441056937e-06
242977.02764705883,1339,4.84322850013189e-06
247732.89294117648,1581,5.20404823810198e-06
252488.7582352941,2276,5.591667570978118e-06
257244.62352941177,1565,5.823411937565641e-06
262000.48882352942,2487,5.594534849794233e-06
266756.35411764705,1114,4.939405201830808e-06
271512.2194117647,1203,4.431155399456674e-06
276268.08470588236,1202,4.588215916575193e-06
281023.94999999995,2970,5.209482949098456e-06
285779.81529411767,1083,5.685424330397248e-06
290535.68058823526,1924,5.8636281413637595e-06
295291.545882353,2591,5.898219585089309e-06
300047.4111764706,1731,5.678839443006354e-06
304803.27647058823,1465,5.388229506651383e-06
309559.1417647059,1549,5.68709805135205e-06
314315.0070588235,2376,6.634317109764369e-06
319070.8723529412,3014,7.37701698540512e-06
323826.7376470588,2494,7.322561193176334e-06
328582.6029411765,1927,6.790134951772534e-06
333338.4682352941,2412,6.1734604140791654e-06
338094.33352941176,931,5.450806899838894e-06
342850.1988235294,2107,4.61205956964435e-06
347606.064117647,864,3.5904617279102127e-06
352361.9294117647,262,2.408931308715529e-06
357117.7947058823,525,1.4246584305426265e-06
