bin_edges,hist_data,kde_values
79958226.0,2,1.900152140371034e-09
81433879.90566038,176,4.978134904776145e-09
82909533.81132075,2346,8.280211073700628e-09
84385187.71698113,957,9.215096648715248e-09
85860841.6226415,106,7.891079405248532e-09
87336495.5283019,446,6.919395230819518e-09
88812149.43396226,1147,7.332873243361988e-09
90287803.33962265,868,8.29852192110827e-09
91763457.24528302,502,1.0084508518669406e-08
93239111.1509434,2741,1.3438661125475351e-08
94714765.05660377,1779,1.6590025917543467e-08
96190418.96226415,1846,1.7267011228838016e-08
97666072.86792453,628,1.616234302180132e-08
99141726.7735849,2016,1.4957752154781554e-08
100617380.67924528,1537,1.4191971779153235e-08
102093034.58490565,1503,1.4468497968551231e-08
103568688.49056605,639,1.713508092352477e-08
105044342.3962264,2465,2.173633996390424e-08
106519996.3018868,4283,2.421637121614176e-08
107995650.20754717,707,2.2394028880767895e-08
109471304.11320755,2969,1.9437098702778917e-08
110946958.01886792,1388,1.7465625466408007e-08
112422611.9245283,1606,1.574922544697548e-08
113898265.83018868,741,1.4401503655840378e-08
115373919.73584905,1691,1.3905353868300404e-08
116849573.64150944,1607,1.388629920718563e-08
118325227.5471698,1249,1.3979331223766253e-08
119800881.4528302,1778,1.4399337606620873e-08
121276535.35849056,1643,1.5314154695587834e-08
122752189.26415095,2431,1.6092006189189184e-08
124227843.16981132,766,1.613859699580696e-08
125703497.0754717,1732,1.5957306444862366e-08
127179150.98113208,2133,1.578458579278375e-08
128654804.88679245,1253,1.4784316944578243e-08
130130458.79245283,791,1.2971132522883459e-08
131606112.6981132,760,1.1550963650677848e-08
133081766.6037736,2033,1.0974077479248187e-08
134557420.50943395,376,1.0610681341512113e-08
136033074.41509435,912,1.0427250341260962e-08
137508728.3207547,1146,1.1116407629386664e-08
138984382.2264151,1422,1.3172379009131636e-08
140460036.1320755,1970,1.6500753662533274e-08
141935690.03773585,2600,1.924640989377871e-08
143411343.9433962,2627,1.8839776387428102e-08
144886997.8490566,552,1.521902645269476e-08
146362651.754717,401,1.1056907375183785e-08
147838305.66037735,972,8.696185112705532e-09
149313959.5660377,1313,7.838872583706058e-09
150789613.4716981,165,6.906633580659931e-09
152265267.3773585,557,5.432678827656683e-09
153740921.2830189,235,4.038158935581952e-09
155216575.18867925,364,3.080683365472362e-09
156692229.0943396,239,2.300372357032414e-09
