bin_edges,hist_data,kde_values
386664.31,4035,7.971526728238803e-07
410356.74736842106,3733,1.2486362556507006e-06
434049.1847368421,3546,1.4743607624028908e-06
457741.6221052632,3912,1.5318470701367594e-06
481434.0594736842,3965,1.5399095211771885e-06
505126.49684210523,3739,1.5422380439412656e-06
528818.9342105263,3896,1.5414338370076273e-06
552511.3715789473,3714,1.5248095739822307e-06
576203.8089473684,3691,1.4832366350562564e-06
599896.2463157894,2664,1.4402298049582267e-06
623588.6836842105,3764,1.4278809078224817e-06
647281.1210526315,4030,1.4339615452860035e-06
670973.5584210525,3582,1.4354992099486797e-06
694665.9957894736,3428,1.4304768137680193e-06
718358.4331578946,3125,1.424296547567664e-06
742050.8705263156,3435,1.4221091709537228e-06
765743.3078947368,3783,1.4191570016348953e-06
789435.7452631579,3826,1.3677050148576116e-06
813128.1826315789,3234,1.1478439273067958e-06
836820.6199999999,0,7.159492850450232e-07
860513.057368421,0,2.8683044747798357e-07
884205.494736842,0,6.682594050836959e-08
907897.932105263,0,8.532467847193273e-09
931590.3694736841,0,6.039533327760033e-10
955282.8068421052,0,7.441267190035388e-10
978975.2442105261,0,1.009368413442263e-08
1002667.6815789472,0,7.465333711249887e-08
1026360.1189473683,0,3.04417495019125e-07
1050052.5563157892,3364,7.31219871866219e-07
1073744.9936842103,3623,1.1497521000135172e-06
1097437.4310526315,3792,1.3650732458976899e-06
1121129.8684210526,4005,1.4140838437889236e-06
1144822.3057894735,2740,1.4065830955694977e-06
1168514.7431578946,3503,1.3936841522900563e-06
1192207.1805263157,3236,1.385956335811722e-06
1215899.6178947366,3726,1.3771895323438868e-06
1239592.0552631577,3486,1.319210615847499e-06
1263284.4926315788,3089,1.0993945443330194e-06
