bin_edges,hist_data,kde_values
64469.9,6339,1.320308790373146e-05
67962.07384615384,6864,2.1651406870233505e-05
71454.24769230769,6484,2.6402931664849614e-05
74946.42153846154,6219,2.684901620001931e-05
78438.59538461539,6812,2.362917072416791e-05
81930.76923076923,1841,1.6177709241967247e-05
85422.94307692308,0,7.1018897008096306e-06
88915.11692307693,0,1.7172278315263222e-06
92407.29076923078,0,2.0953957750652653e-07
95899.46461538463,0,1.2318939086827658e-08
99391.63846153847,0,3.404853001422402e-10
102883.81230769232,0,4.364892894701096e-12
106375.98615384617,0,2.574898864631811e-14
109868.16,0,1.1459804188744215e-16
113360.33384615387,0,1.7692128424777285e-14
116852.5076923077,0,3.2060761596777343e-12
120344.68153846156,0,2.695255706267723e-10
123836.8553846154,0,1.058846834426096e-08
127329.02923076926,0,1.9646189098222147e-07
130821.20307692309,0,1.7507705117787065e-06
134313.37692307695,869,7.72303671340866e-06
137805.5507692308,8896,1.7950302431298747e-05
141297.72461538465,5674,2.518305551390413e-05
144789.89846153848,7531,2.6817204838171782e-05
148282.07230769232,6501,2.554389328880768e-05
151774.24615384618,5091,2.05687062803602e-05
