bin_edges,hist_data,kde_values
0.0,37250,70837.36656392958
6.040671791600628e-08,0,70929.83776297717
1.2081343583201257e-07,4783,71013.30063323442
1.8122015374801885e-07,567,71087.72676411041
2.4162687166402513e-07,1382,71153.09125686169
3.0203358958003144e-07,184,71209.37273968842
3.624403074960377e-07,461,71256.55337978457
4.2284702541204395e-07,119,71294.61889392493
4.832537433280503e-07,83,71323.55855626125
5.436604612440566e-07,3719,71343.36520367519
6.040671791600629e-07,76,71354.03523940215
6.644738970760691e-07,238,71355.56863359586
7.248806149920754e-07,129,71347.9689221781
7.852873329080817e-07,321,71331.24320297154
8.456940508240879e-07,1357,71305.40212963913
9.061007687400942e-07,51,71270.45990371276
9.665074866561005e-07,278,71226.43426336792
1.0269142045721067e-06,419,71173.3464709732
1.0873209224881131e-06,64,71111.2212973842
1.1477276404041193e-06,313,71040.08700520488
1.2081343583201258e-06,72,70959.97532839207
1.268541076236132e-06,56,70870.92145047506
1.3289477941521382e-06,91,70772.96398068983
1.3893545120681446e-06,50,70666.14492730956
1.4497612299841508e-06,295,70550.50966954947
1.510167947900157e-06,80,70426.10692641785
1.5705746658161634e-06,163,70292.9887243352
1.6309813837321696e-06,158,70151.21036255719
1.6913881016481758e-06,58,70000.83037588173
1.7517948195641822e-06,1940,69841.91049615505
1.8122015374801884e-06,135,69674.51561121986
1.8726082553961949e-06,998,69498.71372247972
1.933014973312201e-06,651,69314.57590018616
1.9934216912282075e-06,258,69122.17623684436
2.0538284091442135e-06,454,68921.59179909853
2.11423512706022e-06,188,68712.9025775276
2.1746418449762263e-06,107,68496.1914352977
2.2350485628922323e-06,164,68271.54405400915
2.2954552808082387e-06,369,68039.0488792902
2.355861998724245e-06,88,67798.7970641573
2.4162687166402515e-06,262,67550.88241040714
2.4766754345562575e-06,161,67295.40130936983
2.537082152472264e-06,50,67032.45268073287
2.5974888703882704e-06,1559,66762.13791014637
2.6578955883042763e-06,115,66484.5607858061
2.7183023062202828e-06,105,66199.82743278348
2.778709024136289e-06,459,65908.04624752956
2.839115742052295e-06,73,65609.3278304576
2.8995224599683016e-06,252,65303.784917048826
2.959929177884308e-06,100,64991.53230924955
3.020335895800314e-06,91,64672.68680435351
3.0807426137163204e-06,104,64347.36712404718
3.141149331632327e-06,35,64015.69384235773
3.201556049548333e-06,288,63677.789312664805
3.2619627674643392e-06,35,63333.77759379023
3.3223694853803456e-06,155,62983.78437632901
3.3827762032963516e-06,90,62627.93690703619
3.443182921212358e-06,53,62266.36391393807
3.5035896391283645e-06,895,61899.19553019009
3.563996357044371e-06,57,61526.563217829884
3.624403074960377e-06,88,61148.59969099845
3.6848097928763833e-06,274,60765.438839139926
3.7452165107923897e-06,74,60377.215649674596
3.8056232287083957e-06,112,59984.066130697174
3.866029946624402e-06,78,59586.12723360245
3.926436664540408e-06,41,59183.53677545967
3.986843382456415e-06,41,58776.43336157415
4.047250100372421e-06,144,58364.95630801526
4.107656818288427e-06,21,57949.245564403864
4.168063536204434e-06,75,57529.4416368448
4.22847025412044e-06,65,57105.68551092126
4.288876972036446e-06,17,56678.11857557731
4.349283689952453e-06,391,56246.882546363464
4.4096904078684586e-06,30,55812.11939007191
4.4700971257844646e-06,42,55373.97124965792
4.530503843700471e-06,124,54932.580368810624
4.590910561616477e-06,20,54488.08901843117
4.651317279532483e-06,54,54040.63942317631
4.71172399744849e-06,30,53590.37368777636
4.772130715364496e-06,22,53137.43372607359
4.832537433280503e-06,20,52681.96118872029
4.892944151196509e-06,11,52224.09739340216
4.953350869112515e-06,68,51763.98325469273
5.013757587028522e-06,6,51301.75921583278
5.074164304944528e-06,39,50837.565180649275
5.134571022860534e-06,23,50371.54044702262
5.194977740776541e-06,17,49903.823641252384
5.255384458692547e-06,119,49434.55265340544
5.315791176608553e-06,15,48963.86457383442
5.3761978945245595e-06,23,48491.895631003885
5.4366046124405655e-06,49,48018.78113043985
5.4970113303565715e-06,13,47544.65539475481
5.557418048272578e-06,22,47069.651705264994
5.617824766188584e-06,21,46593.902244532714
5.67823148410459e-06,20,46117.53804046201
5.738638202020597e-06,13,45640.68891187849
5.799044919936603e-06,30,45163.48341511417
5.859451637852609e-06,17,44686.04879241954
5.919858355768616e-06,13,44208.510921339956
5.980265073684622e-06,15,43730.99426607606
6.040671791600628e-06,16,43253.62182991978
6.101078509516635e-06,31,42776.515109291446
6.161485227432641e-06,14,42299.794049329226
6.221891945348647e-06,14,41823.57700111772
6.282298663264654e-06,23,41347.98068000677
6.34270538118066e-06,11,40873.12012614212
6.403112099096666e-06,13,40399.1086660698
6.4635188170126725e-06,17,39926.05787597637
6.5239255349286785e-06,16,39454.07754675062
6.5843322528446844e-06,8,38983.275650257034
6.644738970760691e-06,6,38513.75830783028
6.705145688676697e-06,24,38045.629759347736
6.765552406592703e-06,9,37578.99233499646
6.82595912450871e-06,10,37113.946427997806
6.886365842424716e-06,23,36650.59046891872
6.946772560340723e-06,19,36189.02090204243
7.007179278256729e-06,14,35729.332162666775
7.067585996172735e-06,15,35271.61665666471
7.127992714088742e-06,15,34815.9647409628
7.188399432004748e-06,5,34362.464706390165
7.248806149920754e-06,13,33911.20276100535
7.309212867836761e-06,6,33462.26301624356
7.3696195857527666e-06,7,33015.727473528765
7.4300263036687726e-06,7,32571.676012892694
7.490433021584779e-06,9,32130.186383279914
7.550839739500785e-06,4,31691.33419385456
7.611246457416791e-06,5,31255.19290725565
7.671653175332797e-06,4,30821.83383398532
7.732059893248804e-06,5,30391.32612852643
7.792466611164811e-06,8,29963.736786547226
7.852873329080816e-06,10,29539.13064393561
7.913280046996823e-06,6,29117.57037687472
7.97368676491283e-06,6,28699.116503380057
8.034093482828835e-06,4,28283.82738622305
8.094500200744842e-06,3,27871.75923712804
8.154906918660849e-06,9,27462.96612243708
8.215313636576854e-06,8,27057.499969661414
8.27572035449286e-06,6,26655.41057556317
8.336127072408868e-06,6,26256.74561561893
8.396533790324873e-06,11,25861.550654050494
8.45694050824088e-06,7,25469.86915582479
8.517347226156886e-06,5,25081.74249899389
8.577753944072891e-06,6,24697.209988835024
8.638160661988898e-06,5,24316.308872519952
8.698567379904905e-06,6,23939.074355134973
8.75897409782091e-06,5,23565.53961679745
8.819380815736917e-06,4,23195.73583020692
8.879787533652924e-06,6,22829.692179959256
8.940194251568929e-06,7,22467.43588210735
9.000600969484936e-06,4,22108.99220490148
9.061007687400943e-06,6,21754.38449045452
9.121414405316948e-06,6,21403.634176965337
9.181821123232955e-06,5,21056.76082208766
9.242227841148962e-06,5,20713.7821267526
9.302634559064967e-06,2,20374.713959863744
