bin_edges,hist_data,kde_values
979.62,2729,9.682920345862644e-06
3110.0554545454547,3172,1.5371157772722888e-05
5240.49090909091,2605,1.841856969335124e-05
7370.926363636364,2839,1.9325447344627523e-05
9501.36181818182,3193,1.947170269770203e-05
11631.797272727275,2568,1.9449809418596855e-05
13762.232727272729,2844,1.944262145210887e-05
15892.668181818184,3158,1.9473771843178792e-05
18023.103636363638,2625,1.9487175686282872e-05
20153.539090909093,2820,1.938423386638222e-05
22283.97454545455,3139,1.8637709073218145e-05
24414.410000000003,2619,1.580674501502435e-05
26544.845454545455,247,1.0169156971267743e-05
28675.28090909091,0,4.289172187714561e-06
30805.716363636366,0,1.0699671181499514e-06
32936.151818181825,0,1.480308426721289e-07
35066.58727272728,0,1.0963745556979539e-08
37197.022727272735,0,1.881582876935867e-09
39327.45818181819,0,3.0211295683071214e-08
41457.893636363646,0,3.294643627433149e-07
43588.3290909091,0,1.945049296915028e-06
45718.764545454556,1144,6.486853466948567e-06
47849.20000000001,3338,1.3155844505056355e-05
49979.63545454547,2754,1.8273348121567247e-05
52110.070909090915,3256,2.0313270175334338e-05
54240.50636363637,3056,2.0725083870841247e-05
56370.941818181826,2943,2.077555250263901e-05
58501.37727272728,3214,2.07734920271426e-05
60631.812727272736,2842,2.067849533894394e-05
62762.24818181819,2874,2.0432016228556778e-05
64892.68363636365,3157,2.001627024157002e-05
67023.1190909091,2771,1.902792081774672e-05
69153.55454545455,3203,1.6029703869287615e-05
