bin_edges,hist_data,kde_values
152903.22,5034,1.695615034956763e-06
174004.54862068966,4999,2.668279204740043e-06
195105.87724137932,3517,2.9208626143321982e-06
216207.20586206898,4261,2.6630938861360233e-06
237308.5344827586,3307,2.296066037276013e-06
258409.8631034483,1847,2.036176223235015e-06
279511.1917241379,3665,2.0261745331619387e-06
300612.52034482756,2997,2.103230491623885e-06
321713.84896551725,2594,1.8787191974982908e-06
342815.17758620693,2084,1.4071223384193465e-06
363916.50620689656,250,8.302398473577209e-07
385017.8348275862,0,3.1586361568546047e-07
406119.1634482759,0,6.556106974697275e-08
427220.49206896557,0,6.816266724269423e-09
448321.82068965514,0,1.04034725727881e-09
469423.14931034483,0,1.1917537171900644e-08
490524.4779310345,0,9.893566549145432e-08
511625.8065517241,639,4.260113984728712e-07
532727.1351724138,2117,1.0310275530843321e-06
553828.4637931035,3270,1.5647155136201146e-06
574929.7924137932,2092,1.7536954730525294e-06
596031.1210344827,3245,1.7975475211770183e-06
617132.4496551724,2462,1.8459935064235395e-06
638233.7782758621,2423,1.86546001951428e-06
659335.1068965517,2953,1.948171883637498e-06
680436.4355172414,3390,2.1152749011399546e-06
701537.764137931,3569,2.2958806068081673e-06
722639.0927586206,3785,2.4614749183097688e-06
743740.4213793103,4612,2.272393586327424e-06
