time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,wifi_freq,bit_rate,link_quality,link_quality_max,signal_level,gpu,gpu_mem,state,net
27-3-2022 18:28:15,1648420095.1430745,1500.0,26.1,6623.57,2168.36,712797.3,27.2,21923895,260908211,0.0,0.0,60.861,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:28:21,1648420101.2275565,1500.0,31.9,6627.6,2169.65,712814.06,32.8,22020012,260918264,0.00015797072079034593,1.652235979176782e-05,63.296,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:28:26,1648420106.231541,1500.0,30.7,6632.89,2170.82,712827.56,31.1,22029505,260926545,1.8970882288703498e-05,1.6548812412593878e-05,63.783,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:28:31,1648420111.2355862,1500.0,30.7,6638.18,2171.73,712841.32,30.7,22029547,260926820,8.393209477176701e-08,5.495553824341888e-07,63.296,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:28:36,1648420116.239628,1500.0,30.4,6643.45,2172.61,712855.14,30.8,22029637,260927340,1.798546087654876e-07,1.0391599617561506e-06,64.757,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:28:41,1648420121.2409494,1500.0,30.5,6648.78,2173.43,712868.95,30.7,22029679,260927830,8.3977807759733e-08,9.797410905302182e-07,64.27,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:28:46,1648420126.2449772,1500.0,30.8,6654.03,2174.34,712882.75,32.2,22029679,260928045,0.0,4.2965388428110863e-07,65.244,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:28:51,1648420131.2489686,1500.0,30.8,6659.25,2175.3,712896.53,30.7,22029961,260928891,5.635501330958291e-07,1.6906503992874874e-06,64.757,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:28:56,1648420136.2529972,1500.0,31.0,6664.55,2176.2,712910.33,30.7,22030003,260929749,8.393237469981658e-08,1.7146185117248243e-06,64.757,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:29:1,1648420141.256932,1500.0,31.3,6669.74,2177.09,712924.17,32.8,22030960,260930893,1.912494919960069e-06,2.286200823860312e-06,67.679,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:29:6,1648420146.2609336,1500.0,29.6,6674.88,2177.95,712938.12,34.1,22031070,260931383,2.198240696342115e-07,9.792163101887604e-07,66.218,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:29:11,1648420151.2649536,1500.0,30.4,6680.16,2178.79,712951.91,32.6,22031070,260931598,0.0,4.296545598252671e-07,67.192,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:29:16,1648420156.269008,1500.0,30.8,6685.44,2179.7,712965.68,32.2,22031112,260932260,8.393194281160777e-08,1.3229272890781988e-06,66.705,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:29:21,1648420161.2730544,1500.0,30.9,6690.76,2180.6,712979.45,31.8,22031112,260932797,0.0,1.0731315275056444e-06,66.218,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:29:26,1648420166.2771034,1500.0,30.8,6696.07,2181.49,712993.22,31.4,22031154,260933612,8.393203078847501e-08,1.6286810736335032e-06,67.192,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:29:31,1648420171.2809315,1500.0,30.2,6701.32,2182.39,713007.03,31.0,22031154,260934129,0.0,1.0332089651515735e-06,66.705,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:29:36,1648420176.2850113,1500.0,30.5,6706.58,2183.25,713020.86,30.6,22031196,260934619,8.393151492674702e-08,9.79201007478715e-07,65.731,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:29:41,1648420181.2890463,1500.0,31.0,6711.87,2184.12,713034.66,32.1,22031196,260934834,0.0,4.2965327015189883e-07,67.192,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:29:46,1648420186.2930727,1500.0,30.3,6717.17,2184.99,713048.45,30.6,22031238,260935324,8.393241069070127e-08,9.792114580581814e-07,66.705,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:29:51,1648420191.2971148,1500.0,31.2,6722.44,2185.92,713062.23,30.6,22031238,260935754,0.0,8.593053120488893e-07,67.679,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:29:56,1648420196.3011608,1500.0,30.7,6727.74,2186.8,713076.01,30.7,22031520,260936753,5.635439843457057e-07,1.9963845402885103e-06,66.705,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:30:1,1648420201.3052146,1500.0,30.8,6733.02,2187.78,713089.74,30.8,22031562,260937243,8.393195080949718e-08,9.79206092777467e-07,67.679,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:30:6,1648420206.3090367,1500.0,30.9,6738.3,2188.71,713103.51,29.6,22031604,260937862,8.393583796413407e-08,1.2370543738047378e-06,68.166,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:30:11,1648420211.3133085,1500.0,30.7,6743.53,2189.68,713117.31,30.8,22031604,260938292,0.0,8.592658869316028e-07,68.653,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:30:16,1648420216.3169339,1500.0,31.0,6748.66,2190.57,713131.24,32.8,22031646,260938954,8.393913752912198e-08,1.3230406915304465e-06,68.653,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:30:21,1648420221.3209403,1500.0,30.6,6753.97,2191.44,713145.06,32.7,22031646,260939169,0.0,4.296557266792718e-07,67.679,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:30:26,1648420226.324963,1500.0,30.6,6759.29,2192.31,713158.83,32.1,22031688,260940199,8.393247067557769e-08,2.0583439237105955e-06,69.14,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:30:31,1648420231.3289762,1500.0,30.4,6764.54,2193.24,713172.63,31.6,22031688,260940629,0.0,8.593103069740778e-07,68.166,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:30:36,1648420236.3330002,1500.0,30.7,6769.79,2194.17,713186.42,32.2,22031730,260940904,8.393245068060935e-08,5.495577127897041e-07,67.679,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:30:41,1648420241.3370304,1500.0,30.4,6775.07,2195.07,713200.21,30.9,22031730,260941334,0.0,8.593073591423539e-07,68.166,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:30:46,1648420246.3411112,1500.0,30.9,6780.3,2196.03,713213.99,30.8,22031772,260941824,8.393149893113587e-08,9.792008208632518e-07,69.14,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:30:51,1648420251.345144,1500.0,30.7,6785.55,2196.98,713227.77,30.8,22031772,260942039,0.0,4.2965345439047745e-07,70.114,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:30:56,1648420256.34918,1500.0,30.7,6790.8,2197.94,713241.54,30.8,22032054,260943253,5.635451120540214e-07,2.42604172352334e-06,69.14,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:31:1,1648420261.353313,1500.0,30.5,6796.09,2198.88,713255.32,30.7,22032096,260943528,8.393062318073091e-08,5.495457470166905e-07,69.14,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:31:6,1648420266.3570538,1500.0,30.4,6801.42,2199.75,713269.08,31.0,22032184,260944512,1.7586842272031395e-07,1.9665287267816924e-06,70.114,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:31:11,1648420271.360965,1500.0,31.0,6806.78,2200.6,713282.89,30.7,22032294,260944942,2.1982803921778833e-07,8.593277896695362e-07,69.627,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:31:16,1648420276.3649657,1500.0,31.4,6812.0,2201.41,713296.76,32.8,22032336,260945389,8.393284258372522e-08,8.932852532125041e-07,70.114,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:31:21,1648420281.3690267,1500.0,30.8,6817.27,2202.31,713310.59,33.7,22032336,260945819,0.0,8.593020776610946e-07,70.601,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:31:26,1648420286.37303,1500.0,30.8,6822.55,2203.21,713324.33,32.5,22032378,260946849,8.393279859441762e-08,2.0583519655297655e-06,70.114,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:31:31,1648420291.3770602,1500.0,30.7,6827.83,2204.07,713338.15,32.2,22032378,260947171,0.0,6.434813247531115e-07,71.088,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:31:36,1648420296.3810766,1500.0,31.0,6833.16,2204.94,713351.92,31.9,22032420,260947748,8.393257864857131e-08,1.1530737590529915e-06,71.088,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:31:41,1648420301.3850214,1500.0,30.3,6838.3,2205.89,713365.76,31.5,22032420,260948178,0.0,8.593220166164905e-07,71.088,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:31:46,1648420306.389053,1500.0,30.7,6843.58,2206.8,713379.53,31.1,22032462,260948453,8.39323227130376e-08,5.495568749067939e-07,69.627,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:31:51,1648420311.3930943,1500.0,30.8,6848.79,2207.72,713393.32,30.8,22032462,260948883,0.0,8.593054758160075e-07,70.601,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:31:56,1648420316.397159,1500.0,31.0,6854.04,2208.64,713407.12,30.7,22032744,260949882,5.635418631922929e-07,1.9963770259897187e-06,70.114,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:32:1,1648420321.4011915,1500.0,30.3,6859.38,2209.46,713420.89,32.2,22032786,260950372,8.393231071609777e-08,9.792102916878073e-07,70.114,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:32:6,1648420326.405218,1500.0,30.7,6864.64,2210.34,713434.72,30.7,22032828,260951206,8.393241069070127e-08,1.6666578694296395e-06,69.627,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:32:11,1648420331.409271,1500.0,30.2,6869.95,2211.2,713448.5,30.7,22032828,260951421,0.0,4.2965171436575805e-07,71.088,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:32:16,1648420336.413302,1500.0,30.7,6875.08,2212.2,713462.28,30.8,22032870,260952083,8.393233470998088e-08,1.322933466143032e-06,71.088,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:32:21,1648420341.4170191,1500.0,31.1,6880.42,2213.1,713476.03,30.8,22032870,260952513,0.0,8.593611193079409e-07,70.601,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:32:26,1648420346.4210014,1500.0,30.3,6885.73,2213.94,713489.81,29.4,22032912,260953328,8.393315051016944e-08,1.6287028015663833e-06,71.575,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:32:31,1648420351.4250069,1500.0,30.8,6891.07,2214.82,713503.63,30.8,22032912,260953758,0.0,8.593116171280026e-07,70.601,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:32:36,1648420356.4291465,1500.0,30.7,6896.19,2215.66,713517.54,32.8,22032954,260954248,8.393051121396027e-08,9.79189297496203e-07,70.114,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:32:41,1648420361.4332004,1500.0,30.8,6901.42,2216.62,713531.32,32.7,22032954,260954463,0.0,4.2965165295337835e-07,70.114,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:32:46,1648420366.4371843,1500.0,30.7,6906.67,2217.58,713545.1,32.2,22032996,260954953,8.393312251676296e-08,9.79219762695568e-07,70.601,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:32:51,1648420371.4412048,1500.0,30.7,6911.96,2218.48,713558.86,31.7,22032996,260955168,0.0,4.2965451888313647e-07,70.601,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:32:56,1648420376.4452298,1500.0,30.7,6917.23,2219.43,713572.64,32.2,22033278,260956382,5.635463471683075e-07,2.4260470406465437e-06,70.601,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:33:1,1648420381.44925,1500.0,30.5,6922.56,2220.32,713586.39,31.0,22034256,260957247,1.954428555760039e-06,1.7286101234482963e-06,71.088,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:33:6,1648420386.4532878,1500.0,30.2,6927.76,2221.28,713600.18,30.7,22034298,260957866,8.39322187396729e-08,1.237001033329941e-06,70.601,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:33:11,1648420391.457321,1500.0,30.7,6933.07,2222.15,713613.99,30.7,22034298,260958446,0.0,1.1590650775503233e-06,71.088,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:33:16,1648420396.4613612,1500.0,30.7,6938.36,2223.02,713627.8,30.7,22034386,260959228,1.7585789833330364e-07,1.5627372329164027e-06,70.601,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:33:21,1648420401.4653928,1500.0,30.8,6943.6,2223.97,713641.58,30.7,22034496,260959443,2.1982274996271754e-07,4.2965355674531156e-07,71.088,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:33:26,1648420406.4694622,1500.0,30.6,6948.91,2224.84,713655.38,31.4,22034538,260960473,8.393169087887188e-08,2.0583248001247155e-06,72.549,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:33:31,1648420411.4729447,1500.0,31.2,6954.15,2225.78,713669.16,30.8,22034538,260960903,0.0,8.594014131335429e-07,72.062,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:33:36,1648420416.4770024,1500.0,30.3,6959.19,2226.7,713683.17,32.9,22034580,260961178,8.393188682642465e-08,5.495540208873042e-07,71.575,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:33:41,1648420421.4809754,1500.0,30.7,6964.48,2227.58,713696.92,32.8,22034580,260961608,0.0,8.593171853267534e-07,71.575,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:33:46,1648420426.4849863,1500.0,31.0,6969.77,2228.53,713710.65,32.3,22034622,260961883,8.393267062578499e-08,5.495591529069255e-07,71.575,0,0,0,0,0,0,0,augmented_reality,
