bin_edges,hist_data,kde_values
807.35,17833,2.5214174188604326e-07
205710.49897435898,16712,3.045605646984938e-07
410613.64794871793,0,2.4913680422270584e-07
615516.7969230769,0,1.3773782069171264e-07
820419.9458974359,0,5.11875411612747e-08
1025323.0948717949,0,1.269957913452518e-08
1230226.2438461538,0,2.193377127183528e-09
1435129.3928205129,0,1.3569246167225795e-09
1640032.541794872,0,7.68896207724392e-09
1844935.690769231,0,3.4466757285515674e-08
2049838.83974359,0,1.0362354209825132e-07
2254741.988717949,11430,2.1071174137245945e-07
2459645.1376923076,15970,2.9236838431590134e-07
2664548.2866666666,7143,2.7816102453054534e-07
2869451.4356410257,0,1.8132365113113777e-07
3074354.5846153847,0,8.049093727493815e-08
3279257.7335897437,0,2.4102009119604426e-08
3484160.8825641028,0,4.817808981197238e-09
3689064.031538462,0,6.367637842569296e-10
3893967.180512821,0,5.520708234437092e-11
4098870.32948718,0,3.1203791787686648e-12
4303773.478461538,0,1.1443869977266326e-13
4508676.6274358975,0,2.7136556547116264e-15
4713579.7764102565,0,4.149479924972419e-17
4918482.925384615,0,4.0891619631933775e-19
5123386.074358974,0,1.1235262304269862e-19
5328289.223333333,0,1.3098451354958518e-17
5533192.372307692,0,1.0050259113805257e-15
5738095.521282051,0,4.9669816798466643e-14
5942998.67025641,0,1.5845602688399983e-12
6147901.819230769,0,3.272432454851963e-11
6352804.968205128,0,4.3921168466745394e-10
6557708.117179487,0,3.8522750347692635e-09
6762611.266153846,0,2.2260203116214622e-08
6967514.415128205,0,8.578995536246992e-08
7172417.564102564,1862,2.2460337946483933e-07
7377320.713076923,25922,4.097936691810252e-07
7582223.862051282,19393,5.366855803251124e-07
7787127.011025641,21953,5.162516812712697e-07
