CPU Frequency,Percent CPU Usage,CPU User Time,CPU System Time,CPU Idle Time,Percent Memory Usage,Network Bytes Sent,Network Bytes Recieved,Network Upload Rate,Network Download Rate,Temperature
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0009,0.1454,0.2293,0.2202,0.4085,0.9992,0.8695,0.0353
0.0,0.0003,0.0072,1.0,0.2432,0.181,0.2816,0.2881,0.8673,0.5925,0.2874
0.0,0.4164,0.1031,0.1997,1.0,0.2713,0.4168,0.0569,0.9372,0.8103,0.358
0.0,0.0,0.1936,0.2045,0.1758,1.0,0.1435,0.2253,0.0,0.0,0.0
0.0,0.0629,0.0794,0.1052,0.2802,0.7098,1.0,0.0464,0.0004,0.6614,0.1381
0.0,0.1497,0.2751,0.4293,0.0263,0.003,0.0493,1.0,0.4404,0.1778,0.3814
0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,1.0,0.0,0.0
0.0,0.0,0.2408,0.228,0.0031,0.0,0.0017,0.0866,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,1.0
