bin_edges,hist_data,kde_values
13133.56,3263,1.2739022917822777e-05
14908.733823529412,3191,1.961191858206021e-05
16683.907647058822,2039,2.146155415172575e-05
18459.081470588237,2814,2.11145101575237e-05
20234.255294117647,2730,2.166941321913375e-05
22009.429117647058,2294,2.3200265585206674e-05
23784.60294117647,4442,2.5043408665027715e-05
25559.776764705883,2668,2.4478420547779243e-05
27334.950588235297,1835,2.1115101400392318e-05
29110.124411764707,1737,1.940180685578627e-05
30885.298235294118,3052,2.119745984850253e-05
32660.47205882353,4491,2.1378477908563e-05
34435.64588235294,0,1.4965797326592701e-05
36210.81970588236,0,6.2673808050911095e-06
37985.99352941177,0,1.4647272730391762e-06
39761.16735294118,0,1.8455019265416622e-07
41536.34117647059,0,1.2392150453487093e-08
43311.515,0,3.289539522179478e-09
45086.68882352942,0,5.338420791056028e-08
46861.86264705883,0,5.333251378165843e-07
48637.03647058824,0,2.8975457780760725e-06
50412.21029411765,1812,8.851858159734819e-06
52187.38411764706,2794,1.63669531547207e-05
53962.55794117647,3235,2.1038169766909654e-05
55737.73176470588,2632,2.2392263073032727e-05
57512.9055882353,2133,2.245353346824468e-05
59288.07941176471,3022,2.2802859414455606e-05
61063.25323529412,3570,2.3099712085839703e-05
62838.42705882353,1859,2.2304977453241256e-05
64613.60088235294,2586,2.2082779412281768e-05
66388.77470588236,3757,2.2877728911155496e-05
68163.94852941178,2152,2.245885089233483e-05
69939.12235294118,3281,2.0582146556210134e-05
71714.2961764706,1722,1.652179770843219e-05
