,Skewness,Kurtosis
CPU Frequency,-1.014898902708699,-0.7433612549009752
Percent CPU Usage,0.8669086550150963,-0.542448528871764
CPU User Time,-0.010252937663878692,-1.6690148737749053
CPU System Time,0.0009073489557529762,-1.6292582031813043
CPU Idle Time,0.0006309273768304982,-1.955979964424969
Percent Memory Usage,1.551438023840357,0.9713277253270927
Network Bytes Sent,0.006883122321884963,-1.7394061664517435
Network Bytes Recieved,0.04213305470965119,-1.7193921825877239
Network Upload Rate,92.03617533386198,12358.910317265656
Network Download Rate,8.962035236294856,97.38193337103893
Temperature,0.5765069561447046,-0.41673468197818764
