bin_edges,hist_data,kde_values
542.66,1196,2.19486916367931e-05
1028.4688372093024,2605,3.853772762930694e-05
1514.2776744186044,1070,4.820428092602233e-05
2000.086511627907,1625,4.8764978605339805e-05
2485.895348837209,1322,4.710529333068182e-05
2971.7041860465115,1943,4.842778531758367e-05
3457.5130232558136,2295,5.1790728079836374e-05
3943.3218604651156,1138,5.267450785423234e-05
4429.130697674418,1771,4.9814637867405394e-05
4914.939534883721,1319,4.686227737427714e-05
5400.748372093023,1252,4.73201407872841e-05
5886.557209302325,2585,5.0913817073053204e-05
6372.366046511627,1540,5.284203239675007e-05
6858.17488372093,1755,5.06600770842859e-05
7343.983720930231,1335,4.7390196289279215e-05
7829.792558139534,1224,4.655575156156571e-05
8315.601395348836,2589,4.949456119471785e-05
8801.410232558139,1357,5.2282124441345275e-05
9287.219069767441,1552,5.107098229499991e-05
9773.027906976744,1678,4.791173493540448e-05
10258.836744186046,1236,4.609243074079069e-05
10744.645581395347,2053,4.788279979417185e-05
11230.45441860465,1507,5.116154698706456e-05
11716.263255813952,1808,5.141960880656901e-05
12202.072093023255,1784,4.904581516266491e-05
12687.880930232557,1250,4.675112759828241e-05
13173.68976744186,1857,4.697829423376727e-05
13659.498604651162,1659,4.950665724851495e-05
14145.307441860463,1633,5.082038401439686e-05
14631.116279069765,1592,4.971150624494762e-05
15116.925116279068,1612,4.763671152439837e-05
15602.73395348837,1387,4.6874320355508504e-05
16088.542790697673,1731,4.8411289464075215e-05
16574.351627906977,1658,5.0245962593684826e-05
17060.160465116278,1888,5.0408118640638596e-05
17545.96930232558,1728,4.9126739250849375e-05
18031.778139534883,999,4.8224926840229413e-05
18517.586976744184,1872,4.8701745197997094e-05
19003.395813953488,1906,4.9814692798986346e-05
19489.20465116279,1970,4.9602122637154294e-05
19975.013488372093,1349,4.513740814717138e-05
20460.822325581394,1007,3.528321554904096e-05
20946.631162790694,468,2.242388189495904e-05
