bin_edges,hist_data,kde_values
770.06,2722,4.203417484130895e-06
4302.378545454545,1363,5.7590403446414005e-06
7834.697090909091,1686,6.334584887771328e-06
11367.015636363634,938,6.342958801000494e-06
14899.33418181818,1974,6.369429583862616e-06
18431.652727272725,1530,6.540416350780416e-06
21963.97127272727,1789,6.844837997630168e-06
25496.289818181816,2051,7.227863855077207e-06
29028.608363636362,1618,7.389630066180707e-06
32560.926909090907,2102,7.082967538776941e-06
36093.245454545446,1069,6.513021078589571e-06
39625.56399999999,1292,6.204987954687103e-06
43157.88254545454,1557,6.473854627474512e-06
46690.20109090908,2407,7.054411493004479e-06
50222.51963636363,1750,7.366276970717717e-06
53754.83818181817,1364,7.205768243408676e-06
57287.15672727272,2032,6.8721907322259705e-06
60819.475272727264,1530,6.581005230088957e-06
64351.79381818181,998,6.359517489322962e-06
67884.11236363635,1347,6.447667613825651e-06
71416.4309090909,1820,6.994414900464122e-06
74948.74945454544,3197,7.489525036872061e-06
78481.06799999998,909,7.336277522841091e-06
82013.38654545453,1622,6.755441586512821e-06
85545.70509090908,1201,6.389099462536334e-06
89078.02363636362,2124,6.436092758627087e-06
92610.34218181817,938,6.702404566863417e-06
96142.66072727271,2237,7.015810732818583e-06
99674.97927272726,1633,7.2169428687366785e-06
103207.2978181818,1930,7.112914969926571e-06
106739.61636363635,1762,6.610359563453979e-06
110271.9349090909,1453,5.789409949850494e-06
113804.25345454544,873,4.895836030363926e-06
117336.57199999999,353,4.213834531502668e-06
120868.89054545453,1243,3.820180101483927e-06
124401.20909090908,977,3.474325213876388e-06
127933.52763636362,626,2.9730532901153516e-06
131465.84618181817,406,2.45083232549942e-06
134998.1647272727,621,2.1550273118202584e-06
138530.48327272726,214,2.2245462401978013e-06
142062.8018181818,701,2.633041504524961e-06
145595.12036363635,1611,3.0699601109830205e-06
149127.43890909088,192,3.1211254585549623e-06
152659.75745454544,744,2.7523049277038366e-06
156192.07599999997,290,2.2957340848667035e-06
159724.39454545453,614,2.0407380021369557e-06
163256.71309090906,191,2.1329745768703787e-06
166789.03163636362,818,2.570999407940973e-06
170321.35018181815,1485,3.034232905100378e-06
173853.6687272727,191,3.088558328080694e-06
177385.98727272724,799,2.716549351738171e-06
180918.3058181818,232,2.269528887252325e-06
184450.62436363634,621,2.003970515027992e-06
187982.9429090909,214,1.925391396073069e-06
191515.26145454543,1144,1.8438305151025713e-06
