Trend,Residual,Seasonal
,,-41573.975070458786
,,-20577.718558157616
174316511.0,1337.7878513054502,-1273.7878513054502
174317158.20000002,-20737.264654595438,20556.064654577556
174317737.20000002,-42774.616825362165,42869.416825344284
174318276.0,41531.975070458786,-41573.975070458786
174318814.8,20830.918558145695,-20577.718558157616
174319263.00000003,1279.7878512756479,-1273.7878513054502
174319671.00000003,-20556.06465460736,20556.064654577556
174319952.4,-42748.816825350244,42869.416825344284
174320233.8,41614.175070446865,-41573.975070458786
174320515.20000002,20537.518558139735,-20577.718558157616
174320796.60000002,1153.1878512816083,-1273.7878513054502
174321078.0,-20556.064654577556,20556.064654577556
174321459.6,-42849.01682533832,42869.416825344284
174321957.8,41297.175070446865,-41573.975070458786
174322502.20000002,20458.518558139735,-20577.718558157616
174323046.60000002,1394.1878512816083,-1273.7878513054502
174323631.20000002,-20387.264654595438,20556.064654577556
174324115.60000002,-42783.016825368126,42869.416825344284
174324545.20000002,41632.775070440905,-41573.975070458786
174324965.6,20417.118558163576,-20577.718558157616
174325386.00000003,1202.7878512756479,-1273.7878513054502
174325806.40000004,-20460.46465461332,20556.064654577556
174326226.80000004,-42792.21682538601,42869.416825344284
174326625.60000002,41654.375070434944,-41573.975070458786
174327047.40000004,20437.318558121853,-20577.718558157616
174327505.40000004,1077.3878512696874,-1273.7878513054502
174328049.8,-20594.864654589477,20556.064654577556
174328634.4,-42909.816825350244,42869.416825344284
174329178.8,41823.175070446865,-41573.975070458786
174329663.20000002,20744.518558139735,-20577.718558157616
174330071.20000002,1233.5878512875688,-1273.7878513054502
174330463.60000002,-20586.664654601398,20556.064654577556
174330856.00000003,-43091.416825374086,42869.416825344284
174331248.4,41715.575070452825,-41573.975070458786
174331710.20000002,20659.518558139735,-20577.718558157616
174332217.8,1048.9878512935293,-1273.7878513054502
174332674.4,-20488.464654583517,20556.064654577556
174333201.8,-42899.216825356205,42869.416825344284
174333855.8,41391.175070446865,-41573.975070458786
174334400.20000002,20606.518558139735,-20577.718558157616
174334939.0,1597.7878513054502,-1273.7878513054502
174335417.80000004,-20509.86465461928,20556.064654577556
174335825.8,-42829.216825356205,42869.416825344284
174336239.8,41401.175070446865,-41573.975070458786
174336663.0,20383.718558157616,-20577.718558157616
174337046.0,1560.7878513054502,-1273.7878513054502
174337469.20000002,-20445.264654595438,20556.064654577556
174337852.20000002,-42940.616825362165,42869.416825344284
174338202.8,41554.175070446865,-41573.975070458786
174338620.60000002,20341.118558133774,-20577.718558157616
174339165.0,1194.7878513054502,-1273.7878513054502
174339709.4,-20596.464654583517,20556.064654577556
174340253.8,-42620.216825356205,42869.416825344284
174340738.20000002,41740.775070440905,-41573.975070458786
174341186.4,20497.318558151655,-20577.718558157616
174341578.8,1202.9878512935293,-1273.7878513054502
174341971.20000002,-20617.264654595438,20556.064654577556
174342403.8,-42808.216825356205,42869.416825344284
174342796.20000002,41644.775070440905,-41573.975070458786
174343188.60000002,20658.118558133774,-20577.718558157616
174343610.4,1133.3878512994897,-1273.7878513054502
174344068.40000004,-20752.46465461332,20556.064654577556
174344612.8,-42908.216825356205,42869.416825344284
174345157.20000002,41573.775070440905,-41573.975070458786
174345701.60000002,20867.118558133774,-20577.718558157616
174346186.0,1279.7878513054502,-1273.7878513054502
174346594.00000003,-20556.06465460736,20556.064654577556
174346986.4,-42859.816825350244,42869.416825344284
174347447.0,41323.975070458786,-41573.975070458786
174347867.39999998,20663.318558181458,-20577.718558157616
174348287.79999998,1480.9878513233316,-1273.7878513054502
174348708.20000002,-20568.264654595438,20556.064654577556
174349117.8,-42889.216825356205,42869.416825344284
174349575.8,41297.175070446865,-41573.975070458786
